delta,midgamma,lowgamma,theta,highalpha,lowalpha,highbeta,lowbeta,state
665317-88859-36316-63597-365999-68023-288070-56332,82612-25153-22626-23539-38693-50655-18337-57544,39359-10789-24527-14542-31253-4868-2566-38773,17409-4465-6693-17770-15945-28219-7245-6415,31157-2651-4718-18134-16173-7147-3895-12906,15205-4070-3225-28775-20051-16549-1120-17488,9217-5101-4276-13635-21047-19467-3173-33977,8535-4378-2007-9618-7558-6499-1328-24180,easy
88859-36316-63597-365999-68023-288070-56332-15411,25153-22626-23539-38693-50655-18337-57544-1550,10789-24527-14542-31253-4868-2566-38773-1673,4465-6693-17770-15945-28219-7245-6415-2154,2651-4718-18134-16173-7147-3895-12906-6600,4070-3225-28775-20051-16549-1120-17488-8286,5101-4276-13635-21047-19467-3173-33977-3671,4378-2007-9618-7558-6499-1328-24180-1104,easy
36316-63597-365999-68023-288070-56332-15411-1457486,22626-23539-38693-50655-18337-57544-1550-61107,24527-14542-31253-4868-2566-38773-1673-13473,6693-17770-15945-28219-7245-6415-2154-10854,4718-18134-16173-7147-3895-12906-6600-18419,3225-28775-20051-16549-1120-17488-8286-6777,4276-13635-21047-19467-3173-33977-3671-5996,2007-9618-7558-6499-1328-24180-1104-1584,easy
63597-365999-68023-288070-56332-15411-1457486-173141,23539-38693-50655-18337-57544-1550-61107-1463,14542-31253-4868-2566-38773-1673-13473-1219,17770-15945-28219-7245-6415-2154-10854-1451,18134-16173-7147-3895-12906-6600-18419-3081,28775-20051-16549-1120-17488-8286-6777-1243,13635-21047-19467-3173-33977-3671-5996-1181,9618-7558-6499-1328-24180-1104-1584-388,easy
365999-68023-288070-56332-15411-1457486-173141-267156,38693-50655-18337-57544-1550-61107-1463-148487,31253-4868-2566-38773-1673-13473-1219-127242,15945-28219-7245-6415-2154-10854-1451-31607,16173-7147-3895-12906-6600-18419-3081-19206,20051-16549-1120-17488-8286-6777-1243-12058,21047-19467-3173-33977-3671-5996-1181-24607,7558-6499-1328-24180-1104-1584-388-16565,easy
68023-288070-56332-15411-1457486-173141-267156-417269,50655-18337-57544-1550-61107-1463-148487-118021,4868-2566-38773-1673-13473-1219-127242-11077,28219-7245-6415-2154-10854-1451-31607-46490,7147-3895-12906-6600-18419-3081-19206-17190,16549-1120-17488-8286-6777-1243-12058-24342,19467-3173-33977-3671-5996-1181-24607-17572,6499-1328-24180-1104-1584-388-16565-15332,easy
288070-56332-15411-1457486-173141-267156-417269-233962,18337-57544-1550-61107-1463-148487-118021-5063,2566-38773-1673-13473-1219-127242-11077-10058,7245-6415-2154-10854-1451-31607-46490-3965,3895-12906-6600-18419-3081-19206-17190-2285,1120-17488-8286-6777-1243-12058-24342-4243,3173-33977-3671-5996-1181-24607-17572-1682,1328-24180-1104-1584-388-16565-15332-1227,easy
56332-15411-1457486-173141-267156-417269-233962-254236,57544-1550-61107-1463-148487-118021-5063-44018,38773-1673-13473-1219-127242-11077-10058-4461,6415-2154-10854-1451-31607-46490-3965-4651,12906-6600-18419-3081-19206-17190-2285-5722,17488-8286-6777-1243-12058-24342-4243-2439,33977-3671-5996-1181-24607-17572-1682-1762,24180-1104-1584-388-16565-15332-1227-1413,easy
15411-1457486-173141-267156-417269-233962-254236-287400,1550-61107-1463-148487-118021-5063-44018-50851,1673-13473-1219-127242-11077-10058-4461-19261,2154-10854-1451-31607-46490-3965-4651-9657,6600-18419-3081-19206-17190-2285-5722-5970,8286-6777-1243-12058-24342-4243-2439-4428,3671-5996-1181-24607-17572-1682-1762-3646,1104-1584-388-16565-15332-1227-1413-2303,easy
1457486-173141-267156-417269-233962-254236-287400-654102,61107-1463-148487-118021-5063-44018-50851-141752,13473-1219-127242-11077-10058-4461-19261-22266,10854-1451-31607-46490-3965-4651-9657-7120,18419-3081-19206-17190-2285-5722-5970-38829,6777-1243-12058-24342-4243-2439-4428-36494,5996-1181-24607-17572-1682-1762-3646-15358,1584-388-16565-15332-1227-1413-2303-14910,easy
173141-267156-417269-233962-254236-287400-654102-3083,1463-148487-118021-5063-44018-50851-141752-8217,1219-127242-11077-10058-4461-19261-22266-5367,1451-31607-46490-3965-4651-9657-7120-3207,3081-19206-17190-2285-5722-5970-38829-5081,1243-12058-24342-4243-2439-4428-36494-21115,1181-24607-17572-1682-1762-3646-15358-1700,388-16565-15332-1227-1413-2303-14910-1246,easy
267156-417269-233962-254236-287400-654102-3083-156692,148487-118021-5063-44018-50851-141752-8217-36341,127242-11077-10058-4461-19261-22266-5367-18452,31607-46490-3965-4651-9657-7120-3207-27730,19206-17190-2285-5722-5970-38829-5081-4314,12058-24342-4243-2439-4428-36494-21115-23300,24607-17572-1682-1762-3646-15358-1700-7971,16565-15332-1227-1413-2303-14910-1246-2514,easy
417269-233962-254236-287400-654102-3083-156692-316844,118021-5063-44018-50851-141752-8217-36341-60169,11077-10058-4461-19261-22266-5367-18452-4680,46490-3965-4651-9657-7120-3207-27730-1403,17190-2285-5722-5970-38829-5081-4314-3797,24342-4243-2439-4428-36494-21115-23300-6829,17572-1682-1762-3646-15358-1700-7971-4504,15332-1227-1413-2303-14910-1246-2514-4099,easy
233962-254236-287400-654102-3083-156692-316844-329638,5063-44018-50851-141752-8217-36341-60169-56648,10058-4461-19261-22266-5367-18452-4680-30688,3965-4651-9657-7120-3207-27730-1403-10069,2285-5722-5970-38829-5081-4314-3797-18777,4243-2439-4428-36494-21115-23300-6829-3863,1682-1762-3646-15358-1700-7971-4504-4323,1227-1413-2303-14910-1246-2514-4099-4680,easy
