delta_2,theta_2,lowalpha_2,highalpha_2,lowbeta_2,highbeta_2,lowgamma_2,midgamma_2,delta_3,theta_3,lowalpha_3,highalpha_3,lowbeta_3,highbeta_3,lowgamma_3,midgamma_3,delta_4,theta_4,lowalpha_4,highalpha_4,lowbeta_4,highbeta_4,lowgamma_4,midgamma_4,delta_5,theta_5,lowalpha_5,highalpha_5,lowbeta_5,highbeta_5,lowgamma_5,midgamma_5,delta_6,theta_6,lowalpha_6,highalpha_6,lowbeta_6,highbeta_6,lowgamma_6,midgamma_6,delta_7,theta_7,lowalpha_7,highalpha_7,lowbeta_7,highbeta_7,lowgamma_7,midgamma_7,state
242801,16763428,2470,2096,6329,13178,3990,3940,16032,16745609,5499,6191,16662,22474,11333,14333,373715,606457,12741,29013,31823,21195,23572,9324,16754414,12473,4080,1382,1875,1608,1072,210,31114,25613,18535,16751385,21849,17917,7258,13783,115493,53812,6638,13434,10063,12065,2659,3626,easy
31114,25613,18535,16751385,21849,17917,7258,13783,115493,53812,6638,13434,10063,12065,2659,3626,1135644,309786,92316,29159,19154,14606,10055,8440,75010,9579,3679,3314,8862,1835,865,554,1330992,204692,43126,16750129,25853,15389,5998,3474,853499,84629,16757875,16746442,27357,9776,12361,9238,diff
75010,9579,3679,3314,8862,1835,865,554,1330992,204692,43126,16750129,25853,15389,5998,3474,853499,84629,16757875,16746442,27357,9776,12361,9238,454816,16774321,24210,5682,15741,15148,10900,9174,479301,89647,3729,7159,10155,11934,3967,10506,34938,5000,755,1180,385,782,317,288,easy
853499,84629,16757875,16746442,27357,9776,12361,9238,454816,16774321,24210,5682,15741,15148,10900,9174,479301,89647,3729,7159,10155,11934,3967,10506,34938,5000,755,1180,385,782,317,288,16745862,24255,5365,2563,1277,3253,720,555,199356,16752124,9284,4351,1640,4092,1129,913,easy
199356,16752124,9284,4351,1640,4092,1129,913,89640,18795,9667,4024,1635,2329,726,227,11163,11964,10834,5017,14324,5671,3115,2803,71401,16751713,12202,8065,5671,13935,3379,3098,7761,13212,2512,4522,10660,2693,3723,1586,8676,12449,13351,23190,2661,12346,1857,2396,easy
517284,62032,16853,24314,15689,11566,5802,4573,957694,229416,22758,10634,11779,12599,9837,5315,89904,12424,7264,2905,393,6869,1584,2396,29597,25490,2457,2586,5079,902,1967,1401,291663,16765647,9961,5003,22204,16745849,8398,3490,662786,78858,11083,25699,8891,12557,2134,3483,diff
298876,42011,16747263,8505,5101,9661,8537,4452,16744358,16754157,11789,6067,6648,6279,8021,6206,294347,124677,10340,17681,8771,27501,12488,26051,46855,12575,12193,3672,2077,6602,3922,2046,270572,16746796,3987,4097,4762,3882,697,919,45523,31800,741,7400,3427,2922,1253,1299,diff
23677,16745889,11511,3137,9384,8212,13923,2847,78328,25356,2522,2816,1535,3742,498,956,77719,13191,1450,1408,3980,4424,1583,865,3501,20560,11634,15932,17290,29270,3416,3233,70337,30600,22651,12404,15207,8388,2651,7883,132795,16765538,18203,12249,13644,10333,2215,5560,diff
132795,16765538,18203,12249,13644,10333,2215,5560,77024,4864,4171,2037,722,968,780,405,16765483,10415,1252,671,16777147,1055,390,342,781439,133009,15961,27981,2151,15886,31454,17076,90429,22465,1705,10341,4375,3801,2203,966,337576,11506,718,475,683,2841,2180,467,diff
177189,81016,3371,4351,15257,10037,6909,2546,70298,27102,240,959,3629,3598,728,427,16766249,16751954,2014,1549,733,1079,462,574,82435,16757553,4534,1439,1644,2195,1300,1144,206464,81732,17484,5723,4705,2787,1150,560,938,11658,5161,1081,851,1369,191,180,diff
