delta_1,theta_1,lowalpha_1,highalpha_1,lowbeta_1,highbeta_1,lowgamma_1,midgamma_1,delta_2,theta_2,lowalpha_2,highalpha_2,lowbeta_2,highbeta_2,lowgamma_2,midgamma_2,delta_3,theta_3,lowalpha_3,highalpha_3,lowbeta_3,highbeta_3,lowgamma_3,midgamma_3,delta_4,theta_4,lowalpha_4,highalpha_4,lowbeta_4,highbeta_4,lowgamma_4,midgamma_4,delta_5,theta_5,lowalpha_5,highalpha_5,lowbeta_5,highbeta_5,lowgamma_5,midgamma_5,state
2696321,233615,24483,46205,24099,51127,37834,19278,116040,92173,12832,2806,6402,19055,7755,5273,156579,13234,3508,2376,1022,3871,2694,2106,231727,44862,3161,3918,832,3093,1616,1375,9777,8047,6195,17244,36191,32299,60891,46314,0
145425,15318,809,2985,1911,4453,4955,3099,194336,121812,33310,15996,21813,57793,54775,30678,825555,95397,28329,12491,15515,68294,43979,38858,92264,68377,24764,5434,10277,15349,8226,4876,1240897,141893,5883,14279,35679,34521,35065,25653,0
587546,198000,29239,65522,17725,79828,30403,39184,327600,21499,17683,1026,2799,4550,1371,1211,1674310,227852,12729,1699,6899,36415,14272,8857,783982,85917,12085,4943,5644,14175,9399,4895,54923,42254,1909,3185,1858,3902,6329,1881,1
137155,19448,1857,1941,1615,3149,1911,1035,397201,152275,14693,5047,18994,30594,7516,11094,1243920,49758,25564,15517,14108,42706,79280,35620,613534,88643,29244,9497,8868,11836,22920,9139,569964,177421,27034,23183,13382,50526,39363,10296,1
199541,48759,11791,9306,2503,13636,7329,10827,1048629,179256,36689,51161,40744,53319,71902,23054,275833,91956,8830,9718,3567,14252,6994,5793,239773,42698,6473,11060,1360,19345,11574,4104,149395,33077,13424,3241,10685,7429,13969,16964,0
39586,33240,10538,24191,37353,46334,35547,17182,898181,223064,100382,47454,52411,83575,57657,16737,1598842,289690,18919,31915,11997,44918,33187,34031,1266801,264201,140074,11757,34701,57359,90006,41060,1635314,331508,14528,70041,38482,83241,85819,22051,1
1067352,195823,12403,15574,14731,17481,18193,7686,2125721,210270,30397,32148,20937,27415,157191,51020,119525,66210,5020,3061,5576,8475,9165,5039,716597,426494,4624,21772,38647,65090,81090,27699,64978,20350,6793,2276,2473,6462,4093,1753,1
134066,67018,12846,5460,6790,18291,13434,12368,185588,55688,18465,12071,9804,13895,9368,7807,1653987,348167,62983,32540,54540,100645,83874,26334,207857,364177,41687,22851,11031,31189,42315,52342,699409,201009,55436,11853,11641,121485,28185,27760,1
764107,106374,20394,22439,3425,10940,11757,11482,152828,78391,12399,38269,25637,28051,31353,19372,809325,206586,37438,20677,50670,83887,51888,20788,619041,324198,47583,13290,13542,64370,47844,33206,1853995,284757,90081,73178,31244,75393,30449,18683,0
735672,107446,20216,4315,8580,19438,5640,9430,345907,253717,53304,42413,73038,30642,54556,10103,218952,95738,9725,19781,8549,29694,20756,6245,987295,124062,17547,17668,15307,102663,36336,41242,2428398,466195,89981,67856,86921,51716,112130,37585,0
12223,21079,9024,9496,19114,43971,25964,32704,141139,40833,28684,3803,18819,19123,7631,4881,41606,91037,7340,8008,20066,8530,35826,10877,674773,525629,130708,99896,40086,33698,15191,15125,1893022,171367,111887,67461,44116,127153,53107,62281,0
