delta_2,theta_2,lowalpha_2,highalpha_2,lowbeta_2,highbeta_2,lowgamma_2,midgamma_2,delta_3,theta_3,lowalpha_3,highalpha_3,lowbeta_3,highbeta_3,lowgamma_3,midgamma_3,state
279623,42737,19702,9552,4223,5004,4525,3658,257256,212071,121382,8704,28665,57822,29081,36883,0
1784406,1525301,27872,113190,47757,52613,50621,64872,1197209,126980,1743,14687,4093,19751,23320,12688,0
1272732,171043,22299,21104,30809,48255,13474,8978,2108310,302639,212254,82402,60501,190857,105259,57293,0
362974,742810,119369,24837,8630,70491,62475,37448,1003180,19852,7348,9376,10013,6292,12163,8377,1
356356,42466,7334,3957,6303,3197,3837,4428,119036,87285,28466,6813,16561,7876,12670,10490,1
952271,12708,8902,5990,4410,19481,7681,10898,1282056,405072,194155,68885,21570,65712,37043,47422,0
656066,80714,4319,11917,22846,12264,13824,13295,68164,103630,23859,55914,11324,35133,31148,9992,1
1458367,561780,23642,61168,11897,128055,65416,44227,1208263,67430,62178,5786,12446,24252,19779,11208,1
2134069,349591,57162,31870,36625,77625,83568,50886,1067591,195658,102354,17799,43754,62336,124470,120545,0
673227,1706168,170035,87642,17504,64871,38999,25711,625769,20315,8102,3957,2518,6426,3546,1371,1
524044,159945,34923,47062,15487,20552,27952,14054,1663993,546718,73016,69683,34324,88270,82327,129020,0
474683,66217,30796,19279,21913,39271,27317,9009,839133,203800,268209,57176,55016,48734,51832,40056,1
47602,33635,8298,1702,1950,14699,6903,3061,191856,33090,14378,3615,5992,11372,14296,1989,0
113977,87229,8319,14576,16424,13705,23941,8340,148318,18837,10570,1659,763,12530,9057,3510,0
455877,131504,44463,4497,24546,11309,25386,17956,82632,32766,7153,2397,2554,7205,3258,1320,0
527177,62101,35664,30963,13401,45926,4088,9035,583564,106947,35545,22899,15142,42132,19977,21623,0
105705,109086,50851,10516,3893,9075,12638,13802,1615663,138840,12766,31127,16510,53232,44187,40576,1
176685,81570,6600,8089,12073,29661,22578,6019,1008209,190970,23862,4259,12634,5865,2333,4189,0
926355,601465,35281,66220,47781,94233,65917,66110,1114101,238477,148533,38711,25130,162752,42969,57012,1
985451,86883,24267,21047,12808,14638,20961,17774,114095,117368,15988,4038,5992,6881,4756,2606,1
714758,184135,61478,14117,26716,41270,8770,13619,1593224,725591,61820,38148,44755,81080,75355,60932,0
990266,58991,36793,22163,24776,22995,7881,3439,131421,69654,1365,2647,2807,4001,4073,6928,1
