delta_2,theta_2,lowalpha_2,highalpha_2,lowbeta_2,highbeta_2,lowgamma_2,midgamma_2,delta_3,theta_3,lowalpha_3,highalpha_3,lowbeta_3,highbeta_3,lowgamma_3,midgamma_3,delta_4,theta_4,lowalpha_4,highalpha_4,lowbeta_4,highbeta_4,lowgamma_4,midgamma_4,delta_5,theta_5,lowalpha_5,highalpha_5,lowbeta_5,highbeta_5,lowgamma_5,midgamma_5,delta_6,theta_6,lowalpha_6,highalpha_6,lowbeta_6,highbeta_6,lowgamma_6,midgamma_6,state
1200627,346377,25505,107334,23991,6914,11516,11465,186426,44674,2033,60481,4030,3545,1154,943,2117316,209709,163027,56680,39569,20018,15220,5745,828377,52908,89083,45691,21829,5927,8631,6380,428038,130381,24529,82432,17677,10516,5417,7344,0
28339,13133,5492,37161,4161,1963,2527,1248,24048,18493,9080,22487,3836,2667,2138,895,18549,30284,49252,183648,6545,16822,9220,3702,663605,23037,59159,17692,5800,2383,776,867,788898,40206,37531,23638,4851,4139,1801,1257,1
97912,32789,5585,17026,1221,3617,2135,644,49947,41852,11496,21979,3330,2914,1046,1213,98830,40950,20279,79551,6866,6004,3641,1520,46641,26849,1042,42024,4005,3170,1826,2637,247405,180552,73484,56946,21653,11155,2717,2517,1
276216,25275,23765,8223,11556,16780,11390,13050,178484,7352,17983,11941,9955,4943,2509,2095,199154,101205,49027,57173,12685,14099,5684,2260,88332,275336,118543,106171,11697,12875,8502,15429,1037926,208653,94933,201222,54357,24634,9799,6231,0
527004,25856,13143,7780,4249,4147,4812,1716,47557,10409,28444,37208,4150,2297,1426,1400,17251,26651,88303,20731,7570,29667,9558,6857,86881,15159,39916,103300,9869,6758,5541,2925,18513,5289,35025,199391,10799,9437,10424,6017,1
85159,105691,37244,16024,13901,7315,7388,6221,565829,211382,61596,112322,4098,16572,8443,5748,127923,8467,10385,9966,1991,898,2198,826,6002,27879,15312,129267,1560,7047,5531,5112,269452,72609,17298,297914,18886,13021,9100,15615,0
394192,225212,31287,26337,13428,6733,17449,8714,800069,68300,6594,5412,6284,5761,1293,2098,853718,604184,23578,114283,22454,33056,21024,15291,625002,185862,5563,35835,29665,28210,13178,6566,316283,63400,12720,11050,7897,4743,4999,2456,0
544532,19091,3909,15884,11629,7523,5735,2239,242671,17854,1095,48611,3092,5419,1899,3001,16166,29070,22307,44450,6452,4758,3049,2181,32230,21781,10956,6893,6368,4479,3330,1688,133987,270684,53477,18295,4887,10003,6515,4865,0
730131,15117,6998,4409,3116,6231,1652,1291,254708,93094,7439,42647,13229,4246,2879,1083,128684,47931,12942,12030,2958,2220,986,1099,444492,230465,35105,88675,18453,10290,10978,5570,1712271,105431,46876,29362,16223,4606,5917,1765,0
1032896,166932,43410,46120,47859,9362,8981,8143,598220,3739,8225,3425,3700,2633,958,548,239116,13877,14677,27048,23030,4489,6392,8710,1428058,91406,38017,149516,11273,9672,9692,4394,61342,81447,15294,157058,5849,16084,4353,5254,0
972233,23210,9300,7270,2344,2733,597,927,874047,538039,99159,38727,24138,12445,7126,15477,73672,6735,1892,3271,3531,698,364,1207,255607,48326,11493,45183,4599,1134,796,1858,262572,67165,14711,31750,16062,7893,8358,15862,1
702761,91863,4185,13205,8497,3023,2376,4734,71461,9996,4917,23395,3306,1671,3297,2865,137771,30284,3576,12262,3386,6060,1899,1381,2351001,264495,90540,12936,25945,9227,8403,7727,40281,32746,112061,48989,6457,7270,9579,8443,1
1286144,34755,17524,7641,8705,3510,1072,1985,2623892,15419,9770,119505,31363,12006,9474,8728,186727,32194,36087,67740,13914,10760,14666,5482,29031,14540,111289,66327,8381,19810,4279,14020,56148,66944,49840,136561,18776,10110,5252,6844,0
144461,15189,4815,2888,3706,1372,667,1309,101806,19158,4382,27883,1821,2118,1560,1483,72517,20586,95870,67432,14949,7410,4663,11740,113366,11822,5846,37922,1194,1303,1414,2095,331083,100087,61375,61777,22475,12707,10645,13670,1
404205,38757,8618,5847,3516,1674,844,520,251229,90941,21409,20015,15734,10209,3562,3649,77076,44604,8715,15271,5052,4260,1861,1876,644532,1850,30103,3001,5593,6514,3226,3552,95848,15559,12654,19330,2811,3871,2450,2575,1
779177,62112,7805,7541,13397,10689,8568,6261,37808,21404,51134,83687,11350,32192,14426,7355,820136,26026,14473,12350,6670,4617,4645,6711,21230,17929,7692,9905,3250,1416,11239,5684,1048813,36045,9424,1194,7274,6543,3797,4431,1
1056703,19780,16313,7602,16926,4302,4203,4361,250801,88490,24364,9909,34486,24723,18392,21179,55440,14249,8754,18443,2415,3661,2628,2447,785612,123258,11567,25268,5966,8827,2224,1498,907315,118778,35149,40363,14173,14808,21327,16869,0
1170737,52971,33192,2474,5952,4778,6697,3812,36498,6706,4948,1088,411,1074,627,452,70884,16595,109274,96889,4348,14389,10169,23592,567183,72062,49320,15823,13491,8652,2776,4862,738741,41262,22002,2652,5169,2694,4695,2250,0
528270,42544,29265,114937,13207,19909,7377,22359,70662,9394,13008,19187,6262,2298,2674,1846,513446,176446,20400,112136,22571,11954,11774,7100,102475,11871,1365,21953,4391,5066,2957,2134,855507,170589,70475,50580,32583,26493,18081,11067,0
2211433,46916,15125,75459,54571,21870,27390,22868,41226,41619,89856,35583,9956,16077,16319,7420,38747,20556,115604,97564,10872,15406,6954,21315,517742,18809,11273,12005,5303,3179,2890,2501,70396,12318,11965,4249,6538,2856,1824,3374,0
190491,78243,14184,13738,4531,4595,4104,4007,261632,30136,22184,20492,4219,3879,2816,3644,2131102,124775,53328,49616,12449,16885,22684,14032,159307,12831,389,3465,793,629,1459,2021,1776037,327606,12776,94377,14115,24399,31595,36485,1
357060,18176,10706,18164,21665,11842,7941,12233,288941,123736,22087,16601,30146,12860,20415,13559,630163,23437,9961,21737,10651,3089,5346,8609,54939,1865,2060,1539,1599,760,1533,1551,1182546,41577,4596,9034,10342,14048,5961,2341,0
1274553,119860,84946,58498,11709,45875,8312,22390,131534,20306,1009,23871,1903,10163,6177,4940,521550,17879,4787,11220,3002,5661,6668,3698,59285,33243,14791,14085,2655,4466,3841,6258,584440,69754,12436,6312,3901,7786,9175,1657,0
342356,26478,12368,7224,5304,6196,1659,1376,744483,65352,81429,130747,21284,23090,4728,10849,1183048,232263,37849,45880,31593,25540,9953,24574,160573,42383,5818,2754,9623,3599,10024,4058,648663,51303,17509,10658,5404,8250,6338,8218,1
736965,110046,30692,14989,5258,7071,5540,4825,2451954,81117,48562,162129,30629,20691,10622,7691,168185,6579,8960,4787,4471,4635,1622,3839,114384,89631,25941,9030,4808,5910,4822,6407,1653542,267256,66204,40883,27602,33002,7019,8076,0
270928,12661,11042,16830,12000,4733,3905,3077,187271,111617,30996,63084,53068,15560,20683,8844,13028,37776,34853,31690,18316,12251,16047,12474,24127,24779,22494,16946,2371,4078,3135,1556,24145,23233,802,64007,4637,3850,4718,10663,1
327768,33845,1717,19336,3785,6202,7199,4483,81413,8630,11517,5549,5649,4396,5793,3207,334222,40338,7825,14060,5141,4767,5958,6431,1127624,85892,18147,82116,28238,10258,39875,16236,1217633,158846,47714,53994,43650,16398,15692,26943,1
384626,23995,3192,2067,5972,7062,3628,1026,984844,45380,30014,13455,5175,15289,3741,3891,379689,10687,9769,16513,7316,8863,4998,2992,535430,12387,1216,1665,3142,1680,1545,740,1348439,52904,18931,8635,14190,10479,7428,3584,1
422812,16877,473,949,2937,1384,449,867,292467,46500,10956,4467,2351,1645,1054,1098,1263972,106363,29022,84413,66964,18614,10822,12571,382988,35569,4763,11555,5104,3468,2163,3625,2081473,334550,45132,67404,73420,59854,14322,24782,1
399956,69830,74956,27973,31246,7251,3427,3912,763571,66099,13075,51253,43060,19609,15113,13795,1239854,46301,7901,7646,5469,5708,2174,2387,27926,12999,2218,3253,2029,879,288,429,97454,43444,9736,31443,12392,3049,3300,1947,1
117286,17738,13261,9328,8329,2785,3120,1379,285111,6207,13986,13166,4677,6181,4534,938,173911,25052,4429,16250,8567,4171,3125,772,47893,43426,1266,3221,7746,2805,1163,707,426528,67269,1384,14259,15283,6924,2290,1145,1
547800,103432,18800,11155,4543,9523,1832,1419,433435,186145,15273,29269,29946,26320,8535,9377,166272,20549,4014,27314,6162,2402,1208,3164,1002605,35355,29255,36425,8835,10344,4325,3717,24840,10928,3806,9356,672,1204,263,737,1
195409,42544,24168,1204,10590,8035,3916,2063,1669646,851200,170632,49372,67937,11327,7505,21688,175598,320517,11270,22213,20813,12290,9107,4816,1484631,129208,41133,18726,36710,27685,12216,5632,8709,10962,6511,19640,6450,1930,2628,893,0
536220,91219,33741,8495,14652,26927,10244,4741,1166785,75109,60095,99440,21458,18908,18166,11856,116538,13959,1824,4456,1562,4621,2094,3545,73535,6818,4147,2782,1436,1077,916,424,141557,46896,50226,35839,49358,17513,7110,7167,1
271788,145651,14056,33113,14050,9023,3310,4714,1124548,104228,5765,33544,5694,4561,1780,2494,236330,49610,17212,78540,26394,16891,12493,3438,695988,220380,29142,29345,39893,19053,19244,24049,1237692,144350,108546,144780,35845,30590,23550,45926,1
1020431,16643,19989,19293,13779,12144,5111,1721,70164,33205,19984,56844,27552,6938,4901,3899,85709,43839,58344,104544,18344,11851,4497,2431,199602,28946,7536,11932,3271,2462,533,225,324259,44836,15304,12706,4756,4549,7224,3312,0
