delta_4,theta_4,lowalpha_4,highalpha_4,lowbeta_4,highbeta_4,lowgamma_4,midgamma_4,delta_5,theta_5,lowalpha_5,highalpha_5,lowbeta_5,highbeta_5,lowgamma_5,midgamma_5,delta_6,theta_6,lowalpha_6,highalpha_6,lowbeta_6,highbeta_6,lowgamma_6,midgamma_6,state
17833,66939,21947,79723,15828,9638,4920,2528,471119,145760,77182,96532,9547,6384,4627,3921,118520,100052,95137,60534,26982,23701,3512,5546,1
908875,109321,11905,235041,11737,12153,5976,6451,227148,11991,5566,19128,2238,2314,1139,850,938529,19042,15104,19997,3523,2211,1176,2156,1
536931,5836,2610,30323,1816,1994,867,1817,67587,16705,24843,101328,18513,23777,6253,2192,50273,8530,4416,5531,3354,2587,3550,2343,1
2117316,209709,163027,56680,39569,20018,15220,5745,828377,52908,89083,45691,21829,5927,8631,6380,428038,130381,24529,82432,17677,10516,5417,7344,0
18549,30284,49252,183648,6545,16822,9220,3702,663605,23037,59159,17692,5800,2383,776,867,788898,40206,37531,23638,4851,4139,1801,1257,1
98830,40950,20279,79551,6866,6004,3641,1520,46641,26849,1042,42024,4005,3170,1826,2637,247405,180552,73484,56946,21653,11155,2717,2517,1
199154,101205,49027,57173,12685,14099,5684,2260,88332,275336,118543,106171,11697,12875,8502,15429,1037926,208653,94933,201222,54357,24634,9799,6231,0
17251,26651,88303,20731,7570,29667,9558,6857,86881,15159,39916,103300,9869,6758,5541,2925,18513,5289,35025,199391,10799,9437,10424,6017,1
127923,8467,10385,9966,1991,898,2198,826,6002,27879,15312,129267,1560,7047,5531,5112,269452,72609,17298,297914,18886,13021,9100,15615,0
853718,604184,23578,114283,22454,33056,21024,15291,625002,185862,5563,35835,29665,28210,13178,6566,316283,63400,12720,11050,7897,4743,4999,2456,0
16166,29070,22307,44450,6452,4758,3049,2181,32230,21781,10956,6893,6368,4479,3330,1688,133987,270684,53477,18295,4887,10003,6515,4865,0
128684,47931,12942,12030,2958,2220,986,1099,444492,230465,35105,88675,18453,10290,10978,5570,1712271,105431,46876,29362,16223,4606,5917,1765,0
239116,13877,14677,27048,23030,4489,6392,8710,1428058,91406,38017,149516,11273,9672,9692,4394,61342,81447,15294,157058,5849,16084,4353,5254,0
73672,6735,1892,3271,3531,698,364,1207,255607,48326,11493,45183,4599,1134,796,1858,262572,67165,14711,31750,16062,7893,8358,15862,1
137771,30284,3576,12262,3386,6060,1899,1381,2351001,264495,90540,12936,25945,9227,8403,7727,40281,32746,112061,48989,6457,7270,9579,8443,1
186727,32194,36087,67740,13914,10760,14666,5482,29031,14540,111289,66327,8381,19810,4279,14020,56148,66944,49840,136561,18776,10110,5252,6844,0
72517,20586,95870,67432,14949,7410,4663,11740,113366,11822,5846,37922,1194,1303,1414,2095,331083,100087,61375,61777,22475,12707,10645,13670,1
77076,44604,8715,15271,5052,4260,1861,1876,644532,1850,30103,3001,5593,6514,3226,3552,95848,15559,12654,19330,2811,3871,2450,2575,1
