delta_2,theta_2,lowalpha_2,highalpha_2,lowbeta_2,highbeta_2,lowgamma_2,midgamma_2,delta_3,theta_3,lowalpha_3,highalpha_3,lowbeta_3,highbeta_3,lowgamma_3,midgamma_3,delta_4,theta_4,lowalpha_4,highalpha_4,lowbeta_4,highbeta_4,lowgamma_4,midgamma_4,state
863613,98135,27269,19903,9215,11534,2769,3317,237650,36420,17351,6315,8154,3550,1650,2862,207711,13890,1809,1086,4711,4871,1243,1023,1
21174,10807,13246,7589,7481,2867,1838,993,247355,31836,894,14263,4275,3227,1186,4682,1080924,82687,55831,147024,26870,6788,11529,4515,1
585786,46662,3328,21437,2631,2945,634,1772,439690,119433,9133,52478,15761,13632,8447,5542,190494,16074,2926,13650,8237,2690,1275,1629,0
1476772,74788,26856,62557,11632,3830,12599,10588,29548,35994,90300,57217,17748,7682,4632,6435,896427,33346,19181,20130,2358,2659,2266,1863,1
568950,224294,5139,7691,15921,12033,5298,10059,109803,28041,22290,43053,8525,19656,7686,5279,190569,71923,4452,26875,1684,3634,1684,2472,0
120087,19835,3362,12642,1709,4549,1087,6009,437040,145034,18113,114450,16335,15046,7153,11124,117880,35196,4320,15617,1893,3183,1583,952,0
310557,69503,84542,35053,28007,14056,14138,21920,321858,26184,203,19331,1672,3944,2789,3881,762115,240859,19001,60740,24303,11378,8434,13357,1
882439,149312,11964,42159,12327,14766,4996,13887,253332,74279,39059,9294,3545,2815,2336,2855,255498,67652,20841,22869,8155,1607,1555,1606,1
2426825,72578,53444,19697,14979,16548,13519,12435,47589,6772,1071,2579,770,1210,451,560,57482,13845,2922,6070,1469,719,505,347,0
447570,12044,10880,4593,3276,3536,3939,5087,202313,34177,14371,14976,4336,5087,2278,4489,1296797,182268,53921,54875,4328,11297,4977,10871,1
1529671,673135,56230,17202,50487,39076,19342,14572,202342,112585,5889,10324,9539,4358,4394,4175,511909,20480,9198,11037,14565,4241,2147,5106,0
669589,85524,18012,9127,7188,3167,2207,981,277994,9894,8564,9757,6054,2342,2387,2223,631288,113990,56132,61658,27138,17078,7380,7458,0
385288,337576,40435,14245,5854,12696,9988,10581,2227839,68705,25911,72210,31171,13690,7230,5695,330518,274371,16847,133087,13417,13653,41889,8661,1
108414,160742,21664,9865,9125,3042,3865,5606,474266,90984,6644,88530,20110,9203,8786,5186,75447,56274,11183,9041,3244,3997,1591,3006,0
61359,7212,8736,8199,4554,1089,2645,2339,12093,5492,30037,7413,7161,3317,1948,2338,831245,12577,9178,27060,5849,6527,1861,2275,1
280640,53559,11919,33082,3827,2537,2006,2508,71430,32656,7356,6062,4187,2740,926,1467,131733,19278,12328,31042,2012,2249,1837,842,0
247657,34716,57730,105878,28875,12967,9420,10358,86317,11892,17228,15700,3846,2582,1874,1398,87414,25647,28422,29892,5428,2663,1722,2441,1
1114860,139315,16667,14415,6822,1571,1417,1857,44494,21215,12710,7117,4007,2370,1456,960,31311,20491,8167,123269,7686,3843,2209,2971,0
8325,21111,6693,7737,2139,3773,2257,875,134345,9780,15038,13258,2861,5061,1510,1937,54699,16504,18360,5432,7068,4722,1360,927,1
99847,11473,12441,6786,6120,2962,2214,1459,1722531,46450,22473,64169,12763,4706,5232,6092,82234,15201,25578,135558,11126,10194,7812,8591,1
197206,41024,5382,2303,3803,3008,2387,1922,96809,48526,16117,44225,13490,16163,23103,5360,734725,33517,18114,17596,1156,3873,3311,1480,0
526253,117612,57528,112400,44402,20194,11731,9385,54079,39732,90875,36408,19289,26940,16592,4953,17833,66939,21947,79723,15828,9638,4920,2528,1
333123,19346,10081,10505,3555,6784,1040,1721,40924,28503,16383,15991,12456,4813,1668,1014,908875,109321,11905,235041,11737,12153,5976,6451,1
163044,11679,1304,2094,2283,1401,470,298,1389333,178550,51698,133677,23111,9664,12295,5971,536931,5836,2610,30323,1816,1994,867,1817,1
1200627,346377,25505,107334,23991,6914,11516,11465,186426,44674,2033,60481,4030,3545,1154,943,2117316,209709,163027,56680,39569,20018,15220,5745,0
28339,13133,5492,37161,4161,1963,2527,1248,24048,18493,9080,22487,3836,2667,2138,895,18549,30284,49252,183648,6545,16822,9220,3702,1
97912,32789,5585,17026,1221,3617,2135,644,49947,41852,11496,21979,3330,2914,1046,1213,98830,40950,20279,79551,6866,6004,3641,1520,1
276216,25275,23765,8223,11556,16780,11390,13050,178484,7352,17983,11941,9955,4943,2509,2095,199154,101205,49027,57173,12685,14099,5684,2260,0
527004,25856,13143,7780,4249,4147,4812,1716,47557,10409,28444,37208,4150,2297,1426,1400,17251,26651,88303,20731,7570,29667,9558,6857,1
