delta_5,theta_5,lowalpha_5,highalpha_5,lowbeta_5,highbeta_5,lowgamma_5,midgamma_5,delta_6,theta_6,lowalpha_6,highalpha_6,lowbeta_6,highbeta_6,lowgamma_6,midgamma_6,state
12391,16760878,9219,13378,9035,17932,26211,3248,16747969,17436,17239,9599,4484,4829,1635,470,easy
8169,16116,4188,5405,10185,12272,14363,7014,8579,16756732,20383,7592,18554,32178,10663,4595,easy
10789,10336,19060,15416,16757419,16539,30605,16620,18001,8646,17505,6429,22988,25864,4422,5776,easy
16770150,5388,4157,689,1954,587,16777190,338,142636,16757002,3975,3410,13592,18458,7340,6401,easy
24198,16766984,13408,20221,20071,9311,9810,5324,40746,144637,16752489,8281,5585,9405,5908,2463,easy
25693,13290,15607,11494,9897,9285,5182,3805,16751693,16631,16746255,20417,13116,15262,9816,4445,easy
72271,21742,6965,8324,16740,29755,13316,6118,1126366,227061,10964,16751739,17067,29597,20401,13440,easy
549673,16751106,14493,8486,7569,13637,6128,6223,16751702,23523,8011,18149,14715,13195,5746,1381,easy
96621,15156,25547,3370,4635,1837,980,1368,424634,16749483,4094,6313,4700,10574,5068,6293,easy
577187,16757200,17826,19630,6636,9600,3872,2187,16769529,19129,5680,2731,4471,2429,2363,555,easy
37834,10192,7081,6099,3083,3617,1349,252,82260,16759605,21141,2172,2856,2648,1437,795,easy
293629,27536,1338,1983,2318,2557,1795,1826,21741,43937,5839,11658,7983,20953,6493,1780,easy
16760389,10744,2184,3919,4185,4208,2630,160,245457,158252,16748766,2321,7724,10655,6586,5081,easy
16773909,16761424,6469,2037,2208,7012,2324,1654,138896,94642,24055,23417,23930,12519,14452,2807,easy
112878,19404,8274,26368,14074,15107,9119,9171,31875,31422,7499,767,6815,4968,6028,4970,easy
79793,70389,11659,16751374,16745015,16456,13247,5338,18835,15005,9629,3317,5136,5354,3341,3266,diff
16772046,14706,5448,2346,1786,2330,1073,433,16772608,27540,7334,1985,490,996,768,580,diff
683,3111,513,1887,893,3070,724,607,4186,5495,2807,5867,6128,6192,2566,1095,easy
19558,10888,7113,5810,9652,10048,1616,1529,138827,87187,21443,5060,4559,11499,6771,4107,easy
76806,10623,7390,2998,3015,5104,3068,132,203146,110928,1716,6871,3987,9177,7501,3115,easy
136789,12171,6121,1849,3890,2000,4526,2101,84892,20425,11855,2781,1381,3843,2560,1419,easy
9420,5652,6524,3456,2604,4143,2577,1086,26997,20437,5809,3195,3140,2889,1572,1376,easy
92636,16770471,30805,24381,23139,7425,4460,6127,98014,71903,11272,4225,3755,3167,966,1086,diff
16760334,9933,2435,171,4727,2412,864,16777179,53801,31331,5977,2148,1922,3227,399,200,easy
77343,6599,1643,3968,801,1945,701,189,18241,31572,2402,20841,26920,6682,4714,1578,diff
89327,16763084,3078,1118,11852,3639,1572,1283,50872,11519,2532,4356,1406,1826,1463,921,diff
66117,21524,7945,1900,1223,2307,1209,854,1265306,342099,16746941,5838,11985,26216,16749034,7736,diff
1140837,100060,27564,16760743,30333,22110,70720,20775,166667,23864,6897,4390,1834,2913,2148,1673,easy
