delta_0,theta_0,lowalpha_0,highalpha_0,lowbeta_0,highbeta_0,lowgamma_0,midgamma_0,delta_1,theta_1,lowalpha_1,highalpha_1,lowbeta_1,highbeta_1,lowgamma_1,midgamma_1,delta_2,theta_2,lowalpha_2,highalpha_2,lowbeta_2,highbeta_2,lowgamma_2,midgamma_2,state
1574588,287068,9285,54576,12669,35713,31897,45226,1809850,86733,4345,12560,3855,20351,15447,5726,279623,42737,19702,9552,4223,5004,4525,3658,0
187084,15624,855,1506,1245,524,1046,648,1963393,101750,28822,18086,12532,20792,21145,13128,1784406,1525301,27872,113190,47757,52613,50621,64872,0
986205,10235,12900,4104,2218,5337,3136,4877,2790611,345941,70831,33082,24248,23743,32920,8004,1272732,171043,22299,21104,30809,48255,13474,8978,0
54063,15290,5499,3567,17492,9699,10900,7395,1250602,68043,848,2496,4200,6615,30153,7734,362974,742810,119369,24837,8630,70491,62475,37448,1
776406,48949,19996,7558,5231,5520,5625,2616,1291011,282005,14740,16863,14958,14502,7374,12643,356356,42466,7334,3957,6303,3197,3837,4428,1
486311,224101,2123,37067,49084,51734,39250,22987,61896,53531,2502,4144,3421,3402,2651,2079,952271,12708,8902,5990,4410,19481,7681,10898,0
612498,31399,903,4319,4544,8419,4709,5587,699624,978877,110390,49604,30843,66073,37685,43695,656066,80714,4319,11917,22846,12264,13824,13295,1
739934,42260,33912,11134,9032,13229,15627,8524,231104,130728,13373,17422,15421,18103,16703,9556,1458367,561780,23642,61168,11897,128055,65416,44227,1
616792,161594,28143,21177,16302,30976,14427,11214,559310,66898,78934,46526,16481,15218,18774,14388,2134069,349591,57162,31870,36625,77625,83568,50886,0
1483,8715,10656,5668,16412,42988,29260,24665,430268,85046,17533,40956,28274,16614,10071,5660,673227,1706168,170035,87642,17504,64871,38999,25711,1
52104,37310,13213,13261,9673,5337,9404,3151,451064,20181,16508,25768,16967,18252,21448,7124,524044,159945,34923,47062,15487,20552,27952,14054,0
1760129,228338,54174,37089,29405,27304,19743,4039,262966,12169,3313,11594,7653,3771,2925,7259,474683,66217,30796,19279,21913,39271,27317,9009,1
784551,200320,33932,48314,24570,16054,7451,6447,71192,31872,8406,8523,2114,2554,8980,3234,47602,33635,8298,1702,1950,14699,6903,3061,0
265919,191483,65796,54717,68205,49327,55020,39715,883452,36787,14545,14682,6123,18362,10437,5850,113977,87229,8319,14576,16424,13705,23941,8340,0
1134908,443235,21358,67614,40965,66559,55242,62095,2629744,738491,134375,27757,34359,42208,60181,34757,455877,131504,44463,4497,24546,11309,25386,17956,0
32976,55996,19314,43208,32057,61075,27652,16309,1255862,155676,30572,8651,13044,30450,26088,6674,527177,62101,35664,30963,13401,45926,4088,9035,0
542840,93354,6414,4656,9945,22661,16935,7173,415042,151299,47631,48165,21347,39036,32080,18955,105705,109086,50851,10516,3893,9075,12638,13802,1
342502,36706,535,5769,2613,4852,3337,3426,793376,51114,3764,5762,4491,9178,1563,3653,176685,81570,6600,8089,12073,29661,22578,6019,0
338551,7738,631,2976,5059,4226,4254,1703,198727,42215,3755,2936,1994,8467,9908,3592,926355,601465,35281,66220,47781,94233,65917,66110,1
736201,79858,34449,37367,21870,52340,24442,23341,656509,180116,173985,31540,32358,29126,110132,19200,985451,86883,24267,21047,12808,14638,20961,17774,1
899388,168195,8478,40591,26640,13784,19312,11590,1408978,332136,26215,24964,25201,50136,174623,50513,714758,184135,61478,14117,26716,41270,8770,13619,0
1966329,241280,78627,36080,38364,57637,48039,41908,895264,124386,20153,4062,19261,10992,20178,6130,990266,58991,36793,22163,24776,22995,7881,3439,1
82854,9598,2865,4045,8169,23164,12600,5285,540877,228755,12000,45037,10003,10034,16452,13752,317024,1012263,17184,164213,37060,63039,52803,42176,0
656157,68356,19650,40155,12342,12238,25056,10699,674144,157393,18194,6981,6856,22580,14815,13116,727868,383433,24571,72173,37264,33905,42380,34567,1
895868,130784,51289,7821,6216,17202,35440,8964,1336939,69539,17909,6870,23947,9595,21325,8632,1394249,130294,20774,13246,27067,17227,17155,8267,1
2626763,66730,74850,38204,43640,63224,63605,16094,1458118,84432,48782,29568,20724,80544,39692,39376,1219530,424569,150730,52503,43094,79055,47708,49797,1
1057665,21236,11289,1441,6382,13071,15656,8492,163416,129546,16048,14068,15642,49007,51024,24613,244414,30596,12322,11648,2961,10669,10193,3396,1
2238859,1115869,250640,111606,72834,134670,103631,84618,1718213,348830,53173,6694,17931,39367,49111,43207,1982933,474237,18440,73170,51059,160594,103242,64420,1
770985,306117,22472,16530,6877,14619,8295,7001,686631,94273,129458,7055,27117,13914,20657,4238,1345709,280458,30517,6076,15263,172024,223182,40234,0
2145151,71796,3462,15928,12382,33067,7002,9530,717533,192330,46632,16135,55078,27769,74833,32923,1154601,576448,77099,124299,22840,61090,59189,20267,1
304300,72316,14806,4760,2124,11503,8991,4949,195925,145967,16320,33265,20519,5671,14387,10649,951488,88352,1685,11461,9843,18122,5619,7212,1
2624744,521283,13524,33038,67197,44512,22890,35813,1031593,54638,9912,23539,6941,9213,22826,2229,416971,42850,5097,15040,13167,9620,17176,4990,0
166839,21419,2176,5305,10448,8385,4191,5269,10917,6309,7150,7183,7459,34913,24496,14847,1706517,387595,82294,50924,58136,34502,31513,17791,0
2532675,560002,67872,91721,34235,45866,49600,65270,230455,33100,20137,13714,9087,42617,71133,10820,1754080,549450,82684,182795,22593,70621,222314,17795,1
1642678,218889,69390,36010,89877,119598,33556,50235,608211,87474,25376,15469,11705,21531,12545,16827,360518,466282,21311,68402,36557,83221,36540,28966,0
29043,38048,19553,14405,46073,37121,21522,33264,164439,100687,11201,8564,3480,17480,9649,8631,624739,93962,48654,32122,13706,7621,5112,9977,0
44059,27523,1342,20445,15307,32237,28228,15926,306803,107310,460,8662,26154,18293,3787,7296,998696,30529,18050,564,5732,8504,5688,5802,1
1180852,190920,269730,34072,35996,41299,58745,31285,1824656,422452,91894,17263,48944,38283,181060,27897,1745785,390193,136452,95374,53563,53136,130928,128016,1
1572672,640166,8929,144144,50832,87058,78632,54448,1050627,109194,8460,10571,7186,12454,9783,5151,555632,83603,18150,9130,7816,8513,8173,4106,0
1302064,54456,13716,29259,5490,7106,7594,7355,76536,11955,2501,2648,2858,3873,3749,3155,351520,129019,6484,8666,6057,16796,6456,9862,0
823681,63311,49055,7025,17409,74020,16918,37208,7903,25853,12980,2262,33444,32475,22633,22445,1232644,141690,49817,62579,21676,6847,4336,5810,1
175364,23288,14046,14757,19551,34238,23273,13008,115287,29457,10204,2038,3052,13400,6424,5170,541071,236615,70747,70105,24408,31631,29271,18432,0
42930,4132,7346,20001,20021,38281,29103,9683,6886,11047,7223,18971,7550,32272,45924,15118,1692107,213399,15642,16808,30206,33583,27945,25393,1
1026795,913524,239085,68221,28337,84669,124932,111195,664373,27991,1752,3924,900,3684,5173,2212,954326,51878,17973,10876,12348,8259,39550,12965,0
896913,42267,21477,12293,3117,14424,16017,9351,150695,16563,3809,5561,12307,47149,30789,27029,346729,191870,87166,31515,29311,47665,44275,14966,1
313479,210079,3570,15760,39948,22828,42600,61167,187096,33881,16284,19098,7655,12167,12098,8993,1398580,200137,11711,65047,17069,22058,28683,6579,1
611578,191944,41673,4442,7267,11819,8864,17332,1070817,502757,21124,54689,8518,41478,19775,15900,636415,137161,6780,15127,11296,13888,14547,11132,0
783615,117880,30911,1870,7952,10381,13349,14669,1714073,361178,20713,10444,14574,23013,11102,16502,192114,104544,5286,20890,15908,20822,7775,9969,0
375590,5451,9876,2194,1460,2973,2379,2711,1016534,765145,87266,33167,36790,33682,37439,35715,1443,6360,3989,18039,3436,35101,33296,53078,1
7516,13502,15337,22801,31871,43676,19804,20275,184210,159718,16595,22453,35220,25997,19450,9045,608614,24946,4034,14069,4730,8578,9612,9451,0
90779,123206,21153,65528,39632,44693,35882,14945,346840,48542,7349,7203,5895,10391,12285,15991,672979,97247,12152,16702,7507,20202,18014,5901,0
589627,46953,61769,2319,16886,14315,15955,20463,469755,32048,10360,12808,2960,5584,2199,1705,1181463,24851,8962,8026,5526,7235,10671,12852,0
437625,62047,10793,13281,8481,11478,6748,6586,558697,93302,23698,13087,15166,48721,135055,12599,772777,377108,22945,104349,34133,49133,37861,19341,0
234468,141727,13989,5507,7680,6557,10626,4654,1223728,48087,16207,6497,8768,17996,12918,4413,995327,156285,20792,7678,20774,20249,24781,9199,1
612007,127029,56845,19063,9475,9709,16534,12535,1721916,343799,147814,26661,71433,65848,24087,35634,688507,41785,34704,18307,21652,56020,47441,16968,0
672563,68582,41826,4735,7494,8495,17231,16571,1249803,1152291,59070,73235,70779,91721,124654,156165,858703,311551,84417,6645,23233,12240,45568,18063,1
212629,38342,18163,8359,5769,13881,3621,5734,726507,255950,2842,4948,7223,11236,12101,8814,881471,221294,43549,278967,107762,28352,38108,26709,0
441230,8565,5676,8923,4190,6800,7208,4393,40619,40774,46784,26027,9828,40013,22331,42937,368126,117921,8736,16800,32718,24916,45776,11013,0
8051,5655,11848,9924,45980,17827,21929,24429,777236,44283,9024,2941,15187,14827,12846,8044,1558514,89840,8563,13270,10862,24569,18803,4360,1
