delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
16775164-200630-795031-952652-117048-45169-128786-236617-214923-383842-1262917-390166-1666244-752936-111018,16749596-104143-155724-153594-154570-185538-16746146-322269-40105-239377-16757233-14758-40741-16756523-16751112,26035-184664-13644-16746475-876-16755321-4297-80732-16776873-16755584-4854-1669-16754731-9884-5207,16221-82718-11425-17520-11816-5098-2925-16765906-26394-30835-4601-4489-14938-5088-5867,17357-16753182-12959-3678-11221-9537-2612-34390-16766526-11851-3924-2374-12758-4347-1753,7955-132610-19620-23092-16513-17486-5717-49646-11586-16749225-5327-4075-92034-16745944-16055,4875-26015-18506-40981-14429-15124-6054-132671-16930-18371-5577-2039-16745768-8483-6757,3126-16754003-6372-10574-6768-4139-1773-16746278-13872-11177-4080-2646-16748571-5148-11870,diff,null
795031-952652-117048-45169-128786-236617-214923-383842-1262917-390166-1666244-752936-111018-151436-193119,155724-153594-154570-185538-16746146-322269-40105-239377-16757233-14758-40741-16756523-16751112-24912-16744881,13644-16746475-876-16755321-4297-80732-16776873-16755584-4854-1669-16754731-9884-5207-3726-7588,11425-17520-11816-5098-2925-16765906-26394-30835-4601-4489-14938-5088-5867-353-10019,12959-3678-11221-9537-2612-34390-16766526-11851-3924-2374-12758-4347-1753-1449-5474,19620-23092-16513-17486-5717-49646-11586-16749225-5327-4075-92034-16745944-16055-4054-8992,18506-40981-14429-15124-6054-132671-16930-18371-5577-2039-16745768-8483-6757-2869-6965,6372-10574-6768-4139-1773-16746278-13872-11177-4080-2646-16748571-5148-11870-1895-10242,diff,null
952652-117048-45169-128786-236617-214923-383842-1262917-390166-1666244-752936-111018-151436-193119-1498634,153594-154570-185538-16746146-322269-40105-239377-16757233-14758-40741-16756523-16751112-24912-16744881-368692,16746475-876-16755321-4297-80732-16776873-16755584-4854-1669-16754731-9884-5207-3726-7588-88689,17520-11816-5098-2925-16765906-26394-30835-4601-4489-14938-5088-5867-353-10019-20690,3678-11221-9537-2612-34390-16766526-11851-3924-2374-12758-4347-1753-1449-5474-15724,23092-16513-17486-5717-49646-11586-16749225-5327-4075-92034-16745944-16055-4054-8992-16754591,40981-14429-15124-6054-132671-16930-18371-5577-2039-16745768-8483-6757-2869-6965-16749465,10574-6768-4139-1773-16746278-13872-11177-4080-2646-16748571-5148-11870-1895-10242-16748229,diff,null
117048-45169-128786-236617-214923-383842-1262917-390166-1666244-752936-111018-151436-193119-1498634-390767,154570-185538-16746146-322269-40105-239377-16757233-14758-40741-16756523-16751112-24912-16744881-368692-336873,876-16755321-4297-80732-16776873-16755584-4854-1669-16754731-9884-5207-3726-7588-88689-16756533,11816-5098-2925-16765906-26394-30835-4601-4489-14938-5088-5867-353-10019-20690-17235,11221-9537-2612-34390-16766526-11851-3924-2374-12758-4347-1753-1449-5474-15724-17540,16513-17486-5717-49646-11586-16749225-5327-4075-92034-16745944-16055-4054-8992-16754591-16775913,14429-15124-6054-132671-16930-18371-5577-2039-16745768-8483-6757-2869-6965-16749465-22784,6768-4139-1773-16746278-13872-11177-4080-2646-16748571-5148-11870-1895-10242-16748229-30587,diff,null
128786-236617-214923-383842-1262917-390166-1666244-752936-111018-151436-193119-1498634-390767-1021607-304116,16746146-322269-40105-239377-16757233-14758-40741-16756523-16751112-24912-16744881-368692-336873-130180-31867,4297-80732-16776873-16755584-4854-1669-16754731-9884-5207-3726-7588-88689-16756533-38685-16775143,2925-16765906-26394-30835-4601-4489-14938-5088-5867-353-10019-20690-17235-5361-73264,2612-34390-16766526-11851-3924-2374-12758-4347-1753-1449-5474-15724-17540-18704-31640,5717-49646-11586-16749225-5327-4075-92034-16745944-16055-4054-8992-16754591-16775913-16760309-16760522,6054-132671-16930-18371-5577-2039-16745768-8483-6757-2869-6965-16749465-22784-16767877-20135,1773-16746278-13872-11177-4080-2646-16748571-5148-11870-1895-10242-16748229-30587-30019-16759918,diff,null
236617-214923-383842-1262917-390166-1666244-752936-111018-151436-193119-1498634-390767-1021607-304116-128948,322269-40105-239377-16757233-14758-40741-16756523-16751112-24912-16744881-368692-336873-130180-31867-85043,80732-16776873-16755584-4854-1669-16754731-9884-5207-3726-7588-88689-16756533-38685-16775143-16750290,16765906-26394-30835-4601-4489-14938-5088-5867-353-10019-20690-17235-5361-73264-8975,34390-16766526-11851-3924-2374-12758-4347-1753-1449-5474-15724-17540-18704-31640-23376,49646-11586-16749225-5327-4075-92034-16745944-16055-4054-8992-16754591-16775913-16760309-16760522-16754956,132671-16930-18371-5577-2039-16745768-8483-6757-2869-6965-16749465-22784-16767877-20135-16750045,16746278-13872-11177-4080-2646-16748571-5148-11870-1895-10242-16748229-30587-30019-16759918-10969,diff,null
214923-383842-1262917-390166-1666244-752936-111018-151436-193119-1498634-390767-1021607-304116-128948-1238139,40105-239377-16757233-14758-40741-16756523-16751112-24912-16744881-368692-336873-130180-31867-85043-36575,16776873-16755584-4854-1669-16754731-9884-5207-3726-7588-88689-16756533-38685-16775143-16750290-86952,26394-30835-4601-4489-14938-5088-5867-353-10019-20690-17235-5361-73264-8975-15242,16766526-11851-3924-2374-12758-4347-1753-1449-5474-15724-17540-18704-31640-23376-16306,11586-16749225-5327-4075-92034-16745944-16055-4054-8992-16754591-16775913-16760309-16760522-16754956-16770240,16930-18371-5577-2039-16745768-8483-6757-2869-6965-16749465-22784-16767877-20135-16750045-28804,13872-11177-4080-2646-16748571-5148-11870-1895-10242-16748229-30587-30019-16759918-10969-16760924,diff,null
383842-1262917-390166-1666244-752936-111018-151436-193119-1498634-390767-1021607-304116-128948-1238139-16761744,239377-16757233-14758-40741-16756523-16751112-24912-16744881-368692-336873-130180-31867-85043-36575-29445,16755584-4854-1669-16754731-9884-5207-3726-7588-88689-16756533-38685-16775143-16750290-86952-4994,30835-4601-4489-14938-5088-5867-353-10019-20690-17235-5361-73264-8975-15242-2755,11851-3924-2374-12758-4347-1753-1449-5474-15724-17540-18704-31640-23376-16306-1098,16749225-5327-4075-92034-16745944-16055-4054-8992-16754591-16775913-16760309-16760522-16754956-16770240-1543,18371-5577-2039-16745768-8483-6757-2869-6965-16749465-22784-16767877-20135-16750045-28804-3379,11177-4080-2646-16748571-5148-11870-1895-10242-16748229-30587-30019-16759918-10969-16760924-1017,diff,null
1262917-390166-1666244-752936-111018-151436-193119-1498634-390767-1021607-304116-128948-1238139-16761744-1278106,16757233-14758-40741-16756523-16751112-24912-16744881-368692-336873-130180-31867-85043-36575-29445-16776606,4854-1669-16754731-9884-5207-3726-7588-88689-16756533-38685-16775143-16750290-86952-4994-7933,4601-4489-14938-5088-5867-353-10019-20690-17235-5361-73264-8975-15242-2755-11922,3924-2374-12758-4347-1753-1449-5474-15724-17540-18704-31640-23376-16306-1098-6466,5327-4075-92034-16745944-16055-4054-8992-16754591-16775913-16760309-16760522-16754956-16770240-1543-5302,5577-2039-16745768-8483-6757-2869-6965-16749465-22784-16767877-20135-16750045-28804-3379-3249,4080-2646-16748571-5148-11870-1895-10242-16748229-30587-30019-16759918-10969-16760924-1017-2133,diff,null
390166-1666244-752936-111018-151436-193119-1498634-390767-1021607-304116-128948-1238139-16761744-1278106-1858609,14758-40741-16756523-16751112-24912-16744881-368692-336873-130180-31867-85043-36575-29445-16776606-135060,1669-16754731-9884-5207-3726-7588-88689-16756533-38685-16775143-16750290-86952-4994-7933-16769052,4489-14938-5088-5867-353-10019-20690-17235-5361-73264-8975-15242-2755-11922-16772280,2374-12758-4347-1753-1449-5474-15724-17540-18704-31640-23376-16306-1098-6466-13003,4075-92034-16745944-16055-4054-8992-16754591-16775913-16760309-16760522-16754956-16770240-1543-5302-81130,2039-16745768-8483-6757-2869-6965-16749465-22784-16767877-20135-16750045-28804-3379-3249-9462,2646-16748571-5148-11870-1895-10242-16748229-30587-30019-16759918-10969-16760924-1017-2133-26206,diff,null
752936-111018-151436-193119-1498634-390767-1021607-304116-128948-1238139-16761744-1278106-1858609-882687-1467280,16756523-16751112-24912-16744881-368692-336873-130180-31867-85043-36575-29445-16776606-135060-187087-284222,9884-5207-3726-7588-88689-16756533-38685-16775143-16750290-86952-4994-7933-16769052-9121-26392,5088-5867-353-10019-20690-17235-5361-73264-8975-15242-2755-11922-16772280-29060-16749007,4347-1753-1449-5474-15724-17540-18704-31640-23376-16306-1098-6466-13003-30583-31181,16745944-16055-4054-8992-16754591-16775913-16760309-16760522-16754956-16770240-1543-5302-81130-92406-71988,8483-6757-2869-6965-16749465-22784-16767877-20135-16750045-28804-3379-3249-9462-16754124-19207,5148-11870-1895-10242-16748229-30587-30019-16759918-10969-16760924-1017-2133-26206-28474-13084,diff,null
111018-151436-193119-1498634-390767-1021607-304116-128948-1238139-16761744-1278106-1858609-882687-1467280-1693562,16751112-24912-16744881-368692-336873-130180-31867-85043-36575-29445-16776606-135060-187087-284222-393052,5207-3726-7588-88689-16756533-38685-16775143-16750290-86952-4994-7933-16769052-9121-26392-416760,5867-353-10019-20690-17235-5361-73264-8975-15242-2755-11922-16772280-29060-16749007-131918,1753-1449-5474-15724-17540-18704-31640-23376-16306-1098-6466-13003-30583-31181-68648,16055-4054-8992-16754591-16775913-16760309-16760522-16754956-16770240-1543-5302-81130-92406-71988-38227,6757-2869-6965-16749465-22784-16767877-20135-16750045-28804-3379-3249-9462-16754124-19207-16776103,11870-1895-10242-16748229-30587-30019-16759918-10969-16760924-1017-2133-26206-28474-13084-67498,diff,null
151436-193119-1498634-390767-1021607-304116-128948-1238139-16761744-1278106-1858609-882687-1467280-1693562-1253480,24912-16744881-368692-336873-130180-31867-85043-36575-29445-16776606-135060-187087-284222-393052-52838,3726-7588-88689-16756533-38685-16775143-16750290-86952-4994-7933-16769052-9121-26392-416760-16772292,353-10019-20690-17235-5361-73264-8975-15242-2755-11922-16772280-29060-16749007-131918-26364,1449-5474-15724-17540-18704-31640-23376-16306-1098-6466-13003-30583-31181-68648-9217,4054-8992-16754591-16775913-16760309-16760522-16754956-16770240-1543-5302-81130-92406-71988-38227-21556,2869-6965-16749465-22784-16767877-20135-16750045-28804-3379-3249-9462-16754124-19207-16776103-18887,1895-10242-16748229-30587-30019-16759918-10969-16760924-1017-2133-26206-28474-13084-67498-6675,diff,null
193119-1498634-390767-1021607-304116-128948-1238139-16761744-1278106-1858609-882687-1467280-1693562-1253480-1046690,16744881-368692-336873-130180-31867-85043-36575-29445-16776606-135060-187087-284222-393052-52838-257968,7588-88689-16756533-38685-16775143-16750290-86952-4994-7933-16769052-9121-26392-416760-16772292-136587,10019-20690-17235-5361-73264-8975-15242-2755-11922-16772280-29060-16749007-131918-26364-16762902,5474-15724-17540-18704-31640-23376-16306-1098-6466-13003-30583-31181-68648-9217-16766882,8992-16754591-16775913-16760309-16760522-16754956-16770240-1543-5302-81130-92406-71988-38227-21556-90804,6965-16749465-22784-16767877-20135-16750045-28804-3379-3249-9462-16754124-19207-16776103-18887-91075,10242-16748229-30587-30019-16759918-10969-16760924-1017-2133-26206-28474-13084-67498-6675-16767075,diff,null
1498634-390767-1021607-304116-128948-1238139-16761744-1278106-1858609-882687-1467280-1693562-1253480-1046690-193247,368692-336873-130180-31867-85043-36575-29445-16776606-135060-187087-284222-393052-52838-257968-58928,88689-16756533-38685-16775143-16750290-86952-4994-7933-16769052-9121-26392-416760-16772292-136587-16772420,20690-17235-5361-73264-8975-15242-2755-11922-16772280-29060-16749007-131918-26364-16762902-16758601,15724-17540-18704-31640-23376-16306-1098-6466-13003-30583-31181-68648-9217-16766882-6526,16754591-16775913-16760309-16760522-16754956-16770240-1543-5302-81130-92406-71988-38227-21556-90804-22532,16749465-22784-16767877-20135-16750045-28804-3379-3249-9462-16754124-19207-16776103-18887-91075-8905,16748229-30587-30019-16759918-10969-16760924-1017-2133-26206-28474-13084-67498-6675-16767075-14610,diff,null
