delta_6,theta_6,lowalpha_6,highalpha_6,lowbeta_6,highbeta_6,lowgamma_6,midgamma_6,delta_7,theta_7,lowalpha_7,highalpha_7,lowbeta_7,highbeta_7,lowgamma_7,midgamma_7,state
397203,82848,28604,15002,8566,50092,39345,33412,166851,40488,7012,3069,11579,15844,14109,7421,0
26305,33355,12115,11994,20027,36294,19569,6486,4991,6281,1794,27022,5395,7483,7873,4284,0
619207,39206,12361,19396,19395,46440,18226,27536,9091,12142,21814,10313,30370,43346,13950,30918,0
257029,9976,39269,4716,9180,10096,44774,8615,1303048,220670,14195,31109,8298,15660,12400,16537,1
448257,187993,19655,11120,3872,14113,10146,10115,68996,42401,6855,21289,8652,64822,74301,35183,1
162474,30103,5635,2394,2148,27581,7810,10195,8730,21107,36475,38897,41332,17702,50224,9134,0
854049,242673,106472,11068,27376,29430,24095,20191,1695552,88834,11752,16995,13886,26291,69557,26425,1
671158,45816,3246,7147,9443,35711,16683,12395,228505,17768,3533,10769,5887,6159,6554,5757,1
2058093,446773,30352,18826,57700,74984,43133,49116,2096036,439382,19753,7507,25978,121176,63529,24700,0
23559,18231,9488,10538,27651,15817,22644,9921,100340,369545,39891,29596,37710,36342,14123,15056,1
149039,47003,6936,4234,1190,3521,3392,1616,1279363,41327,41052,83484,13893,40619,26208,12480,0
2274756,539508,163763,27011,29249,119194,98893,75754,2877453,178984,276150,114230,107468,145116,111946,56060,1
993501,84363,84107,50841,28539,114290,19487,37006,6666,8887,50910,11246,32010,31877,29256,21615,0
553985,929054,70038,35794,32312,86371,40620,21765,3013,10115,3795,26207,48137,29606,36854,26600,0
326757,20456,3853,5015,14380,9910,11484,7575,79321,4434,2297,7971,4878,7196,3279,1353,0
1090811,89787,106518,73661,52359,47706,69212,81303,1359074,370847,40776,6417,38693,93404,36085,27323,0
2002,12433,5735,14217,28254,24444,38941,13634,7853,15127,4591,13184,11440,34697,15236,12865,1
615453,70895,11729,7987,9025,19215,11963,7047,162582,5551,873,811,2167,2845,1646,1045,0
2442935,601102,11535,30706,29861,50877,79803,88294,184516,127508,14761,6985,11003,7655,16781,12487,1
63817,12711,9829,8652,8366,19311,4956,7943,628030,9318,3693,7413,2931,5797,3898,1926,1
497478,4338,3126,3309,7530,6843,4264,1769,313682,16215,15643,4700,7970,12661,8863,5509,0
499948,57082,28068,28136,47694,41155,42050,23447,187081,68904,3369,11761,12206,20756,5545,5189,1
707846,61646,8193,28207,8789,18561,12353,8588,605670,127974,40361,20381,55576,37236,53163,36363,0
587235,199255,24390,8770,9500,28237,20254,5097,492770,73384,12545,22250,16609,20233,16711,14064,1
128634,55761,28491,28110,8362,17920,15951,6363,1171948,110247,14100,8516,21320,34772,24113,19745,1
1001912,49114,6400,11899,6938,23504,24449,7351,43330,43423,2930,4336,1345,7165,17357,671,1
4877,4809,7685,17792,17060,16201,18548,5087,79223,29438,1462,7659,14070,10439,7670,3663,1
190839,168106,37244,34707,77839,42601,54582,26644,4916,32253,7885,4904,4970,53457,63204,14489,1
664295,30473,11620,11504,4203,9852,10496,4371,84691,49208,9563,11424,30648,30423,42021,13946,0
102412,30472,17927,15325,19310,37482,39170,23071,70200,8024,5750,11069,8774,24755,7609,8746,1
7239,7896,6544,21908,26125,29079,32731,32502,107211,91016,24410,12018,13638,31665,33262,38990,1
65927,9531,902,2098,5080,5030,5745,4394,666427,104692,21199,25530,4976,12011,3968,6642,0
1526344,278203,22346,8369,24465,37603,38735,9500,4208,6151,8376,14276,16304,21045,22612,26580,0
159239,45627,28481,21125,6393,20183,18783,10719,2447,4326,7989,4601,13623,8775,5554,8112,1
