delta_5,theta_5,lowalpha_5,highalpha_5,lowbeta_5,highbeta_5,lowgamma_5,midgamma_5,delta_6,theta_6,lowalpha_6,highalpha_6,lowbeta_6,highbeta_6,lowgamma_6,midgamma_6,delta_7,theta_7,lowalpha_7,highalpha_7,lowbeta_7,highbeta_7,lowgamma_7,midgamma_7,state
79931,281433,49271,22862,54474,16425,16077,21671,397203,82848,28604,15002,8566,50092,39345,33412,166851,40488,7012,3069,11579,15844,14109,7421,0
63570,9209,4531,6624,23392,6154,9937,3226,26305,33355,12115,11994,20027,36294,19569,6486,4991,6281,1794,27022,5395,7483,7873,4284,0
1516971,191932,125316,60282,40390,93962,58082,48652,619207,39206,12361,19396,19395,46440,18226,27536,9091,12142,21814,10313,30370,43346,13950,30918,0
557155,139383,1165,3258,2336,11172,11031,8322,257029,9976,39269,4716,9180,10096,44774,8615,1303048,220670,14195,31109,8298,15660,12400,16537,1
206314,48231,2126,6184,2160,4217,4096,1915,448257,187993,19655,11120,3872,14113,10146,10115,68996,42401,6855,21289,8652,64822,74301,35183,1
364983,209638,9174,5479,8627,9773,10417,9108,162474,30103,5635,2394,2148,27581,7810,10195,8730,21107,36475,38897,41332,17702,50224,9134,0
329106,63085,999,5545,7076,3727,3578,5831,854049,242673,106472,11068,27376,29430,24095,20191,1695552,88834,11752,16995,13886,26291,69557,26425,1
128805,22008,5121,5160,1162,5016,3921,1297,671158,45816,3246,7147,9443,35711,16683,12395,228505,17768,3533,10769,5887,6159,6554,5757,1
1199373,85431,25966,7600,13124,35585,32380,17062,2058093,446773,30352,18826,57700,74984,43133,49116,2096036,439382,19753,7507,25978,121176,63529,24700,0
116910,94444,80112,10581,20397,17899,20743,17708,23559,18231,9488,10538,27651,15817,22644,9921,100340,369545,39891,29596,37710,36342,14123,15056,1
286962,104958,23797,25736,17042,23822,26190,10903,149039,47003,6936,4234,1190,3521,3392,1616,1279363,41327,41052,83484,13893,40619,26208,12480,0
1677578,414678,146330,97656,38926,157673,117029,70237,2274756,539508,163763,27011,29249,119194,98893,75754,2877453,178984,276150,114230,107468,145116,111946,56060,1
1521903,203736,55951,46575,91465,78646,72660,65916,993501,84363,84107,50841,28539,114290,19487,37006,6666,8887,50910,11246,32010,31877,29256,21615,0
524858,74067,45412,6722,13895,10054,28211,7913,553985,929054,70038,35794,32312,86371,40620,21765,3013,10115,3795,26207,48137,29606,36854,26600,0
3242523,269657,24043,14254,54061,100945,116580,43849,326757,20456,3853,5015,14380,9910,11484,7575,79321,4434,2297,7971,4878,7196,3279,1353,0
2822957,33804,20668,10994,6813,15662,46153,9000,1090811,89787,106518,73661,52359,47706,69212,81303,1359074,370847,40776,6417,38693,93404,36085,27323,0
974643,62410,18664,42533,21607,15813,19035,20108,2002,12433,5735,14217,28254,24444,38941,13634,7853,15127,4591,13184,11440,34697,15236,12865,1
151318,18307,1618,1370,5704,3193,4418,978,615453,70895,11729,7987,9025,19215,11963,7047,162582,5551,873,811,2167,2845,1646,1045,0
713479,220661,27448,56892,83746,73596,33967,43682,2442935,601102,11535,30706,29861,50877,79803,88294,184516,127508,14761,6985,11003,7655,16781,12487,1
120704,15587,1215,2138,5106,14409,8665,2839,63817,12711,9829,8652,8366,19311,4956,7943,628030,9318,3693,7413,2931,5797,3898,1926,1
2241701,692336,70392,39333,65045,96777,76410,47035,497478,4338,3126,3309,7530,6843,4264,1769,313682,16215,15643,4700,7970,12661,8863,5509,0
1074987,41657,7183,10141,20114,21219,35279,12639,499948,57082,28068,28136,47694,41155,42050,23447,187081,68904,3369,11761,12206,20756,5545,5189,1
1820337,532601,166326,11815,113201,42733,34964,26138,707846,61646,8193,28207,8789,18561,12353,8588,605670,127974,40361,20381,55576,37236,53163,36363,0
1145378,123906,10546,6920,10763,22394,25279,7631,587235,199255,24390,8770,9500,28237,20254,5097,492770,73384,12545,22250,16609,20233,16711,14064,1
1281412,281942,36137,14095,11001,29150,18165,11555,128634,55761,28491,28110,8362,17920,15951,6363,1171948,110247,14100,8516,21320,34772,24113,19745,1
84142,26075,7628,882,2184,3728,5059,1807,1001912,49114,6400,11899,6938,23504,24449,7351,43330,43423,2930,4336,1345,7165,17357,671,1
95596,11142,2452,5579,2946,6113,5880,4290,4877,4809,7685,17792,17060,16201,18548,5087,79223,29438,1462,7659,14070,10439,7670,3663,1
761433,189554,22009,21927,17009,10791,17412,18523,190839,168106,37244,34707,77839,42601,54582,26644,4916,32253,7885,4904,4970,53457,63204,14489,1
1286550,230293,13509,31626,58715,65671,47640,27204,664295,30473,11620,11504,4203,9852,10496,4371,84691,49208,9563,11424,30648,30423,42021,13946,0
1369678,647127,85542,22904,22661,57885,98056,50963,102412,30472,17927,15325,19310,37482,39170,23071,70200,8024,5750,11069,8774,24755,7609,8746,1
1290456,80758,22169,9133,29126,49846,30413,26775,7239,7896,6544,21908,26125,29079,32731,32502,107211,91016,24410,12018,13638,31665,33262,38990,1
528815,70004,9943,3718,15738,7017,7907,4463,65927,9531,902,2098,5080,5030,5745,4394,666427,104692,21199,25530,4976,12011,3968,6642,0
1325132,65298,41862,27263,41701,16784,19539,18306,1526344,278203,22346,8369,24465,37603,38735,9500,4208,6151,8376,14276,16304,21045,22612,26580,0
883455,28330,7047,8155,7072,7908,13613,5716,159239,45627,28481,21125,6393,20183,18783,10719,2447,4326,7989,4601,13623,8775,5554,8112,1
606278,2281,2644,2303,2580,5509,4077,2691,72207,67749,2365,8549,33356,68575,33261,19718,1942513,102930,30897,7163,10615,25445,11374,4900,0
200246,97950,36650,3440,4437,10105,3470,2626,1161354,34077,18267,32081,12377,27003,26922,45003,201703,6201,12519,3122,1959,6235,3001,4344,0
64629,74407,42670,15932,12378,22709,13575,16355,21006,37711,18473,18093,25636,26743,15543,28047,3075674,207640,163732,90271,101500,75364,46255,65424,1
253624,39733,5282,5031,3897,3995,1846,1500,116840,22991,5609,19718,3510,6909,4579,5126,50381,142611,25898,5144,26546,13609,7841,8977,1
718724,144453,50129,116609,24642,53028,81014,30752,67843,68564,10226,16770,19356,28333,17454,48413,147381,75699,15903,36924,16138,99315,30246,36587,0
263269,110817,17519,30728,21088,65826,21712,30358,150547,45684,643,5369,6628,37178,42476,8628,382689,76880,12294,10911,36129,25225,62335,19002,0
1120159,45317,16365,8617,6543,9892,7812,12031,16798,20150,8519,4758,44359,27568,31534,28531,1931498,73080,21455,24360,10057,50424,39361,15595,1
