delta_4,theta_4,lowalpha_4,highalpha_4,lowbeta_4,highbeta_4,lowgamma_4,midgamma_4,delta_5,theta_5,lowalpha_5,highalpha_5,lowbeta_5,highbeta_5,lowgamma_5,midgamma_5,state
187307,37562,6651,5173,780,4215,2530,1825,79931,281433,49271,22862,54474,16425,16077,21671,0
1323767,115785,18612,5718,15328,27665,13146,12975,63570,9209,4531,6624,23392,6154,9937,3226,0
453985,293397,24631,80501,56131,49555,28034,33138,1516971,191932,125316,60282,40390,93962,58082,48652,0
6298,4927,4063,13101,8825,56719,20156,18794,557155,139383,1165,3258,2336,11172,11031,8322,1
794706,112182,15448,15370,6805,20351,10308,8387,206314,48231,2126,6184,2160,4217,4096,1915,1
1154053,53431,17638,13137,13500,22276,22183,17310,364983,209638,9174,5479,8627,9773,10417,9108,0
1293589,104177,12026,23281,9175,17341,38577,10909,329106,63085,999,5545,7076,3727,3578,5831,1
1109615,402176,37008,34507,32619,62219,169192,43622,128805,22008,5121,5160,1162,5016,3921,1297,1
81124,45091,1557,1917,3270,14920,3358,4159,1199373,85431,25966,7600,13124,35585,32380,17062,0
1317516,17820,14801,8325,2206,2909,1751,2427,116910,94444,80112,10581,20397,17899,20743,17708,1
1136242,1292544,315067,78663,72248,132322,82378,65010,286962,104958,23797,25736,17042,23822,26190,10903,0
382587,81966,20415,30422,14572,8738,9953,11510,1677578,414678,146330,97656,38926,157673,117029,70237,1
998349,542967,71840,140096,35313,97199,49038,92489,1521903,203736,55951,46575,91465,78646,72660,65916,0
2294070,269643,9732,36211,32713,164231,86897,25657,524858,74067,45412,6722,13895,10054,28211,7913,0
1803354,119259,29127,6641,4641,15295,15283,6615,3242523,269657,24043,14254,54061,100945,116580,43849,0
660862,273811,23739,25795,18162,20143,7427,11304,2822957,33804,20668,10994,6813,15662,46153,9000,0
521329,75422,7598,5489,1380,44128,7779,11202,974643,62410,18664,42533,21607,15813,19035,20108,1
725731,56881,96305,8951,3639,22400,5248,14698,151318,18307,1618,1370,5704,3193,4418,978,0
543300,79642,22188,13762,20962,23686,16446,4974,713479,220661,27448,56892,83746,73596,33967,43682,1
1088618,392634,13134,12792,26068,140008,59207,28601,120704,15587,1215,2138,5106,14409,8665,2839,1
703670,48467,7188,12056,6093,31285,10375,8549,2241701,692336,70392,39333,65045,96777,76410,47035,0
783780,155582,33479,3794,12322,14129,5894,6941,1074987,41657,7183,10141,20114,21219,35279,12639,1
875883,34385,1375,6759,10997,14282,13558,8337,1820337,532601,166326,11815,113201,42733,34964,26138,0
428554,259655,49306,5684,12425,28867,23929,20557,1145378,123906,10546,6920,10763,22394,25279,7631,1
1694483,135230,31312,26756,12560,14049,33060,11239,1281412,281942,36137,14095,11001,29150,18165,11555,1
1676518,158940,105719,93126,10629,83202,58034,65777,84142,26075,7628,882,2184,3728,5059,1807,1
