delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_max,theta_max,lowalpha_max,highalpha_max,lowbeta_max,highbeta_max,lowgamma_max,midgamma_max,delta_min,theta_min,lowalpha_min,highalpha_min,lowbeta_min,highbeta_min,lowgamma_min,midgamma_min,state
1221353,138846,11110,25562,6915,20356,17289,18203,1809850,287068,19702,54576,12669,35713,31897,45226,279623,42737,4345,9552,3855,5004,4525,3658,0
1311627,547558,19183,44260,20511,24643,24270,26216,1963393,1525301,28822,113190,47757,52613,50621,64872,187084,15624,855,1506,1245,524,1046,648,0
1683182,175739,35343,19430,19091,25778,16510,7286,2790611,345941,70831,33082,30809,48255,32920,8978,986205,10235,12900,4104,2218,5337,3136,4877,0
555879,275381,41905,10300,10107,28935,34509,17525,1250602,742810,119369,24837,17492,70491,62475,37448,54063,15290,848,2496,4200,6615,10900,7395,1
807924,124473,14023,9459,8830,7739,5612,6562,1291011,282005,19996,16863,14958,14502,7374,12643,356356,42466,7334,3957,5231,3197,3837,2616,1
500159,96780,4509,15733,18971,24872,16527,11988,952271,224101,8902,37067,49084,51734,39250,22987,61896,12708,2123,4144,3421,3402,2651,2079,0
656062,363663,38537,21946,19411,28918,18739,20859,699624,978877,110390,49604,30843,66073,37685,43695,612498,31399,903,4319,4544,8419,4709,5587,1
809801,244922,23642,29908,12116,53129,32582,20769,1458367,561780,33912,61168,15421,128055,65416,44227,231104,42260,13373,11134,9032,13229,15627,8524,1
1103390,192694,54746,33191,23136,41273,38923,25496,2134069,349591,78934,46526,36625,77625,83568,50886,559310,66898,28143,21177,16302,15218,14427,11214,0
368326,599976,66074,44755,20730,41491,26110,18678,673227,1706168,170035,87642,28274,64871,38999,25711,1483,8715,10656,5668,16412,16614,10071,5660,1
342404,72478,21548,28697,14042,14713,19601,8109,524044,159945,34923,47062,16967,20552,27952,14054,52104,20181,13213,13261,9673,5337,9404,3151,0
832592,102241,29427,22654,19657,23448,16661,6769,1760129,228338,54174,37089,29405,39271,27317,9009,262966,12169,3313,11594,7653,3771,2925,4039,1
301115,88609,16878,19513,9544,11102,7778,4247,784551,200320,33932,48314,24570,16054,8980,6447,47602,31872,8298,1702,1950,2554,6903,3061,0
421116,105166,29553,27991,30250,27131,29799,17968,883452,191483,65796,54717,68205,49327,55020,39715,113977,36787,8319,14576,6123,13705,10437,5850,0
1406843,437743,66732,33289,33290,40025,46936,38269,2629744,738491,134375,67614,40965,66559,60181,62095,455877,131504,21358,4497,24546,11309,25386,17956,0
605338,91257,28516,27607,19500,45817,19276,10672,1255862,155676,35664,43208,32057,61075,27652,16309,32976,55996,19314,8651,13044,30450,4088,6674,0
354529,117913,34965,21112,11728,23590,20551,13310,542840,151299,50851,48165,21347,39036,32080,18955,105705,93354,6414,4656,3893,9075,12638,7173,1
437521,56463,3633,6540,6392,14563,9159,4366,793376,81570,6600,8089,12073,29661,22578,6019,176685,36706,535,5762,2613,4852,1563,3426,0
487877,217139,13222,24044,18278,35642,26693,23801,926355,601465,35281,66220,47781,94233,65917,66110,198727,7738,631,2936,1994,4226,4254,1703,1
792720,115619,77567,29984,22345,32034,51845,20105,985451,180116,173985,37367,32358,52340,110132,23341,656509,79858,24267,21047,12808,14638,20961,17774,1
1007708,228155,32057,26557,26185,35063,67568,25240,1408978,332136,61478,40591,26716,50136,174623,50513,714758,168195,8478,14117,25201,13784,8770,11590,0
1283953,141552,45191,20768,27467,30541,25366,17159,1966329,241280,78627,36080,38364,57637,48039,41908,895264,58991,20153,4062,19261,10992,7881,3439,1
313585,416872,10683,71098,18410,32079,27285,20404,540877,1012263,17184,164213,37060,63039,52803,42176,82854,9598,2865,4045,8169,10034,12600,5285,0
686056,203060,20805,39769,18820,22907,27417,19460,727868,383433,24571,72173,37264,33905,42380,34567,656157,68356,18194,6981,6856,12238,14815,10699,1
1209018,110205,29990,9312,19076,14674,24640,8621,1394249,130784,51289,13246,27067,17227,35440,8964,895868,69539,17909,6870,6216,9595,17155,8267,1
1768137,191910,91454,40091,35819,74274,50335,35089,2626763,424569,150730,52503,43640,80544,63605,49797,1219530,66730,48782,29568,20724,63224,39692,16094,1
488498,60459,13219,9052,8328,24249,25624,12167,1057665,129546,16048,14068,15642,49007,51024,24613,163416,21236,11289,1441,2961,10669,10193,3396,1
1980001,646312,107417,63823,47274,111543,85328,64081,2238859,1115869,250640,111606,72834,160594,103631,84618,1718213,348830,18440,6694,17931,39367,49111,43207,1
