delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_max,theta_max,lowalpha_max,highalpha_max,lowbeta_max,highbeta_max,lowgamma_max,midgamma_max,delta_min,theta_min,lowalpha_min,highalpha_min,lowbeta_min,highbeta_min,lowgamma_min,midgamma_min,state
655108,147207,34177,18347,16176,27088,19843,21200,1809850,287068,121382,54576,54474,57822,39345,45226,79931,37562,4345,5173,780,4215,2530,1825,0
935104,275429,13507,24543,17767,23399,19826,16289,1963393,1525301,28822,113190,47757,52613,50621,64872,26305,9209,855,1506,1245,524,1046,648,0
1392574,193484,68656,42981,33384,65449,37018,26925,2790611,345941,212254,82402,60501,190857,105259,57293,453985,10235,12361,4104,2218,5337,3136,4877,0
498757,142897,25365,8764,8668,24440,27378,13812,1250602,742810,119369,24837,17492,70491,62475,37448,6298,4927,848,2496,2336,6292,10900,7395,1
570298,115587,15395,9695,7984,9968,7722,7227,1291011,282005,28466,16863,16561,20351,12670,12643,119036,42466,2126,3957,2160,3197,3837,1915,1
637720,141226,34304,19585,14680,28565,18147,17142,1282056,405072,194155,68885,49084,65712,39250,47422,61896,12708,2123,2394,2148,3402,2651,2079,0
644728,229222,36995,23092,16169,24626,21945,15642,1293589,978877,110390,55914,30843,66073,38577,43695,68164,31399,903,4319,4544,3727,3578,5587,1
792463,181742,25497,20332,13145,40940,43903,18689,1458367,561780,62178,61168,32619,128055,169192,44227,128805,22008,3246,5160,1162,5016,3921,1297,1
1102336,193005,46352,20816,26750,44520,45730,38195,2134069,446773,102354,46526,57700,77625,124470,120545,81124,45091,1557,1917,3270,14920,3358,4159,0
455533,278677,44389,23952,16423,23932,18144,12494,1317516,1706168,170035,87642,28274,64871,38999,25711,1483,8715,8102,3957,2206,2909,1751,1371,1
609064,315522,69065,37772,23847,41725,36155,32982,1663993,1292544,315067,78663,72248,132322,82378,129020,52104,20181,6936,4234,1190,3521,3392,1616,0
1095976,220953,98142,40032,28104,57812,46813,31123,2274756,539508,268209,97656,55016,157673,117029,75754,262966,12169,3313,11594,7653,3771,2925,4039,1
658422,161426,39558,42809,27134,47830,25545,30020,1521903,542967,84107,140096,91465,114290,72660,92489,47602,31872,8298,1702,1950,2554,6903,1989,0
683511,229585,32058,23480,24347,50654,36311,16107,2294070,929054,70038,54717,68205,164231,86897,39715,113977,18837,8319,1659,763,10054,9057,3510,0
1382256,250766,37767,18310,25072,36204,41059,24881,3242523,738491,134375,67614,54061,100945,116580,62095,82632,20456,3853,2397,2554,7205,3258,1320,0
996315,111160,38860,30881,21568,37584,28656,22178,2822957,273811,106518,73661,52359,61075,69212,81303,32976,33804,19314,8651,6813,15662,4088,6674,0
596746,91834,21379,22386,14705,29769,24513,17921,1615663,151299,50851,48165,28254,53232,44187,40576,2002,12433,5735,4656,1380,9075,7779,7173,1
544753,72349,20630,6026,7168,13480,7348,5715,1008209,190970,96305,8951,12634,29661,22578,14698,151318,18307,535,1370,2613,3193,1563,978,0
896778,255900,35624,30314,30647,59691,36180,37909,2442935,601465,148533,66220,83746,162752,79803,88294,198727,7738,631,2936,1994,4226,4254,1703,1
537913,126451,38981,16796,16081,39530,33302,14614,1088618,392634,173985,37367,32358,140008,110132,28601,63817,12711,1215,2138,5106,6881,4756,2606,1
1151313,307885,34099,24645,28854,45882,52729,27715,2241701,725591,70392,40591,65045,96777,174623,60932,497478,4338,3126,3309,6093,6843,4264,1769,0
905999,106947,29381,15289,23619,24589,23342,14490,1966329,241280,78627,36080,47694,57637,48039,41908,131421,41657,1365,2647,2807,4001,4073,3439,1
676900,274289,29988,37987,29411,25559,23372,17246,1820337,1012263,166326,164213,113201,63039,52803,42176,82854,9598,1375,4045,8169,7100,12353,5285,0
672715,191680,25576,21911,14344,24470,28854,14459,1145378,383433,49306,72173,37264,33905,50269,34567,428554,68356,10546,5684,6856,12238,14815,5097,1
1248818,132780,51532,29298,15005,23440,33351,11282,2010144,281942,174813,108190,27067,58943,92361,23954,128634,55761,17909,6870,6216,9595,15951,6363,1
1337965,122919,60932,33025,19248,49369,35288,27393,2626763,424569,150730,93126,43640,83202,63605,65777,84142,26075,6400,882,2184,3728,5059,1807,1
225914,30488,9339,15088,15348,22391,18872,10064,1057665,129546,16048,33716,53520,49007,51024,24613,4877,3893,2452,1441,2946,6113,5880,3396,1
