delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_max,theta_max,lowalpha_max,highalpha_max,lowbeta_max,highbeta_max,lowgamma_max,midgamma_max,delta_min,theta_min,lowalpha_min,highalpha_min,lowbeta_min,highbeta_min,lowgamma_min,midgamma_min,state
247887,56219,12641,7684,5007,14546,10202,8768,314349,76406,13253,8646,8156,24566,18147,16027,181425,36033,12030,6723,1858,4527,2258,1510,0
1168985,498533,28309,32809,20652,29927,26027,21255,2068615,964680,51752,62976,38007,51117,41047,40663,269356,32386,4867,2642,3297,8738,11007,1848,0
982719,433066,17907,15419,50369,51468,42593,28403,1787586,599301,18236,19712,55332,52627,65709,46728,177852,266832,17579,11127,45406,50310,19478,10079,1
891678,208178,17139,16358,18563,22321,14438,14895,1176062,405301,30746,32685,35403,38830,25948,27140,607295,11055,3532,31,1723,5813,2928,2650,0
831490,75543,33387,17657,7666,12189,6836,10034,1011247,97636,41967,26353,7954,16106,8320,12256,651734,53450,24807,8961,7379,8272,5352,7812,0
914867,352171,21446,21211,15817,18892,50196,36359,1216463,607436,29876,26826,17541,26511,84112,62134,613271,96907,13017,15597,14094,11273,16281,10584,1
774276,142549,38628,7410,22499,27793,32934,32356,814270,163618,42048,11873,36463,41485,57718,48871,734283,121481,35208,2948,8536,14102,8151,15842,0
581063,274474,71760,17130,10881,29627,36304,18645,1037576,457544,104849,25831,17018,48583,53558,29601,124551,91405,38672,8429,4744,10672,19051,7689,1
792250,176288,33078,27612,14593,26422,26613,25575,1099834,182617,59340,35231,20784,34808,43357,46529,484666,169960,6817,19993,8403,18037,9870,4622,1
416642,157050,25812,7025,13574,67902,50835,28574,485514,207940,38139,10193,22015,117711,91007,50164,347770,106160,13485,3857,5133,18094,10663,6984,1
446168,162355,37394,34248,25603,49917,45179,31391,809412,243129,69290,58001,31713,67347,77142,32360,82924,81582,5498,10496,19494,32487,13216,30422,1
1036490,132834,8262,5430,7373,26206,11663,7474,1300102,221610,11790,6155,9814,33248,15979,8938,772879,44059,4734,4705,4932,19165,7347,6011,0
497288,21982,7914,8259,6176,10775,11507,8845,827231,29257,12620,13657,7156,14519,13803,10465,167346,14708,3208,2861,5197,7031,9211,7225,0
409994,35685,9312,19813,19224,24817,12790,20003,751038,40196,15730,33521,25185,37076,21055,30964,68951,31174,2894,6106,13264,12559,4525,9043,0
1440035,98608,24327,17530,17957,45820,40353,22904,1713110,126494,24437,20524,22597,60402,53572,29096,1166960,70722,24218,14537,13318,31238,27134,16713,1
1406180,162894,18657,24505,15250,35091,22794,12275,2696321,233615,24483,46205,24099,51127,37834,19278,116040,92173,12832,2806,6402,19055,7755,5273,0
169880,68565,17059,9490,11862,31123,29865,16888,194336,121812,33310,15996,21813,57793,54775,30678,145425,15318,809,2985,1911,4453,4955,3099,0
457573,109749,23461,33274,10262,42189,15887,20197,587546,198000,29239,65522,17725,79828,30403,39184,327600,21499,17683,1026,2799,4550,1371,1211,1
267178,85861,8275,3494,10304,16871,4713,6064,397201,152275,14693,5047,18994,30594,7516,11094,137155,19448,1857,1941,1615,3149,1911,1035,1
624085,114007,24240,30233,21623,33477,39615,16940,1048629,179256,36689,51161,40744,53319,71902,23054,199541,48759,11791,9306,2503,13636,7329,10827,0
468883,128152,55460,35822,44882,64954,46602,16959,898181,223064,100382,47454,52411,83575,57657,17182,39586,33240,10538,24191,37353,46334,35547,16737,1
1596536,203046,21400,23861,17834,22448,87692,29353,2125721,210270,30397,32148,20937,27415,157191,51020,1067352,195823,12403,15574,14731,17481,18193,7686,1
159827,61353,15655,8765,8297,16093,11401,10087,185588,67018,18465,12071,9804,18291,13434,12368,134066,55688,12846,5460,6790,13895,9368,7807,1
458467,92382,16396,30354,14531,19495,21555,15427,764107,106374,20394,38269,25637,28051,31353,19372,152828,78391,12399,22439,3425,10940,11757,11482,0
540789,180581,36760,23364,40809,25040,30098,9766,735672,253717,53304,42413,73038,30642,54556,10103,345907,107446,20216,4315,8580,19438,5640,9430,0
76681,30956,18854,6649,18966,31547,16797,18792,141139,40833,28684,9496,19114,43971,25964,32704,12223,21079,9024,3803,18819,19123,7631,4881,0
