delta,midgamma,lowgamma,theta,highalpha,lowalpha,highbeta,lowbeta,state
149231-1081548-72231-336619-204205-130383-2791-9427,10932-289913-69179-92226-94612-42659-5114-15219,1832-8966-6915-8857-18242-5359-22245-4345,2417-48161-985-10418-13922-15987-22566-10441,3938-26210-14675-12816-20209-3378-8079-11219,13894-67396-9663-9993-18876-16262-8571-14890,6383-67119-11666-9711-15926-8609-4631-14628,4381-31989-3409-7122-10339-12068-11716-4593,easy
1081548-72231-336619-204205-130383-2791-9427-2561,289913-69179-92226-94612-42659-5114-15219-4345,8966-6915-8857-18242-5359-22245-4345-6758,48161-985-10418-13922-15987-22566-10441-33484,26210-14675-12816-20209-3378-8079-11219-15600,67396-9663-9993-18876-16262-8571-14890-24213,67119-11666-9711-15926-8609-4631-14628-10685,31989-3409-7122-10339-12068-11716-4593-6227,easy
72231-336619-204205-130383-2791-9427-2561-21794,69179-92226-94612-42659-5114-15219-4345-15293,6915-8857-18242-5359-22245-4345-6758-941,985-10418-13922-15987-22566-10441-33484-6242,14675-12816-20209-3378-8079-11219-15600-2132,9663-9993-18876-16262-8571-14890-24213-14589,11666-9711-15926-8609-4631-14628-10685-6432,3409-7122-10339-12068-11716-4593-6227-6352,easy
336619-204205-130383-2791-9427-2561-21794-99306,92226-94612-42659-5114-15219-4345-15293-29004,8857-18242-5359-22245-4345-6758-941-13012,10418-13922-15987-22566-10441-33484-6242-1121,12816-20209-3378-8079-11219-15600-2132-5651,9993-18876-16262-8571-14890-24213-14589-4262,9711-15926-8609-4631-14628-10685-6432-832,7122-10339-12068-11716-4593-6227-6352-1755,easy
204205-130383-2791-9427-2561-21794-99306-11802,94612-42659-5114-15219-4345-15293-29004-40843,18242-5359-22245-4345-6758-941-13012-12478,13922-15987-22566-10441-33484-6242-1121-10876,20209-3378-8079-11219-15600-2132-5651-6774,18876-16262-8571-14890-24213-14589-4262-11575,15926-8609-4631-14628-10685-6432-832-8512,10339-12068-11716-4593-6227-6352-1755-5441,easy
130383-2791-9427-2561-21794-99306-11802-6889,42659-5114-15219-4345-15293-29004-40843-10204,5359-22245-4345-6758-941-13012-12478-6279,15987-22566-10441-33484-6242-1121-10876-10833,3378-8079-11219-15600-2132-5651-6774-15557,16262-8571-14890-24213-14589-4262-11575-22808,8609-4631-14628-10685-6432-832-8512-7075,12068-11716-4593-6227-6352-1755-5441-9643,easy
2791-9427-2561-21794-99306-11802-6889-9563,5114-15219-4345-15293-29004-40843-10204-46430,22245-4345-6758-941-13012-12478-6279-6610,22566-10441-33484-6242-1121-10876-10833-8797,8079-11219-15600-2132-5651-6774-15557-21720,8571-14890-24213-14589-4262-11575-22808-20550,4631-14628-10685-6432-832-8512-7075-9283,11716-4593-6227-6352-1755-5441-9643-5306,easy
9427-2561-21794-99306-11802-6889-9563-8746,15219-4345-15293-29004-40843-10204-46430-17316,4345-6758-941-13012-12478-6279-6610-1122,10441-33484-6242-1121-10876-10833-8797-2631,11219-15600-2132-5651-6774-15557-21720-7633,14890-24213-14589-4262-11575-22808-20550-4325,14628-10685-6432-832-8512-7075-9283-7337,4593-6227-6352-1755-5441-9643-5306-4245,easy
2561-21794-99306-11802-6889-9563-8746-6689,4345-15293-29004-40843-10204-46430-17316-4057,6758-941-13012-12478-6279-6610-1122-10982,33484-6242-1121-10876-10833-8797-2631-8778,15600-2132-5651-6774-15557-21720-7633-10057,24213-14589-4262-11575-22808-20550-4325-5754,10685-6432-832-8512-7075-9283-7337-5787,6227-6352-1755-5441-9643-5306-4245-3582,easy
21794-99306-11802-6889-9563-8746-6689-22498,15293-29004-40843-10204-46430-17316-4057-6108,941-13012-12478-6279-6610-1122-10982-20919,6242-1121-10876-10833-8797-2631-8778-20467,2132-5651-6774-15557-21720-7633-10057-10224,14589-4262-11575-22808-20550-4325-5754-10463,6432-832-8512-7075-9283-7337-5787-6793,6352-1755-5441-9643-5306-4245-3582-9031,easy
99306-11802-6889-9563-8746-6689-22498-27399,29004-40843-10204-46430-17316-4057-6108-47338,13012-12478-6279-6610-1122-10982-20919-22305,1121-10876-10833-8797-2631-8778-20467-5733,5651-6774-15557-21720-7633-10057-10224-13089,4262-11575-22808-20550-4325-5754-10463-6006,832-8512-7075-9283-7337-5787-6793-10980,1755-5441-9643-5306-4245-3582-9031-8235,easy
11802-6889-9563-8746-6689-22498-27399-18431,40843-10204-46430-17316-4057-6108-47338-21385,12478-6279-6610-1122-10982-20919-22305-4167,10876-10833-8797-2631-8778-20467-5733-4596,6774-15557-21720-7633-10057-10224-13089-6565,11575-22808-20550-4325-5754-10463-6006-6662,8512-7075-9283-7337-5787-6793-10980-6411,5441-9643-5306-4245-3582-9031-8235-8603,easy
6889-9563-8746-6689-22498-27399-18431-175779,10204-46430-17316-4057-6108-47338-21385-16627,6279-6610-1122-10982-20919-22305-4167-17248,10833-8797-2631-8778-20467-5733-4596-2470,15557-21720-7633-10057-10224-13089-6565-1109,22808-20550-4325-5754-10463-6006-6662-1280,7075-9283-7337-5787-6793-10980-6411-2627,9643-5306-4245-3582-9031-8235-8603-1529,easy
9563-8746-6689-22498-27399-18431-175779-14067,46430-17316-4057-6108-47338-21385-16627-8609,6610-1122-10982-20919-22305-4167-17248-1267,8797-2631-8778-20467-5733-4596-2470-654,21720-7633-10057-10224-13089-6565-1109-1968,20550-4325-5754-10463-6006-6662-1280-2695,9283-7337-5787-6793-10980-6411-2627-666,5306-4245-3582-9031-8235-8603-1529-1285,easy
8746-6689-22498-27399-18431-175779-14067-12955,17316-4057-6108-47338-21385-16627-8609-27919,1122-10982-20919-22305-4167-17248-1267-8943,2631-8778-20467-5733-4596-2470-654-17545,7633-10057-10224-13089-6565-1109-1968-2999,4325-5754-10463-6006-6662-1280-2695-6956,7337-5787-6793-10980-6411-2627-666-5559,4245-3582-9031-8235-8603-1529-1285-2602,easy
6689-22498-27399-18431-175779-14067-12955-12704,4057-6108-47338-21385-16627-8609-27919-5674,10982-20919-22305-4167-17248-1267-8943-2355,8778-20467-5733-4596-2470-654-17545-6564,10057-10224-13089-6565-1109-1968-2999-9667,5754-10463-6006-6662-1280-2695-6956-26449,5787-6793-10980-6411-2627-666-5559-7347,3582-9031-8235-8603-1529-1285-2602-2839,easy
22498-27399-18431-175779-14067-12955-12704-20556,6108-47338-21385-16627-8609-27919-5674-15387,20919-22305-4167-17248-1267-8943-2355-18858,20467-5733-4596-2470-654-17545-6564-6228,10224-13089-6565-1109-1968-2999-9667-5987,10463-6006-6662-1280-2695-6956-26449-13216,6793-10980-6411-2627-666-5559-7347-6367,9031-8235-8603-1529-1285-2602-2839-11017,easy
27399-18431-175779-14067-12955-12704-20556-9007,47338-21385-16627-8609-27919-5674-15387-10366,22305-4167-17248-1267-8943-2355-18858-8613,5733-4596-2470-654-17545-6564-6228-6851,13089-6565-1109-1968-2999-9667-5987-3903,6006-6662-1280-2695-6956-26449-13216-19409,10980-6411-2627-666-5559-7347-6367-8841,8235-8603-1529-1285-2602-2839-11017-7125,easy
18431-175779-14067-12955-12704-20556-9007-1013605,21385-16627-8609-27919-5674-15387-10366-988097,4167-17248-1267-8943-2355-18858-8613-12627,4596-2470-654-17545-6564-6228-6851-12184,6565-1109-1968-2999-9667-5987-3903-99732,6662-1280-2695-6956-26449-13216-19409-13718,6411-2627-666-5559-7347-6367-8841-9796,8603-1529-1285-2602-2839-11017-7125-3447,easy
175779-14067-12955-12704-20556-9007-1013605-285380,16627-8609-27919-5674-15387-10366-988097-34729,17248-1267-8943-2355-18858-8613-12627-7649,2470-654-17545-6564-6228-6851-12184-4577,1109-1968-2999-9667-5987-3903-99732-5073,1280-2695-6956-26449-13216-19409-13718-1833,2627-666-5559-7347-6367-8841-9796-1066,1529-1285-2602-2839-11017-7125-3447-565,easy
14067-12955-12704-20556-9007-1013605-285380-6623,8609-27919-5674-15387-10366-988097-34729-11857,1267-8943-2355-18858-8613-12627-7649-6140,654-17545-6564-6228-6851-12184-4577-7493,1968-2999-9667-5987-3903-99732-5073-12028,2695-6956-26449-13216-19409-13718-1833-17368,666-5559-7347-6367-8841-9796-1066-4944,1285-2602-2839-11017-7125-3447-565-14041,easy
12955-12704-20556-9007-1013605-285380-6623-9295,27919-5674-15387-10366-988097-34729-11857-22225,8943-2355-18858-8613-12627-7649-6140-2333,17545-6564-6228-6851-12184-4577-7493-10093,2999-9667-5987-3903-99732-5073-12028-2904,6956-26449-13216-19409-13718-1833-17368-23070,5559-7347-6367-8841-9796-1066-4944-8696,2602-2839-11017-7125-3447-565-14041-2999,easy
