delta_2,theta_2,lowalpha_2,highalpha_2,lowbeta_2,highbeta_2,lowgamma_2,midgamma_2,delta_3,theta_3,lowalpha_3,highalpha_3,lowbeta_3,highbeta_3,lowgamma_3,midgamma_3,state
1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
11,9,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
7,1,0,0,0,0,0,0,13,1,1,0,0,1,0,0,0
2,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,0,0,0,0,0,0,0,8,2,1,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1
13,2,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0
4,10,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1
3,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0
5,3,0,0,0,0,0,0,6,1,0,0,0,1,0,0,1
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,1,0,0,0,0,0,0,9,4,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,6,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0
4,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1
8,0,0,0,0,0,0,0,12,0,1,0,0,0,0,0,1
7,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,2,0,0,0,1,0,0,6,1,0,0,0,0,0,0,1
8,1,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0
7,3,0,0,0,0,0,0,4,1,0,0,0,0,0,0,1
5,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,1
2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,3,0,1,0,0,1,0,9,1,0,0,0,0,0,0,1
2,2,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,17,1,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1
10,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1
3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1
3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
8,1,0,0,0,0,0,0,5,3,0,0,0,0,0,0,1
3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
