delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_max,theta_max,lowalpha_max,highalpha_max,lowbeta_max,highbeta_max,lowgamma_max,midgamma_max,delta_min,theta_min,lowalpha_min,highalpha_min,lowbeta_min,highbeta_min,lowgamma_min,midgamma_min,state
821724,133234,32273,18113,10038,24621,16696,18663,1809850,287068,121382,54576,28665,57822,31897,45226,187307,37562,4345,5173,780,4215,2530,1825,0
1291171,377088,15580,30637,16191,24269,21855,20862,1963393,1525301,28822,113190,47757,52613,50621,64872,187084,15624,855,1506,1245,524,1046,648,0
1522368,224651,68583,44238,34781,63549,36564,22458,2790611,345941,212254,82402,60501,190857,105259,57293,453985,10235,12900,4104,2218,5337,3136,4877,0
535423,170184,27425,10675,9832,29963,27169,15949,1250602,742810,119369,24837,17492,70491,62475,37448,6298,4927,848,2496,4200,6292,10900,7395,1
667503,114577,17196,10112,9971,10289,7962,7712,1291011,282005,28466,16863,16561,20351,12670,12643,119036,42466,7334,3957,5231,3197,3837,2616,1
787317,149768,45064,25844,18397,32521,21761,20139,1282056,405072,194155,68885,49084,65712,39250,47422,61896,12708,2123,4144,3421,3402,2651,2079,0
665988,259759,30299,29007,15746,27846,25188,16695,1293589,978877,110390,55914,30843,66073,38577,43695,68164,31399,903,4319,4544,8419,4709,5587,1
949456,240874,34022,26003,16283,49171,57343,23427,1458367,561780,62178,61168,32619,128055,169192,44227,231104,42260,13373,5786,9032,13229,15627,8524,1
891777,163766,53630,23857,23286,40215,48919,40238,2134069,349591,102354,46526,43754,77625,124470,120545,81124,45091,1557,1917,3270,14920,3358,4159,0
609652,367612,44225,29309,13382,26761,16725,11966,1317516,1706168,170035,87642,28274,64871,38999,25711,1483,8715,8102,3957,2206,2909,1751,1371,1
765489,411339,90545,46887,29739,52946,44701,43671,1663993,1292544,315067,78663,72248,132322,82378,129020,52104,20181,13213,13261,9673,5337,9404,3151,0
743899,118498,75381,31112,25711,25563,22354,14374,1760129,228338,268209,57176,55016,48734,51832,40056,262966,12169,3313,11594,7653,3771,2925,4039,1
418710,168376,27370,40450,13987,28375,17333,21444,998349,542967,71840,140096,35313,97199,49038,92489,47602,31872,8298,1702,1950,2554,6903,1989,0
741147,120795,21792,24369,24845,51631,37070,16614,2294070,269643,65796,54717,68205,164231,86897,39715,113977,18837,8319,1659,763,12530,9057,3510,0
1221303,293051,47295,21781,21413,28515,31870,24548,2629744,738491,134375,67614,40965,66559,60181,62095,82632,32766,7153,2397,2554,7205,3258,1320,0
612088,130906,28966,26303,18361,39945,17046,12989,1255862,273811,35664,43208,32057,61075,27652,21623,32976,55996,19314,8651,13044,20143,4088,6674,0
640115,113600,25052,19990,10615,33626,22723,18341,1615663,151299,50851,48165,21347,53232,44187,40576,105705,75422,6414,4656,1380,9075,7779,7173,1
609300,83448,26213,6566,7090,14391,7011,6397,1008209,190970,96305,8951,12634,29661,22578,14698,176685,36706,535,4259,2613,4852,1563,3426,0
624206,193907,42077,24921,20185,58672,27898,26678,1114101,601465,148533,66220,47781,162752,65917,66110,198727,7738,631,2936,1994,4226,4254,1703,1
716174,171371,52364,21356,19819,48598,43899,18304,1088618,392634,173985,37367,32358,140008,110132,28601,114095,79858,13134,4038,5992,6881,4756,2606,1
1064003,291704,33035,25975,25881,43511,57687,29040,1593224,725591,61820,40591,44755,81080,174623,60932,703670,48467,7188,12056,6093,13784,8770,8549,0
953412,129978,34083,13749,19506,21950,17213,13069,1966329,241280,78627,36080,38364,57637,48039,41908,131421,58991,1365,2647,2807,4001,4073,3439,1
442024,265156,7080,45178,16778,23523,23258,17200,875883,1012263,17184,164213,37060,63039,52803,42176,82854,9598,1375,4045,8169,7100,12600,5285,0
595279,203720,28819,27538,16030,24132,31289,17697,727868,383433,49306,72173,37264,33905,50269,34567,428554,68356,18194,5684,6856,12238,14815,9550,1
1466336,118351,59219,32576,17135,23403,39868,12211,2010144,135230,174813,108190,27067,58943,92361,23954,895868,69539,17909,6870,6216,9595,17155,8267,1
1655940,157049,82499,43679,25123,63670,43502,36518,2626763,424569,150730,93126,43640,83202,63605,65777,1219530,50577,32415,4995,7532,12327,8472,11549,1
296186,39493,11047,16450,17487,26885,21536,12214,1057665,129546,16048,33716,53520,49007,51024,24613,5728,3893,6626,1441,2961,10669,10193,3396,1
1897305,437980,75176,47842,39977,73083,60755,42098,2469685,1115869,250640,111606,72834,160594,103631,84618,1076836,30085,17146,6694,17931,12239,19252,6608,1
693675,170061,40045,8831,10776,42658,51368,11177,1345709,306117,129458,16530,27117,172024,223182,40234,50643,65363,7149,2012,1376,4710,1909,1572,0
1269674,274018,35652,47355,36992,58217,58393,27094,2145151,576448,77099,124299,56650,104542,115855,42313,697753,71796,3462,15928,12382,27769,7002,9530,1
446938,126796,14872,16590,12961,25371,21811,12007,951488,224874,21028,33265,21290,62550,48037,19636,125229,72316,1685,4760,2124,5671,5619,4949,1
1051205,147803,14076,16340,19037,18250,20981,12882,2624744,521283,37131,33038,67197,44512,23842,35813,384105,42850,4720,3982,2835,7768,17176,2229,0
441879,95174,19625,13131,16002,17069,13622,8521,1706517,387595,82294,50924,58136,34913,31513,17791,10917,6309,2176,668,1639,3588,2016,1520,0
1287059,301126,66101,77265,22473,53209,100513,38646,2532675,560002,154490,182795,43958,84831,222314,89549,230455,33100,5322,13363,2493,22111,8902,9798,1
966490,183290,36471,25833,30219,51730,22758,22342,1642678,466282,69390,68402,89877,119598,36540,50235,360518,52806,19407,4255,3937,11855,7723,6729,0
758587,116662,27740,18943,19482,22323,22105,14071,2855119,184055,48654,32122,46073,37954,66340,33264,29043,38048,11201,8564,3480,7621,5112,8631,0
689180,102750,16924,17479,18411,25349,18360,14075,1576177,259827,58567,45576,35160,44627,29160,31556,44059,27523,460,564,5732,8504,3787,5802,1
1520198,345235,121731,43896,36812,52054,87004,51063,2317883,664392,269730,95374,53563,103274,181060,128016,531815,58220,7138,7459,5158,24280,7025,17779,1
836920,184672,10156,37873,20203,28661,25379,16553,1572672,640166,18150,144144,50832,87058,78632,54448,389903,23514,2925,4081,7186,4909,8173,4106,0
548336,81038,8197,18166,7426,12739,9533,9282,1302064,151284,13716,38269,11364,20489,17650,16254,76536,11955,2501,2648,2858,3873,3749,3155,0
803907,193208,30997,17931,22579,39914,23914,21164,1232644,700420,49817,62579,35160,80262,73947,38457,7903,25853,10423,2262,5207,5969,1739,1901,1
305158,84636,21882,19549,10501,19058,16207,11417,541071,236615,70747,70105,24408,34238,29271,18432,115287,13468,3599,2038,1218,4472,3234,2107,0
417608,59932,9330,16693,16993,26281,23325,11630,1692107,213399,15642,20001,30206,38281,45924,25393,6886,4132,7223,12985,7550,5228,5626,3002,1
792918,234709,57071,24255,13634,25409,37943,28818,1026795,913524,239085,68221,28337,84669,124932,111195,316306,26522,1752,3924,900,3684,5173,1998,0
405388,60795,27609,11999,10613,26418,20206,13153,896913,191870,87166,31515,29311,47665,44275,27029,150695,16563,3809,3357,2761,2127,1493,841,1
686187,214157,20032,27263,26285,33166,31496,25933,1398580,582886,51524,65047,39948,96112,60427,61167,187096,33881,3570,15760,7655,12167,12098,6579,1
752760,184421,16178,16405,7744,19082,14646,11052,1070817,502757,41673,54689,11296,41478,22917,17332,586423,15643,4463,1109,2995,10829,7131,2459,0
807764,128078,13176,10146,9865,15567,11522,10734,1714073,361178,30911,20890,15908,23013,21670,16502,162716,24945,4236,1870,2666,4747,3716,2628,0
546144,198006,50672,14791,10152,25215,26105,21641,1225580,765145,148297,33167,36790,48723,55419,53078,1443,5451,3933,2194,1460,2973,1992,2259,1
261977,90850,14574,14117,24788,28456,24997,12978,608614,159718,20604,22801,40520,43676,61643,20275,7516,13502,4034,3332,4730,8578,9612,9045,0
725047,96090,14282,19444,17930,35436,24631,14948,1266345,124447,28398,65528,39632,80210,48592,31292,90779,48542,2358,3683,5895,10391,8385,5901,0
822530,61090,26267,10698,9435,16635,13667,10373,1627457,140970,61769,18240,16886,42060,25015,20463,244350,24851,8962,2319,2960,5584,2199,1705,0
470409,159024,13123,29574,16434,36835,48289,14763,772777,377108,23698,104349,34133,56457,135055,29506,180905,62047,3546,3429,8481,11478,6748,5783,0
923684,105434,15563,12328,19283,34388,22728,10908,1870505,169980,20792,24573,40216,85348,39078,27508,234468,11092,7973,5507,7680,6557,10626,4413,1
813350,111128,49369,20021,27918,40251,40102,20953,1721916,343799,147814,26661,71433,65848,56224,35634,522160,21515,3741,18037,9475,9709,16534,12535,0
1083860,384764,107990,25474,35699,41290,53306,55802,1713407,1152291,312474,73235,70779,91721,124654,156165,672563,68582,41826,3758,7494,8495,17231,16571,1
763353,137486,27189,76071,39514,21427,25849,22082,1695007,255950,43549,278967,107762,31378,43835,35059,212629,38342,2842,4948,5769,11236,3621,5734,0
521633,70847,40807,31949,32052,31943,40872,28018,937294,117921,99107,72632,74578,64168,72674,59394,40619,8565,5676,8923,4190,6800,7208,4393,0
641927,115839,27902,30102,26628,32752,47940,20959,1558514,237026,64762,96573,45980,66659,105868,45244,8051,5655,8563,2941,10862,14827,12846,4360,1
532277,120167,10863,23016,11114,28615,19023,13406,1294793,249068,26377,70901,17375,74577,37088,41897,153876,56130,3498,8738,4732,7927,7096,3898,1
1068057,150155,61237,17759,13295,24851,13603,12478,1754671,268563,101155,26690,29505,46291,28195,22732,131135,46554,11016,9765,4935,4245,4630,3913,1
149713,38727,11166,5525,7643,8899,12730,6368,295555,101756,22459,14582,14381,16804,36640,18103,5648,12925,1420,810,2640,1045,1137,761,0
163095,47754,9217,10490,10016,19098,24797,15977,635651,115266,20699,24695,16325,36443,66758,31029,14987,20919,2103,1748,2691,8116,5145,5237,0
514644,122129,17908,12896,23881,16649,16787,13749,1545763,430844,29342,28345,47235,36755,44496,31805,11177,7117,7151,2988,3076,2006,2557,1680,1
596074,162633,59779,23119,22199,38033,38488,20944,995915,324862,182228,50663,52134,59194,63313,48557,101782,38716,4364,5350,5899,6221,9591,5888,1
589953,477799,46071,37892,19003,39281,22771,12533,1291287,1807282,88208,105340,40071,57455,31775,20749,25695,14687,3670,16942,6237,8498,10153,4646,0
122061,24679,11234,12537,16921,11884,9994,6422,263890,46742,34376,30833,45775,21991,25235,12897,7980,6887,3177,2294,2934,2210,844,1115,0
112267,27827,7479,8351,12465,12368,10460,9528,306764,50326,18690,14679,33216,28066,22552,17312,5159,11381,2842,5022,1313,5170,2066,2402,0
836525,162661,50009,12800,25647,17842,14928,18471,1336434,312981,160620,22397,42020,28816,26988,61549,210856,8644,663,705,447,2229,2303,1334,0
