delta_c0,theta_c0,lowalpha_c0,highalpha_c0,lowbeta_c0,highbeta_c0,lowgamma_c0,midgamma_c0,delta_c1,theta_c1,lowalpha_c1,highalpha_c1,lowbeta_c1,highbeta_c1,lowgamma_c1,midgamma_c1,delta_c2,theta_c2,lowalpha_c2,highalpha_c2,lowbeta_c2,highbeta_c2,lowgamma_c2,midgamma_c2,state
-548898,-321377,-31290,-50125,-12787,-7824,-5851,-4414,548899,321378,31291,50126,12788,7824,5851,4415,-1797228,-336884,-104714,-73444,-40981,-12713,-12088,-6112,easy
39077,-9676,1114,2238,-2061,-1371,-1260,-25,-39077,9677,-1114,-2238,2061,1372,1261,25,585756,187663,89271,19240,8206,1431,3477,1143,difficult
-496694,-177861,-26318,-72952,-57613,-14954,-13760,-12592,496694,177861,26318,72953,57613,14955,13760,12593,-432258,-251939,-134264,-85413,-64402,-28898,-40872,-16898,easy
-176549,-132394,-13406,-21645,-2604,-7891,-2584,-1225,176549,132394,13407,21645,2605,7892,2584,1225,-171602,-139912,-9619,-5620,-2766,-6758,-1739,-1006,difficult
-470718,-11930,8357,-27561,-1931,-3646,167,-954,470718,11931,-8356,27561,1932,3646,-166,954,-392788,-78656,-55840,-23761,-824,-8565,-2049,-2226,easy
54588,72713,-4070,-4967,11653,435,-1633,-1355,-54588,-72713,4071,4968,-11652,-434,1634,1356,590551,1177555,136088,64010,23483,23951,15813,26325,easy
-157137,16279,-9990,-13075,-21444,-11105,-10040,-5437,157137,-16279,9990,13076,21445,11106,10040,5438,125014,-91071,-20816,-13471,-17981,-11297,-11368,-5306,easy
-545496,-230127,-110901,-27430,-10391,-19197,-7857,-4404,545496,230127,110902,27431,10392,19198,7857,4405,-518013,371716,-114032,-28578,-372,-11499,-5446,-4621,difficult
556626,217625,36231,12102,14989,16384,8159,6234,-556626,-217625,-36231,-12102,-14989,-16383,-8158,-6233,45394,-277604,-14939,-7271,-14995,-14422,-7312,-5598,easy
-38485,-18330,13135,-3927,5053,3554,7771,7063,38486,18331,-13135,3927,-5053,-3554,-7771,-7063,541624,317971,-28376,5790,11872,5864,9358,-4604,easy
-79352,-46695,-31610,-5293,-1032,-6334,-967,-1300,79352,46695,31610,5294,1032,6334,967,1301,186027,-36622,-29487,-5499,-1507,-8806,-758,-2043,easy
-387064,-9868,-2475,-2719,-1757,-127,-1497,-8,387065,9868,2475,2719,1758,128,1498,8,-114246,60207,2732,-2001,-2714,2926,-1178,1347,easy
-339316,-400743,-68876,-44364,-43287,-2483,769,430,339317,400743,68876,44364,43288,2484,-768,-430,-783580,-519987,-84234,-50079,-71165,-35717,-4539,-7800,easy
612429,311713,12616,47175,31350,12807,-84,3136,-612429,-311712,-12616,-47174,-31349,-12806,85,-3136,-270443,-410594,-71859,-41151,-46974,-35752,-17387,-14658,difficult
-614900,9696,-4525,1959,-2272,-1310,1826,672,614901,-9695,4526,-1958,2272,1310,-1826,-672,-1053200,-16407,-32572,5683,502,6446,1183,722,difficult
