delta_c1,theta_c1,lowalpha_c1,highalpha_c1,lowbeta_c1,highbeta_c1,lowgamma_c1,midgamma_c1,delta_c2,theta_c2,lowalpha_c2,highalpha_c2,lowbeta_c2,highbeta_c2,lowgamma_c2,midgamma_c2,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,state
499994,19419,1426,4503,4351,1106,1189,797,-328348,99004,13857,3709,-1000,1216,2149,-580,1943110,-7528,-1102,1008,-161,4707,2564,712,-587823,-33525,-3148,-1630,-4116,4116,12132,2446,-574478,17400,-2319,-3971,-6288,-2639,-786,-590,-416144,70040,33488,7773,8698,5567,5679,9751,1
36794,636,11962,-4686,3634,-5084,3756,2768,-67557,4854,-4296,27453,-18231,-11576,3362,-4361,-70298,-2599,-5950,90003,-19188,-9234,9773,-4200,-70848,-5042,-14493,31348,-20380,-12152,-3188,-7421,-8295,19480,-6200,-28095,-21329,-14900,-4227,-7959,2303016,248701,77845,-12516,7522,675,4237,3418,0
-168399,-579,-158,6033,-1769,980,470,-152,1051019,96611,34610,34580,4900,17845,12676,19219,-271563,-11762,33270,18572,38956,18356,2899,12136,-267892,-1297,29475,19512,-1997,10873,2565,7151,-265715,6775,12131,26350,5341,10117,5015,-1111,-66680,7933,21810,7549,-3318,6472,4318,2524,1
437296,6894,1600,-1438,472,160,622,537,-424767,-12500,27754,75768,13736,39491,10478,1918,-467350,2018,49572,58040,28483,14204,10792,5630,-463830,-13462,3884,37428,10068,13070,9182,3302,-418579,24399,22122,30415,10980,5636,6073,2571,-406618,33950,7180,15078,13056,1470,1553,340,0
999109,16583,-2806,1663,24163,10814,445,1082,-890377,86562,-8163,49387,-16647,-4249,1,2162,-650905,3082,-7847,-5201,-23517,-12289,-3373,-2184,-1045695,-41741,-8312,-5356,-24734,-11603,-4109,-2148,-1073849,-37536,-10807,-6555,-24797,-12744,-3484,-2693,-821983,-2097,-8010,-40,-24531,-12711,-3470,-2456,1
50558,-2526,-4591,2238,-1034,-344,-472,-430,534346,-15924,-4777,2003,-1950,-1761,-1727,-549,222312,36757,-4863,-4746,-1973,-1114,-1389,28,-73096,-18641,-6798,-5079,-924,-1341,-2197,-302,-86082,-15288,-6204,-2417,-461,9034,2289,3178,9584,36466,774,-1998,-420,97,-1692,-315,0
-399809,8881,-10114,-12026,-1897,2950,-4884,-464,-634025,-52526,-14161,3670,-2347,-4134,-3908,2307,-631876,-30223,21582,144854,-18,-2143,-2713,-1338,-638164,-50054,3790,28102,-570,-2305,885,-751,-634801,-48344,1229,20631,-3296,-2200,-3591,723,-633378,-48395,-11092,19982,3704,15312,-3519,-1646,0
132556,50746,9402,5313,683,642,-2341,4478,-137512,-41732,-370,14107,6475,-598,-4013,-6482,-132566,-48871,-10398,61932,4007,2897,-3457,-5788,-135905,-55731,218,21611,3659,-5977,-1714,-3662,-137571,-41289,9668,63453,2711,2203,-3118,-5458,-126304,-55891,455,22415,1437,-3287,-322,-5372,1
-137595,8521,4072,5831,4052,4302,7,-1894,-969645,-87593,-14986,-3145,-29468,-11762,-10626,-11874,-1456427,-92298,-7318,37166,5958,-5475,-4949,-5889,-1470192,-99628,-18452,-5769,-26800,-12347,-8161,-12222,-1436926,17657,12061,26363,-26592,-16209,-8682,-10957,-1453957,-100769,-20537,-22673,-33983,-16083,-11112,-13177,0
190449,5575,6791,18336,5808,4861,5149,5299,342059,-2942,-10674,6311,6292,2473,6873,1111,1219916,415265,6452,1605,13930,24832,14549,15353,-367964,-44712,-11152,-18702,-7671,-7647,-5255,-5424,-369967,-32824,-11443,-17820,-3540,228,-1143,-1549,-303797,-3982,-8790,-21835,-7662,-8257,-5333,-5709,1
