delta_c1,theta_c1,lowalpha_c1,highalpha_c1,lowbeta_c1,highbeta_c1,lowgamma_c1,midgamma_c1,delta_c2,theta_c2,lowalpha_c2,highalpha_c2,lowbeta_c2,highbeta_c2,lowgamma_c2,midgamma_c2,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,state
-60933,-22460,-3171,18909,3115,2521,548,2597,-61433,-10143,1970,-751,18642,5607,2318,-1494,-62622,-20888,2845,-7463,-198,5612,1428,480,-65021,-11749,5424,59849,-2170,4322,2521,-1117,-65247,-11930,-3332,5904,3706,10974,2639,-1479,-66745,-17737,-1600,21340,-48,1317,395,-1580,1
5159,-1965,-2270,-311,-1518,-1138,-1259,-30,-59365,-20150,-2130,5675,3397,7806,6697,-246,-43128,-23714,-292,48220,6478,8027,-432,836,-57215,-24424,16003,45030,4548,6441,1151,1207,-61534,-18649,16249,59349,4752,3988,893,1725,-55402,-25873,2054,8877,2314,4704,691,1238,0
-1828,-4190,5811,15145,-1190,1956,-1482,-1013,5705,-7868,-800,-30615,4318,443,-625,568,10401,1316,-9844,-7429,6316,216,-1106,847,1604,-4395,-10982,-44528,8129,2666,-1005,-824,22911,-1331,-7631,-29628,13552,2161,-1230,-397,229769,6539,-7992,-53071,938,-3935,-1216,-1247,0
-208390,-66663,-375,864,-2503,-393,37,-67,-393406,-71057,-9979,1518,4069,8148,5548,5828,-234460,65917,-1543,1997,-3157,3992,2973,1179,-393417,-75272,9129,9659,5958,2190,1254,6545,-308006,-61936,-12425,7560,-2543,-1724,228,429,-379495,-64188,-6956,-4006,-603,1575,2784,2316,1
95709,9022,1558,2140,721,2230,859,442,1431815,168459,7008,5033,2814,3899,2260,4262,-99595,30893,-4541,-640,-554,-365,-691,-45,-147064,-21799,-6509,-1704,-1227,21,-594,556,-148742,-13973,-4468,-1389,2675,5798,1161,1073,-80593,16778,-5439,-1191,3204,-1085,50,-57,1
2299,1280,-2630,-2562,5427,-3105,1099,314,7850,4253,-6249,33799,-5323,2189,2775,1033,-2152,4449,-4245,-7834,-1952,-1691,-634,721,-183,13761,1134,2450,218,2495,422,-556,1641,3946,-17361,-43644,-4614,16029,-110,-762,209554,11686,-17999,-34032,7248,18905,-664,-1429,0
95783,-8309,-8350,5702,324,-872,-3611,687,-381948,-21216,-2062,41573,4806,4392,-1619,1144,-384548,-18509,-8565,5284,2508,5456,-1196,-169,-380562,-18643,-7290,17263,1284,814,-57,781,-93224,-357,-8362,2251,184,2659,-3203,-760,-166498,-10399,-6504,-6424,1666,-920,-3809,-1185,0
-42876,-8172,-1719,6331,4826,2787,2200,1892,-72692,-1923,8276,66215,-3370,3570,-901,-877,-72265,-8400,830,41621,-2345,3378,4410,87,-71171,-6817,3688,15511,2130,5171,-740,968,-69904,-8138,5888,5627,-4347,9081,-12,2164,-57871,-2556,4717,-1247,823,4007,-962,790,0
1406977,64026,7744,7133,-2582,2632,2502,-957,-1403895,-59475,-4984,14543,-19724,-5642,-3276,-2822,-1411215,-65138,-8444,-11591,-18502,-9173,-4964,-3776,-1408248,-63230,-7700,-20888,-20744,-2031,-5629,-4488,-1413121,-66787,-5185,22570,-19545,-5756,-5085,-4775,-840355,82597,-5052,-29390,-20112,-8754,1787,-3458,1
-1423,-3525,-7259,-2299,-1362,-932,-1010,-236,-144114,-9541,156,34421,16757,7282,7787,1300,-137206,-13086,-169,28619,10490,8582,193,2626,-143805,-10991,-7191,24096,4899,4422,600,3284,-140597,-13093,9707,42634,7856,6157,2201,486,-135354,-9817,1975,49124,7196,11777,3000,1003,1
-22801,-20675,373,-566,4132,3540,5412,4084,-76105,-44415,10347,52078,-744,4027,-3214,3222,-93622,-45330,4504,32973,-3965,1630,-4107,1828,-87362,-39529,5667,28825,3557,3770,433,-1576,-58451,-22534,3186,7654,-429,-999,585,2681,190331,-6448,24462,73193,4755,17657,-1024,-872,0
-452014,-31264,18712,-1341,45,-4595,-3181,-1440,-553620,1646,-2406,17488,5825,5628,1735,-864,-647469,-14936,-15169,5164,-3480,-3566,-2021,-5381,-638857,39018,-1586,65192,-3421,-3834,1839,58,-728986,-18143,-28439,-4235,-5015,-5522,-3833,-5789,-742950,-22787,-22917,1893,-3308,5210,-2062,-3700,1
36813,-37686,-19446,-15495,-8900,-9186,-4641,-8851,-53980,-38936,-19624,-5231,-1388,-3209,-1956,-6939,-105021,-24363,-8815,125855,24717,25091,7180,-3491,-97792,-37090,-9454,97844,13603,7489,3595,-6925,-73777,-30937,-11933,35628,-4604,7281,-3597,-3891,-24000,-13479,-12928,-18366,-4632,-8457,-4165,-7990,1
19950,-6711,-296,10166,4264,-152,1690,607,-73531,-26017,2341,40332,1554,3577,1014,-573,-60575,-21699,14432,79677,-171,2804,79,2162,-73609,-19484,7513,23263,8256,2552,-652,-331,-23845,6142,8698,17971,1591,4221,823,359,-7487,24453,-4245,-9878,-4070,-1192,-2151,-637,1
39412,3138,916,2352,423,686,126,178,-92734,-1864,9646,15923,4826,1860,879,2810,-95314,-4806,714,31324,12850,10373,6324,1691,-85733,-1781,5449,41444,2734,3300,2289,1615,-92886,2004,-374,-1041,8415,8723,3316,6288,15401,14258,18432,23926,5738,9136,6896,3945,0
86660,4440,3246,-1956,45,-1656,-1834,-953,-81164,-19012,3102,33031,5502,3355,-1686,933,-82064,-6319,14492,69444,11645,1009,144,1687,-81675,-19941,12745,73169,4886,5687,-830,2676,-89675,-20962,-5752,12546,354,3716,-203,2,-71009,2223,2072,18294,6316,-22,638,2323,1
-326097,-26347,-12893,-8792,-9554,-17107,-10727,-4230,-344768,-17808,2140,23035,17727,-5159,4206,2279,-351873,-35255,2292,40264,-10950,-23541,-12414,-1550,-350348,-32380,-4362,44275,-14615,-19016,-13542,-3723,-348230,-33206,-4967,21173,-13527,-18585,-15987,-1453,433986,138909,-14824,-21345,-11838,-25521,-16049,-3838,1
4029,-6647,5307,5707,641,794,917,1335,-1261,11429,-3473,-23788,5370,-3993,706,-666,-4276,6940,-2494,-37868,2022,-3565,-1714,-1448,-3837,2048,-5648,-13269,1907,-323,-1762,-146,313945,-2641,-7112,-53911,-3219,-6969,-2556,-2431,35012,36602,-5498,-53884,-3089,-5951,-1791,-2069,0
-44893,-6259,1425,9082,688,2101,1638,1189,-49391,-3733,3230,40017,1370,5158,3108,-661,-44814,2922,-1183,2025,4966,2314,1212,1831,-47418,4599,9150,12462,7646,8205,3547,81,-48480,9228,12988,28500,4155,6340,3275,924,58740,16026,12999,19006,3811,2726,3780,1375,0
2628,5245,-11216,-1912,124,-2538,-1905,-176,2068640,60034,41105,27444,10172,7975,5971,6421,1763841,276055,78900,56782,26453,36194,35700,8153,-100973,-4389,-6888,75321,10958,-844,2786,-104,-54925,-5009,-4829,1697,2585,-6112,-1108,-1287,-104890,-19192,-7778,-66,-729,-6781,-713,-1793,1
28470,5291,2767,12305,6500,8732,1753,4894,-48933,-9141,-4658,13516,3665,-2202,-767,-94,-41239,-16482,386,48225,-623,2233,-689,-5266,-46326,-17797,-5462,4050,-3601,-1538,-1382,-1369,-43825,-18635,-1745,38124,-3866,9152,392,-2563,42222,55645,-6732,-9524,-3146,-8927,-2829,-5691,1
56498,2768,805,1647,3869,4680,3753,1376,-75023,-16472,55196,76088,738,-477,-2280,1503,-61263,-22632,9370,21466,3910,3870,-2558,1980,-58312,-23081,-2504,30162,-704,4027,2902,3222,-74462,-14439,899,17747,23868,3437,-681,2066,-31052,-6098,-3780,3753,7949,8101,-1055,163,1
269881,-11965,2633,-1203,1651,796,-116,2,-340645,-32276,-3601,26993,966,3709,6112,2305,-340061,-44549,13661,56293,2464,2762,1870,2673,-329467,-41967,2695,25291,1049,6321,3910,2958,-334863,-34903,629,50131,2815,5511,2133,5748,-337897,-41659,3164,17755,4471,11355,1946,1870,1
167864,21535,5865,2799,1739,698,604,751,-216932,-28163,10516,40904,15248,7618,2971,1455,-217127,-27725,4840,37744,3611,6180,1489,2850,-216479,-26945,-2117,116021,5959,10000,805,1324,-212925,-30203,-3503,22746,1087,3784,1872,2995,-221786,-32593,-4930,20745,1333,14563,5361,1425,1
-125268,611,14393,5311,7792,4542,2898,389,-197103,8667,-299,-10202,-11990,-2837,-1122,-1733,-230217,-29100,-2222,58951,-8536,-1405,4837,3789,-238102,-58671,-5253,17264,-6961,-1726,-2949,-4704,-198733,-38353,-9161,8537,-9129,3189,-554,2846,-86476,83049,-3711,-4507,-10567,-2579,-1838,-1905,0
43613,3200,-524,-2154,-1097,-3724,-3494,-1307,5737,-4906,-1146,-2693,-1225,-3913,-3090,-1290,-44277,2873,1356,35849,2632,17360,-1070,875,-47286,-3596,11790,50394,6144,6661,-441,1584,-40651,11872,1972,67802,12128,7790,6609,1471,-52360,4069,6609,33265,4043,4616,832,2817,1
20685,35481,1093,9690,3284,3626,3547,2039,755256,14112,-2993,-11046,-24,6347,7093,-163,-75963,-40993,-7707,-11709,-3905,-3171,-1879,-265,-77132,-41273,-5666,-10354,-2631,5604,-1867,1714,31640,-29565,-7109,-11040,-3894,-3972,-3569,-1964,35775,-16201,-3458,-8240,-1932,-3239,-1043,-1705,0
103418,14879,3113,504,716,7571,841,31,-324650,-26490,-3819,-4634,-971,-8256,-1382,-1066,133077,-41790,-3430,5830,-464,-1513,994,1742,-402095,-67342,-5557,-3351,97,5076,-181,3041,-307590,-42998,19948,-570,1365,4472,4811,1574,-363817,-69381,-4498,-3888,-1815,-6520,-1720,-1017,1
-193760,-89559,-20513,-2846,-8381,-6493,-3101,-4389,125554,-18005,5117,5082,2635,8085,5459,-2567,-172602,-84315,-23871,-3963,-7709,-6778,-3133,-4429,244943,-34955,-4518,2593,-5938,-531,697,-1191,-220295,-90506,-25434,-2482,-7340,-3954,-2693,-3560,3028,-89934,-23675,-3320,-6643,-5951,-2279,-3808,1
-44407,4482,5164,8202,12708,6602,1068,2490,-45892,-6299,-4668,14813,-7618,-2073,1942,-686,-46435,-2316,6868,27139,-11319,-3208,1284,846,-42832,8739,-2877,5940,-7115,3406,2233,149,-32604,-5343,-1396,-160,-12040,-3516,4417,-1351,83849,6920,-925,-8466,-12386,-6478,-1338,-2714,0
389977,766,-602,3700,2390,-985,603,39,243933,59620,6750,17322,13806,13850,5682,3212,-317786,126324,6615,7,-907,454,-1413,-288,-276362,34558,11349,-4911,-3346,-420,-2234,-224,-395021,54416,34694,2235,1481,8219,8087,2869,-433612,-717,850,3892,-3336,778,-78,41,0
-32408,-22064,913,19080,4062,3004,3605,1477,-39916,-22551,8738,7073,-2728,-490,-2697,426,-33523,-15341,-788,10116,-2856,1617,-3318,1619,-43234,-25775,9544,59477,-1211,3397,-1278,606,-37611,-24480,-815,48171,1216,4271,-2497,1069,5474,-16193,10012,-7987,-2271,6434,620,1906,1
150634,2524,1352,-1198,-718,-3863,-2737,-302,-151903,-15545,-2161,33665,14823,1562,-762,2237,-153676,-20325,-5839,69303,9920,3522,1898,1181,-151462,-20479,11108,47033,5782,-357,-1175,1146,-137147,-14544,3273,21043,-341,3258,2002,835,97742,41004,6618,31963,22170,14984,5406,1917,0
-89870,-1328,-2389,15103,202,5665,2091,901,-90437,-3065,-2026,31001,-1113,-2130,145,3920,-80850,950,4246,104169,582,-4377,1781,2356,-83504,5679,-1853,5530,6307,32,1937,366,-85968,-2657,-3780,50002,5741,-433,1704,3102,125067,-943,2356,-7548,9688,1877,2302,1139,0
