delta_c1,theta_c1,lowalpha_c1,highalpha_c1,lowbeta_c1,highbeta_c1,lowgamma_c1,midgamma_c1,delta_c2,theta_c2,lowalpha_c2,highalpha_c2,lowbeta_c2,highbeta_c2,lowgamma_c2,midgamma_c2,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,state
548899,321378,31291,50126,12788,7824,5851,4415,-1797228,-336884,-104714,-73444,-40981,-12713,-12088,-6112,-462238,-223226,-80963,-43887,-36087,-11746,-6164,-4100,-1533519,-406630,-121083,-70948,-42625,-18927,-12997,-6328,easy
-39077,9677,-1114,-2238,2061,1372,1261,25,585756,187663,89271,19240,8206,1431,3477,1143,-236218,-66360,-8314,-237,-1899,-1933,-1631,-467,343464,226006,28433,2714,9863,3313,1485,1391,difficult
496694,177861,26318,72953,57613,14955,13760,12593,-432258,-251939,-134264,-85413,-64402,-28898,-40872,-16898,-222138,-290267,-84409,-94532,-75478,-28808,-38362,-16648,-825845,-430133,-148549,-99005,-79181,-32173,-44078,-18815,easy
176549,132394,13407,21645,2605,7892,2584,1225,-171602,-139912,-9619,-5620,-2766,-6758,-1739,-1006,1115268,-49922,13159,-4991,5616,-5885,7145,1704,-209751,-157186,-7739,-15505,916,-7379,-1373,-1023,difficult
470718,11931,-8356,27561,1932,3646,-166,954,-392788,-78656,-55840,-23761,-824,-8565,-2049,-2226,-355786,-61317,-62655,-39380,-6479,-8928,359,-2032,137825,-68380,-18230,-3848,4847,-4137,1089,-884,easy
-54588,-72713,4071,4968,-11652,-434,1634,1356,590551,1177555,136088,64010,23483,23951,15813,26325,1588527,778048,69264,26116,12211,25367,3047,3816,527368,-103115,27679,-4679,-10750,3311,4583,-52,easy
157137,-16279,9990,13076,21445,11106,10040,5438,125014,-91071,-20816,-13471,-17981,-11297,-11368,-5306,-425775,-81309,-29425,-15748,-21743,-13195,-11674,-6041,-151298,68244,-9160,-12851,-13490,-4954,-9229,-2199,easy
545496,230127,110902,27431,10392,19198,7857,4405,-518013,371716,-114032,-28578,-372,-11499,-5446,-4621,-608152,-294669,-126169,-28201,-9726,-20487,-6312,-3746,-646188,-218781,-126616,-17170,-11412,-13418,5284,-675,difficult
-556626,-217625,-36231,-12102,-14989,-16383,-8158,-6233,45394,-277604,-14939,-7271,-14995,-14422,-7312,-5598,868197,533350,-19208,37542,10668,-1880,20377,927,-96972,-188153,-30183,-4132,-16115,-13298,-4354,-3242,easy
38486,18331,-13135,3927,-5053,-3554,-7771,-7063,541624,317971,-28376,5790,11872,5864,9358,-4604,426999,-148902,-40417,-12636,-2486,-4111,-7785,-3927,1798211,749965,16323,30721,43021,6359,3483,-3565,easy
