delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,state
383889,38735,30,1071,-177,1389,88,-480,-181366,6257,7941,5542,723,1608,1191,1285,0
-5816,-1864,-6382,8142,-8038,-3540,1208,-1615,9597,-2410,1279,10314,-6418,-2553,323,-662,0
7103,8265,-18864,24944,-3129,-3477,-327,-1684,-2805,6696,28856,81195,-2218,3497,-457,-1287,0
2978,547,-9102,1553,-1393,-2083,-520,-1180,909,6519,1963,13558,-1448,5324,772,-1795,1
-138184,-50294,-52652,28036,-796,-1883,-639,-2042,-141892,-56200,-48172,6343,137,3916,-1036,50,1
-912978,-71042,-7436,58353,-6092,-1717,-1456,1124,-906731,-67918,4266,52174,-5029,-1679,255,-176,0
-322142,-61079,-5385,46960,-3163,353,-2333,665,-324426,-63725,15827,74600,-3396,-1345,-1959,1001,1
-893610,-105955,-54917,-18299,-3049,-13670,-4259,-10915,-702975,-133575,-51069,-22011,-843,-14013,-4556,-11477,1
-537103,-45895,4514,42811,-1144,216,2399,931,-533466,-47477,2385,56913,704,874,-235,631,0
-115867,-31219,-6428,-379,-4265,-1710,-1387,-1497,-127980,-34960,5395,15861,2950,490,1235,2378,1
878665,362710,25831,13269,7616,3297,4837,4178,-49385,-66973,7861,48507,10207,7958,4020,2288,0
-165189,-20405,40942,42494,-2393,-2296,-1247,-5446,-161410,-22919,-2207,3870,3364,-4731,3135,-4780,1
-10580,-4062,-5388,32741,1491,5434,-1421,1060,-10953,-3371,-8577,5561,-5051,-3540,-1992,-767,0
-73188,-341,96562,29749,-2036,953,1061,968,-73601,-10511,-841,26753,-1181,2372,1554,1301,0
-62622,-20888,2845,-7463,-198,5612,1428,480,-65021,-11749,5424,59849,-2170,4322,2521,-1117,1
-43128,-23714,-292,48220,6478,8027,-432,836,-57215,-24424,16003,45030,4548,6441,1151,1207,0
10401,1316,-9844,-7429,6316,216,-1106,847,1604,-4395,-10982,-44528,8129,2666,-1005,-824,0
-234460,65917,-1543,1997,-3157,3992,2973,1179,-393417,-75272,9129,9659,5958,2190,1254,6545,1
-99595,30893,-4541,-640,-554,-365,-691,-45,-147064,-21799,-6509,-1704,-1227,21,-594,556,1
-2152,4449,-4245,-7834,-1952,-1691,-634,721,-183,13761,1134,2450,218,2495,422,-556,0
-384548,-18509,-8565,5284,2508,5456,-1196,-169,-380562,-18643,-7290,17263,1284,814,-57,781,0
-72265,-8400,830,41621,-2345,3378,4410,87,-71171,-6817,3688,15511,2130,5171,-740,968,0
-1411215,-65138,-8444,-11591,-18502,-9173,-4964,-3776,-1408248,-63230,-7700,-20888,-20744,-2031,-5629,-4488,1
-137206,-13086,-169,28619,10490,8582,193,2626,-143805,-10991,-7191,24096,4899,4422,600,3284,1
-93622,-45330,4504,32973,-3965,1630,-4107,1828,-87362,-39529,5667,28825,3557,3770,433,-1576,0
-647469,-14936,-15169,5164,-3480,-3566,-2021,-5381,-638857,39018,-1586,65192,-3421,-3834,1839,58,1
-105021,-24363,-8815,125855,24717,25091,7180,-3491,-97792,-37090,-9454,97844,13603,7489,3595,-6925,1
-60575,-21699,14432,79677,-171,2804,79,2162,-73609,-19484,7513,23263,8256,2552,-652,-331,1
-95314,-4806,714,31324,12850,10373,6324,1691,-85733,-1781,5449,41444,2734,3300,2289,1615,0
-82064,-6319,14492,69444,11645,1009,144,1687,-81675,-19941,12745,73169,4886,5687,-830,2676,1
-351873,-35255,2292,40264,-10950,-23541,-12414,-1550,-350348,-32380,-4362,44275,-14615,-19016,-13542,-3723,1
-4276,6940,-2494,-37868,2022,-3565,-1714,-1448,-3837,2048,-5648,-13269,1907,-323,-1762,-146,0
-44814,2922,-1183,2025,4966,2314,1212,1831,-47418,4599,9150,12462,7646,8205,3547,81,0
1763841,276055,78900,56782,26453,36194,35700,8153,-100973,-4389,-6888,75321,10958,-844,2786,-104,1
-41239,-16482,386,48225,-623,2233,-689,-5266,-46326,-17797,-5462,4050,-3601,-1538,-1382,-1369,1
-61263,-22632,9370,21466,3910,3870,-2558,1980,-58312,-23081,-2504,30162,-704,4027,2902,3222,1
-340061,-44549,13661,56293,2464,2762,1870,2673,-329467,-41967,2695,25291,1049,6321,3910,2958,1
-217127,-27725,4840,37744,3611,6180,1489,2850,-216479,-26945,-2117,116021,5959,10000,805,1324,1
-230217,-29100,-2222,58951,-8536,-1405,4837,3789,-238102,-58671,-5253,17264,-6961,-1726,-2949,-4704,0
-44277,2873,1356,35849,2632,17360,-1070,875,-47286,-3596,11790,50394,6144,6661,-441,1584,1
-75963,-40993,-7707,-11709,-3905,-3171,-1879,-265,-77132,-41273,-5666,-10354,-2631,5604,-1867,1714,0
133077,-41790,-3430,5830,-464,-1513,994,1742,-402095,-67342,-5557,-3351,97,5076,-181,3041,1
-172602,-84315,-23871,-3963,-7709,-6778,-3133,-4429,244943,-34955,-4518,2593,-5938,-531,697,-1191,1
-46435,-2316,6868,27139,-11319,-3208,1284,846,-42832,8739,-2877,5940,-7115,3406,2233,149,0
-317786,126324,6615,7,-907,454,-1413,-288,-276362,34558,11349,-4911,-3346,-420,-2234,-224,0
-33523,-15341,-788,10116,-2856,1617,-3318,1619,-43234,-25775,9544,59477,-1211,3397,-1278,606,1
-153676,-20325,-5839,69303,9920,3522,1898,1181,-151462,-20479,11108,47033,5782,-357,-1175,1146,0
-80850,950,4246,104169,582,-4377,1781,2356,-83504,5679,-1853,5530,6307,32,1937,366,0
