delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,state
-1533519,-406630,-121083,-70948,-42625,-18927,-12997,-6328,-768970,221548,-126046,-60990,-5429,1810,-955,-3836,-1652172,-387679,-126456,-66206,-39971,-18889,-12582,-6224,easy
343464,226006,28433,2714,9863,3313,1485,1391,61912,-25203,797,41,787,-876,-1579,-209,-143255,-47577,-4698,17160,1832,579,-1153,-147,difficult
-825845,-430133,-148549,-99005,-79181,-32173,-44078,-18815,362022,-343386,-145987,-84739,-78739,-29094,-43337,-17337,-229619,-240637,-133844,-94583,-67722,-16665,-37190,-14595,easy
-209751,-157186,-7739,-15505,916,-7379,-1373,-1023,133327,-180995,14417,-18977,-316,-7004,-2474,-1486,1328804,-3642,5789,-13196,7323,-3557,1247,3961,difficult
137825,-68380,-18230,-3848,4847,-4137,1089,-884,44206,-33849,-38280,-38807,-4936,-7159,-1163,-1295,-128524,-61579,-42452,-27210,-3122,-8720,-1975,-1491,easy
527368,-103115,27679,-4679,-10750,3311,4583,-52,-11351,-140020,5203,2885,-4538,-390,-563,-300,6014,37802,21705,-3044,-5996,1205,-975,464,easy
-151298,68244,-9160,-12851,-13490,-4954,-9229,-2199,-481062,-106422,-30418,-20625,-22993,-14995,-13240,-6274,-228285,166040,-22724,-7281,-15837,-10408,-10568,-4176,easy
-646188,-218781,-126616,-17170,-11412,-13418,5284,-675,-1196807,-308807,-128860,-38974,-13235,-22018,-9063,-4423,-746240,210505,-103412,49574,5940,593,2983,9525,difficult
-96972,-188153,-30183,-4132,-16115,-13298,-4354,-3242,-401971,-283363,-50418,-10960,-18084,-16763,-9186,-6650,131737,-34135,-40577,-4101,-5996,-8386,-2426,2216,easy
1798211,749965,16323,30721,43021,6359,3483,-3565,-474194,-169590,-41274,-15030,-6303,-6580,-8532,-8046,-161160,-65407,-27969,-2788,-3187,-3792,-4715,-3437,easy
154876,-42307,-31135,988,3556,-8025,4145,544,726514,-17293,23862,12974,10113,20057,11181,8181,174533,101909,-4488,1147,10516,3971,7538,10425,easy
-235334,70923,38472,16168,561,32419,13788,7144,-331341,-1929,-3180,-2236,-3255,-752,-1632,-270,-387489,-2380,692,671,-2777,-934,-896,-440,easy
-676105,-540426,-86528,-49477,-71716,-33901,-5555,-10637,-254108,-329270,-76896,-26610,-58203,-12542,11264,-5432,-208275,-560659,-74628,-40919,-70796,-29481,-6307,-7879,easy
-404660,-361573,-78523,-43632,-53026,-35195,-15745,-14510,-927819,-421875,-59583,-57674,-51043,-33368,-20420,-18475,664643,-329745,-18535,-39958,-31350,-20535,7979,-12837,difficult
