delta_c2,theta_c2,lowalpha_c2,highalpha_c2,lowbeta_c2,highbeta_c2,lowgamma_c2,midgamma_c2,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,state
-71357,-36087,-13501,-1926,487,-321,-562,-70,180232,30434,36684,1101,11165,3410,1083,1329,114861,-40182,-9762,-1106,-1455,-3076,-1081,-993,93564,101341,57875,16905,28382,14258,17752,7326,0
-1202871,-306431,-79184,-28291,-125297,-20937,-5614,-3708,-1291200,-356181,-77095,-35444,-130269,-21542,-6015,-1231,-1325679,-339172,-80794,-36435,-130651,-24442,-6467,-4155,-1278270,-301793,-84767,-37490,-128669,-22224,-5771,-2737,1
-330200,-312130,-21695,-12973,-8222,-23626,-18386,-6344,-441787,175213,55503,44769,25319,-11822,-11086,-1239,-1307776,-323396,-26203,-10327,-13552,-22087,-17725,-6152,-1540159,-339878,-30487,-15788,-14332,-21759,-17817,-6145,1
-500540,-127895,-36223,-2714,-5107,-5037,-2445,-1077,-455830,-124130,-28208,-5036,2208,-4833,-2815,-80,-656178,-133319,-36148,-6451,-7437,-5865,1000,-942,-625531,-116756,-36527,-6068,-6081,-4724,-2589,-1422,0
20129,-41242,-4420,-2190,-1629,-793,-338,-181,-121828,-42323,-3779,-2702,-3782,106,2006,2397,-111926,-31550,-1303,-3357,-1272,802,2607,3141,-87026,-28594,2553,2681,3112,14688,5809,4740,1
-1024561,-643025,-143421,-8832,-66159,-16312,-19673,-11045,670924,-580682,-109429,18296,-32161,-1965,-15904,-7371,-953406,-592999,-134440,-6298,-60719,-10926,-19436,-11473,-40436,-490509,-86480,1903,-48789,-1296,-13546,-5504,1
1441004,152862,-8325,-17655,-16578,-8237,4337,-1443,-194872,-153212,-23578,-23666,-17600,-9767,-4052,-4440,52374,-131742,-22380,-13274,-15310,-9765,-3493,-2977,-102707,-54090,-15942,-15117,-14290,-6924,-3130,-4328,0
-920855,-172621,-50988,-27168,-1076,5034,6409,5585,-895539,-100798,-38297,-30412,-15348,-7926,-2893,-2228,-994284,-208177,-56493,-33266,-17881,-6660,-3033,-3155,-955228,-215687,-56585,-35073,-18571,-9184,-4309,-3309,1
533380,365787,38923,29081,6256,5169,-1946,-2369,-317282,-25086,-13304,-6503,-2162,-1568,-2993,-482,-376493,-33298,-7206,-3766,-2131,-326,2595,2443,-249491,14969,-5427,-5076,-3852,-921,-3342,-2981,0
-276192,-260028,-55747,-19260,-67361,-36190,-17560,-7036,2879522,-287768,-39324,-18842,-64276,-35863,-22969,-9429,-223336,-291276,-63510,-25176,-68395,-37096,-23788,-9685,-285650,-304847,-68013,-24064,-71067,-37287,-23906,-9665,1
1357451,207104,-11798,78329,15844,7930,11384,1240,176837,286904,-1417,29462,38603,12123,4870,1967,-212351,27827,-27818,-1747,251,-295,398,1145,-166159,73867,-24586,1734,-2858,-1425,1238,185,0
