delta_c1,theta_c1,lowalpha_c1,highalpha_c1,lowbeta_c1,highbeta_c1,lowgamma_c1,midgamma_c1,delta_c2,theta_c2,lowalpha_c2,highalpha_c2,lowbeta_c2,highbeta_c2,lowgamma_c2,midgamma_c2,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,state
104735,415,-461,-2711,479,-478,-209,-438,-157238,-1662,-2423,-2185,-594,-443,-511,-983,383889,38735,30,1071,-177,1389,88,-480,0
-3739,2063,9401,5035,-2504,-67,-310,-137,-1834,-7933,-9805,-11972,-1294,7655,182,-1039,-5816,-1864,-6382,8142,-8038,-3540,1208,-1615,0
-1768,1310,-11012,-15182,-466,4386,-104,-335,7103,8265,-18864,24944,-3129,-3477,-327,-1684,7103,8265,-18864,24944,-3129,-3477,-327,-1684,0
4477,581,6382,15311,-465,466,78,-349,-2442,2509,-482,-16535,451,497,-439,-980,2978,547,-9102,1553,-1393,-2083,-520,-1180,1
-135919,-62632,-63591,1955,73,-635,-3,-1007,-138098,-55572,-56482,-2998,3191,258,-187,-1897,-138184,-50294,-52652,28036,-796,-1883,-639,-2042,1
-800076,-57921,-5737,-1786,-6826,-5377,-3073,-1574,-901495,-62827,-328,936,-5134,-1228,-191,600,-912978,-71042,-7436,58353,-6092,-1717,-1456,1124,0
300230,53636,5872,2639,3988,6197,3807,895,116266,-60112,-14134,10698,-3300,-6057,-4102,-373,-322142,-61079,-5385,46960,-3163,353,-2333,665,1
-828059,-138021,-52732,-22504,-3354,-14967,-4213,-11082,-664538,-72990,-49218,-21775,1569,-3268,-3138,-8218,-893610,-105955,-54917,-18299,-3049,-13670,-4259,-10915,1
172144,18781,3673,85,-2609,-297,160,50,-335143,10015,-1553,18799,622,2986,2914,1789,-537103,-45895,4514,42811,-1144,216,2399,931,0
-12575,-14552,2191,4166,6205,99,299,449,461417,40811,21748,84207,10267,25849,5036,7821,-115867,-31219,-6428,-379,-4265,-1710,-1387,-1497,1
-3231,-6909,-1989,100,-1,677,69,17,-31326,-64074,-9805,-1226,-1245,-1068,-38,-254,878665,362710,25831,13269,7616,3297,4837,4178,0
-167953,-26068,2647,20324,-1906,-965,-1026,802,-167521,-22598,9824,16244,175,-2061,-1284,-4092,-165189,-20405,40942,42494,-2393,-2296,-1247,-5446,1
