delta_c2,theta_c2,lowalpha_c2,highalpha_c2,lowbeta_c2,highbeta_c2,lowgamma_c2,midgamma_c2,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,state
-177645,-27725,-1483,-1783,-1544,-2802,-2244,-1052,-130190,5914,-673,3390,-351,3064,-1546,1057,0
-103300,45623,7732,-3796,2915,2502,3743,1417,964397,226206,20058,66614,25449,25313,20411,6354,1
-545901,-42710,809,-10729,-5755,-608,-2570,-2276,-325935,-71196,-2337,-14723,-7035,-2037,-2660,-605,1
-144858,-19471,-3401,-2375,-2374,3205,-925,-264,71916,91794,-10036,-1179,827,2526,319,601,0
-1434416,-192999,-101436,-40138,-32070,-23160,-10730,-3307,-504148,137229,-89802,-16291,7046,-5840,-8196,3212,0
756002,175370,94688,20304,7315,18784,5345,3198,-226652,-40714,-10196,-7222,-6735,517,-1001,-456,0
-347722,-181881,-10455,-5586,-1581,-3589,-3395,-4985,127039,-95065,-8789,2051,8079,-2980,443,-3809,1
-167401,-88204,-22737,3192,-19248,-6480,-5977,-4171,-249981,-87150,-28161,-729,-21498,-7905,-6112,-1411,0
-159945,-81901,-17856,-16019,-2874,-2302,-6119,-961,856451,56975,29529,31291,53497,5358,2918,16728,1
-579785,-960897,-55597,-22620,-22450,-3070,-3488,-1284,-471815,-935441,-52091,-36330,-24356,-10827,-3619,-4906,0
-373013,-94423,-14856,-10705,-9865,-6812,-7594,-4085,180668,7430,-8922,2983,-7221,-4421,-4704,-3072,0
-161247,-41969,-2414,-8968,-5478,-4505,-1632,-831,-187570,-35003,-1014,-7383,-4019,-4650,-1439,-802,1
-23500,22832,888,-11442,1639,-2595,-1642,-851,-43184,-6594,-5889,-12302,2487,-6465,-1971,-4276,1
-102111,82380,9034,-1816,-2066,-305,2120,-149,949620,210817,10583,15713,24047,13346,11420,6413,1
-575851,-168433,-44698,-8772,-7605,-626,-7550,-10267,-700051,-229762,40350,40922,96207,-2963,5055,-5482,0
-78814,9529,-10052,2992,-7539,-6943,-6697,-6086,-103060,-25758,-28321,-1337,-3460,-5458,-6967,-6927,0
-181921,3187,3244,-2482,6624,2829,445,400,-65109,-62828,-608,-9513,-4244,-3430,-583,-1677,1
47255,-986,-1852,-3945,-2358,-922,1859,-607,4784,-43432,9346,-5510,-5150,-2715,-1088,-1708,1
-348262,-323905,-56635,-36917,-35882,-17980,-13451,-8136,609042,-252691,-6006,-10763,-26475,-10584,-9764,-6415,0
88755,-41341,-6610,1522,757,-2214,2026,-127,169722,-47903,-6085,-389,-4665,-2124,-1126,-1197,0
287211,81441,65471,3647,7880,10192,6635,14575,334798,24359,6567,-3749,-809,4659,-1608,1080,0
130569,-33148,-30696,7035,512,898,-669,1823,-87432,-72054,-45749,382,-9801,-13995,-5555,-3528,0
970967,-99444,7737,-33197,11560,12246,1141,4262,-41057,-74364,21038,-22119,1115,-4307,-2194,-881,0
-353232,-282281,-1379,4151,436,-7391,-1646,11638,-61955,-338807,2047,753,-11613,-17496,-4975,4231,1
-363607,-189188,-9430,-4544,-24829,-18391,-3158,-2972,-159720,-193551,-19252,-10207,-29686,-23634,-5255,-5201,0
161722,19135,3343,1860,4919,1713,181,-203,-38753,23750,-4890,1086,322,383,1547,-632,1
-1172784,-100583,-20658,-9675,-13708,-4046,-4482,-8645,-1124657,-56744,-460,-10097,-14514,3938,-3048,-6286,0
-1485,-32925,-3376,4584,-609,-2425,-939,-866,-54618,-50132,-526,2321,853,127,-1131,-151,0
839643,48333,24252,8855,-3837,3852,1355,1203,409295,-12758,-4099,3474,114,-2356,6347,4420,1
-715410,-133660,-16595,-65103,-25157,-24109,-8634,-27884,-42191,123560,-5485,-60461,-18746,6786,11147,-12167,1
344667,563789,37348,-3589,6469,14862,8326,2438,453652,-84719,-41674,-4396,-12906,-9801,-2783,-5062,0
468948,18225,-1414,9577,1141,5287,6049,2150,19576,233550,40272,8029,9360,7133,11894,7278,0
221291,512859,18010,23383,12236,26563,32371,29972,-120992,264844,29558,6471,15387,24805,58173,23433,0
564211,-388,-41270,-23282,-11720,-4476,-12816,-10130,2469167,-138616,-4355,4665,56016,-1355,-13816,-908,0
-20607,-83857,-4983,-29487,-7748,-7777,-3654,-7086,-200028,-113129,-13295,-37081,-7293,-2296,4888,-4168,1
-3755,54058,5964,6520,-6555,1825,3410,302,-9839,5988,-2880,-4195,-8109,-3273,-671,-1855,1
-31265,-15772,9938,1313,1737,3095,971,924,25019,-1934,19045,3454,5420,477,-550,699,1
105867,-23263,-13259,-1864,-4246,-4522,-2204,-3042,161178,184073,58503,130719,50937,59303,25141,24238,1
-28268,376514,26029,26491,30436,15483,36568,9840,1127341,69599,30548,25125,-8384,8982,408,5508,1
-67433,-73907,-3642,-222,-7141,-259,87,-538,126965,-61826,-659,-5157,-5238,-932,712,-365,1
-310401,-58864,-2145,-8008,-13797,-1883,-1385,-901,2488019,129469,25929,2211,15044,4472,13941,7857,1
167226,144944,23309,14537,21705,14456,5056,3411,126485,-13747,-801,-1053,-5481,-1941,2142,1040,1
398288,297333,7723,7998,4371,3234,-793,1645,1837522,10291,14052,51753,26451,33944,22551,4848,0
-653985,-15818,-15971,-8986,-13705,-21819,-6563,-8170,123486,139821,-12978,6075,-4054,2715,-193,-4330,0
886612,-729182,-88299,-30190,-48421,-6104,8244,187,696973,-349517,-62066,-332,-30152,-7178,-3619,-9211,0
-787549,-4967,99520,1940,-10773,17767,-1473,9717,-793910,-124532,3381,32050,-12279,11057,3786,-5684,1
-1033992,-86811,-11664,-41444,-11808,-9387,-7984,-8474,-1128517,-114984,-18832,-31300,-12109,-13986,-4835,-5659,1
392927,600867,73813,39660,60983,11796,7998,11290,1015371,53312,7536,2684,5513,-1038,1533,1847,1
-356590,-83656,-2543,-14844,-17668,-18962,-3055,-2112,-311209,-73017,-4803,-15714,-18501,-20622,-7010,-4213,0
534236,36947,-48,1006,1333,460,1695,-2,1211468,-10968,35561,43435,6881,7364,6167,2733,0
-413578,-522504,78576,-28735,-30189,-48,-17111,-7668,-879770,-583365,-24189,-36044,-47155,-14486,-17532,-10508,0
-706847,-305126,-70140,-53733,-56600,-34109,-11363,-13093,-1296430,-328321,-76809,-60055,-61114,-39207,-14851,-13510,1
415414,75053,58121,31445,31372,20497,8193,5942,19796,30123,1061,-2577,494,585,1552,-71,0
-92054,-233559,-42512,-18073,-17601,-8748,-8027,-9743,-798088,-255825,-38912,-10904,-18118,-11994,-10284,-12068,1
1109107,60500,11778,45531,11901,18856,8203,7649,753781,279974,14644,80425,6294,53656,10201,5484,0
