delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_max,theta_max,lowalpha_max,highalpha_max,lowbeta_max,highbeta_max,lowgamma_max,midgamma_max,delta_min,theta_min,lowalpha_min,highalpha_min,lowbeta_min,highbeta_min,lowgamma_min,midgamma_min,state
594076,133867,30781,16437,15601,25683,19126,19477,1809850,287068,121382,54576,54474,57822,39345,45226,79931,37562,4345,3069,780,4215,2530,1825,0
818840,241785,12043,24853,16221,21409,18332,14788,1963393,1525301,28822,113190,47757,52613,50621,64872,4991,6281,855,1506,1245,524,1046,648,0
1219639,170816,62800,38898,33007,62686,34135,27424,2790611,345941,212254,82402,60501,190857,105259,57293,9091,10235,12361,4104,2218,5337,3136,4877,0
599293,152618,23969,11557,8621,23343,25506,14152,1303048,742810,119369,31109,17492,70491,62475,37448,6298,4927,848,2496,2336,6292,10900,7395,1
507635,106439,14327,11144,8067,16824,16044,10722,1291011,282005,28466,21289,16561,64822,74301,35183,68996,42401,2126,3957,2160,3197,3837,1915,1
559096,126211,34575,21999,18011,27207,22157,16141,1282056,405072,194155,68885,49084,65712,50224,47422,8730,12708,2123,2394,2148,3402,2651,2079,0
776081,211673,33840,22330,15883,24834,27896,16990,1695552,978877,110390,55914,30843,66073,69557,43695,68164,31399,903,4319,4544,3727,3578,5587,1
721968,161245,22751,19136,12238,36593,39234,17073,1458367,561780,62178,61168,32619,128055,169192,44227,128805,17768,3246,5160,1162,5016,3921,1297,1
1226548,223802,43027,19152,26654,54102,47954,36508,2134069,446773,102354,46526,57700,121176,124470,120545,81124,45091,1557,1917,3270,14920,3358,4159,0
411134,290035,43827,24657,19084,25483,17642,12814,1317516,1706168,170035,87642,37710,64871,38999,25711,1483,8715,8102,3957,2206,2909,1751,1371,1
692851,281248,65564,43486,22603,41586,34912,30419,1663993,1292544,315067,83484,72248,132322,82378,129020,52104,20181,6936,4234,1190,3521,3392,1616,0
1318660,215707,120393,49307,38025,68725,54954,34240,2877453,539508,276150,114230,107468,157673,117029,75754,262966,12169,3313,11594,7653,3771,2925,4039,1
576952,142358,40977,38864,27744,45836,26008,28969,1521903,542967,84107,140096,91465,114290,72660,92489,6666,8887,8298,1702,1950,2554,6903,1989,0
598449,202151,28525,23821,27321,48023,36379,17418,2294070,929054,70038,54717,68205,164231,86897,39715,3013,10115,3795,1659,763,10054,9057,3510,0
1219389,219975,33333,17018,22548,32578,36336,21940,3242523,738491,134375,67614,54061,100945,116580,62095,79321,4434,2297,2397,2554,7196,3258,1320,0
1041660,143621,39099,27823,23708,44562,29585,22821,2822957,370847,106518,73661,52359,93404,69212,81303,32976,33804,19314,6417,6813,15662,4088,6674,0
523134,82246,19281,21235,14297,30385,23353,17289,1615663,151299,50851,48165,28254,53232,44187,40576,2002,12433,4591,4656,1380,9075,7779,7173,1
496982,63999,18160,5374,6543,12151,6635,5131,1008209,190970,96305,8951,12634,29661,22578,14698,151318,5551,535,811,2167,2845,1563,978,0
807745,239851,33016,27398,28192,53186,33755,34731,2442935,601465,148533,66220,83746,162752,79803,88294,184516,7738,631,2936,1994,4226,4254,1703,1
549178,111809,34570,15623,14437,35313,29627,13028,1088618,392634,173985,37367,32358,140008,110132,28601,63817,9318,1215,2138,2931,5797,3898,1926,1
1046609,271426,31792,22152,26243,41729,47246,24939,2241701,725591,70392,40591,65045,96777,174623,60932,313682,4338,3126,3309,6093,6843,4264,1769,0
816134,102192,26129,14848,22193,24110,21117,13327,1966329,241280,78627,36080,47694,57637,48039,41908,131421,41657,1365,2647,2807,4001,4073,3439,1
667996,256000,31285,35786,32682,27018,27096,19636,1820337,1012263,166326,164213,113201,63039,53163,42176,82854,9598,1375,4045,8169,7100,12353,5285,0
650222,176893,23947,21954,14627,23940,27336,14410,1145378,383433,49306,72173,37264,33905,50269,34567,428554,68356,10546,5684,6856,12238,14815,5097,1
1239209,129963,46853,26700,15795,24857,32196,12339,2010144,281942,174813,108190,27067,58943,92361,23954,128634,55761,14100,6870,6216,9595,15951,6363,1
1176135,112982,53681,29439,17010,44093,33047,24052,2626763,424569,150730,93126,43640,83202,63605,65777,43330,26075,2930,882,1345,3728,5059,671,1
207578,30356,8354,14160,15188,20897,17472,9264,1057665,129546,16048,33716,53520,49007,51024,24613,4877,3893,1462,1441,2946,6113,5880,3396,1
1305464,322476,55377,37593,37463,59033,54871,33768,2469685,1115869,250640,111606,77839,160594,103631,84618,4916,30085,7885,4904,4970,10791,17412,6608,1
687989,145035,29364,12338,18430,39905,44624,12675,1345709,306117,129458,31626,58715,172024,223182,40234,50643,30473,7149,2012,1376,4710,1909,1572,0
986332,256964,35935,35759,29463,51401,54600,27281,2145151,647127,85542,124299,56650,104542,115855,50963,70200,8024,3462,11069,8774,24755,7002,8746,1
454949,101706,15935,15751,16712,29681,25682,19788,1290456,224874,24410,33265,29126,62550,48037,38990,7239,7896,1685,4760,2124,5671,5619,4949,1
814649,115405,12803,14130,15122,14413,15315,9989,2624744,521283,37131,33038,67197,44512,23842,35813,65927,9531,902,2098,2835,5030,3968,2229,0
633134,103190,21339,14445,20310,20097,18624,12124,1706517,387595,82294,50924,58136,37603,38735,26580,4208,6151,2176,668,1639,3588,2016,1520,0
935054,197989,46752,52525,17431,37864,67564,27222,2532675,560002,154490,182795,43958,84831,222314,89549,2447,4326,5322,4601,2493,7908,5554,5716,1
931681,136176,27283,18397,24705,44772,20313,17377,1942513,466282,69390,68402,89877,119598,36540,50235,72207,2281,2365,2303,2580,5509,4077,2691,0
669530,90192,25767,16670,14523,19370,17990,15291,2855119,184055,48654,32122,46073,37954,66340,45003,29043,6201,11201,3122,1959,6235,3001,2626,0
825901,104188,38687,26461,28946,31445,20896,22525,3075674,259827,163732,90271,101500,75364,46255,65424,21006,27523,460,564,5732,8504,3787,5802,1
1002729,241439,80681,31171,27251,35598,56160,33865,2317883,664392,269730,95374,53563,103274,181060,128016,50381,22991,5282,5031,3510,3995,1846,1500,1
639818,151509,15880,44959,20144,40498,31951,24815,1572672,640166,50129,144144,50832,99315,81014,54448,67843,23514,2925,4081,7186,4909,8173,4106,0
442273,79821,8930,17229,12621,23990,21773,13050,1302064,151284,17519,38269,36129,65826,62335,30358,76536,11955,643,2648,2858,3873,3749,3155,0
885999,138073,25165,15924,21731,35932,24785,20247,1931498,700420,49817,62579,44359,80262,73947,38457,7903,20150,8519,2262,5207,5969,1739,1901,1
488022,94197,20839,17898,11259,24868,22628,15739,1067448,236615,70747,70105,24408,61646,42631,35079,115287,13468,3599,2038,1218,4472,3234,2107,0
600268,85226,22210,16699,12873,28853,23348,12176,2001797,276161,105048,44649,30206,72761,56396,26980,6886,4132,1480,722,990,4646,1718,1368,1
689404,208398,45001,23788,13212,22543,33645,23560,1026795,913524,239085,68221,28337,84669,124932,111195,270813,26522,1752,3924,900,3684,5173,1998,0
374228,58638,26840,14132,12770,22816,18034,12017,896913,191870,87166,31515,29311,47665,44275,27029,6586,16563,3809,3357,2761,2127,1493,841,1
678846,145462,15863,20149,20502,22967,21509,17165,1572596,582886,51524,65047,39948,96112,60427,61167,181453,21560,1491,3366,2841,3667,658,833,1
1063509,177758,31752,28026,12513,37966,16782,16182,2608738,502757,80790,99540,28036,135347,30367,34717,586423,15643,4463,1109,2995,10829,7131,2459,0
960718,169706,28038,13581,20931,22992,20636,20410,1813011,423600,115058,41785,103728,45580,54038,86518,162716,24945,4236,1870,2666,4747,3716,2628,0
433183,192295,46920,13380,15417,31491,29131,18799,1225580,765145,148297,33167,66254,97519,88941,53078,1443,5451,3535,2194,1460,2223,1992,1136,1
293240,124949,19301,17673,23382,41930,32971,17546,744495,261905,39121,42641,40520,76395,68476,34339,7516,13502,4034,3332,4730,8578,9612,9045,0
624776,101150,14247,20223,20362,42336,28570,22032,1266345,167535,28398,65528,39632,82838,50835,68913,90779,48542,2358,3683,5895,10391,8060,5901,0
661110,56304,23181,13436,17940,21095,17573,14621,1627457,140970,61769,27994,80371,45817,37663,37458,9022,3680,8962,2319,2960,5584,2199,1705,0
435952,118587,15220,29757,14228,31374,37483,13141,772777,377108,41485,104349,34133,56457,135055,29506,124801,44495,3546,3429,1348,11478,6748,5783,0
978715,158216,15156,16171,21074,27407,21320,14845,1870505,655765,20792,59858,53689,85348,42588,39172,234468,11092,7930,932,7680,6557,5730,4413,1
617771,74806,34965,17305,22347,39978,30356,17897,1721916,343799,147814,26661,71433,75918,56224,35634,12449,11776,3242,6669,2221,9709,6222,4165,0
769088,250604,77462,18235,26972,30481,38443,37766,1713407,1152291,312474,73235,70779,91721,124654,156165,100805,4660,650,534,1179,2236,2114,1787,1
753762,149189,27925,54123,33375,23801,27374,19203,1695007,421328,58869,278967,107762,53912,65780,35059,51968,5894,2842,1077,911,6393,1770,2034,0
409707,82840,38049,28965,27275,29311,36574,27903,937294,205865,99107,72632,74578,64168,72674,59394,40619,8565,5676,5857,4190,6800,7208,4393,0
723694,111569,35043,23555,23455,31584,37567,17291,1813156,280454,104681,96573,45980,66659,105868,45244,8051,4289,8563,2941,5387,7713,5471,4360,1
413886,89808,9952,16578,7993,26390,15863,9792,1294793,249068,26377,70901,17375,74577,37088,41897,144613,26556,3498,1462,1147,4864,3541,1072,1
833297,105617,42479,15765,16631,22333,14845,13806,1754671,268563,101155,26690,45527,46291,28195,31979,8813,14729,1995,6294,4935,4245,4630,3913,1
189438,66389,17174,14885,12924,14464,12780,9638,525355,150758,32649,52615,28713,24634,36640,18647,5648,12925,1420,810,2640,1045,1137,761,0
139304,39577,9356,10538,7641,13520,17044,11749,635651,115266,20699,24695,16325,36443,66758,31029,14987,12414,2103,1748,2424,3797,2170,2789,0
538953,99177,21650,12812,25528,16212,13101,14734,1571629,430844,69719,28345,58251,36755,44496,31805,7799,7117,5568,2988,815,2006,2061,1680,1
574344,142458,47187,22303,25015,35142,33312,22735,995915,324862,182228,50663,52134,59194,63313,48557,101782,29959,4364,5350,5899,6221,9591,5888,1
511301,335011,43645,26236,15258,30524,21213,12571,1291287,1807282,88208,105340,40071,57455,31775,20749,25695,14687,3670,3144,4603,7037,8769,4646,0
117786,23506,9833,9966,15639,14676,14249,6952,263890,46742,34376,30833,45775,40700,43295,18126,7980,6887,3177,2202,2429,1146,817,1087,0
420549,67961,17847,11260,14634,22037,15690,13718,1766916,233202,61933,27232,33495,46534,42503,28224,5159,11381,2842,2340,1313,5170,2066,2402,0
552791,107846,33404,9584,20947,16073,13326,15745,1336434,312981,160620,22397,42020,31112,26988,61549,16222,8644,663,705,447,2229,2303,1334,0
584468,71611,19481,11958,7913,24988,22147,14332,1845111,182501,45010,47006,19699,60009,66743,28091,10695,3577,5132,4710,2490,3637,883,1210,0
448683,67024,14197,9874,10332,25388,18033,13841,2206666,258297,40749,27026,24080,58627,32870,26941,3314,4273,1403,1974,2049,4934,2858,3142,1
355956,60082,7393,8915,13909,9949,9156,6078,876715,150111,24560,14868,45149,21330,19068,13522,4827,10436,2081,2857,2276,1176,525,1117,1
85238,19288,7190,8795,17443,20418,14903,12140,552714,60788,12987,19193,43333,41896,34835,23704,4733,6718,1811,3472,3408,10384,5689,2478,1
521206,51964,10538,14167,10316,23062,13602,8617,3024414,174943,33124,63004,28549,75033,36833,19726,40299,9222,2122,565,2091,4187,3083,2475,1
309510,37076,13521,29268,16986,23897,12840,9361,1279650,88312,38222,120052,40667,53304,25921,19343,3428,999,330,1896,1924,12925,2325,3010,1
81294,22161,8998,12633,8741,24486,13526,9928,196819,81505,17680,19691,15498,56450,37430,16623,1349,3489,1699,4413,4064,6136,2554,2264,0
175784,56843,9261,8929,7247,12869,12839,8271,545337,160214,18863,45206,15476,31798,37576,23314,25351,7429,1335,475,1871,1291,1322,1099,1
303077,35991,10896,8277,6250,16537,15484,7821,663727,86074,28564,25879,14035,34129,31640,11960,3184,11160,3755,1152,2847,4663,4361,2678,1
552052,189674,35124,16690,20517,19035,16370,11345,1895072,811448,168097,38687,61970,34961,39507,32440,3660,7676,4143,2683,2527,4215,3002,1730,1
38876,10877,4075,6431,10497,8771,7663,6982,174636,27995,6983,15569,28379,24244,19994,23655,1771,4829,484,1324,1267,781,770,469,1
491770,94057,15515,14024,16168,26664,21175,15264,2132163,213355,33465,29846,25616,65128,37165,33972,7616,6338,1472,993,4632,2619,1029,944,1
404239,123571,26077,19229,21595,30670,30325,14509,1015579,341624,68181,42968,49547,50288,54244,26433,28751,19166,2211,5505,7571,7378,5853,5706,1
357195,66250,15796,7515,8532,8391,7244,5366,1595282,229143,56193,16226,23989,16610,14245,21080,14316,7587,1938,1152,1145,2484,1289,1522,0
801937,139720,46777,22242,29857,25591,22905,15233,2546183,348054,208702,49342,79462,60618,39778,33340,103891,10824,4918,2067,2055,4512,6888,4197,1
