delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_max,theta_max,lowalpha_max,highalpha_max,lowbeta_max,highbeta_max,lowgamma_max,midgamma_max,delta_min,theta_min,lowalpha_min,highalpha_min,lowbeta_min,highbeta_min,lowgamma_min,midgamma_min,state
980329,157152,38678,21348,12353,29722,20237,22873,1809850,287068,121382,54576,28665,57822,31897,45226,257256,42737,4345,8704,3855,5004,4525,3658,0
1283023,442413,14823,36867,16406,23420,24033,22834,1963393,1525301,28822,113190,47757,52613,50621,64872,187084,15624,855,1506,1245,524,1046,648,0
1789464,207464,79571,35173,29444,67048,38697,19788,2790611,345941,212254,82402,60501,190857,105259,57293,986205,10235,12900,4104,2218,5337,3136,4877,0
667704,211498,33266,10069,10083,23274,28922,15238,1250602,742810,119369,24837,17492,70491,62475,37448,54063,15290,848,2496,4200,6292,10900,7395,1
635702,115176,17634,8797,10763,7773,7376,7544,1291011,282005,28466,16863,16561,14502,12670,12643,119036,42466,7334,3957,5231,3197,3837,2616,1
695633,173853,51920,29021,19621,35082,21656,20846,1282056,405072,194155,68885,49084,65712,39250,47422,61896,12708,2123,4144,3421,3402,2651,2079,0
509088,298655,34867,30438,17389,30472,21841,18142,699624,978877,110390,55914,30843,66073,37685,43695,68164,31399,903,4319,4544,8419,4709,5587,1
909417,200549,33276,23877,12199,45909,29381,18378,1458367,561780,62178,61168,15421,128055,65416,44227,231104,42260,13373,5786,9032,13229,15627,8524,1
1094440,193435,66648,29343,28290,46538,60309,49258,2134069,349591,102354,46526,43754,77625,124470,120545,559310,66898,28143,17799,16302,15218,14427,11214,0
432686,455061,51581,34555,16177,32724,20469,14351,673227,1706168,170035,87642,28274,64871,38999,25711,1483,8715,8102,3957,2518,6426,3546,1371,1
672801,191038,34415,38943,19112,33102,35282,38337,1663993,546718,73016,69683,34324,88270,82327,129020,52104,20181,13213,13261,9673,5337,9404,3151,0
834227,127631,89123,31284,28496,29770,25454,15090,1760129,228338,268209,57176,55016,48734,51832,40056,262966,12169,3313,11594,7653,3771,2925,4039,1
273800,74729,16253,15538,8656,11169,9407,3682,784551,200320,33932,48314,24570,16054,14296,6447,47602,31872,8298,1702,1950,2554,6903,1989,0
352916,83584,24807,21408,22878,23481,24613,14353,883452,191483,65796,54717,68205,49327,55020,39715,113977,18837,8319,1659,763,12530,9057,3510,0
1075790,336499,51837,25566,25606,31820,36016,29032,2629744,738491,134375,67614,40965,66559,60181,62095,82632,32766,7153,2397,2554,7205,3258,1320,0
599894,95180,30273,26430,18411,44895,19451,13410,1255862,155676,35664,43208,32057,61075,27652,21623,32976,55996,19314,8651,13044,30450,4088,6674,0
669812,123144,29415,23616,12923,31001,26460,20126,1615663,151299,50851,48165,21347,53232,44187,40576,105705,93354,6414,4656,3893,9075,12638,7173,1
580193,90090,8690,5969,7952,12389,7452,4321,1008209,190970,23862,8089,12634,29661,22578,6019,176685,36706,535,4259,2613,4852,1563,3426,0
644433,222473,47050,27710,19991,67419,30762,32104,1114101,601465,148533,66220,47781,162752,65917,66110,198727,7738,631,2936,1994,4226,4254,1703,1
623064,116056,62172,23498,18257,25746,40072,15730,985451,180116,173985,37367,32358,52340,110132,23341,114095,79858,15988,4038,5992,6881,4756,2606,1
1154087,352514,39497,29455,30828,46567,69515,34163,1593224,725591,61820,40591,44755,81080,174623,60932,714758,168195,8478,14117,25201,13784,8770,11590,0
995820,123577,34234,16238,21302,23906,20042,14601,1966329,241280,78627,36080,38364,57637,48039,41908,131421,58991,1365,2647,2807,4001,4073,3439,1
333559,322848,8506,54782,18223,25834,25683,19416,540877,1012263,17184,164213,37060,63039,52803,42176,82854,9598,1976,4045,8169,7100,12600,5285,0
636961,189736,23698,33002,16931,22948,33130,16983,727868,383433,32377,72173,37264,33905,50269,34567,489675,68356,18194,6981,6856,12238,14815,9550,1
1409300,114132,66196,34031,18279,25741,41570,12454,2010144,130784,174813,108190,27067,58943,92361,23954,895868,69539,17909,6870,6216,9595,17155,8267,1
