delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_max,theta_max,lowalpha_max,highalpha_max,lowbeta_max,highbeta_max,lowgamma_max,midgamma_max,delta_min,theta_min,lowalpha_min,highalpha_min,lowbeta_min,highbeta_min,lowgamma_min,midgamma_min,state
501861,123897,38325,12308,16760,25651,17834,17195,1809850,281433,121382,22862,54474,57822,39345,36883,79931,37562,4345,5173,780,4215,2530,1825,0
1059775,318730,15615,28383,20521,27211,22956,18895,1963393,1525301,28822,113190,47757,52613,50621,64872,26305,9209,1743,5718,4093,6154,9937,3226,0
1460302,224026,77948,49461,38579,75468,42665,30600,2790611,345941,212254,82402,60501,190857,105259,57293,453985,39206,12361,19396,19395,23743,13474,8004,0
572873,164165,28677,9630,7197,26897,30125,14881,1250602,742810,119369,24837,10013,70491,62475,37448,6298,4927,848,2496,2336,6292,11031,7734,1
535946,126693,14628,10051,8443,10709,8071,7996,1291011,282005,28466,16863,16561,20351,12670,12643,119036,42466,2126,3957,2160,3197,3837,1915,1
662955,127413,39667,16671,8946,24704,14630,16168,1282056,405072,194155,68885,21570,65712,37043,47422,61896,12708,2502,2394,2148,3402,2651,2079,0
650099,262192,43010,26221,18106,27328,24817,17318,1293589,978877,110390,55914,30843,66073,38577,43695,68164,63085,999,5545,7076,3727,3578,5831,1
801218,204989,24094,21865,13831,45559,48615,20384,1458367,561780,62178,61168,32619,128055,169192,44227,128805,22008,3246,5160,1162,5016,3921,1297,1
1183260,198240,49387,20756,28492,46778,50947,42692,2134069,446773,102354,46526,57700,77625,124470,120545,81124,45091,1557,1917,3270,14920,3358,4159,0
531208,323670,50011,26999,16425,20756,16292,10466,1317516,1706168,170035,87642,28274,64871,38999,25711,23559,17820,8102,3957,2206,2909,1751,1371,1
701890,361891,78374,41857,26209,47789,40614,37954,1663993,1292544,315067,78663,72248,132322,82378,129020,149039,20181,6936,4234,1190,3521,3392,1616,0
985283,219723,105471,40523,27888,62896,51324,35637,2274756,539508,268209,97656,55016,157673,117029,75754,262966,12169,3313,11594,7653,3771,2925,7259,1
637400,154943,40496,41892,27562,53126,28560,33949,1521903,542967,84107,140096,91465,114290,72660,92489,47602,31872,8298,1702,1950,2554,6903,1989,0
753110,235936,26436,18274,17038,50875,33193,12172,2294070,929054,70038,36211,32713,164231,86897,25657,113977,18837,8319,1659,763,10054,9057,3510,0
1423481,218688,40502,10093,22423,31145,38695,18678,3242523,738491,134375,27757,54061,100945,116580,43849,82632,20456,3853,2397,2554,7205,3258,1320,0
1156872,120354,42117,28827,19820,33669,28824,23156,2822957,273811,106518,73661,52359,47706,69212,81303,527177,33804,20668,8651,6813,15662,4088,6674,0
605730,91581,23874,25341,15498,30954,25776,19712,1615663,151299,50851,48165,28254,53232,44187,40576,2002,12433,5735,5489,1380,9075,7779,11202,1
578462,78289,23979,6069,7927,14918,8017,6097,1008209,190970,96305,8951,12634,29661,22578,14698,151318,18307,1618,1370,3639,3193,1563,978,0
989816,297260,41456,34871,34912,68935,41501,43944,2442935,601465,148533,66220,83746,162752,79803,88294,198727,42215,3755,2936,1994,8467,9908,3592,1
504865,134216,39736,13367,15116,37395,34779,13160,1088618,392634,173985,31540,32358,140008,110132,28601,63817,12711,1215,2138,5106,6881,4756,2606,1
1193301,331167,38369,21987,29223,51231,58299,30402,2241701,725591,70392,39333,65045,96777,174623,60932,497478,4338,3126,3309,6093,6843,4264,1769,0
729277,84558,21173,11823,21162,19081,19225,9920,1074987,155582,36793,28136,47694,41155,42050,23447,131421,41657,1365,2647,2807,4001,4073,3439,1
