delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_max,theta_max,lowalpha_max,highalpha_max,lowbeta_max,highbeta_max,lowgamma_max,midgamma_max,delta_min,theta_min,lowalpha_min,highalpha_min,lowbeta_min,highbeta_min,lowgamma_min,midgamma_min,state
159633,45644,8341,10248,9084,16670,21224,13779,635651,115266,20699,24695,16325,36443,66758,31029,14987,20919,2103,1748,2691,4531,3358,2789,0
455366,105477,15851,11630,20037,14442,14333,12387,1545763,430844,29342,28345,47235,36755,44496,31805,11177,7117,5568,2988,815,2006,2061,1680,1
628472,146834,53256,21565,22912,37242,35271,21817,995915,324862,182228,50663,52134,59194,63313,48557,101782,38716,4364,5350,5899,6221,9591,5888,1
504135,406422,43806,33141,16603,33907,20437,11462,1291287,1807282,88208,105340,40071,57455,31775,20749,25695,14687,3670,9390,4603,7037,8769,4646,0
121897,22621,10186,10814,14506,10095,8464,5533,263890,46742,34376,30833,45775,21991,25235,12897,7980,6887,3177,2202,2429,1146,817,1087,0
388042,62056,16555,10085,15970,18063,10480,12644,1766916,233202,61933,18754,33495,46534,22552,28224,5159,11381,2842,5022,1313,5170,2066,2402,0
709186,137461,42001,11555,21944,15634,13185,16074,1336434,312981,160620,22397,42020,28816,26988,61549,72496,8644,663,705,447,2229,2303,1334,0
726908,78476,21086,12756,7983,19640,20951,13160,1845111,182501,45010,47006,19699,46446,66743,28091,62588,14386,5132,4710,2490,3637,883,1210,0
551734,77852,16861,9572,10723,25331,15337,13142,2206666,258297,40749,27026,24080,58627,32870,26941,108213,4273,1403,1974,2049,4934,2858,3142,1
435089,74610,9100,9725,14792,12154,10337,6291,876715,150111,24560,14868,45149,21330,19068,13522,4827,10436,4139,2857,2276,1176,525,1117,1
110789,20428,6762,9062,19866,23143,16690,13858,552714,60788,12987,19193,43333,41896,34835,23704,4733,6718,1811,3472,3408,13719,6648,4521,1
669977,52496,9824,15266,9592,26426,13548,7519,3024414,174943,33124,63004,28549,75033,36833,16902,40299,9222,2368,565,2091,5041,3083,2475,1
330269,38059,15939,27295,14372,24141,11359,9876,1279650,88312,38222,120052,40667,53304,25921,19343,13447,999,8151,1896,1924,12925,2325,3010,1
104766,27147,10490,13649,8932,26024,14815,8196,196819,81505,17680,19691,15498,56450,37430,14856,1349,3593,1699,4413,4064,6136,2554,2264,0
121827,36323,7205,10402,7207,10782,9026,7716,199785,116345,18863,45206,15476,22091,26849,23314,25351,7429,1335,475,1871,1291,1322,1099,1
292337,30565,8521,8902,6336,16305,16053,7640,571822,58747,23042,25879,14035,34129,31640,11960,3184,11160,3755,1152,2847,4663,4361,2678,1
714951,249898,43813,20390,25264,22132,20129,13243,1895072,811448,168097,38687,61970,34961,39507,32440,3660,9661,4143,2683,6829,7045,3661,3477,1
50955,11626,4261,5446,7329,9513,8143,7226,174636,27995,6983,10341,13185,24244,19994,23655,1771,4829,484,1324,1267,781,770,469,1
