delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,state
210758,43463,13618,11684,4803,4513,2739,2636,333878,19032,1249,11308,7505,6742,3169,3445,-183374,-34361,-2993,3508,10818,472,6015,4036,-110557,-25340,-10726,-9892,-392,-1153,-1068,-1869,-151715,-23793,-5387,-6926,-3227,-1846,-339,-2176,-123927,35476,5284,-3317,11329,1649,8489,3064,difficult
58727,37485,3763,6551,1829,3229,3275,1727,1683078,393823,17284,-1735,17440,3206,-1850,4906,-10338,-33543,-3469,-5338,-1510,-2628,-3114,-1626,59955,70575,-1205,2145,6557,19232,-1236,3248,-20542,-22948,-483,-4546,-329,-1819,-2248,-460,-54305,-23881,3563,212,6537,2563,2171,7705,easy
172075,44530,7101,3045,9703,9568,7759,4173,-169135,-26042,-2880,5370,-2208,4507,4383,4297,-110921,-21932,1573,9508,-8571,-6403,-5569,-2578,-124473,-33092,-4919,-435,-7868,-6684,-5624,-2897,-136962,-27879,-1652,-1434,-9395,-6921,-6586,-2011,-77723,-35977,-6298,-233,-8293,-5975,-6914,-2731,difficult
184811,10538,8855,4132,8639,4203,4141,3255,-56834,14799,967,7104,25097,15398,7378,255,-171440,1325,-6999,1888,-6474,-1312,-2259,-2647,-182224,-5522,-5527,-1974,-710,627,2697,2510,-129884,11089,-2438,600,-6214,-1397,-2459,-1020,64865,43876,4161,6941,-4911,-1072,-266,-1470,easy
12520,7181,2752,5035,6068,8082,4833,4276,30323,7800,-1990,-4096,-1854,-5224,-3557,-1960,114655,74454,3272,181,-26,-4002,-2981,-1318,-5524,-3377,-1689,-2691,1392,9588,3933,196,140649,116637,18008,34360,19825,7432,2062,-20,28904,5690,934,-2750,-4156,-6573,-2529,-3242,difficult
256866,197756,31205,23995,37935,20750,4933,7252,451484,-85119,-10365,4209,3246,8282,23031,9691,-176780,-167421,-28613,-22528,-35885,-19354,-3397,-6704,-220016,-188127,-30202,-22815,-37053,-20149,-4151,-6952,-185017,-185679,-27365,-14166,-37162,-19397,-3193,-5969,-223219,-192381,-20856,-22600,-33139,-18498,-3377,-5393,easy
37326,18170,3984,7707,7691,5610,4413,4546,87324,9110,-1488,-4018,-4812,-3378,-2814,-3547,33638,12411,499,-6178,-5864,-4963,-3943,-4367,-25390,-10203,1093,-5659,-1395,-2436,-1287,-348,-12734,-5881,1237,-4222,-6776,-2778,-3223,-3655,53410,-1641,219,-6828,-6894,-4752,-4049,-4439,difficult
272473,219522,57695,22840,8478,19011,21784,12219,1202486,-173609,-20556,24814,2840,-6442,-12188,1662,-123188,-183347,-32446,-3349,-5811,-11760,-19300,-11216,656161,96987,-47337,335,10524,6109,13065,3294,2357878,-5371,239061,71114,54917,126487,12669,20084,-224206,-212625,-48036,-10114,-4818,279,-11433,-2558,easy
106662,36957,4185,7552,5036,7229,8269,3773,-81461,-26948,-3184,-6937,-4613,-6605,-8007,-3461,2466,-15172,2172,-6768,-3846,-4182,-7468,-2493,40336,-13365,-2107,-6724,-4186,-6249,-7964,-3429,-52190,-29484,-3235,-6829,-4573,-6024,-8029,-3599,-102689,-34897,-3041,-4158,-3513,-3739,-6743,-3170,difficult
645967,97053,32845,10158,20035,9421,7315,11427,-444668,-88695,-30805,-3934,-18376,-8006,-2438,-10020,-605696,-76997,-18360,-8604,-18510,-5100,-3320,-8015,-530794,-55182,-25611,3596,-9033,5118,9760,-8829,-571298,-35849,-26228,-7997,-18134,-6889,-3651,-9985,-524428,-36652,-28989,-6314,-18685,-5377,-5072,-10101,easy
44778,17054,4959,9865,8306,18046,9339,7065,24760,24524,-20,-7666,-5196,-15388,-7073,-5236,56158,1701,17246,5791,3820,-12889,-6166,922,15505,3488,-3912,-7492,-7873,-17690,-8819,-6578,14384,34837,8611,-2864,-5277,-15465,-7433,-4232,-2583,18943,355,-6972,-5368,-15765,-7420,-5758,difficult
171560,148935,65165,59304,10039,12274,10931,6256,-97748,-93222,-54528,-55528,-6621,-1290,-147,-1463,116320,-38659,-48249,-31706,-4960,4369,13982,-1494,1148,-49938,-38676,-42223,9023,2188,3561,6818,104023,-84578,-62703,-58386,-1103,-8151,-8579,-2302,-157170,-135544,-60625,-53123,-6183,-9375,-1909,1137,easy
166621,17485,4552,10626,6889,8517,4815,4424,-115249,23743,4644,-8711,-5268,-5603,-3496,-2816,-75055,46878,12602,-7651,2059,-350,-2745,-2201,-147920,1007,4656,-5990,-2292,-4962,-3821,-3107,126460,36985,6108,1785,-1115,11187,5093,2246,-114593,15111,11235,-6863,-4642,-5692,-3679,-3325,difficult
346287,51802,3698,4088,9523,7539,1902,2663,921568,30144,3071,8465,2815,-2919,3145,3671,1487264,388412,138420,112647,73924,29660,48084,20637,-81887,13770,112516,16261,16841,25286,6789,5756,-307522,-37169,-3172,653,-7719,-4702,-1606,-2399,-138880,-10101,32438,14296,7883,21236,2509,1738,easy
188908,71994,11302,12677,18377,13727,3712,5408,1585,-59740,-9781,-11772,-16200,-12546,-1784,-4719,17844,-48238,-6441,-8302,-14129,-10354,-1938,-4030,-2045,-60438,-9829,-10357,-15233,-12652,-3017,-5140,-136479,-65939,-4011,-9447,-16528,-11662,-2745,-4121,-140119,-52806,1494,-6684,-15919,-10566,-2384,-2467,difficult
720815,90577,28124,18466,14703,31871,17690,11540,241726,51609,-18917,-5357,25631,-16422,-10492,-9059,-708741,-69576,-22780,-17155,-13652,-31178,-17420,-11153,-650039,-64530,-22012,-14568,-12538,-30812,-17024,-11068,-579677,-56286,-27045,-11949,-4208,-28031,-14732,-8508,-655014,-86324,-24582,-16614,-13906,-31458,-17279,-11299,easy
297498,31512,15485,23662,10433,27362,22458,12807,-96363,-4770,-2764,-16432,-6078,-11867,-16073,-9822,334104,25668,5501,-9830,7052,-6063,-18712,-5652,-241371,20530,10159,-18623,-6118,-16389,-19669,-11134,-260592,-6996,-12553,-10286,-5317,-18808,-15411,-10151,-227745,3464,-11728,-23501,-9285,-25597,-18742,-11993,difficult
113373,30414,7243,5241,2425,2792,1985,1486,-67625,-11282,3896,114,-294,-1307,348,153,-61033,-11862,-2844,-1837,954,268,113,283,-93277,-26675,-3629,4641,58,4602,561,2892,-68552,-16296,-4747,-2255,-1503,-757,-1417,-567,-103286,-18487,2499,2664,197,3143,1840,2811,easy
132596,25591,3954,7914,6593,5764,5505,7130,143309,3897,812,24023,15382,9864,15865,8751,-97445,8680,938,12263,27393,13400,3430,-2742,41072,19349,10624,-2744,-3481,-1545,-2661,-4970,-93194,-18270,-1787,-4266,-4728,-2993,-845,-6207,-128297,-24019,-2882,-6743,-5313,-203,-3899,-3024,difficult
486885,72654,14741,7983,3344,6233,9418,4570,-355747,-26872,5917,5857,-430,-3003,-5284,-2607,-298845,134790,44604,10,1897,10109,675,902,-158891,-49176,-9661,-5421,-2433,-5271,-7614,-3788,329482,48461,27851,7792,35609,61990,32727,8872,-396452,21542,8346,5149,1638,731,-4831,-1650,easy
71890,33981,3720,6369,1934,4369,1703,1927,32289,-22416,-1821,-3818,2072,-1702,647,-846,-64476,-22855,416,-625,6944,2123,5960,647,13913,-29266,-2519,-2934,646,-2317,150,-66,-58310,-27781,-1848,-4558,2090,1575,4960,2735,-41399,-10207,-2344,-3076,-746,-2350,181,-1258,difficult
142138,28224,6369,15425,14021,3879,4969,4496,722556,-2252,82621,27256,17764,3752,3247,3981,1281585,18056,-2841,-8986,-2343,2145,-802,-2311,-133506,-21198,-3405,-10743,-6047,22,-1308,-1138,-119296,-11568,-1371,70,4709,8072,2617,7883,-11636,-10592,-5539,-12802,-5581,-745,-112,-1028,easy
441247,63490,17229,11854,4674,3926,6408,3413,81084,-50041,-3506,3133,2684,757,-3048,-1070,-227373,-44107,2763,8127,-2393,4093,-3027,-356,-429166,-58096,-16431,-8407,4392,4256,-1089,-353,-420054,-43530,-7565,-10198,-2519,-1856,-5498,-1996,-243439,-42520,-9359,-10028,-2995,-386,-5363,-2529,difficult
90622,23988,5103,5489,2919,2226,972,1397,-66444,52429,23963,56535,4380,4008,4898,754,-66836,-12379,-2931,-2275,-1580,-623,-72,-844,408048,26484,-892,1724,5346,6166,2503,3613,1999152,315096,15118,7532,19423,22458,25000,11969,159063,20834,19905,36580,24035,9694,4447,7799,easy
331862,99695,17705,22481,9043,22859,13730,10021,-257458,-6673,-16441,-12784,18398,-10530,17241,1876,-249586,-69816,-12528,-17597,-7028,-19210,-12463,-8824,-201168,-15832,-8673,-19143,-5893,-20755,-10880,-9251,-288001,-75740,-14531,-19216,-6954,-19461,-11413,-8902,-288001,-75740,-14531,-19216,-6954,-19461,-11413,-8902,difficult
125184,50580,8169,6834,5440,5514,2834,3142,-35296,-34008,-7435,-5001,-2403,354,-1227,-2198,-83559,-20559,-507,-3438,-4457,-2463,730,-2301,192859,-45030,2986,2142,1324,224,4085,-196,-73229,-42218,-7247,-6487,-4960,-4436,-2455,-2566,-82801,-38715,-7870,-4702,-4068,-3813,-1540,-1106,easy
1790513,133247,32533,48521,44089,75844,87712,32149,-1459121,-40109,-19202,15704,77719,-58289,-75608,-24614,-1703735,-112034,-3960,-39964,-13225,-54847,-64078,-23177,-1767762,-113055,-29221,-35995,-34102,-71113,-82985,-27675,-1709419,-64427,-13272,-23961,-25172,-67431,-82315,-25232,-1779798,-123903,-30674,-21717,-32780,-59012,-80861,-27348,difficult
60076,28801,5508,22283,2341,3301,1642,1755,-56656,-18215,7658,-18570,-131,-2742,-1196,-1426,36249,18061,68916,-11581,32430,5308,1766,94,12570,-17630,-122,-20882,-1123,-2353,-1235,-1526,22145,-14969,571,-21185,-1003,-2276,-1139,-1176,-55392,-11691,-5287,-20090,-1501,-2391,-1209,-1168,easy
41817,19774,8147,21124,6245,10829,12594,3155,227357,-7187,-7899,-17654,-3369,-9613,-10214,-1842,416461,160842,4081,-8259,379,-4821,-4053,331,5444,7097,1349,-17531,-2806,-9350,-11162,-1530,20821,-7761,-4650,-16037,-4457,-9332,-10801,-923,8577,-240,8933,-456,3833,-4488,-5912,4220,difficult
460610,32744,23408,16948,14273,18635,11902,7553,-73993,-24408,-21386,-15119,-12331,-17993,-11390,-7244,-371752,-7221,-21715,-12095,-6989,-7245,-9228,-5962,869793,37806,9733,-197,-4488,-4815,-423,6624,-459010,-23019,-21736,-8843,-4796,-3554,9738,1768,-440933,-7064,-16694,-2551,-9950,-8653,-7604,4423,easy
234324,117159,4750,12609,9197,11448,12490,7715,-218899,-106819,1443,-4396,-3601,-5388,-6769,482,-189442,-89173,6331,-10037,-7327,-9656,-11379,-6632,-200234,-108318,13,-9131,-8556,-8061,-11664,-6487,-171262,-94313,-1338,-10890,-8519,-9567,-10441,-5676,-230411,-114828,3715,-9495,-7151,-3390,3022,-2947,difficult
