delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,state
1790513,133247,32533,48521,44089,75844,87712,32149,-1709419,-64427,-13272,-23961,-25172,-67431,-82315,-25232,-1779798,-123903,-30674,-21717,-32780,-59012,-80861,-27348,difficult
60076,28801,5508,22283,2341,3301,1642,1755,22145,-14969,571,-21185,-1003,-2276,-1139,-1176,-55392,-11691,-5287,-20090,-1501,-2391,-1209,-1168,easy
41817,19774,8147,21124,6245,10829,12594,3155,20821,-7761,-4650,-16037,-4457,-9332,-10801,-923,8577,-240,8933,-456,3833,-4488,-5912,4220,difficult
460610,32744,23408,16948,14273,18635,11902,7553,-459010,-23019,-21736,-8843,-4796,-3554,9738,1768,-440933,-7064,-16694,-2551,-9950,-8653,-7604,4423,easy
234324,117159,4750,12609,9197,11448,12490,7715,-171262,-94313,-1338,-10890,-8519,-9567,-10441,-5676,-230411,-114828,3715,-9495,-7151,-3390,3022,-2947,difficult
341703,296311,37918,41995,28215,34077,17045,8953,-338369,-274244,-27314,-38336,-25762,-30941,-13631,-6540,-333645,-290816,-37064,-38517,-23563,-33124,-15417,-8303,easy
64789,28017,2961,6436,2379,2389,2200,1247,53257,-2426,1634,-5742,868,2706,-803,463,-63125,-18491,6826,-1763,-728,11772,8008,7077,difficult
9804,17635,8151,14184,7246,6916,4208,2730,67133,41505,4400,15668,1451,1513,863,-1103,119817,194362,2735,17757,-4691,-3128,1163,-507,easy
239387,23891,8665,4952,4543,7794,2970,2224,-169858,-6066,2406,630,-367,-5871,-1381,-854,-121061,58067,13631,1861,1395,4055,3781,2452,difficult
295879,40036,3930,8844,2720,4034,6942,3075,-217854,-32729,-2494,-2074,989,-2300,-5280,918,-106437,106667,-2713,21039,29661,36345,10231,10789,easy
209927,65809,17468,20634,17161,9723,4461,4959,-133077,-30215,-17197,-18397,-15565,-5923,-3592,-4073,90989,-43140,-12124,-19748,-15880,-6715,-3175,-3128,difficult
49241,12655,7852,6571,7428,8565,3442,6241,2048099,396069,24280,1976,15975,-2319,389,-2100,115350,39422,10739,3946,-1410,4016,393,-4334,easy
828701,171612,31600,17148,7991,12193,10766,7592,-713590,-119657,-29267,-16603,-4577,-7859,-9058,-6497,-748821,-145279,-28410,-15932,-5697,-10253,-7547,-4791,difficult
48054,32722,21533,3585,5655,6992,5872,4126,170851,41499,-3503,2035,-2812,4192,2974,2046,-12503,-11862,19757,4260,-688,-3508,-1684,8,easy
421814,173003,59208,20671,43854,40756,38176,13758,-342002,-162115,-51341,-17841,-41388,-38527,-36137,-11417,-354135,-167182,-52798,-9776,-40703,-36164,-35844,-12198,difficult
947288,264184,70109,65835,23787,37065,22411,14745,-666278,-259581,-64949,-63444,-21285,-35015,-21535,-14006,-764699,-194908,-64079,-62888,-21267,-35320,-21649,-14106,easy
371877,105855,12899,9852,7222,9358,6691,4730,-305466,-84886,-10269,-7112,-5685,-8001,-5092,-3109,-299678,-80538,-8393,-7933,-6991,-6675,-4917,-2860,difficult
48599,14625,7165,8574,3891,4451,2302,2683,4730,-2974,12091,-3724,2303,3611,1112,-695,16767,-7049,-3520,-3787,-168,-2967,-1740,-1312,easy
52125,21610,7104,6232,6094,3694,2004,2758,173725,-10367,2247,-1463,-4087,249,225,-1926,15577,-14595,-4473,-4768,-3430,-1762,-948,-873,difficult
218581,189830,29588,31897,12782,36886,36672,7915,618285,-102669,-21546,-17113,160,-27907,-24571,-2596,-110081,-156547,-20264,-20575,-7284,-26808,-30650,-2129,easy
132462,41560,8490,6414,4944,5167,3243,3224,-93182,-25409,-7201,5955,-2822,-892,449,271,-120916,-20504,-116,-61,2014,1057,-858,31,difficult
132606,17842,8184,4363,3969,3511,2108,1551,-104618,2904,-4084,-3310,-3224,-1636,-1623,-680,-98579,-8249,831,-2834,-2130,-1963,-913,-575,easy
454474,21799,11985,10667,11344,8763,10151,3973,-432243,-7707,-3123,-8895,-3625,-5368,-7513,488,-397809,39712,-6761,-9997,-9204,-7569,-9050,-3135,difficult
27699,25064,9285,5049,6934,7739,4044,5053,-1579,-886,10354,2137,-5799,-5023,-2398,-3836,118714,-7330,-77,4478,-639,-5243,-2036,-3990,easy
218125,153388,8465,4744,4438,8466,2755,3018,-213947,-148606,-7294,-1965,-3440,-7893,-2115,-2576,-109739,-89292,-2454,4382,-1340,1307,5688,4163,difficult
875267,106077,9183,25318,14845,9871,11132,3367,-871972,-52566,38410,1239,-13290,-7517,-9203,-2240,-850583,-76878,3418,-1299,-9900,-6228,-9106,-2655,easy
169884,22025,2402,2685,2242,2026,2521,1634,-90608,2514,1214,-1783,-1024,-664,-1505,-124,-70362,34785,16798,11690,4884,5313,2737,387,difficult
909293,191861,24537,45057,32616,20107,19726,12124,-907487,-172911,-5572,-16759,-28656,-10825,-12219,-10812,-901225,-183644,-18817,-36993,-14866,-15462,-14445,-8148,easy
783597,129675,61973,55207,51094,21295,23408,10979,-643902,-102563,-42684,-50628,-46666,-15372,-17849,-8433,-671750,-72469,-57688,-50929,-49354,-12153,-15618,-9375,difficult
440048,36467,10033,15142,7673,8500,9023,5865,-271427,-23475,-5730,-13011,-5057,-3859,-6261,-4580,-184601,-1108,31156,29189,3702,7181,389,4757,easy
411852,88018,11747,15616,5403,5310,4979,2274,-323952,-56499,-10470,-14018,-4280,-4171,-4142,-1569,-294193,-52286,1637,-12319,-2595,-1001,340,3387,difficult
78006,16997,1146,1926,1396,2065,1383,1106,-7862,12055,7080,3066,455,1820,2055,307,79091,33732,2557,5768,1888,623,1082,816,easy
52774,35069,6522,3238,2997,1856,2478,1273,-5507,-19834,-2788,3795,-898,1370,-1687,76,114565,82238,23097,11905,8351,3480,-792,641,difficult
76613,30815,16761,5048,10523,6539,7032,3579,200984,-24376,-15615,120,-8903,-4694,-5753,-2575,-14987,-16889,-10852,-665,-10202,-1297,-4549,-2271,easy
193657,30570,7111,6169,3660,5718,1490,841,-172674,-5544,-6521,13197,-942,-2731,-687,268,157674,-160,20186,-979,-1617,-1879,4710,346,difficult
174206,76255,3257,11416,18149,11591,15600,9744,404817,-48120,13826,-8302,-15283,-7084,-12281,-7065,-135392,-41445,12656,1491,-4485,-1076,-7353,-5316,easy
768279,179228,15536,29164,13994,17222,14796,8773,-276169,-126735,45814,-21372,281,-9386,10173,19968,-756894,-167566,-5008,-13708,-29,-919,1874,8010,difficult
