delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,state
121655,19423,3348,3583,2891,2646,113741,55539,9652,4593,3180,3669,-14741,-35592,-4252,-4053,-1988,-2460,93342,-25319,-7079,2879,2967,856,-54860,-47437,-7582,-1855,-1845,-1466,easy
892562,147166,51198,30780,12017,17471,642526,69286,35625,22089,10808,25029,-332403,147788,23204,15554,9178,-3022,-260062,88641,28700,13863,-784,-11095,1342572,-2788,-5184,-3345,-4766,-8556,difficult
252773,34286,11566,14628,20313,10939,37388,20846,11418,7448,9117,15375,-33246,-14431,-9668,-3615,-7736,-9209,235141,-7206,-11087,-1175,-2331,-12260,444261,61956,21199,26330,43655,8161,easy
73061,24317,4972,4088,1810,6537,332769,101712,33116,15616,12976,15401,-202732,-38522,-20397,-8238,-11130,-6156,-300579,-96962,-31641,-15406,-11975,-13998,-275813,-96700,-32394,-10941,-10392,-6439,difficult
1262186,78882,11819,28848,13860,14075,155724,27312,6091,8494,7978,12709,-81351,24990,8238,6728,5407,-9679,1973865,61174,13206,37969,8883,7388,1426872,68546,-4260,16366,3355,6390,easy
145977,94185,5428,13143,10778,11947,365913,51775,19394,8740,6131,8937,-281956,-12035,-6847,-6237,-4271,-6761,-53887,171759,-16866,24378,23196,23642,-323964,-32493,-18186,-4931,-4984,-7850,difficult
63327,12147,3602,5289,1913,6912,401964,39223,6570,10225,4845,15236,-301628,-27803,-1515,-3580,-3669,-7883,-363948,-23031,-3828,-6451,-3377,-9527,-350335,-30395,-3562,-4778,-1749,-7562,easy
475924,113780,34891,6777,6949,4896,566543,70652,9531,16856,7068,4946,91705,88819,54051,-3322,5118,4585,95435,87893,23797,-13774,-1021,-1300,-458998,-47329,-1769,-13140,-4454,-3435,difficult
93946,20617,13166,13132,8895,12613,352561,159406,20453,12011,10053,27216,-243148,-141332,-3379,-2674,-2575,-19578,-215458,-139829,-18702,-4024,-7736,-20393,-317240,-135205,219,10061,6838,-3839,easy
556859,115843,34848,31572,15452,19539,357327,134321,23989,31477,9514,24933,338815,-66271,-20053,-11369,-5765,-20184,43770,82196,31619,-22888,19811,-1683,216012,-71359,21011,34543,3769,5684,difficult
771984,214512,54868,22855,9630,20856,145497,72664,12901,9181,6597,15723,528260,71712,96169,39309,11224,22073,1098408,174219,30153,-1842,166,-2773,252793,179614,-420,3554,-2292,-3902,easy
601369,82833,32564,4003,10307,9817,169883,47335,8819,9080,3069,2626,1507046,130874,67604,-6217,14764,14345,-97498,-5836,-4847,-4129,-1340,-1838,-115091,-18545,8478,-4885,8289,9066,difficult
349636,42256,17856,5013,5211,4208,183072,57774,20126,3777,2802,6674,-42925,-26048,-16159,-2984,-1000,-5134,475807,14507,-17584,5673,3489,-2858,66811,-35013,26932,1018,4738,595,easy
284274,83892,30397,12100,14200,11398,59558,36981,1401,5302,2841,9717,-23434,-22530,-3,-3511,289,-634,591041,180882,82501,27989,33502,8647,106540,-17618,4490,-4083,285,-2970,difficult
395500,35725,10774,9757,7954,18745,211959,50731,8336,3696,7366,6794,-201877,-37109,-6256,-1072,1387,20768,365185,-32176,187,6011,-3626,2447,387316,24266,13382,13243,4003,12637,easy
388381,124372,21193,14415,7509,11650,401609,95754,23943,10043,11451,34241,160135,-9450,-18000,-6767,-8607,-31548,48883,112062,19022,17011,-813,-20959,-248703,-16757,-9272,2871,-2406,-15265,difficult
565666,303593,20230,19192,20623,48880,476738,133029,22730,9851,21769,21132,277251,154020,11187,16015,7429,89111,439262,474647,-779,20471,9056,13969,-449728,-116975,-17908,-8463,-19924,-19836,easy
672553,49734,13495,25853,14080,8876,428911,153602,40251,29159,14246,6740,-285334,-113914,-37830,-27533,-10612,-5535,1395010,-65824,-5553,28560,16524,13611,-378749,-131866,-36885,-10945,-6410,-1667,difficult
284059,34757,10633,6143,7863,10179,285906,95535,31317,14007,9835,22104,-137353,-35127,-26519,-6668,847,-17322,410946,-59011,-6339,-10061,-5683,-18386,-279135,-88195,-29193,-6862,-1079,-68,easy
763957,273929,60140,28859,6696,13302,655026,182818,13055,15130,9291,5572,566451,467480,91163,42386,4793,23802,-281238,-103293,29671,-1453,-7974,-1502,41580,-90855,20422,253,-4603,890,difficult
1065080,369743,35376,14741,10534,22729,1583718,130962,21894,23203,21173,10754,-1341392,-46115,27444,-15065,-12933,-3835,50896,375545,27968,-7468,-10545,15376,-265418,386912,-14966,-2852,-8438,24385,easy
96748,14282,5296,8414,4923,10497,568606,35840,11225,13803,6081,7354,-498330,-20154,-2048,-9243,-2498,2977,-524118,-20108,-6914,-10355,-3207,-4070,-393125,-24412,-8824,3430,2232,10523,difficult
629096,78325,26311,17199,10202,6441,745501,119977,11089,5833,8498,5836,-284635,-86174,-3544,-1499,-3538,-3404,-660763,-95600,855,-3205,-7310,-4686,596183,56817,48356,38801,15961,9906,easy
220655,48554,18845,12503,9306,21609,586485,61992,17612,9043,6631,32203,-423221,2098,-3594,-282,-3639,-27225,-91326,15002,22252,15079,6772,-2519,-582943,-57415,-14958,-4417,4892,-2039,difficult
279144,42728,11323,11907,2492,2538,791126,86669,25657,5250,5238,4447,-463481,-74286,-21449,-1992,-4457,-3652,-670380,-9316,-949,26332,-627,918,-402084,-48221,-20604,-4368,-3153,-2994,easy
983262,374785,128565,81180,222131,38179,1654684,360661,140413,138705,65684,66167,-1579628,-355083,-136698,-133313,-58090,-63393,-760888,-303533,-135331,-120980,-29606,-54282,326251,700989,236486,81718,557037,33711,difficult
836081,399977,96853,46322,14172,21574,1123621,66974,22647,27738,20819,7370,-578849,17192,102460,-1437,-16838,29346,-558562,100808,5625,-5270,-1601,-2878,274792,881010,114532,62458,-1503,16145,easy
83589,26876,7069,8222,7234,14079,135052,28343,1944,5379,3967,6874,-119109,-11382,-693,5392,4994,8055,60106,-23216,94,1133,3113,-4104,-95385,30198,15973,2005,1693,17664,difficult
1186690,343255,103196,30632,41701,15155,647284,262744,59247,98371,18234,12844,848967,-89271,44446,-84290,-6871,-6487,1073158,427131,119016,-34162,84658,17018,-303907,-96327,-31616,-84766,-7387,-3597,easy
23333,16411,3301,12701,3637,8509,34103,17302,3944,8973,2407,2133,11006,15900,-375,-6198,-506,-225,-14305,-3503,-2375,-7026,689,18440,-29010,-15071,820,24407,3507,913,difficult
556611,162927,32117,11097,7302,6141,524332,55052,6366,7601,4742,5352,172903,298623,70677,3759,6900,6020,-250619,-30190,-3685,733,-3201,-3348,174554,55191,10260,5997,3981,-305,easy
171703,13570,3700,4656,7633,4983,468426,403029,69104,66386,27813,46755,-309958,-389371,-66107,-66147,-25827,-45540,-359362,-400704,-66118,-63355,-14515,-43700,-220849,-378301,-63987,-55688,-20198,-36076,difficult
549764,567861,46891,22835,29609,24490,675291,198252,27999,21287,10240,6130,652335,1004925,83735,16011,43960,56698,-525722,-172678,-13202,-14703,-3403,-4797,-503193,276581,-13858,3336,17551,3178,easy
984330,114413,48553,13396,16034,14121,1016004,41699,13619,5704,3447,3674,-121384,89893,15414,1839,7771,8518,-485956,28664,-5342,1344,7070,2418,512319,99585,94731,19894,22921,20405,difficult
192753,52239,14851,4475,7261,12381,157163,28736,3608,3555,2263,1778,-11621,-2232,6575,-1063,1478,2520,256672,76908,27866,6460,12646,21778,-138281,-4167,-711,-2638,869,7510,easy
66231,13567,1055,2969,2968,5158,88352,33473,2895,6075,9650,8968,-49424,-21181,-2072,-5527,-6852,-8298,27307,-16870,-1683,-4607,-6810,-2530,-44247,-21667,-1766,817,-6383,-601,difficult
60369,9902,3180,6030,3708,5465,275552,45155,7016,3692,3404,11192,-269367,-40957,-4629,-1141,-1316,-6970,-258911,-39898,-2545,3718,2559,-2738,-117272,-24903,-4333,4438,-330,-7474,easy
188410,39585,4390,4610,7038,4692,284201,43153,5211,9590,8503,8260,15450,-24331,-1053,-1202,-6252,-5827,-38875,55227,1245,-4660,8659,-512,-263947,-41600,-2656,-9079,-6802,-4365,difficult
101156,48545,7015,15742,8456,16580,504816,87783,13747,12167,3545,22510,-326511,-10885,-1651,10980,3636,14178,-456746,-36974,-10417,-3297,866,-19656,-427724,-69856,-8129,3042,10231,-12313,easy
1184496,123819,46425,24939,14042,12977,426557,183665,56304,13658,9340,11956,1443669,-111864,-8938,-9399,1696,-6438,-284483,15978,25176,44940,5449,13483,1114631,-83651,-45876,-1698,6960,-3981,difficult
56050,37257,2746,3447,6447,6773,407772,220494,15434,18162,16853,16009,-351154,-153863,-11819,-11777,1018,600,-347038,-188731,-11667,-15038,-16281,-14649,-356975,-207116,-14577,-17329,-15955,-13658,easy
1206706,178836,18172,11992,3878,5854,1333145,165767,25028,33167,10369,7180,1391544,178186,10718,-15055,-6585,2929,-985999,-36166,-9055,-25320,-5459,-2973,-784862,-102814,-22230,-23149,-7429,-3933,difficult
297619,111908,5269,17975,24779,19813,188209,25335,6268,8289,7809,14840,-98005,-9230,-3218,16728,40149,479,-105398,-14068,1792,-2733,-6243,-7547,531632,283018,-1572,15063,17005,21987,easy
142627,23360,5855,3138,2544,5803,483022,53819,30981,18149,9377,17644,-473435,-37557,-20761,-14371,-5106,-15596,-364420,-15942,-29288,-14473,-8642,-15426,-183329,-37877,-25328,-16189,-6750,-4500,difficult
382452,37269,17508,6042,10215,11262,360568,82305,13847,9374,12931,13857,361376,-62758,3502,-3873,-2960,-10532,-25827,-21608,14987,-3732,3398,12482,-269897,-50742,-7505,-2391,-8587,-9735,easy
171164,119515,8472,10476,16635,21188,253791,134084,37568,18212,21083,14387,-212177,-132462,-36193,-15298,-20296,-13441,159726,-31833,-26976,-4757,-7153,11422,-195429,120589,-24119,-3153,14106,22421,difficult
1040715,119967,49689,13626,33547,32828,1389877,603794,91345,40307,92181,37468,-1227254,-602105,-90803,-37930,-90980,-36237,-854450,-459904,-69233,-29741,-73931,-18286,1034217,-389473,35069,-12372,-10990,40604,easy
684694,195611,41702,32086,11202,13799,155984,90942,35172,3255,7912,2940,-104832,-63815,-30983,-829,-6472,-1988,638951,-25529,24830,57773,12357,16530,1052010,403351,25743,29549,3984,18035,difficult
334977,124185,24221,23036,9278,24729,1192929,740350,81933,72467,63047,66179,-881371,-715149,-58242,-56405,-56975,-59575,-902659,-561481,-70504,-63001,-57114,-55280,-789827,-571866,-44389,-28888,-47217,-9496,easy
458601,60869,29523,11788,15357,22906,91880,87700,34298,15198,6700,14850,1130024,58512,45891,374,16199,-14,-86746,-72404,-31475,-13589,-3231,-10242,56884,-66600,-28742,2986,13004,34424,difficult
1394506,544663,138178,124803,172038,48043,607657,45647,42884,9793,16831,4280,160556,841462,203175,206318,146356,40426,545362,158238,2228,12976,-7401,12620,1654630,497349,80479,125735,326667,78244,easy
238596,68682,14420,19408,9169,27773,23948,38232,17876,21601,6367,21194,63227,-35261,-16293,-19908,-789,-18724,583,-23089,1126,22606,1817,47203,580134,149699,4800,-9278,7378,-8742,difficult
215590,136479,24624,8236,5588,5697,670500,280191,136422,84529,76408,85812,-470932,-78763,-107587,-74171,-67032,-74735,-532297,-127085,-104750,-72842,-74301,-83161,-361501,-225287,-123057,-81867,-71127,-82450,easy
470881,82196,5945,5972,23088,13848,470679,115218,37212,21923,12110,14802,326572,64437,-28289,-6082,51167,24258,126628,-51071,-28363,-20036,-6334,-12529,-452594,-112431,-37148,-21736,-11900,-14591,difficult
1313726,158641,46019,46395,70807,34750,1033997,161617,43625,13944,25060,16258,898806,245815,45105,102976,142194,65038,782124,-128642,690,6492,18533,2580,-841742,-126101,-38613,-12116,-23485,-12142,easy
969613,80969,48481,27382,14528,10967,817316,320055,112649,28918,20592,15229,-799125,-317517,-112143,-27392,-19909,-14756,-103393,-224334,-59656,1879,-14146,-9281,1359410,-175408,-20704,20904,15862,11252,difficult
219427,242934,7486,12108,8984,7223,237116,30465,6563,1858,4187,1371,-143359,-6224,-5460,3568,-1504,1368,-150066,63663,12155,12786,138,2163,240357,579969,-3926,14397,15756,14026,easy
1466717,143194,72361,27492,17964,9710,700433,47391,10641,7407,3057,3468,-96257,29611,27295,10383,2738,-56,2317699,164469,165175,54211,40164,20648,77411,93328,-7310,-4340,1819,-1866,difficult
1135746,200061,19713,10143,6902,6860,293210,49221,8804,2278,1952,2472,-100871,114983,8751,7992,1477,3608,634624,265214,7314,13406,4096,7305,1993855,72323,16662,2196,9276,2252,easy
55291,19126,3391,4201,5154,5151,137502,52905,6179,5629,4482,5207,-27393,-25171,-4842,-2502,-3163,-1871,-86182,-34759,-640,1406,5426,-1525,-133059,-41408,-2881,-3187,-247,3229,difficult
996226,659415,72424,49954,21759,11935,202775,140515,28247,73733,27326,42411,1496089,1597284,135606,64233,6028,-19376,-92066,-118248,-26296,-70540,-24034,-40121,976331,77663,23221,-65030,1306,-31932,easy
488771,130171,20582,9561,11668,27348,137275,32208,3170,3370,4703,10711,1123004,267209,40769,11910,25815,60844,9056,27474,12108,5031,-3107,-3702,-77573,-794,-641,1633,-1813,-7230,difficult
72013,27065,5461,10768,6171,3047,506179,158686,45064,13231,11072,8879,-426672,-125357,-39545,-11319,-9732,-7649,-387377,-121981,-41442,-11658,-6990,-5765,-488449,-147525,-37822,15587,2020,-4082,easy
406887,43799,17617,8574,6957,2945,160921,174524,27052,22248,10129,5225,595243,-125007,-5418,-16832,-772,548,130184,-111548,2143,-5847,542,-2883,12472,-155620,-25030,-18342,-9285,-4506,difficult
576803,215903,68037,31171,10247,11957,226635,17119,5695,3111,3728,1550,-2743,93073,5510,3050,7939,14108,303637,55874,25206,75551,1550,3809,749611,447404,156311,5579,10069,13303,easy
796260,120946,12659,25430,15623,12948,1404818,247668,118027,18934,11112,13447,-786869,-181036,-104684,633,-6231,-3302,-780575,18620,-96311,28438,29704,12787,-258231,-217751,-115108,-9582,-9939,-10981,difficult
723245,120758,75298,35609,12070,11382,540750,161102,18210,29153,5149,8306,506591,47536,129476,62927,14415,7485,-239322,-117665,16731,-28730,6896,5151,280216,-50904,25058,-14829,-549,-3408,easy
53699,10126,4363,5301,4541,8856,720398,63203,53321,34593,14246,11041,-717190,-58497,-50751,-32265,-10659,-3024,-716504,-57947,-51435,-33919,-8269,0,-566402,-42786,-44689,-21693,-10188,-3531,difficult
414673,156728,34170,6399,3253,2498,532373,112111,21771,16149,4174,6929,-440693,-86945,-18563,-12367,-3372,-5577,-93571,-33265,61146,-9295,-335,-2769,181163,254061,-5385,-7588,943,-4946,easy
79253,34472,3765,6314,7790,12332,446624,67468,14798,5435,9119,11378,-396651,2282,-10565,-1194,-2645,-5872,-283377,-53795,-12726,-1149,-327,-3782,-422084,-47476,-9809,4981,-1016,12516,difficult
635589,380275,17180,25720,7478,10099,634948,169675,33605,27278,7474,9276,728172,819163,-1665,31818,11694,15310,-228877,-109564,-23897,-9616,-5032,-5122,-497372,-77799,-23713,-26875,-6650,-7718,easy
217694,126760,36667,10618,17855,47755,315004,42849,20398,12528,14210,10802,-264908,56713,16972,-3424,-8022,2490,-32494,14423,20538,1610,590,1098,5472,180597,11297,-3915,18366,107271,difficult
