delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,state
123146,41115,14483,4041,4322,5464,2238,1826,727538,175872,-4176,22534,-937,116,137,3,-107348,-32805,-3668,208,3389,4465,3469,9640,easy
121294,24933,8120,3257,4409,3922,1400,2306,421705,424359,3526,3730,7993,61741,21317,32808,-42940,52689,1951,8587,4061,7563,2718,-38,difficult
998741,137464,69907,28980,25127,16025,7975,2693,-961110,-93429,-59593,-14451,-17332,-14157,-5556,-1177,-637921,-50391,-54596,105524,79778,13869,7092,26074,easy
91721,38153,15579,1810,3409,4992,1939,942,-34197,-17806,-8918,-790,334,-2542,966,2088,-21621,-18685,-5298,1932,-2306,-3117,-497,-2,difficult
540400,120005,47399,16594,11950,10022,3838,2520,-176425,-97295,-35928,-12188,-7881,-4170,-973,-459,-10823,-74967,-47078,-15071,-6111,-7391,-1629,-692,easy
55165,45245,6326,4177,2805,3346,2063,2123,2307121,146441,31930,27540,19181,28945,14191,18841,33589,17999,13518,-2157,-1020,800,2809,282,difficult
236546,113318,23415,5203,17820,9030,7461,5078,-47331,-35272,-10048,4297,-12559,-2887,-6361,-3608,322271,30647,29175,3621,-2769,3710,612,-2466,easy
1451178,238101,23556,11890,12795,17339,13426,4964,-1325782,-201907,2351,-8791,-9404,-15758,-12353,-3896,-1448296,-234724,-21674,-10184,-11311,-14913,-12619,-4644,difficult
400083,666875,39151,36382,28184,13646,6196,6924,-324724,-597462,-24078,-28998,-23879,686,7715,2538,735617,-554661,14812,-27228,5980,669,-4016,-5228,easy
98453,36892,11146,3188,4316,3716,1676,2172,338929,-8922,-10736,7760,-2614,-368,581,220,-41855,67499,26429,22581,3145,2440,11592,3653,difficult
374519,97945,17876,11173,8338,9478,6447,4310,357762,244651,-16343,35928,27955,23593,23076,4533,-219739,2526,-8397,-7025,-2126,-3444,-3356,-1710,easy
482185,136942,9155,3602,6483,6315,2387,2408,-442998,-106472,6425,-1559,-2506,2205,2092,-411,365388,-61306,2092,3905,-2201,-3368,-599,-878,difficult
514999,193334,39123,15020,10061,18112,7193,8631,-145650,-167500,-34944,-5646,4213,-9379,-4074,-4864,53588,-96704,-21313,-4619,12502,37706,17803,13792,easy
234944,168059,33504,14432,7833,8705,4355,4835,-165578,-151176,-30685,-13501,-6329,-7476,-3799,-4483,251556,11912,30395,-3131,3210,12440,5390,-119,difficult
145964,71279,27792,7531,7645,11612,6846,5562,20199,3587,4384,4568,19251,3142,6447,2580,20199,3587,4384,4568,19251,3142,6447,2580,easy
718370,172279,42744,27532,20661,11585,6837,5809,-646853,-164032,-41419,-26635,-19359,-11063,-6470,-5637,-506625,-128682,-24349,935,-2536,-6922,-4499,-3818,difficult
438175,222518,40967,31383,25092,12763,9129,5680,320216,-6912,-2628,-23245,-20057,-3558,-5330,-3721,-396356,-209190,-35391,-30886,-23777,-12473,-8859,-5275,easy
255343,198359,17838,6122,6657,11546,4240,3496,-112828,-174867,-8436,-1901,-3179,-5994,-2852,-1258,-162682,-187143,-15790,-5343,-5591,-5455,-3385,-2042,difficult
79717,45553,5934,3381,8249,4164,2714,1866,51128,-13816,-1441,-3041,-6735,-2408,-2274,-1571,67020,-11263,-224,8984,-6330,1447,-350,-713,easy
193547,39628,4471,6939,4218,3756,1518,1036,-107997,-18960,5851,-2235,-2476,-705,1355,6,-10370,56910,3253,2556,3651,393,241,2236,difficult
194180,70913,31394,9156,6904,10366,5362,6311,72179,46417,-10214,446,-3722,4708,-3074,-4426,-163857,-54550,-30485,-7556,-4626,-8308,-4606,-5547,easy
119370,56491,15793,11647,4559,5287,5451,1969,57668,22459,-10554,-8085,207,96,-3661,-1350,1453695,749377,28045,22259,27876,19620,21390,4203,difficult
208396,74310,36314,4251,10984,15406,5719,4623,-111859,2911,-27153,2543,-2657,-9495,-4095,-1378,-139054,-53699,-26370,-799,-7212,-13285,-4807,-3855,easy
716909,431412,101135,11414,46757,14547,14771,8726,-229298,-403542,-92953,-4289,-36025,-8295,-12614,-7100,-656358,-344692,-80843,-9143,-42644,-12306,-12484,-7304,difficult
800048,185483,16397,38099,23194,16311,6695,6764,-587246,-109628,-8957,-36903,-20030,-9341,-3006,-4291,-790474,-181035,-16126,-36753,-21886,-13302,-3113,-5970,easy
266584,37747,4422,4521,2363,3446,1056,1117,-119556,61122,-578,-400,1235,1603,2496,245,546021,79906,33917,16973,8573,9387,5829,1564,difficult
808685,88034,17421,11969,15239,4032,3595,6177,550220,382500,205577,91698,11865,94237,94210,35953,-660464,-66653,-10128,-7135,-13951,-2108,-947,-3407,easy
471630,293254,32690,17901,26045,10548,4906,4199,-452798,-289696,-31433,-16751,-25123,-3096,-448,-1005,-420978,-273520,-31161,-16277,-24257,-9793,-4252,-3590,difficult
155298,53553,5930,3217,3100,3181,2006,1420,393783,-4527,-1660,20831,15558,40241,30549,13138,1009358,328666,10515,63189,99901,25154,20573,23291,easy
217754,98530,16200,28074,9493,7368,5428,6509,1348020,23799,75805,-5435,4419,46744,100556,29710,404934,55604,69691,1863,34857,13526,26837,15143,difficult
336192,296734,65143,14073,21321,19755,8952,9793,-311874,-253713,-56538,-9350,-17221,-8001,-2982,-2977,-128091,-196711,4045,23183,-13963,-10109,-4066,-1816,easy
796012,93649,21796,29912,11462,13322,6989,7452,-594638,70453,17073,-13225,4065,1513,7882,-2207,2021477,187109,55413,-9730,-11,10086,5411,15000,difficult
974443,52432,6890,6662,3806,7804,8190,5737,-218057,-17258,-1660,14631,509,4737,18945,2022,-869846,-35226,-3513,-3645,-1754,-5910,-3907,-3965,easy
524765,279885,18872,18351,23915,27203,9177,8640,-201274,-238796,12232,-12079,-20374,3559,4709,633,-288949,-112291,7334,1407,4191,-8609,-3891,5796,difficult
664430,349976,18849,31350,12836,21342,20890,13580,2022697,7753,107450,16367,-624,23559,7656,8516,-436311,-313707,-2219,-29043,-9768,-17948,-18414,-12066,easy
978725,260342,59818,29811,90625,18189,5860,3409,-541311,-197613,-36320,-17785,-82486,-7121,8612,3186,-866053,-222937,-57378,-29352,-89635,-17307,-5539,-2996,difficult
844249,352014,29722,20131,22832,16501,15516,11501,-831021,-340467,-28024,-14748,-20458,-11449,-10797,-6495,-627080,-292439,-19016,-17211,-19865,-13256,-13947,-10266,easy
166009,67854,14150,11280,4734,3618,1780,2601,-112801,-33275,-10610,-9778,-2017,-2398,-1096,-1886,999106,399550,3896,8600,12458,23702,4052,-483,difficult
297395,160071,6194,5324,5809,4027,1989,2053,-274708,-145136,-5909,-5123,-5103,-2140,188,-1374,-234165,-140099,3165,-1595,-3206,4578,2602,1136,easy
100261,10658,6182,7129,4137,7705,4648,4907,2035,37521,6467,-5046,-719,-5985,-3746,-3782,557488,239866,34231,-2770,2330,-4116,-2276,-3632,difficult
1137147,537907,65717,29532,35970,13192,17383,15620,-1021379,-495383,-56415,-25518,-32671,-10751,-16017,-15097,-1108011,-455663,12662,398,-29060,30845,38754,-4392,easy
159061,38743,7990,10624,4821,7124,2659,1926,-136721,53427,6689,-4893,-2059,-2865,-841,-576,-9103,-15684,-2133,-5651,-565,-4585,-1380,-624,difficult
276187,64628,6396,11278,13884,15298,6454,3665,1762943,282515,46582,29062,6269,33879,29518,36626,910768,281682,42691,14959,33891,23409,15957,16668,easy
138175,37429,4018,3814,4361,2787,1842,1313,-102543,-28147,-3559,-2082,-2226,3605,-678,-591,-61679,6737,8329,-1057,-3080,-92,3905,-177,difficult
469745,75666,2230,5081,4309,2536,1426,809,-448138,-33664,25460,-809,-1808,2741,5386,3448,183958,201718,28728,10937,17643,23908,5443,3682,easy
173382,229202,44383,10036,7986,7336,5118,3728,-110862,-204781,-29748,-8087,-3042,-5321,-3423,-2391,-141968,-208575,-27387,-5845,-5051,-5932,-3896,-3194,difficult
1554823,490714,84422,33736,47687,18940,15581,12016,-1459674,-481211,-81167,-31231,-46462,-17360,-13555,-11502,-19871,-421173,-75742,-21302,-6995,11291,5758,781,easy
274205,66987,5465,6666,10159,2381,1293,698,-217288,-58927,-3164,-5376,-8074,1254,1967,1619,-265927,-19981,30247,6472,3672,11765,24722,8096,difficult
