delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_cc0,delta_cc1,theta_cc0,theta_cc1,lowalpha_cc0,lowalpha_cc1,highalpha_cc0,highalpha_cc1,lowbeta_cc0,lowbeta_cc1,highbeta_cc0,highbeta_cc1,lowgamma_cc0,lowgamma_cc1,midgamma_cc0,midgamma_cc1,state
1032709,109639,14103,26462,30818,32029,26734,12041,-1003981,-81185,-732,-22740,-23023,-13974,6116,1121,-521212,-20168,-7501,-12782,-25712,-20500,-18808,-3885,-1025540,-105100,-12003,-26018,-29052,-19097,-23897,-3243,482769,-504328,61017,-84932,-6769,-4502,9958,-13236,-2689,-3340,-6526,1403,-24924,-5089,-5006,642,easy
335886,210349,17986,19614,27683,21184,20750,7503,1403746,338232,171575,7919,638,25002,38030,35029,706716,-77757,1044,3231,4691,13639,24600,4612,274285,-125952,-7253,18658,-12227,-2112,13029,5669,-697030,-432431,-415989,-48195,-170531,-8297,-4688,15427,4053,-16918,-11363,-15751,-13430,-11571,-30417,1057,difficult
471101,89524,36473,11040,17280,18621,12370,20859,-409185,-68256,-35063,-5219,-13586,-12299,-10670,-18540,1585804,343191,-15677,5788,-10204,4344,-3587,-12725,262878,-35444,-28321,24020,-12721,37733,4885,-4295,1994989,-1322926,411447,-378635,19386,-12644,11007,18232,3382,-2517,16643,33389,7083,8472,5815,8430,easy
529579,91751,39978,32048,21156,22997,9993,8428,931806,-41495,82672,-397,171,42953,18535,1223,2430831,1726995,199527,115879,49086,64599,106525,50889,-463230,16004,-24374,-24135,-16621,-13119,-5011,-5513,1499025,-2894061,1768490,-1710991,116855,-223901,116276,-140014,48915,-65707,21646,-77718,87990,-111536,49666,-56402,difficult
1643497,220671,202467,74042,35987,47497,41358,27830,-1490977,-205384,-190812,-72394,-33375,-45755,-38518,-25602,-1398866,-148258,-171174,-70434,-28572,-36660,-36884,-22715,-810266,-186962,-190051,-67292,-30901,-41780,-34204,-24048,92111,588600,57126,-38704,19638,-18877,1960,3142,4803,-2329,9095,-5120,1634,2680,2887,-1333,easy
1105091,145224,18272,22977,11287,22808,28285,13431,255976,-42870,-4514,7408,-609,-14132,8616,-10365,-121466,46095,-5552,-17294,-3190,-7491,-8450,-8904,-473940,-112368,-6950,-16004,-10425,-20445,-27032,-11817,-377442,-352474,88965,-158463,-1038,-1398,-24702,1290,-2581,-7235,6641,-12954,-17066,-18582,1461,-2913,difficult
530386,22811,3493,11461,2120,9854,7241,3327,-528132,-19010,1073,-5691,1741,499,-198,2511,-292133,4990,15446,3256,4463,-2114,2277,2654,-434880,20462,2563,-10146,164,5076,8629,-197,235999,-142747,24000,15472,14373,-12883,8947,-13402,2722,-4299,-2613,7190,2475,6352,143,-2851,easy
781839,56236,24263,9809,14618,12597,13101,6723,-582219,153246,-4646,2693,4099,3130,1405,-2385,-661525,90765,-12426,4984,-9787,-3046,-6785,3121,521028,45901,-11180,50245,23763,4783,12276,1190,-79306,1182553,-62481,-44864,-7780,1246,2291,45261,-13886,33550,-6176,7829,-8190,19061,5506,-1931,difficult
148447,45372,20228,4975,5943,6178,5338,3133,36043,58989,4889,18718,4925,13591,165290,27139,-51403,-24545,-18753,-4018,-4971,-1756,-4133,-1285,-84327,-6779,-12447,-1503,-4337,7372,1753,3444,-87446,-32924,-83534,17766,-23642,6306,-22736,2515,-9896,634,-15347,9128,-169423,5886,-28424,4729,easy
1715396,148472,91825,141148,16412,68724,97221,30380,-1595519,-112252,-84711,-134770,-11218,-64569,-93013,-27883,-1300632,-49336,-86824,-137904,-11003,-66194,-94548,-27976,-1629336,131270,-81855,-117160,-5488,-32334,-82266,-21952,294887,-328704,62916,180606,-2113,4969,-3134,20744,215,5515,-1625,33860,-1535,12282,-93,6024,difficult
1286897,156027,74791,41915,23742,36357,37253,24275,-1108481,-52358,-3127,-37288,-14259,-24081,-29236,-19111,-880857,-131984,-72111,-37301,-18955,-27559,-21712,-20237,-490368,30677,-56389,-35029,-19171,-16159,-32250,-13907,227624,390489,-79626,162661,-68984,15722,-13,2272,-4696,-216,-3478,11400,7524,-10538,-1126,6330,easy
331871,92193,11243,13122,16204,12814,11553,7364,1205543,309340,108833,61710,39564,49645,26294,10319,397754,-28252,-377,-6621,-7433,-8876,-4569,-2728,31156,-43082,-4428,-9824,-11988,6167,-7850,-4416,-807789,-366598,-337592,-14830,-109210,-4051,-68331,-3203,-46997,-4555,-58521,15043,-30863,-3281,-13047,-1688,difficult
