delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,state
961876,127886,21767,18774,19461,24217,284039,96773,12188,18856,4816,6043,229040,-11896,24666,11392,11217,4249,-52101,-51760,-5723,-17308,-2682,-348,1075212,103958,15177,10322,44897,57375,1459196,84149,4195,-4733,5146,11420,easy
527156,85065,10645,12017,10489,41679,964441,85690,53690,64764,22582,29540,1010697,170844,-42153,-24656,-14764,38956,-872738,-69537,-50910,-63411,-20734,-25714,-943549,-51904,-39559,-61461,-6438,17656,-943549,-51904,-39559,-61461,-6438,17656,difficult
2270555,402685,54096,19291,37303,19485,414190,42821,20815,6560,9983,6889,459909,-21223,-8919,2361,7366,7313,3335177,405818,60580,15082,51105,20073,3335177,405818,60580,15082,51105,20073,295195,649041,20881,18400,-295,2925,easy
331415,53717,12499,3844,4912,5528,678701,415145,31449,53765,29122,24331,50499,-341459,-16961,-47835,-18660,-7723,-544294,-318492,-19007,-49233,-26234,-22295,-602956,-394332,-15677,-52542,-26026,-23454,-292392,-391430,-24155,-50076,-25920,-21739,difficult
1075445,62786,34365,9384,10907,10353,778004,122346,28882,40255,19872,17083,-457162,-115453,-23985,-36943,-13253,-16363,91830,-49414,-2572,-32276,-2824,-5064,278190,-71594,-8909,-26344,-12736,-8010,1276906,-1780,57397,-27923,-7049,2518,easy
199650,62700,17149,8008,14512,14476,592245,92759,8442,16669,15497,25320,-365721,112203,25018,-2912,24720,4477,-404708,-71908,13296,-7024,-3627,-10471,-458324,-74594,2427,-13497,-13992,-17442,-341626,-85938,-5912,-11212,-11041,-19939,difficult
626702,82552,17288,10654,17787,20148,151714,24143,27553,12202,13815,10125,66076,-1772,-20420,-8380,-11485,-7565,1328204,71021,-7529,18833,29003,47637,571295,151193,3196,-6903,6480,6055,-65623,13192,-16308,-9744,-8111,-6037,easy
1011169,108251,19507,17259,6691,14304,1133282,437279,28535,20864,17520,25315,70697,-254424,-10872,-10468,-12546,-19238,-941235,-422955,-19942,-18626,-16680,-23549,-460589,-374802,-11844,-17978,-13509,-19144,842675,-263931,6547,32651,-583,17886,difficult
138484,83088,33639,10873,14483,12784,725318,99170,8319,11447,12725,16444,-672873,-53407,-4095,-10612,-6306,-9425,-499087,140092,117309,20292,30767,8114,-541405,-64026,-7232,-3043,-5827,-3244,-633973,-86987,-4703,-8935,-11602,-10087,easy
717962,111199,21075,17466,15703,36907,629675,536646,29841,28304,18915,43099,272696,-330342,460,-13112,-8549,-36991,-64972,-494751,-10396,-751,-5541,-586,-152291,-488652,-22514,-15085,-3856,7595,297713,-388043,-2615,-14403,5099,5214,difficult
143630,24186,5746,5915,3581,8304,555580,133253,23817,19242,18791,14203,-427137,-114343,-20374,-15684,-15859,-10356,-427137,-114343,-20374,-15684,-15859,-10356,-470805,-123226,-16753,-13235,-13080,-6043,-322722,-84356,-14783,-8705,-16042,3158,easy
309091,46425,11026,6237,5371,11600,1102761,157583,29915,40000,18675,39212,-656961,-90280,-4229,-34888,-16034,-7987,-793736,-111640,-22827,-30454,-5569,-32239,-837581,-149847,-29689,-38753,-16415,-36710,-886403,-92867,-18812,-30957,-15197,-33512,difficult
147315,14213,19523,7800,14143,13499,226311,48316,13465,8086,12255,10729,-198506,-39014,-991,9128,12026,16622,-19290,-22864,45030,-3420,3601,124,-201073,-41790,-12855,-6104,-7241,-8060,102886,-32744,-6954,-749,-836,2392,easy
750458,114622,17792,6054,6699,9500,65256,50596,8599,5626,8746,25547,142969,-29287,7244,1537,-7368,-23487,142969,-29287,7244,1537,-7368,-23487,177989,-3236,3726,1118,-6179,-23689,2276882,317913,18558,-2479,12728,6473,difficult
571163,93934,14818,12516,10038,14694,187169,32646,14320,7470,9174,5986,1204476,110575,5479,9764,8835,3635,167321,46017,-4510,8449,-259,11175,-108591,21768,-6154,382,-1510,9688,272769,66791,7178,1587,-3609,10333,easy
1322881,147365,61103,32331,12722,11853,325572,34920,45478,19747,12094,5602,-236191,-11146,-31777,-6274,-5740,-1719,1200221,39876,-28919,18177,-7346,188,814747,5329,-13094,-4810,6578,-600,2210459,415720,136288,43241,9021,27135,difficult
141268,20092,3038,5294,2466,4090,884064,112878,43423,7543,8722,7119,-777681,-90741,-42235,973,-6963,-6029,-777681,-90741,-42235,973,-6963,-6029,-797141,-97372,-36428,-5777,-6574,-5834,-618682,-92289,-40643,-5165,-4523,5775,easy
509670,66470,41318,10968,14376,10387,212453,28684,32220,8404,4130,3196,1331578,154113,95795,16617,33226,15071,-149140,27489,-1434,2456,3668,4336,205823,-6801,-27703,-6843,-1348,-373,-199393,-23656,-30266,-1973,5438,9731,difficult
975159,157736,66258,32704,19633,34695,612443,105857,32634,8062,6458,5940,-517877,-93061,-30743,-6849,-5049,-5140,1239743,222855,196249,38761,29031,15751,1146159,170731,326,73855,34185,109580,-417160,-93010,-31335,-7201,-5467,-5171,easy
1191437,260649,23136,17326,17925,36169,1574134,370695,81503,10893,16092,27419,-1524408,-352690,-69397,-9585,-14435,-15938,-1469793,-360475,-80192,-8131,-15268,-20473,1748259,429845,-35078,28810,8017,79020,-284847,-156863,-48801,14638,29016,-7609,difficult
224237,39867,11121,2166,3571,11094,404523,93739,25768,9175,10950,17907,-266522,-54185,-18039,-7592,-8377,-3134,-266522,-54185,-18039,-7592,-8377,-3134,118802,-33974,-9342,-4915,-2841,-6014,-306903,-73144,-13167,-7936,-9922,-14970,easy
583467,300006,34362,18868,11034,36298,741268,183870,41725,26612,7006,79636,-597295,-94743,-35049,-23536,-4581,-69509,-572613,-48201,-8580,-1521,13341,-21745,-424333,-84387,-38008,-6989,717,-42033,963038,691875,52185,1071,6634,-40066,difficult
770235,207875,59055,38470,19382,22249,372675,39553,6682,5545,7256,23163,-109589,19334,39257,3074,-1092,-10497,1586370,275357,13193,35869,37822,24086,-31642,358655,143764,92413,18005,2591,145100,19943,13279,345,-6233,-19838,easy
861228,155677,49416,14128,16569,26410,711060,133231,19212,10435,5876,21730,231077,142367,-3137,4090,-1318,30715,-632883,-94187,-12674,-3950,-5017,-19497,573930,95083,97301,21908,11626,164,428548,-53479,39327,-7276,37481,7338,difficult
950958,176858,50127,16019,18318,19117,302456,52632,11691,6874,4515,6592,-212330,-8234,13630,1944,-237,4440,1127390,160716,-2301,5343,37997,16704,778748,242537,115119,9158,6119,10492,900201,101885,27296,20136,11331,18462,easy
448849,121472,8391,12582,15489,9478,442301,83989,27999,6095,9728,5618,-155238,-53097,-24934,-2070,-8162,-3981,-126573,10891,-19442,11487,15229,6975,-126573,10891,-19442,11487,15229,6975,434575,181247,-14614,5044,746,5471,difficult
189024,62162,15290,6570,12393,11875,204240,29580,7492,10842,6458,11300,140664,120838,20794,-2317,22905,17159,-39613,2251,2269,-5744,1465,-5210,-39613,2251,2269,-5744,1465,-5210,-122304,4988,5860,-3284,-2096,-4441,easy
212730,34377,8868,3469,5888,3909,406449,214165,18468,6525,8287,17512,-13485,-136871,7759,-1956,6703,-10519,-290581,-207696,-17817,-2853,-4851,-14871,-290581,-207696,-17817,-2853,-4851,-14871,-180228,-166891,-10527,-4563,-6598,-14152,difficult
627977,185145,29240,16949,15521,28159,327624,89885,12168,27612,19031,30586,785717,181635,39712,-3484,8397,17660,785717,181635,39712,-3484,8397,17660,-291544,3447,-10502,-23770,-16311,-20838,-78478,14323,-635,-11916,-14525,-24191,easy
233175,23113,4085,4458,3601,10051,621452,95332,51259,4785,14217,10436,-509781,-73844,-44444,-1970,-12133,3798,-557302,-82189,-47873,-3418,-13654,-7348,-243012,-66422,-48190,2039,-8339,1005,-243012,-66422,-48190,2039,-8339,1005,difficult
363253,121054,40246,12320,12234,17258,392683,83147,22175,8185,5416,14906,-196162,-14087,-14865,-2802,845,4232,-113565,-11371,2157,-5969,147,-4150,260372,236100,101023,18119,25260,14687,-68366,-59016,-16030,7192,1020,-5361,easy
