delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,state
290821,53435,33941,36854,7935,13336,8669,3357,58014,37288,8328,3830,3780,8966,4626,3606,-19777,35476,4148,27279,1998,245,241,-313,-48482,-3054,19898,28989,5598,4261,1197,-898,766680,16019,52792,42803,4870,8603,10692,465,easy
28463,46247,13408,13375,9640,7101,4225,6126,56989,21109,2990,3260,3192,5355,2005,1426,-50594,-8674,1614,2157,5966,1409,2414,6874,-3431,95926,31685,25431,13423,6344,4941,7228,-31552,-11837,-2046,2758,-45,-2516,-695,-2,difficult
400202,173487,22940,18592,40607,13155,11764,11172,140259,19129,3622,2411,5327,4392,4598,2535,232901,7609,-1624,-737,3485,-1820,-845,258,-105276,3558,462,3522,1213,11977,10882,4870,652204,451907,59116,45759,101143,16133,11460,20784,easy
91359,15624,6714,2242,5222,5438,3144,2233,306062,38137,18469,3085,3624,3750,2563,1272,-135207,-10111,-13020,-1920,1556,1414,-243,1698,-208948,-30993,-16302,-1864,-2871,-2761,-1993,-767,-299955,-26434,-5943,1256,6108,6411,3980,1952,difficult
64042,37583,13815,11094,10922,16447,3650,8363,314756,25651,17374,13015,7359,10260,4861,4294,-251089,27368,13929,-3875,13015,4934,-73,4573,-214875,-21959,-16365,-12205,-7119,-9615,-4076,-3887,-286179,30387,-8240,10318,4792,23241,517,11521,easy
26093,24463,5627,4295,5941,6093,7034,3040,75907,13250,4166,2977,3942,2582,1412,1906,-63604,-9383,62,-931,-122,6349,5934,-475,-61498,45700,4180,7111,9139,5642,11884,5535,-24340,-2679,142,-2227,-3020,-1458,-951,-1659,difficult
366211,86516,16574,6346,12958,7121,4885,7248,118241,26265,5762,5827,4810,2677,2156,949,611293,34327,-127,-253,-340,2240,-1787,-209,240807,166389,34286,6013,23893,8033,8830,4659,-108190,-19963,-1723,-4203,892,3059,1143,14448,easy
92328,44199,5435,8018,2612,3607,1823,1406,82418,34168,6694,4800,8355,4126,2519,2131,26236,83569,5119,17772,-4135,3997,1775,1249,5791,-26364,-4268,-3803,-7259,-3709,-2246,-2030,-2297,-27112,-4628,-4316,-5834,-1845,-1616,-1394,difficult
160113,55121,18246,30641,23301,6501,5424,3984,58542,39330,5488,3366,3080,7431,5797,2585,266203,76005,35846,56183,63660,7697,8696,7393,32622,-20221,910,19762,-2142,-4902,-4911,-1483,5889,-8411,1519,5880,-854,-5584,-4905,-1713,easy
148078,35220,21189,41500,6728,4624,1892,1159,1180182,118743,18322,18470,14047,6860,2825,2966,-1109212,-84814,1050,95314,-3917,-116,438,-1528,-846331,-56918,17411,-14667,-7578,-4227,-2448,-1758,-1140770,-108836,-9859,-11557,-10461,-2366,-790,-2136,difficult
68348,31097,3902,6093,9544,4757,3287,2991,330344,52003,3834,3072,5321,4567,2621,2885,-296734,-44034,1485,3642,7429,2295,1759,109,-212926,-30579,-2872,-2651,-4986,-3582,-2393,-2617,-276329,11894,1592,8072,10225,1856,2633,2825,easy
160650,37357,7251,3255,4172,2341,1519,1203,370247,29393,8325,8296,6673,12339,2629,1587,-156026,2832,1232,-4395,-1836,-9058,-1239,-182,-357623,-15601,-7362,-7252,-4345,-10648,-1249,-779,-115143,36661,2909,-3475,-1322,-10287,-842,-192,difficult
333428,71348,6117,10946,11028,8441,9594,5417,808354,80331,45261,18613,34338,26036,20755,21242,117077,82695,-31504,-11410,-9716,-13321,-11793,-15087,-768636,-48083,-43079,-4000,-29852,-18982,-13554,-15355,-773218,-61560,-42850,-7591,-30363,-20483,-8135,-17032,easy
