delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,state
9314,12549,8468,12338,5256,27513,8651,10680,275002,24924,17887,10097,6912,20277,7698,4533,-265880,-17649,-5358,7846,-3371,18536,1739,2319,-265496,-7101,-13480,-3365,58,-4065,166,9974,easy
4532,11488,9385,15511,4977,26896,10942,4724,176522,30642,11905,13046,13268,17172,8544,6015,-173065,-26385,-3209,6438,-10260,878,1712,-2672,-170915,-11924,-1831,-1508,-6322,18569,3084,90,difficult
87449,29181,15255,9421,5089,31940,4383,7870,214445,143681,56025,32629,21763,57962,13427,18524,-156172,-122699,-26248,-14831,-12790,1750,-6111,-3638,-97820,-106302,-55292,-31586,-20559,-53795,-11978,-17671,easy
67550,25024,18893,3138,7620,21544,3951,1840,111224,81557,13844,10459,4922,13712,1866,1327,-96512,-73391,-6018,-6829,645,-2565,124,909,9164,-39676,16116,-7813,4751,18228,4046,116,difficult
2237,9387,11731,7066,6383,18052,8510,3311,18811,20669,18705,14264,8744,30440,16943,5830,-16506,-9799,-9025,-6243,-6406,-14016,-11944,-1575,-16642,-12765,-4924,-8154,1684,-10760,-4923,-3464,easy
562233,54789,21731,33068,14969,17584,12273,7032,579237,32516,19951,29635,9484,28787,8260,3437,-564152,11018,1909,-14611,851,-18406,4055,-171,530143,33528,1650,21476,10119,-4001,3971,7360,difficult
4924,9186,19536,6220,1738,14308,8028,4402,93753,38611,5784,2919,4798,6874,6298,1927,-92429,-36703,-4331,1840,-3005,-2925,-4683,-454,-85230,-22148,31834,4762,-3115,17793,8142,5404,easy
13472,8203,5967,1601,4443,23334,4031,1308,25417,7893,7364,7756,7059,11740,4470,3588,-18598,-384,2081,-6492,-664,22760,2294,-1575,-5293,1003,-4876,-5818,-4568,427,-3172,-2986,difficult
836135,53280,5402,11054,5554,35040,8070,6776,445868,79158,13370,4801,10179,13954,11560,8108,1204834,8124,-10354,7119,-1436,3642,-4645,-1562,-424301,-59881,-5583,5386,-7814,38529,-2336,-1103,easy
43938,18756,6435,14066,4144,23267,5807,5347,1319637,176868,42296,12193,30219,36156,15678,10284,-1301887,-153906,-37337,675,-23618,6337,-5984,-2985,-1249511,-162319,-34386,3070,-28533,-32115,-13758,-6890,difficult
5688,19021,10997,12659,4702,16008,5972,7186,113165,28232,11791,7790,3152,16002,6631,3900,-107228,-13104,1446,1345,-40,-2978,-1873,4476,-107727,-5318,-3034,8393,3140,2989,554,2096,easy
16843,6823,4215,14819,1751,10824,3544,1779,372919,141867,25200,9443,13338,9815,3119,4016,-359576,-132197,-18839,18016,-11978,7500,1139,-1367,-352576,-137891,-23132,-7264,-11196,-5483,-289,-3107,difficult
18608,30768,21574,7748,5602,25712,5866,8255,415532,47100,20444,7812,11577,20175,5563,3194,-379716,-25828,13702,-4291,-2532,18742,2294,4384,-414133,-6836,-11442,4162,-9419,-7669,-1689,5737,easy
13633,23249,8896,19843,21345,31611,13851,8527,174740,68539,18538,6347,3097,3664,1886,1497,-156664,-37070,-4244,23751,25493,31973,13630,10406,-165551,-53510,-15040,3240,11002,23921,10300,3654,difficult
8740,5213,14864,9689,4471,21788,7709,8088,480796,188878,113899,86046,90723,43026,35564,36891,-467850,-184435,-111595,-82084,-88812,-38532,-30959,-34181,-476263,-182896,-86476,-70631,-83693,-3945,-24752,-23425,easy
64006,11836,17840,6794,3670,17787,6737,2509,123759,74609,4492,18306,6884,22393,7935,6621,-109160,-65712,28605,-7133,-2093,9652,3888,-2769,-10346,-59835,-1909,-15891,-4335,-18865,-6285,-5456,difficult
148725,6298,3119,5432,3687,13871,7791,3616,244949,74278,19004,20396,16920,20909,4971,7008,-235052,-69302,-14007,-12859,-13318,-4772,5371,-2976,42603,-66658,-17763,-17069,-13149,-9304,268,-3808,easy
63838,13039,2249,7300,3263,17217,7529,5817,46893,15100,2885,24263,4552,8350,5545,2483,75444,-3420,-352,-19757,-1789,-2318,-3189,-571,-41554,-702,-920,-14169,-789,20051,7157,7239,difficult
74319,14024,7128,8658,4640,8800,4486,2695,61159,21168,4392,2658,1965,4310,2062,1405,-51880,-5401,4511,3776,3870,5798,5027,3102,78199,-8888,961,8224,1480,3181,-180,-522,easy
10656,22667,4585,9227,4986,22154,5199,3588,934171,184366,105538,20924,25041,17570,14952,12879,-918310,-150843,-101472,-8600,-18408,6847,-10398,-8016,-928720,-172555,-100434,-14794,-21702,2320,-9108,-10566,difficult
31669,24618,5196,6635,6276,33055,5737,5202,413517,40721,28349,13088,6723,9332,3102,5099,-383309,-10167,-19380,-9850,-849,11876,3894,1233,-380388,-22040,-26926,-3056,-45,35569,1376,-1028,easy
7342,9491,4304,14259,10259,28593,9515,4489,859886,113557,13497,8071,9326,21882,4665,4321,-855406,-102305,-10598,5540,-2327,500,566,-521,-849683,-105828,-7788,6835,4192,12922,9134,857,difficult
11327,22607,2985,7412,3263,17613,4710,4426,1144395,94893,60046,20369,21971,19413,5829,2967,-1129198,-67552,-56289,-14788,-20114,2714,-2272,81,-1136939,-77020,-57833,-11126,-17302,-6314,33,2837,easy
4175,7408,1885,3322,6452,18056,11673,10665,204485,40595,3214,5810,6071,28372,2755,3240,-199919,-33358,-1669,-458,651,-10790,10655,7366,-200701,-33017,-990,-4519,110,-9843,7180,7484,difficult
65868,32084,7511,5423,5855,20629,3611,3465,179802,30972,7213,3182,2570,1631,680,725,-172150,-20922,5133,3192,5947,34081,4927,5142,-55718,23145,-4537,1289,622,3914,935,338,easy
19682,16295,1774,30852,5116,22597,8169,3695,968830,99278,51447,56325,88926,28506,13436,17148,-940225,-79011,-50903,-46838,-81989,2831,-9411,-14878,-958071,-86955,-48444,-4109,-85631,-14650,-1124,-12029,difficult
8388,6845,3615,12016,11899,35699,8902,3659,30620,22860,8456,8104,5632,17150,5283,5083,-24109,-17280,-4849,12749,2852,9841,7238,-3176,-20356,-14750,-4833,-4925,9682,27256,0,327,easy
38320,14848,5887,5540,4804,11459,2936,2570,247801,74685,12316,4123,4263,9713,2190,4404,-235030,-61335,-1798,4270,2899,6934,1847,-802,-183932,-58339,-11060,-1436,-1818,-3443,-356,-2866,difficult
55409,9417,10098,5009,4558,16812,14232,9066,90080,10664,8675,17089,9560,16085,4535,3631,-83924,2070,10408,-9432,-2549,13286,20290,8744,14582,-4565,-7563,-14728,-7456,-11832,-897,2125,easy
13442,32566,18635,10364,11502,19704,3802,2723,95346,78825,7624,15111,7602,15037,3883,2392,-81051,-24948,18204,-10285,5512,12114,-815,115,-82757,-67570,3817,791,2287,-2781,652,547,difficult
13361,9748,3375,11296,9339,28324,4509,5715,74511,41981,5979,2659,7808,7692,3994,3028,-59375,-26151,-4956,4205,-883,17893,-245,4133,-62926,-38315,-252,13069,3944,23370,1274,1241,easy
6649,14754,7108,9631,4087,43152,4911,5576,129614,37017,10132,8832,4114,8732,2911,4960,-122917,-17241,-7241,7397,-2682,62458,4160,-894,-123014,-27285,1193,-5800,2627,6382,-160,2125,difficult
44498,31405,6277,11570,8316,11043,8810,2781,356240,103234,33718,20983,10513,7259,6717,3442,-337197,-96052,-30108,-971,-758,11961,8009,869,-286287,-47606,-24774,-17855,-3636,-4394,-3823,-2192,easy
8192,9089,1846,3221,2127,14226,4355,4405,131861,53569,8120,13201,7651,9496,10327,7170,-120778,-44801,-6690,-12197,-6721,-2624,-9629,-3569,-126561,-44160,-5858,-7764,-4327,12083,-2316,-1962,difficult
10601,22572,8792,2789,6901,30610,10386,4864,282444,197186,32168,55063,12461,29758,11194,7069,-279059,-187231,-27623,-51112,-2778,-10853,1783,-1054,-264627,-161997,-19129,-53437,-8342,12557,-3400,-3356,easy
39988,77961,13965,26240,17817,29040,17973,5370,140900,38022,7164,11779,7207,9356,10762,3601,-78458,100391,4686,28336,9218,12300,6388,3578,-123367,-20514,8915,585,12001,27068,8033,-40,difficult
52529,18158,9540,5828,1440,4573,3531,1238,31342,38404,5877,9360,3240,8112,2888,1786,51673,-25755,1335,-8293,-2038,-3588,-862,-798,-9299,-14737,5990,1228,-1563,-3490,2148,-299,easy
716468,48943,14632,62944,9359,25602,4408,2081,574634,238771,34928,26289,30143,26123,8534,6118,-285315,-151023,-15571,85890,-24604,19546,-1210,-3067,568983,-228633,-25021,-12581,-16965,-20589,-7042,-5008,difficult
38338,30847,6726,14855,7152,11951,2945,1963,50150,17334,2006,18369,5686,27238,2934,3408,-42262,7477,6804,9810,6059,-5659,1461,140,18638,19548,2636,-16839,-3127,-24916,-1440,-3030,easy
53859,8561,5075,5534,6706,27301,9397,4160,184561,24721,3468,34574,9082,18717,9010,6323,-94937,-10188,1316,-31716,-4691,-14103,-3784,-3122,-166468,-22132,1898,-26364,-62,31271,4558,-1205,difficult
35808,14918,4758,21672,10771,50940,9220,7067,22279,30174,5261,12543,11920,16864,11883,4967,13529,-15256,-503,9129,-1149,34076,-2663,2100,13529,-15256,-503,9129,-1149,34076,-2663,2100,easy
7513,33340,13154,23954,7166,27171,4960,6352,76169,28034,11648,8372,2813,21600,3802,2740,-66894,5052,-1759,23088,5733,19462,711,3521,-70418,5559,4771,8076,2972,-8321,1604,3702,difficult
75820,11548,7617,7251,2458,9235,4976,2141,415537,61081,22698,7518,8808,18441,5696,4226,-414927,-53366,-13278,-256,-5854,-2338,1300,-1686,-264507,-45700,-16884,-279,-6846,-16075,-2740,-2484,easy
12871,25952,11636,4972,3115,10854,4210,2703,225789,69695,37444,16277,23766,45476,10330,9590,-212754,-32214,-16837,-10608,-19043,-25961,-3506,-5271,-213083,-55273,-34780,-12003,-22259,-43283,-8734,-8504,difficult
6179,5035,5259,7175,2919,21134,6307,5322,302846,51259,9780,6817,5121,10014,5974,4667,-298912,-47083,-8305,2208,-2727,9581,622,248,-294422,-45365,-738,-1493,-1678,12658,44,1061,easy
415767,471962,79890,18653,19418,44722,6566,10660,338184,46305,6980,37877,9924,11706,5969,5760,226918,806113,151031,-9404,18727,70989,4381,14097,-71753,45201,-5212,-29044,261,-4957,-3187,-4297,difficult
7253,7284,6463,10435,4182,50184,8949,6422,650772,94445,13858,11589,9238,15601,5335,2853,-649044,-83347,-3119,-951,-4130,35514,1601,6480,-637995,-90976,-11671,-1358,-5983,33652,5626,657,easy
