delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,state
412773,68492,9304,15161,10154,6067,4912,2251,212900,93387,22795,11691,12609,10659,8698,3114,-6742,-30634,4443,3694,-377,1363,592,-333,-179719,-76329,-18039,-8150,-8069,-9032,-7091,-2650,-97581,-58197,-19835,-10641,-6073,-8434,-7206,-2153,579917,23584,-14924,35482,5648,-2103,655,-278,703490,17102,-19099,-3037,-3402,-4754,-5879,1100,easy
378815,207963,55521,19244,15699,9053,7017,9773,858279,240123,41768,24658,18168,16049,13325,12518,94440,164538,51499,33048,10956,-8858,-4257,-437,-221178,330581,117793,-4378,5350,10838,3336,18941,-739096,-223831,-39378,-22735,-16337,-14570,-11723,-11806,-752770,-214979,-28355,-10059,3856,-9561,-7375,-9525,-778715,-217111,-32793,-22945,-16171,-12827,-11521,-10900,difficult
155452,73389,12655,10522,7712,5572,3867,2464,128161,56052,23799,8001,9915,8674,4185,3552,7429,179735,17959,17761,1778,1882,-315,-733,-93925,-18609,-18149,1744,6768,-103,-632,-1320,-122289,-27971,-17976,1640,-7480,-6312,2474,-1303,380774,-2549,-15259,-3670,-3700,-2898,324,1054,-35534,-43921,-22295,-4872,-8380,-8079,-3443,-3138,easy
215431,60116,15463,8724,3610,3994,4660,2761,864882,74060,29230,22627,20035,15110,5492,4780,-634088,-36603,-27524,-19006,-18944,-13022,-4550,-4536,-680757,-36418,-21138,-17233,-18287,-13275,-4813,-3682,-741166,79984,10608,-161,-14927,-3514,9727,-1439,-775773,-28449,-13113,-13893,-12066,-13559,-2293,-3520,-415471,-48235,-17669,-19223,-17901,-12211,-2231,3081,difficult
877065,156813,17840,18598,11091,8826,6727,8250,800640,177063,73377,13965,26206,12903,10517,6685,-125015,-62925,-65488,33213,-8345,-52,-2489,8358,976700,330983,-29900,17431,-5278,1212,-1787,3209,-585748,-110730,-55883,-11621,-22666,-11709,-8225,-4914,728254,-138169,-65191,-9508,-20853,-5470,-3072,2112,-612066,-120408,-61222,-6349,-18431,-4367,-3375,-942,easy
710591,53871,11453,8525,4673,5880,4230,2546,226067,12296,8596,6443,5593,6702,4505,2120,-217733,-9134,-4208,5109,-792,573,2384,489,-9945,14041,1773,10334,1846,-3604,-3059,-1213,-7772,22555,-5830,-4651,-3881,-3858,-2358,-1350,1162107,66019,7480,1320,870,328,988,2090,1495963,114396,15070,-1701,-2643,2451,671,2116,difficult
730700,137281,20755,8778,8544,4601,4718,2283,156050,18875,22341,9135,5919,4295,4580,1305,437840,47418,15019,1320,6137,2951,-427,406,1228031,335256,241,-2293,8426,1377,4948,2894,145326,66777,4278,6148,1463,-532,1387,2314,552559,70778,-15776,-6071,1044,-78,-2204,-296,509492,71801,-11693,-889,-3945,-2190,-3014,-426,easy
137351,61418,14337,6358,3978,3398,2721,1146,252879,36233,18422,6570,8218,4675,5362,1469,-148885,110310,38385,16564,-2361,3769,1984,1461,-124834,1496,-15773,-5428,-2154,-1235,-3366,-741,-162263,40437,-13361,-5636,-5018,-2855,-4233,-256,75768,5610,-12408,-513,-4405,-2049,-2704,-791,-217428,-31927,-17270,-6045,-7264,-4014,-4884,-1290,difficult
663013,93215,21694,21579,6636,5225,5844,1751,662479,130782,28987,15587,23966,16646,13325,5471,177260,-46839,3228,-2661,-10180,-10468,-10428,-4214,-545097,-88142,-26710,-2494,-21341,-14670,-10696,-4369,1285972,22514,42443,46605,-17914,-5650,-3446,-2292,-360864,41343,-27769,-4661,-15343,-10901,-226,-2573,-554601,-116711,-27655,-6830,-21872,-15414,-12611,-5152,easy
332197,114128,11688,6545,18834,6307,5301,2838,93853,44962,21330,14417,6918,8094,4001,4054,-36827,-27293,-11494,-4405,3020,-5749,-2033,-1792,164166,224528,-9964,-10249,1238,4752,12880,2300,548446,135065,-3715,-2014,58955,3048,1769,-44,581386,42793,-2664,-9057,2709,-3148,-2549,-2700,-65450,-29262,-20371,-13633,-6341,-7837,-3567,-3843,difficult
895761,116495,21551,38269,11243,14536,8995,5291,335090,81149,15320,17910,16812,28149,14508,16849,559586,22309,-9702,-9777,-3878,-20082,-10776,-13340,1002753,-27600,-7815,-16868,-11358,-18386,-10527,-14909,628388,226376,-1207,13089,6169,-2146,-2733,-4960,112453,16379,57488,82943,-4543,-1901,5951,-9782,500176,-60736,-7609,32410,-14233,-25548,-9482,-14799,easy
850250,90024,13354,10259,5366,5265,4783,2009,231294,60796,13096,10322,17791,9798,3161,4419,3026242,64148,11190,9904,-11057,7618,9453,253,-91427,-46181,-8536,-6714,-12364,-8165,-1520,-3885,-32059,100208,-800,-8863,-7887,-5885,3448,-1416,361569,81560,12064,13700,-14157,-8721,-2183,-3561,-169547,-53596,-12629,-8343,-16659,-7514,-1088,-3443,difficult
491266,63539,24646,8857,7323,5672,3793,2257,492672,98103,25630,19279,15955,13105,7711,4801,-257937,3606,-8136,1752,-13419,-5928,-4437,-1897,-332252,-80975,-24695,-17605,-14746,-12335,-7114,-4282,-363031,-79548,-18810,-15252,-11685,-10826,-4152,-2236,842298,8944,58462,-5729,11449,838,2015,-225,103894,-24847,-11742,-15276,-14760,-8912,-5904,-4082,easy
292151,89882,13732,12756,8136,5638,2986,2033,171937,24097,6421,7341,4432,4097,15577,3339,137951,32485,7626,-2321,-1498,-2441,-11496,-2270,-84827,18250,-4687,-5322,-1698,-2583,-15304,-2842,67431,58447,21356,22049,21284,7352,-10406,402,146128,233562,4168,17827,2765,8149,-11645,1081,334386,-13817,8094,-5160,-2333,-2774,-14103,-2903,difficult
151013,106366,10874,6481,5452,4793,6264,3312,100046,38567,5244,6748,3725,3552,2395,1802,49457,-25190,-4082,-3444,-2178,-40,-905,-1245,-48097,-28467,-2106,-5117,-1935,-1057,508,-829,-75714,4379,-2864,5261,4671,6416,12467,4992,364915,420041,42118,5090,9209,2860,8778,5902,-35725,-31766,-4914,-3125,-1132,-1974,-1504,-1272,easy
295258,49757,10986,7688,4590,2984,3169,1870,295074,52475,10400,8808,10341,6893,6329,2242,-58248,-36718,-4491,-6871,-9152,-5859,-5306,-1987,486464,-21102,1750,-5922,-7020,-4224,-4464,-1317,-224615,36291,11378,9982,4082,1009,633,5329,-241434,44411,-3127,4049,-7312,-4487,-878,-1871,38755,-36470,-2578,-6839,-9353,-5986,-5784,-2013,difficult
