delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,state
1426716,159421,127976,23782,15405,21343,27421,15957,-1143495,-56026,-6833,1485,7247,4103,-2267,-8653,144245,-78610,-115569,-15962,-10941,-13269,-21028,-15180,-950974,-137972,-124428,-20875,-14035,-20289,-26305,-15404,-120322,257805,-105269,30662,1905,-14,-11860,-9014,easy
679246,119766,25568,19435,17793,9420,7068,2598,333017,258018,37478,20642,10992,12347,-187,1017,19805,53041,4972,4792,26,-4587,5517,1439,1104680,1280006,66509,105857,40582,73233,27238,19613,153915,59546,9584,32847,-2147,6382,6983,-807,difficult
899072,325884,30830,22985,10463,19619,10107,7978,1506120,172560,36745,-831,50773,52173,71610,6187,-172424,-128868,3567,-2342,15374,-7813,-6911,-5017,-631609,223576,-3811,3623,13011,-4504,-2621,-5475,-70989,-289845,-26817,-12082,-8080,-15870,-7623,-5891,easy
590528,74283,13497,4962,7671,5726,2221,1120,-512825,106680,-96,-748,-709,-781,636,67,-241808,50804,23267,5467,-883,11092,297,609,-281190,-58267,10693,6140,-4487,-1763,-1038,711,639996,19299,138556,40056,26432,23979,1749,1359,difficult
1270477,218519,26368,35938,14806,22407,15391,5172,768670,-95413,44209,-13703,11326,-11951,2057,-663,-468597,-56680,-14204,-15747,-3625,-2118,4522,-1566,1581743,376980,225107,135872,98947,19608,19255,5091,-993700,-146517,-17362,-27225,-11765,-17492,-12573,-4250,easy
1478983,382270,74357,135184,76375,25046,10255,8414,-729299,-139319,85145,-116163,-46799,-14727,8751,-4304,133379,223436,182643,-22348,22455,-4572,16751,10899,379384,-28329,17790,-71472,-67656,-4858,-6381,-6195,-379473,-94102,-52373,-115866,-38524,-18835,-877,-3572,difficult
769162,279436,32607,45607,22558,10298,9446,3163,-728944,-243860,-29986,-43878,-21360,-8337,-7434,-2595,-607438,-212874,-4688,-41652,-13113,2129,1676,-1879,2011006,432566,51210,38543,39903,58956,56509,4271,1511748,-163410,-16517,-29101,-12452,-2427,675,-2119,easy
517294,190054,13702,22310,9555,5717,3567,2822,165161,-154610,-9318,-15547,-7324,-4079,-2504,-2324,641939,-97842,11832,898,-4291,4580,722,2605,1427278,-131368,-10767,6051,-6418,3529,359,-1658,211326,-153458,-8393,-10737,-2931,-3353,-2278,-1800,difficult
656236,431385,25187,30126,15072,12913,8281,9782,49812,-361722,-10790,-11770,22867,-45,-232,-7832,980204,172729,-7934,54792,17817,21411,30976,3319,-297398,-409638,-11938,-29302,-8398,-7719,-3611,-9334,-426629,-387016,-10999,-23787,-1827,-7542,-1496,-6599,easy
1401346,391286,139047,74232,36819,53793,50501,29261,-617104,-292288,-106490,-39583,-27150,-47682,-47690,-27895,240665,-208311,41796,-59540,-20655,7244,-36057,-25245,-745348,-349705,-45697,-64862,-26656,-47790,-48039,-27745,-302924,-80441,-131684,-36306,-16792,-35685,-45140,-21231,difficult
585815,119939,33888,19917,25081,16002,12370,5460,296026,-29696,8700,-10364,-9436,313,-3961,-1931,-288566,-50377,-23412,-14774,-21648,-13366,-7645,-3908,-291500,-66783,-24105,-12035,-16668,-7106,-4197,-2871,466896,310687,86284,145473,79784,60066,55296,12408,easy
788874,472899,182676,94387,58744,33351,9385,5838,617729,542974,-89839,-71654,39991,27377,7625,6254,-211497,-268544,-141392,-84844,-46085,-24293,-3433,-4899,1189336,324500,23860,-68845,51254,-1399,14032,-416,442381,-181003,-96081,-69857,-16174,-5341,-469,3819,difficult
1183119,472244,80152,73765,75411,39186,31038,10348,-132332,-351511,-66136,-48582,-69939,-28687,-23489,-8782,787091,-318453,-66862,-20243,-52946,-4450,-20597,-3544,825428,1145067,78737,74490,45664,57512,47195,34985,-947092,-408473,-51773,-66750,-70267,-25595,-18258,-5057,easy
1269963,262135,26784,22531,15554,7564,4935,2180,-480460,-199218,6189,-8898,-9459,-1947,-3505,-787,-1045241,-140185,-15002,-6600,2340,3063,-2604,554,-1044060,-208791,-19497,-20334,-13083,-4628,-4034,-1564,-1056485,-225752,-24933,-20161,-12611,-5421,-4164,-1821,difficult
889964,272426,217244,54932,53633,64737,17832,20808,254449,955095,38041,59066,336,4503,-4169,-1453,-141404,-199286,-211726,-37416,-19284,-40523,-9398,-8263,-855293,-264995,-210816,-52238,-52582,-62030,-14150,-20148,64827,100668,-127518,24661,8650,-37531,3121,2664,easy
1493006,130464,18898,20207,14204,15714,19609,6558,-1360278,-85369,-11484,-14738,-10998,-7606,-14565,-2874,-583225,154505,24077,-12542,-2468,-4555,-10109,-283,-246247,350832,142892,35664,63433,10101,33458,22132,-896021,94591,-98,34929,3368,-2166,-12059,-908,difficult
848300,194480,25665,51459,29863,19842,14054,11719,-164984,-7542,6679,-45790,-21442,-9341,4773,-6087,-787777,-133605,-19804,-48983,-25241,-11882,-11516,-7021,311258,35739,16917,42364,42687,19718,24378,4010,-748587,-172180,-23795,-46490,-28019,-18967,-13413,-11393,easy
521423,142177,16122,9377,13546,6706,2156,2276,483031,-63653,-10553,5051,-11570,-3441,1347,-746,167329,88452,-11831,43157,6124,10211,7457,1217,212009,-10932,77451,6135,10673,8617,3560,1164,-494032,-121935,-9722,-4742,-9649,-4284,-1890,-1863,difficult
347474,147938,16668,14298,22321,23064,13090,10132,-238423,-91679,-7321,-3509,-16281,-11088,-6607,-7170,74987,262334,71893,-5580,14929,9466,1989,-4987,1931516,1661499,93731,64081,152998,109608,5661,22908,-77130,-91594,-9507,-9745,-11272,-16461,-3398,-6575,easy
1867119,216416,72744,52680,42981,15064,9241,5415,-680403,-27673,6347,-6434,-17659,5755,-4270,-2304,-1707111,-168403,-53049,-46397,-33376,-11824,-5118,-4360,-276182,-164373,-56236,-12617,-30954,-3995,3796,-3468,-237769,1374957,432693,216487,35476,33562,31737,5877,difficult
615460,594666,117706,127041,85680,105431,54503,31605,1488707,-512133,-112214,-115582,-75810,-102174,-51299,-30115,10553,-541515,-55076,-107223,-68771,-95460,-50172,-27262,462740,-413421,-60617,-111503,-76672,-90521,-42419,-25297,-513277,-547704,-116216,-125064,-84890,-103447,-52062,-30499,easy
1641625,84066,26652,35071,16847,8068,5782,3580,-152693,33836,13233,-13878,-8482,2117,-2432,-2289,-1541046,-33849,-16497,-30839,-14297,-5862,-5301,-2922,-94372,43784,-3669,51271,-9115,1648,-2786,-946,905981,186,-14882,-2613,-8565,3925,-3615,-36,difficult
1175079,253454,55978,31217,39918,18332,11378,17934,-972747,-192524,-46656,-29119,-36383,-16081,-9384,-16079,-389223,-200170,-43536,-25649,-32655,-6991,-3449,-12455,-211307,-164323,32457,55656,-9196,4829,31163,13151,-1134964,-242760,-48006,-28795,-34838,-16263,-9991,-17261,easy
744281,69930,9211,1776,5928,6704,1080,1555,2884515,136918,120282,135616,20746,11403,28603,14880,244593,-9817,41852,5017,2911,-3471,1154,1401,-221494,-54707,2165,9147,-4681,-4564,-159,611,-285634,-34643,1759,6093,-1148,688,2273,3017,difficult
495639,59867,26006,23594,9312,10380,4961,6193,247509,378131,155994,11801,6103,11806,18689,14330,77832,-48061,-18436,-20283,-4436,-7389,-1123,-4908,309150,1083,-9103,-20941,-4403,-7918,-778,-4340,-249588,485649,4499,14543,22814,4422,5538,7028,easy
930520,77428,37088,26198,8091,15310,3659,2983,185049,84324,88885,-15459,1487,-7378,15687,-2072,-3777,62373,74941,7795,5626,4043,4909,-547,552424,42381,15637,3432,7052,-2869,-583,-512,119540,-41288,-28927,-22102,-5573,-8818,-2143,-1675,difficult
534481,260037,55759,29467,60768,18632,11599,3548,869724,-110142,27031,-9591,-39326,9325,-7690,-904,-205820,-148462,-50133,-26527,-59654,-15697,-9724,-1888,1702615,587487,32660,28535,-4586,6198,14888,8711,-437294,-239567,-53448,-28530,-54428,-16960,-10363,-2559,easy
501932,51672,22532,27810,4717,4536,3316,813,1203310,1381376,76748,394832,168405,91136,17767,14595,641575,87194,56012,833,13745,7732,4256,2099,2428276,36135,70116,2366,43820,10541,6577,2790,1424038,65406,491,61101,9743,33850,8516,2896,difficult
1063406,329849,82505,31823,23059,15115,14035,8236,-985950,-306483,-77858,-29753,-17779,-14104,-13112,-7773,778481,-165047,-46790,11412,-15192,-4348,-10625,-6912,547427,929330,-58933,120791,93354,19134,8855,-1043,-798684,-206087,-38036,-22810,-15614,-8848,-9507,-2926,easy
1255044,555865,70959,30046,45624,37122,26796,9532,-1000923,-513424,-58179,-27668,-41055,-33644,-23607,-8090,1114235,-481820,-51138,8955,-11773,-22427,-14783,-4752,512816,-427847,-55240,9419,-28340,-21262,-13188,-436,-577711,-506196,-69591,-15144,-38160,-30853,-23152,-7181,difficult
1197025,329884,68705,82240,29000,12687,7308,7226,-1017977,-306172,-59374,-79757,-25086,-10318,-6865,-6723,-1083502,-299075,-63220,-75654,-22923,-2666,-6290,-6081,-369986,-308406,-55041,-69950,-24679,-7288,-6740,-6429,-847962,-244640,-57216,-76812,-23347,-5733,-5390,-5682,easy
528092,107661,12439,53361,17674,18349,6351,3876,-389155,-97923,-11219,-52283,-16767,-17700,-5915,-3136,431768,92868,9689,-21141,4660,-9925,446,-1129,123811,146339,95093,-35237,11902,-2932,844,-2125,-271486,-86042,-10187,-50181,-12222,-16588,-5240,-3298,difficult
923470,164881,59486,34922,23781,14930,5034,5229,-746669,-106469,-50280,-15771,-13392,-7420,-4071,-3598,-881805,-143577,-44630,14643,-9216,-5683,1869,4497,-917275,-157061,-57820,-23149,-21274,-13537,-3034,-3428,-844634,-146580,-58724,-33877,-23115,-14216,-4702,-4949,easy
812687,235347,102745,28527,26457,19016,11436,24661,-65259,-78403,-95748,-18369,-14507,-6350,-3542,-22097,-469800,59166,28275,-19192,44640,9440,-888,-18158,897625,743412,447653,181530,484843,118414,287322,249885,463879,418250,17298,45921,75579,94024,57619,25885,difficult
586210,70995,14369,5339,7195,5742,2435,2275,62861,193473,2437,34198,25503,12233,10256,5970,381235,35599,-551,13282,7434,10219,1235,2821,-485863,-63779,-13886,-4849,-6548,-5067,-2217,-1809,101706,9001,-7787,2035,-5532,554,1417,-1276,easy
1401521,382265,15815,37716,17060,20405,6940,6700,-892807,-277203,60096,-22400,-2627,-4363,-3652,-5670,127299,-245717,43038,29751,9997,-5282,8329,-5567,758468,35225,188481,37468,33781,31489,22480,2765,-368365,-198877,35333,-3887,-9354,-12146,258,-3084,difficult
190164,75104,12198,8841,4970,3882,3069,1088,-76833,-8937,-7293,-4775,2180,-1556,-2399,-735,1827721,3165,-3180,31029,12934,3376,263,1582,1077221,274070,9655,-3066,5275,14671,-991,660,-110792,-52121,-7409,-6304,-2292,-2723,-2605,-525,easy
1883983,211050,46952,35181,17309,9173,3798,2378,-1722806,-201404,-43190,-16185,-15785,-6774,-3332,-2000,-1414447,-76478,-5069,-22605,-2284,-2525,-3149,-1349,-1772133,-103006,-33587,-28891,-13918,-3207,-2667,-1771,-1822925,-196664,-37243,-31818,-12706,-7041,-3296,-1846,difficult
816200,88583,14817,19161,8768,11920,5265,2902,116364,-9210,-12430,-4954,13123,-5316,-1541,566,-252912,-16092,35742,-6902,4795,-3525,-3144,-1607,677015,20825,-6907,6372,1745,-5811,66,-977,-748132,-86470,-12847,-14523,-7197,-10198,-4523,-2454,easy
1253818,257520,72196,19189,20573,23600,9341,9270,-873156,-196655,-65235,12096,-17648,-19778,-6204,-7155,-1113817,-225055,-55717,-16590,-12441,-21275,-7258,-6794,-663205,-154435,-20744,-10903,-13282,-10585,-7425,-8220,-1141343,-249120,-66507,-14147,-19129,-22377,-8728,-8953,difficult
1793612,178080,71209,21237,26353,23562,15922,14001,-831756,305235,-11278,74889,34426,32200,-6120,-5881,-918425,2890,-46801,-15123,-7055,-6655,-10253,-9439,-1716778,-127738,-63643,-20078,-24152,-22054,-14541,-13479,-1352318,16031,-59919,-10474,-19978,-13045,-13103,-12446,easy
1127750,122443,22956,33249,14043,15056,16512,4437,208454,-15222,2140,6934,-7186,-6642,-9099,-1067,-726350,-103359,-14763,-29973,-10881,-12826,-15050,-3773,-294649,35855,61059,127205,3124,-481,675,8619,-544078,-63990,1305,-26598,-1038,-8304,-10802,-1270,difficult
330736,118065,9062,13305,7343,4765,4399,1526,24760,-1666,740,2581,625,255,-2622,-819,887463,129788,138971,51846,18117,18751,7911,8209,-197337,-89396,-1760,-12203,-5920,-3470,-3643,-1270,655259,-34378,5445,7324,9900,8565,-940,23,easy
916040,208535,19880,12244,19852,10176,8343,5691,-804374,-182245,-11427,-7145,-18561,-6549,-7679,-5134,68890,508989,48916,53949,23197,-2396,9315,1089,55028,-63951,12679,5303,-12200,-5561,-4687,-2350,-183004,32550,-9683,19558,-11370,-6147,-5942,-3862,difficult
775254,131785,26659,10170,8608,4782,1330,1448,-613828,-77819,51863,57982,33643,13704,7015,2631,-733221,19587,-16847,-2481,-5684,-1264,139,27,-568590,-77510,-2087,-4759,-2758,-1794,-80,-306,650725,-89916,-1934,-6540,-133,-1164,-267,-792,easy
1627121,253598,67031,26177,21476,30091,20908,11468,-135650,-166016,-54443,-20017,-15903,-24923,-15210,-7861,-1602957,-219469,-62662,-22645,-19593,-28380,-19994,-10242,-1308940,-172325,-22752,-4212,-9926,-23527,-5421,-9528,-1560221,-172619,-53069,-24308,-19664,-28651,-18958,-10514,difficult
1438109,620153,36382,28721,24698,14812,8830,6853,-1268005,-553654,-32051,-25273,-23815,-10519,-8014,-6022,-743324,-598484,-33274,-25456,-17578,-12435,-6981,-4913,-1330366,-603317,-34574,-26292,-21704,-13141,-7793,-5947,-1236519,-594996,-28000,-26452,-23684,-13927,-8122,-6598,easy
