delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_cc0,delta_cc1,theta_cc0,theta_cc1,lowalpha_cc0,lowalpha_cc1,highalpha_cc0,highalpha_cc1,lowbeta_cc0,lowbeta_cc1,highbeta_cc0,highbeta_cc1,lowgamma_cc0,lowgamma_cc1,midgamma_cc0,midgamma_cc1,state
245245,94364,9703,9758,6814,6885,4590,2764,-219911,-81782,-8846,-7573,-4741,-6178,-4358,-2667,1633809,-19118,31303,13090,-1164,798,-2664,-747,-160181,-47937,14358,9576,3639,-1452,-3409,-1710,1853720,-1793990,62664,-28819,40149,-16945,20663,-3514,3577,4803,6976,-2250,1694,-745,1920,-963,easy
684177,384648,137270,90875,61468,69878,78280,18541,1260186,1485780,1716972,854623,303380,109408,281741,340690,362063,54214,-109789,-48293,-15051,-53781,-60504,-4237,1600312,-210837,34717,-30341,-29524,-55307,-62285,-14114,-898123,1238249,-1431566,-265051,-1826761,144506,-902916,17952,-318431,-14473,-163189,-1526,-342245,-1781,-344927,-9877,difficult
646165,105602,73378,52989,62081,13679,18683,9750,26702,-52667,-22494,-46454,-55891,-8386,-14912,-8559,-100751,-83998,-34410,-5202,-47447,-5320,-12649,-2271,-578846,-73470,-65024,-48751,-60822,-11277,-18033,-9281,-127453,-478095,-31331,10528,-11916,-30614,41252,-43549,8444,-13375,3066,-5957,2263,-5384,6288,-7010,easy
643848,61573,18251,27302,10636,13173,12288,4164,-561000,-22588,24283,-19400,-5657,-6489,-10871,-3285,537061,-27201,-13658,-10863,-4312,-10087,-9213,-3116,108864,-17171,-15078,-11215,-1675,-9647,-11100,-3393,1098061,-428197,-4613,10030,-37941,-1420,8537,-352,1345,2637,-3598,440,1658,-1887,169,-277,difficult
1359152,265216,24833,47066,20887,14538,19054,13063,-808555,-188178,18136,-9399,-17526,-10173,-12165,-6452,-1016341,-156663,72930,-29850,44767,-908,-14912,-8091,-1337260,-256532,-19082,-44231,-18163,-12540,-18480,-12886,-207786,-320919,31515,-99869,54794,-92012,-20451,-14381,62293,-62930,9265,-11632,-2747,-3568,-1639,-4795,easy
1056578,189440,61434,37870,25721,19498,18783,18726,-527131,-166235,-49107,-34277,-17452,-17543,-17248,-17381,673128,-97469,-7371,-26226,-9812,3931,-13671,-16516,-377604,-92052,1531,-29216,-16796,-9101,-16858,-12508,1200259,-1050732,68766,5417,41736,8902,8051,-2990,7640,-6984,21474,-13032,3577,-3187,865,4008,difficult
1123926,190294,38397,37639,30535,24174,29649,14014,-67741,-132516,-1750,-21656,-22688,-19401,-24208,-11073,-290920,149336,-18323,-32216,-26130,-2627,12490,-8399,-372310,253305,32804,-23252,-11635,-5597,-15952,-1498,-223179,-81390,281852,103969,-16573,51127,-10560,8964,-3442,14495,16774,-2970,36698,-28442,2674,6901,easy
921349,274865,77655,29896,32669,17341,15089,14437,-257297,-179668,-67260,-26831,-28938,-12346,-11342,-12194,-315480,-65273,-17622,-17539,-23658,112,10082,-6153,-232417,607614,-42412,-495,65765,10368,-3314,-10158,-58183,83063,114395,672887,49638,-24790,9292,17044,5280,89423,12458,10256,21424,-13396,6041,-4005,difficult
120396,47825,11737,9101,3893,2236,1325,606,914127,-13753,-2322,-6389,-495,610,74,382,894980,98581,12341,6650,9627,13288,37133,3013,-97975,-11519,1305,2624,-709,1150,117,325,-19147,-992955,112334,-110100,14663,-11036,13039,-4026,10122,-10336,12678,-12138,37059,-37016,2631,-2688,easy
792590,494021,151211,45373,44596,32243,13693,11946,130120,-318274,-29591,-2588,-36446,-10442,-4520,2037,-654750,-462035,-126302,-40140,-34480,-30884,-11511,-10316,1200101,310559,-86208,-7007,-15829,-12215,6077,1392,-784870,1854851,-143761,772594,-96711,40094,-37552,33133,1966,18651,-20442,18669,-6991,17588,-12353,11708,difficult
776579,169747,88646,51991,29504,15524,8151,5051,-567781,-29644,-69754,-38592,-20713,-10749,-6654,-3921,1646225,588931,-77066,-38562,-2892,2292,134,-841,-613676,-153692,-80891,-49303,-25420,-14120,-7117,-4879,2214006,-2259901,618575,-742623,-7312,-3825,30,-10741,17821,-22528,13041,-16412,6788,-7251,3080,-4038,easy
891013,50459,16226,7993,6339,5705,3191,1455,-834620,-14469,-14552,-7675,-2429,-3799,-2097,-681,-554565,53464,-4444,-115,-377,1062,-1369,-220,-602120,3549,-7872,-4013,7648,-2204,-851,11,280055,-47555,67933,-49915,10108,-3428,7560,-3898,2052,8025,4861,-3266,728,518,461,231,difficult
968942,101041,21205,21306,20918,11972,8491,5100,-829285,-73964,-14653,-17221,-19002,-11029,-8190,-4272,-960625,-39411,-9724,4813,-7168,-2728,-4226,-2582,-957749,-82819,-4364,-11756,-16466,-556,-4637,-2765,-131340,2876,34553,-43408,4929,5360,22034,-16569,11834,-9298,8301,2172,3964,-411,1690,-183,easy
150367,342866,16385,11109,18976,8526,3905,2002,348294,-311801,24504,2001,-14124,-5220,-1355,179,63727,-332738,-14917,-7601,-17270,-6817,-3582,-1711,357733,-210392,32334,9968,-5251,-2114,2609,4787,-284567,294006,-20937,122346,-39421,47251,-9602,17569,-3146,12019,-1597,4703,-2227,6191,-1890,6498,difficult
893694,91152,57197,25073,18626,4231,4715,4072,-844466,-74869,-56626,-23938,-16518,-2084,-4454,-3930,-711991,-56814,-37458,-18000,-9287,3285,-2428,385,-730544,-59094,-52269,-19520,-17832,-2296,-3992,-3476,132475,-18553,18055,-2280,19168,-14811,5938,-1520,7231,-8545,5369,-5581,2026,-1564,4315,-3861,easy
1812683,151710,47176,39192,22369,16573,19992,10777,-1562666,-21802,-31453,-14190,-14172,-1321,-1632,-1053,-649738,268352,1107,17758,-13927,-1942,-14115,-8266,-1609864,-79673,-43222,-28539,-19920,-12777,-18714,-9462,912928,-960126,290154,-348025,32560,-44329,31948,-46297,245,-5993,-621,-10835,-12483,-4599,-7213,-1196,difficult
1415423,685900,49138,74276,61531,60197,15121,23999,-1275078,-461561,-36889,-68797,-54301,-48078,-12551,-23118,-1395864,-676953,-48596,-73336,-60032,-58132,-14661,-23596,-1268343,-627601,-43515,-64950,-54801,-58987,-14298,-22988,-120786,127521,-215392,49352,-11707,5081,-4539,8386,-5731,5231,-10054,-855,-2110,363,-478,608,easy
348013,68209,42746,8616,11068,7848,3320,3581,-52065,235469,-4157,-3264,-4290,-4632,-1524,-2404,-22160,-32546,-35128,-3447,-10261,-3062,-821,-2544,-249958,-40102,-39278,-5126,-6463,-6744,-2957,-3396,29905,-227798,-268015,-7556,-30971,-4150,-183,-1679,-5971,3798,1570,-3682,703,-2136,-140,-852,difficult
1015971,93484,38229,27569,33752,21054,18314,10655,-856375,-81624,-33768,-24058,-32444,-19426,-15602,-5827,-650777,-8100,16956,-19651,-9561,12871,-9756,-5954,644763,-71720,-25521,-25999,-26629,-19205,-13915,-9492,205598,1295540,73524,-63620,50724,-42477,4407,-6348,22883,-17068,32297,-32076,5846,-4159,-127,-3538,easy
944450,85217,39207,12764,26004,16663,9601,9617,-151462,119108,25644,57700,40294,-5200,-678,5226,-678373,-67013,-33938,-6891,-19423,-11507,-8780,-9063,-393617,-75480,-37873,-10731,-23020,-15706,-8885,-8872,-526911,284756,-186121,-8467,-59582,-3935,-64591,-3840,-59717,-3597,-6307,-4199,-8102,-105,-14289,191,difficult
1082506,184686,27633,41915,12901,28318,17134,26146,-1066561,-175875,-24543,-34755,-2216,-14382,-12378,-21505,-1024567,31928,-3980,-27872,-349,-19547,-8754,-22543,-1071216,-177987,-26539,-40955,-7807,-25017,-16564,-25383,41994,-46649,207803,-209915,20563,-22559,6883,-13083,1867,-7458,-5165,-5470,3624,-7810,-1038,-2840,easy
74122,26696,8463,6866,1961,4043,2383,1976,431476,69717,19667,2285,4421,2641,954,-261,60440,10063,-3465,-1254,-599,-962,-783,-1594,74338,-4037,3105,-3627,-286,-1238,-1605,-1324,-371036,13898,-59654,-14100,-23132,6570,-3539,-2373,-5020,313,-3603,-276,-1737,-822,-1333,270,difficult
