delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,state
796283,212129,112254,47781,27962,29670,24612,18501,-673683,-204828,-111341,-43354,-22338,-22590,-19058,-14386,89384,549906,68876,-29156,-14596,5161,-14199,-1983,-760742,-183995,-100360,-33797,-13265,-12687,-14123,-5853,easy
293275,231738,24416,46393,37886,34857,17765,10381,-62589,-92846,-7927,-27824,-33702,-22059,-11619,-8892,1169509,-71970,-15660,-28112,-9286,-10916,-2489,-5609,-41956,-117485,-12432,-43998,-30118,-30527,-15108,-9047,difficult
128240,171880,26682,21551,24782,19690,7657,12052,-50129,-165559,-23959,-19257,-23566,-17129,-5765,-10836,-99878,-161378,-19536,-13845,-4165,-6314,5992,-6012,-69520,-164222,-23459,-13349,-22078,-14050,-4624,-8921,easy
595689,312817,14646,22519,27555,13352,36335,14856,-544168,-306079,-7548,-10909,-25896,-3499,-22365,-11438,-525499,-240530,44116,-7307,-22777,76,-24624,-12064,-561544,-301715,-10464,-19866,-26279,-8807,-30285,-13217,difficult
854830,134847,27444,9010,9697,15637,17388,15319,958195,4016,77403,29577,9085,61792,27396,11330,-498114,-6179,-6307,8379,7731,202,2926,2069,-481937,97759,41963,43488,11266,13296,47529,45681,easy
324001,375160,16475,38733,14723,12287,5064,8486,269635,-317598,-9779,-34920,-3550,4249,-2512,-5935,27025,-348547,-2364,-34162,-10127,-8384,-3319,-6430,1700730,-79083,13084,-24199,5819,4466,1565,-4299,difficult
732633,289132,45471,46245,13785,23206,13746,11564,-366125,-198436,-23757,-20714,-4519,-15476,-7275,-9171,-714005,-276598,-44311,-44506,-10419,-19314,-10769,-6612,-650610,-251019,-31896,-25526,1554,-4586,-594,-621,easy
691179,310606,28392,14868,30034,25087,21358,10694,-121128,625371,58196,58724,-6742,3573,17277,29121,-600869,-306833,-25446,-12385,-29146,-24318,-20808,-10461,-687185,-302730,-18730,-12023,-24634,12071,-13109,4845,difficult
95235,46927,15987,11630,10161,6003,5798,2555,-91654,-38947,-11399,-2209,6713,8236,9833,5013,119210,43523,-12441,-3270,15669,2302,-1945,-391,-89913,-44688,-10986,-1196,-1391,16974,14453,3455,easy
630501,69042,54246,43925,34007,18063,24860,19847,-536400,-44119,-38621,-40390,-31812,-13570,-20129,-17629,-546901,-54090,-32033,-24445,-14513,-7778,-17672,-12288,-486486,-27112,-40451,-40787,-31128,-14950,-22946,-17215,difficult
