delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,state
315989,61654,23784,16425,3202,3306,2194,1484,726843,65446,5453,15353,11072,6862,3150,3408,-388057,25694,13327,-7746,-9112,-4772,-740,-1891,-433652,-33279,23335,9890,-6628,-2340,-1172,-1957,easy
627904,34919,36714,6551,6869,3988,3095,1495,1053756,137609,193493,72428,64750,39281,15412,8456,-947936,-88545,-132445,-63834,-58406,-33570,-11911,-7336,96231,-116836,-181114,-67921,-57356,-37017,-12723,-6586,difficult
68134,24671,2159,6126,3612,4771,3300,910,569862,145379,25990,19672,15963,12632,7880,5559,-494460,-119778,-25256,-16209,-12387,-8977,-4277,-4999,-508996,-121638,-22406,-10884,-12315,-6746,-4884,-4300,easy
792404,151149,23215,19265,7187,6389,4621,4768,1050996,223135,117977,130581,45403,21364,11219,19976,311869,-1500,-86742,-108920,-34302,-13778,-7374,-13483,-829054,-142473,-102782,-113713,-42130,-16172,-5822,-16934,difficult
177996,75382,11652,8266,9528,5467,4782,6765,694714,167714,7335,24494,13199,18519,9230,10981,-491533,-38469,11565,-9834,3394,-15339,-4582,-4211,-541904,-146195,-2932,-22623,-10737,-10765,-4314,-4222,easy
835326,62336,7606,6694,3087,3544,1613,2626,596897,43626,17490,14664,9333,13875,6545,3132,884233,53465,-4802,-4524,-4336,-7766,-4233,1658,-407376,-16045,-14967,-11416,-8157,-12897,-5631,-2671,difficult
386971,99136,4255,8323,4317,13414,4602,3337,840679,58200,48484,10577,4113,4364,2879,2764,-700807,70293,-41423,47,1311,13484,638,1629,-206610,11578,-47036,-4556,-903,4616,2808,-484,easy
1543522,114192,32179,14250,13097,9190,4584,6363,796919,166793,37670,9747,7602,9302,4170,7315,2267660,721,21093,10730,13180,3345,3342,1759,-774455,-105924,-32076,-1725,-2191,-3570,-2515,-3663,difficult
48669,9515,987,4086,6496,5681,4288,18371,294770,151461,38772,21464,10247,15902,6126,6075,-211433,-148752,-38649,-21228,-9279,-13199,-4861,-5496,-280770,-135141,-36922,-13529,1776,-7244,1184,30088,easy
872432,135866,15355,12741,5244,6878,3423,2679,569293,267849,30774,28516,17548,14677,9201,7564,879495,-54901,-11972,-9988,-10830,-6033,-6130,-4674,-273218,-209066,-18867,-21563,-13779,-9565,-5426,-5096,difficult
