delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,state
1038741,305868,39172,48238,31453,43445,32145,35007,-147488,-221736,-35373,-35563,-26963,-20509,-16758,-29407,15946,-38559,228169,62481,101604,105700,108888,22398,-443551,-19182,40052,-20429,-13302,2505,107811,-11028,difficult
1722678,218801,33952,49675,19816,51856,61182,31451,-1582188,-193616,-31319,-48392,-18422,-47365,-58432,-27231,-1230673,-191387,-28918,-40893,-17177,-44437,-58716,-28458,-1133938,-24380,52087,-44698,-14815,-1228,-26632,-8082,easy
524691,277274,54771,18499,12480,44561,35335,18556,759805,-30037,-37155,24290,10419,-15258,11432,7383,852777,-77067,13716,39812,12951,-22580,23325,7350,-261104,44425,-4914,439,50151,-31370,4766,35210,difficult
621923,120860,43515,46975,27926,72576,40948,30697,-9119,-66158,-32976,-41717,-27045,-62236,-37137,-26498,312784,-44989,-30809,-33218,-20815,-66801,-34590,-25694,62801,-77132,-28170,-44007,-18437,-61038,-34165,-25579,easy
846429,407411,40154,22561,78925,64109,46655,32450,-801686,-360875,-38854,-20048,-74944,-57116,-32254,-29643,1130704,616267,44280,-9354,-58789,159265,1205,556,-430383,-308381,29003,8415,-22381,64173,-15286,22610,difficult
1470087,324809,180584,33046,62676,54657,136335,38814,-1078464,-274529,-163522,-26698,-60332,-47779,-119657,-34714,691704,-167302,3362,45423,-38532,-19127,-93785,-14108,328978,153929,4839,64560,19945,1492,-26611,27790,easy
1429644,41286,17479,29542,12792,24184,34286,11710,-1179564,-13949,-8066,-21130,-10104,-9401,-32665,-3019,-1335932,-29058,-14078,-28092,-12247,-20517,-31243,-9536,-531959,-9188,19862,-14595,-9061,-2558,-22828,-174,difficult
792433,125091,50582,19099,19675,30081,21823,15952,-215635,-3365,-22055,-13330,-10790,-13753,-11647,-5421,-222351,-25005,-6213,10731,-2164,-456,-12311,-9680,-635678,-90481,-48949,-13379,-13550,-17296,-11962,-5570,easy
124329,30419,4338,3535,2804,8729,6018,2243,210252,6158,20612,10368,8387,32387,-48,18175,-91239,19419,-2115,-2643,1094,-4078,-3266,469,946570,160632,78001,1073,16509,31484,15005,16755,difficult
913578,364345,49362,36546,44227,62699,33451,25712,-20042,-119102,-17150,-23116,-29126,-40359,-25213,-16793,-232747,-179926,-29384,60092,32062,-40465,10171,-1845,657504,487003,16519,359057,77485,27227,261515,237609,easy
448366,95318,60561,43916,37984,41997,40301,23158,779774,54187,-34390,53818,-12762,20079,-7796,26136,1678813,120927,659702,91254,55327,224500,150999,122900,-284054,-78661,-57154,-36612,-32774,-37448,-26332,-15373,difficult
