delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,state
49010,6698,7013,9160,1461,6024,2479,1472,62987,12164,4075,11205,5088,5372,2543,4896,5260,252,-850,-4279,-3791,-1225,-1129,-4314,7318,-9084,3030,6105,-2884,7604,1870,-1449,-54508,-7567,6634,-7960,-4205,-4423,-933,-4509,easy
15947,20451,7115,13995,17308,16287,7564,9460,165923,42645,14137,7351,12689,19804,5272,4757,-146703,-18304,621,19813,2136,-1177,3773,10416,-163720,-25479,-10768,-344,16567,-3978,-2233,5822,-139505,-22800,-10918,464,-4847,-5397,5337,-2130,difficult
126926,15158,12675,3897,3483,3536,824,1368,58405,31529,6160,21493,8619,7954,3663,3007,-46489,-6049,-675,-20198,-1185,-4601,-2829,-2177,-53218,-29024,-5199,-18334,-7689,-6045,-3054,-901,305271,-14041,25420,-14257,-6534,-2607,-2633,-1838,easy
36543,18401,10223,13659,7146,15984,7790,6693,68918,12803,3857,5590,6104,8469,5198,2756,-44224,-2169,569,4485,298,2620,-2377,8916,-29901,22902,12181,13585,-853,7035,6861,1591,-22999,-3938,6347,6137,3681,12889,3293,1304,difficult
81872,32247,7887,5237,8719,7166,4045,1873,37710,28219,6216,2294,10633,5082,2077,1772,-17579,-19569,-1588,7864,4670,4938,5844,565,-3152,21928,4206,1122,-3574,4186,808,1234,153217,9725,2396,-156,-6837,-2871,-749,-1495,easy
66925,22815,5551,6742,6780,8593,4186,3813,360268,44134,7590,11348,5641,9231,3904,3123,-353178,-40618,-652,-2533,1418,4832,4135,869,-352980,-33339,-3277,-4243,5167,-857,-37,3443,-173872,10001,-2187,-7042,-3169,-5888,-3251,-2241,difficult
73541,19316,6437,4945,5586,5013,2837,2687,28612,12211,5608,4334,4635,18260,4583,2180,-20358,-9459,-4503,-2945,-1326,-16375,-3448,63,166945,17289,1029,2121,-1733,-12261,-3699,-835,-11800,13486,5961,2657,5911,-11104,1909,2294,easy
29436,18124,9933,8520,5361,4589,2724,2903,204143,37416,9249,4658,10344,9556,2636,1269,-143196,993,7837,4927,-6126,-2827,-210,3241,-193747,-26705,-4317,-489,-8763,-8194,-1366,549,-187178,-32163,-1469,7149,-59,-3881,1841,1113,difficult
22720,9075,2605,3581,5935,10700,6452,3028,15180,19174,10174,5964,3126,4012,3230,2541,30463,-7765,-7893,-3098,858,-917,-2640,-1764,-11559,-5839,-6324,-1466,3301,11070,6606,2465,3716,-16693,-8490,-2586,4267,9912,5700,760,easy
64033,23373,5754,8874,24070,5093,2251,2672,251516,31232,7565,12828,23100,11879,5833,2510,-239495,-14920,-3002,-10221,28022,-3412,-3315,442,-237832,-7319,761,8372,-4310,-7630,-2822,1708,-85123,-1339,-3192,-10014,-20802,-9316,-4610,-1665,difficult
