delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,state
643219,90496,31462,29110,17968,5394,245245,94364,9703,9758,6814,6885,-219911,-81782,-8846,-7573,-4741,-6178,1633809,-19118,31303,13090,-1164,798,-160181,-47937,14358,9576,3639,-1452,338178,133364,50219,62316,46881,868,easy
1665168,636072,537762,266513,125757,55938,684177,384648,137270,90875,61468,69878,1260186,1485780,1716972,854623,303380,109408,362063,54214,-109789,-48293,-15051,-53781,1600312,-210837,34717,-30341,-29524,-55307,701401,-323462,-39932,-73436,-1651,-56082,difficult
657681,112387,40693,16471,9514,6426,646165,105602,73378,52989,62081,13679,26702,-52667,-22494,-46454,-55891,-8386,-100751,-83998,-34410,-5202,-47447,-5320,-578846,-73470,-65024,-48751,-60822,-11277,698959,237275,-8811,-45664,-46110,-4029,easy
550799,33347,13615,10817,5387,3643,643848,61573,18251,27302,10636,13173,-561000,-22588,24283,-19400,-5657,-6489,537061,-27201,-13658,-10863,-4312,-10087,108864,-17171,-15078,-11215,-1675,-9647,-457120,-45943,-14091,-24461,-9354,-11899,difficult
522236,175588,60206,72594,40370,9868,1359152,265216,24833,47066,20887,14538,-808555,-188178,18136,-9399,-17526,-10173,-1016341,-156663,72930,-29850,44767,-908,-1337260,-256532,-19082,-44231,-18163,-12540,-185510,242861,69508,185591,68853,4941,easy
961219,72045,35751,12023,10241,11629,1056578,189440,61434,37870,25721,19498,-527131,-166235,-49107,-34277,-17452,-17543,673128,-97469,-7371,-26226,-9812,3931,-377604,-92052,1531,-29216,-16796,-9101,-149828,-113823,-47784,-13669,-17861,-8762,difficult
733614,232584,32462,11315,9065,12170,1123926,190294,38397,37639,30535,24174,-67741,-132516,-1750,-21656,-22688,-19401,-290920,149336,-18323,-32216,-26130,-2627,-372310,253305,32804,-23252,-11635,-5597,-830279,-100964,-36473,-28174,-25426,-20391,easy
705257,308350,28735,14505,28523,13176,921349,274865,77655,29896,32669,17341,-257297,-179668,-67260,-26831,-28938,-12346,-315480,-65273,-17622,-17539,-23658,112,-232417,607614,-42412,-495,65765,10368,-59176,-228733,-68386,-16699,-29753,-14795,difficult
755783,66468,22964,16580,7173,8148,120396,47825,11737,9101,3893,2236,914127,-13753,-2322,-6389,-495,610,894980,98581,12341,6650,9627,13288,-97975,-11519,1305,2624,-709,1150,830414,1262,33582,27030,4697,8601,easy
778943,257937,54105,21992,12300,10980,792590,494021,151211,45373,44596,32243,130120,-318274,-29591,-2588,-36446,-10442,-654750,-462035,-126302,-40140,-34480,-30884,1200101,310559,-86208,-7007,-15829,-12215,-730058,-474586,-146322,-43788,-42430,-31511,difficult
