delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,state
9132,29158,13291,7034,15722,13282,3037,1085,14261,-1973,-2178,19839,-9309,-4874,-1408,678,70202,27442,-1511,18126,-5746,-7076,1179,846,easy
35890,14959,6258,15329,8594,43732,5634,6358,96583,24266,16803,-1172,-2398,-37497,-3700,-3235,2405214,9991,10081,31778,4137,-18101,9174,-945,difficult
56179,40980,5352,9877,2982,6361,3338,3162,-23897,-18737,13650,16152,20280,1409,3829,330,20542,40065,9239,4984,2731,2993,550,-1298,easy
410563,150345,26683,40345,18409,49687,18686,13524,-408600,-149801,-25349,-39363,-15352,-34645,-16171,-11936,-393793,-143159,-18404,-25067,-6613,-19185,-13925,-10465,difficult
51499,20615,6056,5597,5832,7832,2227,1916,-4283,33304,-4053,-2151,-410,-469,-677,-948,18551,-13576,-2082,-4496,-4981,-4941,-1616,-1175,easy
19865,24632,13249,4320,5390,12087,3231,6429,-16534,-9762,-11463,-145,-2975,45543,5523,28,8700,-9633,-7413,13929,2446,11467,9309,1415,difficult
944691,454784,202624,54457,137779,78956,14521,20690,100683,-55086,-171585,77492,-110851,-48178,26474,-16015,-135580,954631,-174141,121107,45046,46146,48309,901,easy
355376,40346,10863,6356,7713,19596,4132,4064,-342342,-20510,-1517,6554,11069,-1155,2569,1206,-343850,-20863,-1869,10609,-2793,-1683,-1052,1049,difficult
12459,15660,11044,7411,4897,11366,2088,1602,-8509,-1203,4932,12641,8929,4836,1273,-450,21314,9004,-5121,-2586,-2968,-7933,-534,-1094,easy
17429,11965,5556,4831,3394,12428,4779,2608,-7863,-1452,-4626,-2407,4400,2519,-1028,5959,-8805,-4114,-4890,2163,-618,4988,-601,4098,difficult
68283,20745,5875,10181,3848,35109,7429,4479,-62710,-16480,-3011,9197,10546,-13441,-2729,10372,245902,-573,-1624,4780,10203,-7584,-1876,2954,easy
690745,36744,22871,5423,21706,22865,9209,3539,-687653,-27077,-19163,-3732,-18952,15245,-6201,4185,-689577,-29427,-21055,623,-11982,3057,-3743,476,difficult
27055,13072,9150,32900,11052,22100,6204,6275,-5534,2173,-7644,-27686,-3676,-6807,4772,1042,394630,53333,5718,-27030,-9613,-9961,-994,-3969,easy
960178,315441,78879,29770,10085,25722,24986,19764,-681207,-187560,-66395,-20894,-7726,-9012,-13150,-13863,-809583,-207243,-75150,-18443,-5978,-14428,-21330,-16813,difficult
589257,218508,55028,36829,16193,32552,26438,17793,-182220,-121952,-48706,-20581,646,-6823,-6232,-4042,-440948,-210695,-53353,-35354,-14543,-28877,-25892,-16568,easy
458514,250564,36580,113977,49158,36395,14355,8726,-436392,-238599,-21259,-108061,-45602,-22489,-9533,296,-442472,-231684,-26472,-98722,-27016,-19205,-10981,-4524,difficult
35302,13272,4224,2593,6367,12103,2234,2407,61313,14128,-752,4205,-5512,-7404,-752,-980,339714,154151,26737,16515,4629,29000,4656,4171,easy
31750,12780,8839,5194,5105,12431,2918,3544,-27643,-7313,-1430,10120,2216,-4979,1932,-1253,1270972,170636,118625,83761,8404,17832,12152,5028,difficult
839298,22509,8432,12144,8176,10357,2414,2011,-827578,-5648,4414,-4564,-4544,-1859,-958,-788,-813359,-12137,-7133,-8055,-3977,-4765,-344,-887,easy
312029,27065,14688,5297,4006,4567,2552,2504,2462,22366,-3908,13553,710,22147,8377,18504,-8517,-1714,-6066,873,10462,13676,10427,9841,difficult
1884724,225493,63532,46521,31605,44109,31433,29144,-1854554,-215250,-62854,-45714,-29463,-41822,-30180,-27518,-1801138,-197959,-51864,-39977,-25048,-37306,-26633,-26036,easy
8214,12187,12797,15466,10539,16093,8426,4460,316341,13686,-6081,-210,-2475,-1297,-2574,2304,1580,4415,-6767,14504,-9663,880,-4246,704,difficult
30996,55327,22215,7774,9762,9674,5458,3152,-24597,-45507,-21170,29548,-6757,-2146,-4645,-2448,268624,-36773,-20217,-4416,1253,-3047,-3298,-2221,easy
479365,44496,6737,10435,5301,19962,7018,3727,124452,157356,9359,-7258,8572,7655,11903,8966,791234,249475,7880,13166,15317,12473,8779,5065,difficult
1205939,204814,13566,19037,10350,15241,18640,11579,-1175881,-189428,7088,-12771,-1875,-3442,-3613,-7492,-1138886,-171166,-11041,-13454,-8713,-11222,-15374,-10189,easy
20076,25396,3197,4546,26500,16400,9551,4656,118048,38633,9941,7001,-22342,-6064,-4894,-1378,381986,70,40158,9285,-19891,4619,9658,7000,difficult
126893,98415,14306,12019,22306,17382,7530,4739,-124062,-93742,-5558,2711,-13940,12591,10,-432,-120187,-69426,-2368,-6732,-6249,24713,-2568,1099,easy
95419,23392,11451,8785,14683,14730,7798,5497,-89545,2525,474,-2186,-6121,-2554,1853,1295,-34088,51813,453,23755,2779,978,-1811,-3844,difficult
49642,10566,13231,1882,4554,12843,7387,2066,-17966,-2483,750,16453,1003,15771,2197,4698,509867,1415,-9375,2080,-1719,-9047,-2810,-392,easy
379743,77291,7171,15305,5896,8625,4552,2005,-376242,-70717,-363,-6635,12598,-5757,-2115,101,-369793,-64225,-5145,-14418,6396,-604,-2225,-285,difficult
7899,7789,1820,36631,5502,7453,1629,1410,-5944,1123,-561,-16476,-3543,-3202,626,-481,330185,31884,1727,-7702,-733,3937,1997,665,easy
445738,13060,4124,15094,9679,35647,13604,8582,-119527,14141,10328,29782,26538,-23622,-11306,-7239,-378628,5817,11752,208576,251,-29775,-9988,-7410,difficult
11083,20317,6634,33488,8620,7450,4697,1680,-2855,-11228,-3629,-30533,-5520,-2361,-2835,796,7030,7024,2303,-17264,-810,3649,-1705,-366,easy
267670,81597,15074,26234,10858,8858,6801,4469,-189914,-68451,-11442,-13881,1938,1949,945,765,-221343,-58851,-13178,-24340,-8116,-5470,-5315,-2861,difficult
58104,26707,12653,2293,3824,7208,3089,2009,-41631,8278,-242,16402,2800,22358,5237,5002,59859,84325,-7074,7256,11799,15065,7640,9537,easy
345002,79440,20967,25961,24159,26222,10933,8961,-89954,116982,-13750,-20431,-7072,-4131,-2942,-4921,-334089,-77550,-20251,-25408,-23588,-25189,-10395,-8737,difficult
105135,23479,5317,3330,2796,4158,723,981,-84912,15457,24636,27141,39646,2869,1787,110,-100052,-12367,10686,75252,1867,2699,37,-157,easy
7376,9618,12536,14260,10670,10422,4613,2749,-6951,-3415,-9287,-9349,-8274,-7477,-3772,-2003,-3084,-1198,826,13475,2976,-5763,-316,-1120,difficult
33060,23671,8626,6767,4011,17849,9604,6207,-24804,159,2724,8702,1183,22660,-1315,1285,100252,19519,5063,1160,-3303,-9473,928,-3995,easy
340262,26510,31863,122732,11199,16760,7834,2157,-332668,-14486,1542,91242,7680,-8265,-3851,-1110,-335632,-20640,-29062,-75150,-8398,-13928,-5923,-1896,difficult
10584,17228,9170,12793,6187,23219,3554,5493,259698,-6191,-3076,-3924,-592,2589,6557,12826,5415,-14010,-7340,-10583,-5266,-9605,-501,-3715,easy
431297,113198,10447,6270,9078,13354,6597,7895,-226171,-70477,-6734,-2203,-2896,-1005,-3840,-2504,-426405,-108833,-7569,-1417,-7159,1023,-5027,-3046,difficult
1132281,63954,63607,15867,41159,43996,34419,33307,-859905,-60065,-58409,-11446,-38954,-38549,-29861,-30803,-52114,100065,-47586,-4065,-10648,-22667,-299,-12154,easy
153824,96941,9777,17752,13698,11724,5272,6451,-147151,-84811,-8876,-15588,-8176,-7090,-3904,-4989,-146962,-86182,2390,2640,-7913,-8263,-4728,-4580,difficult
