delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,state
310703,26306,8535,9268,4051,5767,2708,1880,-260009,759,6301,-5873,1544,1467,-238,244,2086445,60952,11785,5459,12850,19071,17260,12379,-161056,-11728,974,-7284,-1263,2481,2387,680,-271921,8213,-2457,-5546,1728,13213,6592,2069,easy
1103641,300494,44847,56389,31479,25579,57328,42279,-299234,240880,10167,1674,-3153,53130,23853,15941,-603646,-230194,-39581,-48207,-23686,-21699,-51688,-37969,808623,242375,29061,-46555,38578,33469,29502,-4261,-224465,45443,32141,-37349,-5662,68982,-11736,3957,difficult
556077,169010,37628,19980,13587,35486,15434,11126,170386,-88807,-13296,12743,-5886,15842,13268,12004,-293867,-135844,-29743,-530,36896,-6563,19448,8862,-470437,-154519,-35386,-12888,-11865,-20031,-9930,-4735,-553478,-167176,-34239,-17791,-10492,-25238,-7832,-7955,easy
1160949,59893,30909,12775,18425,23174,11840,10734,27819,32998,-24931,493,-13817,19985,23271,12302,-1147900,-56819,-30133,13084,-10860,2055,12682,11787,-966514,-54392,-27689,-9905,-12301,29405,17877,2758,-754830,249,-28651,-173,-8945,41514,28761,12430,difficult
96630,19153,4402,1371,2972,2793,1888,2153,62256,4609,12967,2821,-1208,822,670,2084,-51014,-677,-296,1279,884,839,25,-895,-26020,42247,4023,9282,1171,242,779,9,124223,53760,8944,2609,841,2710,2990,3089,easy
892466,251208,35445,42587,25498,34957,78980,23258,-873159,-237411,-33963,-36574,-18777,-18654,-65383,-16910,-699113,-217191,-32403,-34531,-22993,-32557,-76943,-22052,-836889,-248429,-30890,-36707,-20517,-20587,-71100,-13176,-119897,-219309,-8527,-11306,-16158,55754,16916,-4537,difficult
1128732,95126,12109,21314,15931,18550,7690,6974,-1115638,-61961,-7247,-17898,-13444,-15542,-6003,-3703,-425800,121863,43430,2232,-4713,-8540,-1607,1893,-839087,-47170,-8393,-15601,-10904,-14620,-2842,-5858,-1100811,-76925,2153,-16864,-12452,797,8579,-1010,easy
748315,152929,30816,29961,8454,22985,61152,8790,1249870,104766,17637,-23030,6646,86609,2858,25792,-494842,-147996,-28098,-28841,-7414,-19323,-58577,-7434,-643245,-136908,-21478,-28863,-6852,-21518,-58551,-8065,-695522,-107577,-16817,-25838,-5269,-15022,-54675,-4622,difficult
289621,94497,31035,17733,5959,30538,10291,17581,-85988,-81169,-30106,-16321,-3080,-27202,-7217,-16398,2041646,208285,-328,6582,9201,18154,13813,-1672,-258037,-60230,-21811,-7264,257,-2018,16333,-7608,-285798,-90122,-30389,-15556,-3850,-22001,-2636,-10284,easy
106678,18579,7301,7123,8256,20991,7805,6205,-61280,-11071,-6542,-3412,-6961,-16833,-5720,-2161,-84448,-10780,-6482,-4213,-5932,-12929,-1852,-2687,847402,670156,28695,54307,3685,57782,36174,14765,-99886,-13478,-4985,-2879,-6050,-12123,2223,-1536,difficult
12498,16979,3673,13246,11082,12952,5624,3811,-9492,-5612,-1821,-6784,-6963,-7442,-2510,-2490,-3081,-7824,10032,-6776,-3911,-6077,-2472,-2443,47465,110657,21961,-6651,-6360,3004,17806,2939,139,-6703,4460,-7389,-4901,-3817,-1760,401,easy
