delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,state
88590,18799,5420,2807,4840,4244,2497,2507,-88086,-10752,1977,895,5137,932,3009,-1102,21917,-3061,5523,1532,-928,-2654,-786,-1079,easy
113496,48849,12546,6795,10495,14973,9724,8332,-63964,-38512,-10542,-3916,-6650,-11430,-5440,-7373,-101676,-39080,-10819,2131,-4349,3032,-2151,-2023,difficult
144867,41773,11493,10179,4499,3287,1896,1134,-10258,-32041,-9761,-9287,-4064,-2521,-1690,-1067,-107295,-32027,-9153,-6284,-2666,-1552,-1052,-95,easy
114914,24976,8848,7061,8856,11606,2300,3532,428490,690954,332354,30875,29527,37964,71748,32177,327510,-16202,-2621,-3065,-3498,-6441,-506,603,difficult
270762,54909,5624,7019,4351,3886,3836,1741,-263487,-43634,-2074,-2828,-2382,-865,-2929,-1060,297209,27153,-2651,25,-2513,-2119,-2658,-1132,easy
184713,57199,10962,8680,8585,10209,5094,4507,-177898,-34911,-10670,-3093,3635,7087,47103,23083,-84242,-17545,-10896,-4307,-3740,2441,166,1258,difficult
255310,60871,14602,8893,18843,11557,11591,8391,-246812,-58007,-5162,1180,-428,17601,661,19048,-196302,-44875,-13972,-8172,-17961,-10068,-10979,-7378,easy
260087,106526,10921,9943,9690,7599,6936,5075,-242818,-85248,-8723,-5506,-5279,3949,-6039,413,-227955,-83342,-9056,-8722,-5546,713,-3622,-1570,difficult
595713,42138,11775,12407,7098,11186,6181,2857,-589710,-30654,-8855,-9906,1081,-5533,-1775,644,-592455,-40578,-65,-8080,3854,-1382,172,-270,easy
1022756,130825,35480,9602,12288,24918,11912,9626,-1012145,-124785,-30943,-5161,-8587,-18382,-7461,-6455,-924802,-79025,-34078,-8196,-7828,-12482,-8720,-5610,difficult
144707,50376,13157,21663,12313,19191,8903,4210,51133,-18305,-4817,-21025,-9097,-14807,-6883,-3479,-122818,-39251,-6594,-17356,-7954,2828,-4330,980,easy
