delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,state
1154232,157845,48659,20447,13483,45066,23071,20541,879645,34081,7421,18852,8528,13007,9360,4644,-228984,126085,73228,926,2745,29800,10146,7294,778157,121443,9247,2263,7164,34317,17276,24499,easy
931513,41871,21522,21414,17417,26073,20554,17618,208941,126941,37049,4167,5757,18928,7108,3903,-163745,-92501,-34023,-3155,-4071,-16158,-3935,-2631,1608888,-77640,2969,37648,27391,30447,30826,30061,difficult
60095,24678,13949,16814,12868,27938,14878,9934,630361,42773,3293,7465,3647,9661,10647,3754,-527027,-28297,1736,3980,-327,616,-6880,4821,-613506,-7893,19576,14718,18768,35938,15341,7538,easy
26845,22862,1579,2867,2738,10326,3362,4281,718617,34846,23818,20430,12049,14302,11988,6218,-673521,714,-22821,-15958,-9959,-711,-8550,-1269,-710023,-24682,-21657,-19169,-8663,-7242,-8702,-2605,difficult
55721,17575,2339,2177,8707,25473,8010,10566,572125,50220,14848,15090,5926,7397,6685,4053,-562622,-38871,-12478,-11590,9261,33457,7086,12657,-470187,-26420,-12541,-14237,-3700,2694,-4436,368,easy
1588530,225761,6718,13916,12782,13446,36013,12318,312064,32688,9511,6876,10276,9271,6571,5352,2854519,407984,-9,18647,8848,5297,60610,16250,-301587,-21839,-5578,-4567,-3837,3053,-1727,-2318,difficult
60401,19864,3066,14292,3848,33402,47013,15585,570472,41406,20132,12873,9142,17415,16153,17493,-478458,-7548,-15275,13298,-2637,31504,71838,11052,-541685,-35537,-18857,-10461,-7952,469,-10118,-14869,easy
553485,26214,6864,3821,8950,12564,9920,3557,709194,207860,57378,33442,15542,22557,12751,9858,-619764,-194850,-53456,-29490,-12611,-12800,-1355,-7357,308346,-168443,-47572,-29752,-574,-7187,-4307,-5246,difficult
982660,28825,48016,40969,36592,29140,25130,14443,858631,155863,48501,35811,18978,27306,32469,23154,906423,-110826,-32099,-23915,-8828,-18001,-17506,-18718,-658365,-143251,31129,34231,44056,21668,2828,1295,easy
407374,18220,15930,3753,3502,12873,10765,5376,489975,126011,12314,12615,15361,10270,9476,5190,306326,-105647,15684,-6019,-12487,866,3263,980,-471528,-109935,-8452,-11705,-11232,4340,-686,-609,difficult
350839,12059,9096,5741,10935,15928,7942,5180,419886,50040,17604,3433,4258,10050,12717,5938,-328749,-39508,-9833,-862,5793,-3075,-4884,-1428,190655,-36455,-7184,5477,7561,14830,-4667,-89,easy
89498,60245,36061,20643,14370,29755,44627,21191,99544,102063,5759,3849,8499,25705,19659,6532,69571,-3651,51256,8455,-262,7388,37478,15586,-89663,-79985,9348,25133,12004,712,12458,13732,difficult
667921,136029,10126,20930,21777,33611,24983,10962,1431443,199945,26140,28678,29111,45742,62234,17085,-1419035,-196493,-24969,-24002,-20040,-4828,-25519,-2267,-108009,68660,-7060,8505,5371,-19434,-48984,-9980,easy
18044,22197,7641,6557,6797,5043,1804,2850,771995,98973,34910,28035,2912,12111,6624,6547,-765150,-72952,-21092,-26078,5514,-6095,-4294,-3568,-742752,-80601,-33446,-16879,2256,-8041,-5346,-3826,difficult
54673,13611,4165,11329,6749,16246,10578,7351,776186,170358,40380,39093,26905,40835,24121,15794,-767812,-155236,-34144,-20519,-18664,-15917,-11712,-4884,-675215,-158259,-38286,-35010,-21648,-33262,-15374,-12003,easy
1202534,122331,9792,33571,25341,31800,30851,24461,143262,141467,20179,17707,20158,21936,18190,7111,1912216,85537,-1867,45654,25006,6207,19389,5395,206328,-123810,-18907,-13927,-14641,13520,5932,29304,difficult
288011,35898,4557,18828,7226,30036,12399,13020,631756,130806,9148,7522,5107,26116,34780,12677,-173681,-86249,-1777,13832,3033,27792,-13262,10662,-513810,-103568,-7405,8779,1204,-19952,-31501,-9976,easy
18777,19795,12563,3294,16498,37818,13997,17483,1372136,165489,24563,19486,23221,43787,20231,12831,-1356487,-152356,-20033,-17505,3544,7835,-4850,8906,-1350232,-139033,-3967,-14879,-16990,-19773,-7618,398,difficult
62585,25731,28626,23030,17809,52163,8014,17017,653714,26575,15233,14615,9979,13756,5594,5462,-641434,-13366,30421,16884,8246,81686,6122,26491,-540824,11677,-3636,-54,7413,-4872,-1282,-3382,easy
9598,15686,12055,8764,6429,52080,29118,14439,314577,41892,14919,7457,7594,13772,12333,9381,-308499,-19636,-5321,2555,-699,43157,32003,11953,-301460,-32776,-407,59,-1631,33459,1567,-1838,difficult
467787,153167,17962,9490,10945,28392,13675,25270,649380,48397,17982,12374,12539,20863,13263,5483,-13062,197076,10689,-1489,2630,-6674,-9025,3492,-350124,12464,-10730,-4279,-5818,21731,9849,36081,easy
67185,12652,9643,8796,13481,22063,6426,5108,90854,14503,4371,11030,7078,12801,4220,5119,16766,2652,3265,-7318,914,-2792,-645,-2053,-64105,-6354,7279,2849,11891,21315,5057,2031,difficult
207864,23645,6974,8854,15046,25811,14668,5331,545954,66870,15663,27432,10296,64779,26742,21171,-203914,-22652,-2174,-10689,18910,-14180,1177,-11465,-472267,-63799,-15204,-26468,-9410,-63757,-25326,-20215,easy
50817,50959,20933,17737,12293,20284,6058,8260,262201,63557,11313,8515,6276,5119,2332,1846,-231340,-38836,-1434,1709,9448,12014,2872,5066,-191429,13640,20673,16734,2585,18316,4580,7762,difficult
406550,90585,16992,5323,16907,4578,8740,4233,397776,134453,13982,24462,4896,15194,5362,2329,300883,24449,13985,-15207,12546,-10361,395,543,-283335,-112186,-7966,-23072,11475,-10871,6361,3264,easy
92597,39865,12473,14024,7238,4112,2427,1704,137847,47345,10739,5804,4895,8631,4764,4979,-101347,-29929,-2122,2589,3804,-4828,-1867,-3769,10846,14968,5590,13850,881,-4211,-2807,-2781,difficult
620036,19759,3964,3230,3732,5213,7044,2602,75337,17397,3558,5708,7022,30643,12572,5521,1143292,14892,2707,-1218,-1859,-27221,-6225,-3101,-53894,-10169,-1896,-3738,-4721,-23640,-4831,-2737,easy
59347,10429,6307,11890,8324,24133,20172,4657,893101,317210,131470,28201,24178,15735,17636,2916,-806059,-309550,-128565,-26086,-16675,-6580,-10913,1274,-861449,-304012,-121762,-6536,-15033,23375,15985,2208,difficult
49571,12987,1747,4017,2279,4857,2631,2089,229275,93718,22223,17827,26002,25023,17509,5635,-134885,-73518,-20714,-16719,-23863,-23463,-16570,-4680,-224524,-87944,-20238,-10901,-23583,-16869,-13186,-2413,easy
9167,15154,19212,9210,16763,48843,10655,21029,66809,24568,25224,17546,11466,35423,22288,10035,-54532,-17843,-17009,-7450,5750,19364,-8914,16379,-60753,-986,4984,-9223,4843,7475,-14352,5608,difficult
75388,50464,16628,8445,7050,30752,21084,10554,267603,127355,45228,8237,20193,46439,21192,21556,-118318,-32622,-12373,7254,-11480,6777,16751,-2304,-266112,-121161,-44827,-6839,-14806,-38151,-16967,-19700,easy
117231,29408,831,3930,3167,2397,493,347,316193,24757,14286,7790,5388,7316,4626,3471,-227025,-19011,-13930,-4759,-4179,-6693,-4315,-3242,-170900,28312,-12981,-2961,-264,-3145,-3951,-3006,difficult
8497,38620,23939,25524,21390,19930,11656,17555,689294,17998,3954,4646,2912,3767,2085,1589,-684905,13324,14385,19155,15739,13579,11660,13956,-676689,27920,25585,22601,21216,18746,7482,17975,easy
181593,54504,9734,13240,9564,27097,10475,7959,225231,105842,17429,10240,19854,28370,23069,13227,-164518,-73153,-7121,11069,-6204,18384,-5009,903,77241,-29524,-8269,-5069,-14377,-20931,-20179,-11440,difficult
21460,22924,20806,7768,14999,11850,11075,8987,170618,19859,11366,3432,2598,8179,2305,1489,-137985,22686,26922,1761,23967,8902,9410,13168,-160331,-16556,-8042,6911,835,-1561,8129,1828,easy
328550,10513,3599,13839,3167,15631,6855,10927,352102,31795,10315,18637,22616,13334,5475,6114,192519,-14718,-6568,5912,-16783,16158,7140,15323,-239623,-27846,-6864,-15508,-22116,-11564,-4381,-5698,difficult
39088,19460,2528,15546,10234,13719,9385,13653,1187486,367195,43328,28627,26224,28876,32685,24847,-1186291,-365740,-42508,-22340,-23459,-23498,-29511,-22680,-1110505,-329731,-39093,-3823,-8522,-6816,-17090,291,easy
36115,7945,10135,30226,13079,11918,9095,6747,302578,38805,8779,6864,22469,19149,14015,9684,-235959,-32834,-6077,-4137,-19712,-17788,-12992,-8482,-296967,-28887,8789,50860,931,3325,3151,2607,difficult
180632,16501,3786,2931,6820,8049,4874,4957,120256,75596,20101,14544,10153,13445,8033,6446,-66145,-57234,-15160,-11715,-3725,-5320,-1464,-2910,186896,-60957,-17471,-11511,-2942,-5473,-4855,-69,easy
760678,99353,25993,8189,11949,4856,3279,1383,819854,231116,30470,36043,16829,15961,13510,9716,506905,-111809,-2905,-23083,4329,-10244,-9640,-7602,-625257,-151717,-6049,-32625,-14089,-11966,-10822,-9065,difficult
70043,64720,16223,6839,17192,12733,11520,5126,668976,114274,19586,10366,6851,19592,9449,5866,-539028,4479,-6549,-910,1654,-8958,-2331,-2575,-658838,-103587,-177,-6144,19027,-4760,6472,1094,easy
102073,26970,4104,5104,7694,9271,13282,6610,356176,123152,13562,21226,7197,43901,67343,11864,-237976,-96337,-8569,-18974,-1091,-34177,-52275,-7243,-270230,-96028,-10347,-13270,2085,-35084,-55847,-3265,difficult
254075,42678,47915,34684,19367,24207,16253,17609,103820,20854,10423,7141,7021,19386,10556,7439,307869,61690,81734,54766,22453,16118,11484,24352,-7359,-18042,-6751,320,2239,-6477,-91,-4012,easy
504929,34765,10136,3625,14772,8270,6698,8119,334035,18222,6231,7928,5558,9751,2928,7765,-330416,-9978,-3311,-1308,15778,-3224,6236,5078,672204,43064,11120,-7298,2649,262,1304,-4370,difficult
73207,74061,13340,3863,7378,11534,3690,3881,264710,51576,8522,6570,6746,10029,6386,4732,-202135,80172,16318,-3138,1911,4212,-2268,152,-180871,-35202,-6683,-2276,-647,-1203,-3124,-1855,easy
87904,128437,13937,26252,18291,20475,23201,10668,26048,8037,5569,2339,3332,3777,5314,2391,135356,212401,6461,33662,24060,13234,7741,7402,-11644,28398,10274,14164,5858,20162,28032,9152,difficult
54092,11987,8482,5358,18359,37704,21977,12173,476596,130742,34021,25833,12575,47885,18738,22042,-397074,-111460,-28718,-18699,8711,-3359,7756,-4190,-447935,-126050,-22360,-22251,2857,-17004,-1278,-15549,easy
47803,22639,3822,2433,10490,38443,11875,7010,947923,296636,57591,95702,25871,26409,35859,28922,-856074,-254166,-54840,-92677,-19451,10172,-29076,-25697,-944166,-293828,-52698,-93861,-11312,13896,-18892,-18128,difficult
19929,18153,3438,8052,8082,13451,23408,5699,164678,55151,10132,16294,16441,25299,18184,13453,-156710,-52935,-5860,-3093,-2930,-12053,23743,-5002,-132789,-21062,-7528,-13391,-13788,-11643,-13295,-10507,easy
