delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,state
989345,60274,12635,10370,23449,11305,1301436,38493,34695,39354,12980,5255,-1165841,9412,-31707,-32339,-9418,-1769,398130,-3721,-27597,-25377,34707,8660,-1287324,-2413,-24241,-28962,1870,1979,806670,83845,-4694,-29259,14718,15331,easy
619130,65471,4573,10818,11179,12037,332684,157723,47219,19667,13569,19918,393285,-134081,-42180,-16558,-9384,-15811,-48369,35472,-40925,-4557,7937,-11513,-145764,-125388,-45283,-14249,-9977,-12834,946631,-145011,-42197,-32,1862,8635,difficult
1008108,229388,59974,47044,39530,47816,315358,56924,13983,13095,8412,18891,569804,288920,4661,92237,35505,40630,-170486,-47498,-5723,-11951,-6720,-16765,683572,199435,112446,21974,24766,45971,1688109,248997,72581,33535,70919,45865,easy
254570,53109,6711,6676,6590,21124,1314787,263330,52454,27072,19902,67472,-620329,-173838,-51871,-17373,-13233,-28133,-1262970,-234175,-46012,-22939,-13250,-59248,-1174271,-229647,-42918,-24894,-13898,-48013,-1183299,-203226,-42170,-16378,-12867,-50000,difficult
666352,98474,18515,14886,20891,12295,435830,198877,17850,7632,8239,10529,1223514,-69278,-68,2015,21931,11553,-413762,-185379,-2619,-1615,338,-5034,-172098,-179470,-8194,2574,-4106,-7386,284435,32516,13540,26041,32443,7932,easy
254089,34539,4245,9632,3764,13126,1375797,148442,43127,39444,14500,38638,-549967,-54951,-34383,-19993,-10071,-22976,-1234391,-138047,-41677,-33647,-8453,-25702,-1360339,-138846,-39394,-38222,-11717,-26053,-1342135,-123767,-40073,-27388,-12705,-27319,difficult
251110,104856,23548,17153,26796,25063,559925,74972,12195,12331,8662,27934,-27736,196834,8606,40644,73187,26276,-266429,53488,-7238,-10739,-3166,-22843,-435659,-60349,55610,-1344,9962,9685,-505437,-70438,-11567,-9274,-7449,-24602,easy
527826,53837,7913,9339,3494,3837,640518,108136,7842,19143,6115,27622,-607674,-101957,-6182,-16783,-4109,-26773,429475,-12552,5741,-5137,-1801,-22373,58898,3191,7992,948,991,-19151,-331466,-105879,-7266,-18245,-5564,-26844,difficult
447483,116308,8596,4812,7551,12519,1305460,284684,24238,46822,27334,48005,-241194,32273,-8694,-39620,-20845,-37820,-1186274,-276363,-21356,-42297,-25101,-36953,-923929,-189125,-13148,-42217,-15813,-33397,-1080511,-240290,-19369,-43908,-17372,-33774,easy
160223,49790,16749,5693,7754,19103,128449,74000,13287,15057,5130,16430,155397,-11734,27833,-7272,10668,2547,79424,-16785,-9660,-12123,-1908,-1352,-95517,-25815,-6674,-10111,30,17121,-12207,-42507,2349,-7950,1706,-7626,difficult
587256,138859,51793,40315,12830,21063,68935,32162,8908,9392,9912,17658,-15362,-19119,2148,8243,-5471,-10301,2094323,437180,158883,81550,13632,5623,41483,13944,11830,32039,-2056,20365,-47161,-5218,-1322,1860,5568,-2069,easy
1555422,77625,39707,12713,16121,31502,1344705,199129,54490,78028,31914,26887,-1199107,-167393,-54296,-77229,-30913,-24869,199691,14927,34029,-64987,-5163,-3365,1924362,-166839,-26092,-47552,-12465,45368,-82078,-166712,-12775,-71492,-14630,1326,difficult
827708,518332,101117,25845,19610,49218,199041,99471,20795,15623,8349,20299,440102,628640,178553,49596,11958,29410,1508776,1036023,130796,4512,12423,47072,685230,92531,4543,-329,4591,-4702,-119439,-81751,7396,-12892,16070,43897,easy
641938,106363,16006,21130,9648,25507,1288677,224843,28860,20378,12597,42112,-644376,-183421,-23233,-15320,-8463,-16623,-1144777,-215162,-22953,-19050,-11111,-37877,-1174453,-170382,-14438,18313,10879,-10618,376650,95045,9208,19064,-3103,-1304,difficult
87197,22558,9728,18760,15630,6847,598423,114620,29018,26555,29427,27950,-339439,-106104,-27344,-23708,-23197,-26794,-567231,-77591,-20505,-5983,10210,-15247,-590513,-97891,-12506,-1518,-23999,-18939,-547720,-86663,-16804,30,-18201,-23433,easy
734945,123311,32741,28906,19951,35713,606754,119297,16203,7519,6200,8792,-134074,101879,-4003,15341,234,10624,-560081,-102717,-15324,-5987,-5276,-7473,1752397,27844,84240,68579,58536,104175,-545477,-10949,1240,7614,1510,359,difficult
398064,180707,21230,7847,15183,22305,299896,75447,35819,23514,18731,24507,70182,-37664,-26759,-19539,-15528,-11459,349244,572192,30556,-7577,21783,18142,260274,-65177,-30058,-19907,-15743,-11256,-287030,-48311,-32095,-15646,-4706,-4237,easy
294524,33228,5015,14838,7958,10691,392797,44262,14299,23519,3496,12765,31201,47025,-9027,636,3939,12185,318153,-9981,-3637,413,7886,-3067,-356700,-39684,-11259,-14306,331,-8710,-385747,-41497,-13213,-21466,5690,-8704,difficult
1215922,61911,9131,4223,6488,12390,864579,364974,176317,29464,28468,59373,647820,-323040,-158349,-20683,-18119,-32684,1219719,-310602,-171249,-27144,-25238,-49403,379794,-222886,-166129,-25502,-17332,-48209,-841963,-355723,-173019,-27637,-27233,-57636,easy
288108,43657,23852,8062,7972,6846,786581,71248,9907,5504,7030,11366,-473501,-52223,-3537,9989,3713,247,-777702,-65470,-7822,-2774,-3917,-5545,-84007,75576,76685,8047,9775,-2061,-658681,-68249,-9548,-5029,-5802,-10722,difficult
599364,76802,28804,16978,7392,15797,156091,26776,12581,9306,6217,10427,233146,97975,-8608,-3671,3995,4409,-106917,38141,11651,-6609,-662,-2269,1777539,73703,68074,41340,-2193,25093,-130675,-9716,-6225,-372,3559,-5752,easy
454755,23853,9577,4926,4778,9803,386870,101089,32835,32344,10306,23349,-356329,-93853,-25777,-19277,-3293,-1756,-349250,-53106,-29995,-31040,-7922,-20277,-374682,-75187,-13398,-27806,-4300,-12520,1351799,-86799,-23861,-31549,-6599,-19632,difficult
447345,30761,10967,8087,5592,16909,694413,92245,13180,10096,7637,13274,-409053,-33755,-9262,-3538,4572,660,-502377,-56916,-7655,-599,-3233,14974,-572593,-84413,-6169,-8648,-5426,-8747,495751,-70852,14233,4747,-4095,7652,easy
549565,63616,31259,7604,11056,11453,398250,134418,6718,16646,11300,17212,20827,-50583,35776,-6622,3080,-1434,188652,-93105,-2907,-15230,-1567,-2782,-197925,-51113,-4497,-8980,-6941,-13262,593707,-88407,69793,-5336,4452,-5559,difficult
934194,85457,24674,23573,10730,19420,206584,71170,10669,10041,7682,8806,2666393,40485,52664,16212,8081,-987,-84276,-69724,-7484,-7257,-6846,-3718,387954,122887,15370,53023,15078,51336,-59631,-36500,-4531,-7852,-4120,-4174,easy
708799,66751,19428,21040,12066,14981,837109,260439,62419,32785,15085,23048,-596932,-159980,-23215,-23961,2126,-3907,1480682,-194968,-40967,-8964,-11399,-17710,-717333,-210890,-53757,-1130,8619,-1293,-679656,-208916,-54025,-12926,-11424,-9358,difficult
450336,50623,13656,17029,8430,29451,848503,306387,54283,40822,40379,53469,-577883,-300789,-46660,-35963,-39085,-48573,-562756,-224470,-36706,-29930,-36062,-35726,-225749,-278874,-48105,-35808,-37045,-38895,-226279,-218922,-31037,6529,-15605,27122,easy
