delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_cc0,delta_cc1,delta_cc2,theta_cc0,theta_cc1,theta_cc2,lowalpha_cc0,lowalpha_cc1,lowalpha_cc2,highalpha_cc0,highalpha_cc1,highalpha_cc2,lowbeta_cc0,lowbeta_cc1,lowbeta_cc2,highbeta_cc0,highbeta_cc1,highbeta_cc2,lowgamma_cc0,lowgamma_cc1,lowgamma_cc2,midgamma_cc0,midgamma_cc1,midgamma_cc2,state
218581,189830,29588,31897,12782,36886,36672,7915,-215085,-188454,-27927,-28982,-11243,-32668,-35195,-4972,-98062,-169447,5874,-871,-6126,-25527,-25468,-2326,-9516,-97530,-14747,-18121,-10385,-34114,-34086,-6081,618285,-102669,-21546,-17113,160,-27907,-24571,-2596,117023,88546,627801,19007,71917,-5139,33801,-20621,-6799,28111,-17250,1008,5117,-4259,10545,7141,-8587,6207,9727,-8618,9515,2646,-3755,3485,easy
443319,53498,15431,9486,9241,16912,9241,7733,-168164,3444,-8533,889,5978,-2090,1576,-765,44854,70315,-8182,7316,592,-8608,-3325,-2122,354224,-8344,-10157,-5845,-4889,-11530,-3271,-5989,926563,285789,10613,72888,15326,256,24824,6622,213018,309370,572339,66871,-78659,294133,351,-1975,20770,6427,-13161,78733,-5386,-5481,20215,-6518,-2922,11786,-4901,54,28095,-1357,-3867,12611,difficult
174206,76255,3257,11416,18149,11591,15600,9744,2000048,371572,26182,5659,2814,-1483,-979,-3983,86673,-63890,-1969,182,-13415,-9335,-11976,-8423,401002,-49751,10827,-3391,-7076,-5273,-8253,-5564,404817,-48120,13826,-8302,-15283,-7084,-12281,-7065,-1913375,314329,3815,-435462,14139,1631,-28151,12796,2999,-5477,-3573,-4911,-16229,6339,-8207,-7852,4062,-1811,-10997,3723,-4028,-4440,2859,-1501,easy
288903,134740,12633,12553,18116,13202,7777,9965,-257256,-88694,7832,-2999,-14873,-11286,-6295,-9070,-287675,-129550,-11200,-11223,-16794,-11377,-6826,-9349,-277576,-96380,-5168,-8396,-14618,-5699,-1883,-4737,-153268,-100881,-783,-7704,-15824,-11596,-6506,-9444,-30419,10099,124308,-40856,33170,-4501,-19032,6032,4385,-8224,2827,692,-1921,2176,-1206,-91,5678,-5897,-531,4943,-4623,-279,4612,-4707,difficult
113373,30414,7243,5241,2425,2792,1985,1486,-67625,-11282,3896,114,-294,-1307,348,153,-61033,-11862,-2844,-1837,954,268,113,283,-93277,-26675,-3629,4641,58,4602,561,2892,-68552,-16296,-4747,-2255,-1503,-757,-1417,-567,6592,-32244,24725,-580,-14813,10379,-6740,-785,-1118,-1951,6478,-6896,1248,-896,-1561,1575,4334,-5359,-235,448,-1978,130,2609,-3459,easy
331463,28161,11812,8410,4593,4191,1093,1094,-211005,60974,11566,9097,15166,10406,12361,10838,-91294,82687,16079,4845,23,1133,1978,1427,632732,20138,3773,915,-1885,108,-418,1403,-206453,24710,-9922,-1456,-2621,-2192,1539,224,119711,724026,-839185,21713,-62549,4572,4513,-12306,-13695,-4252,-3930,-2371,-15143,-1908,-736,-9273,-1025,-2300,-10383,-2396,1957,-9411,-24,-1179,difficult
27699,25064,9285,5049,6934,7739,4044,5053,-14473,-8766,-5942,-1181,-2761,-423,4147,-1756,25254,3751,-2147,481,-3358,-5250,-3122,-4046,-25967,-21493,-3774,1328,1499,-152,2736,-1690,-1579,-886,10354,2137,-5799,-5023,-2398,-3836,39727,-51221,24388,12517,-25244,20607,3795,-1627,14128,1662,847,809,-597,4857,-7298,-4827,5098,-4871,-7269,5858,-5134,-2290,2356,-2146,easy
576456,95797,31271,8293,7649,12428,7730,4291,131664,-80726,-11920,-4285,-2870,-2971,-2562,7408,-568296,-61941,-24600,-3435,-6050,-8003,-3914,-3085,-359976,-38628,14848,3322,7708,-862,5067,-1217,-510533,-89576,-28968,-6833,-7100,-11752,-6948,-4098,-699960,208320,-150557,18785,23313,-50948,-12680,39448,-43816,850,6757,-10155,-3180,13758,-14808,-5032,7141,-10890,-1352,8981,-12015,-10493,1868,-2881,difficult
354644,44968,17083,16743,16568,13469,7211,5812,1997563,370712,212096,216969,67594,69939,13840,51178,-91321,130409,9916,81049,10955,14040,10977,6551,-239711,-26051,-4388,-14302,-13520,-9704,-6203,-4770,-317563,-35737,-15838,-13658,-10784,-11652,-6876,-5237,-2088884,-148390,-77852,-240303,-156460,-9686,-202180,-14304,-11450,-135920,-95351,644,-56639,-24475,2736,-55899,-23744,-1948,-2863,-17180,-673,-44627,-11321,-467,easy
436042,54044,11560,9511,7062,6489,5134,2930,322535,135606,-2804,3439,3452,2413,-794,-1256,-425973,-41909,-4950,3862,-1677,-2742,-2088,-1035,-414809,-35166,4105,-3290,-1470,-4836,-3388,-1799,-358701,-29194,-9866,-9207,-5513,-4295,-3978,-2106,-748508,11164,56108,-177515,6743,5972,-2146,9055,-13971,423,-7152,-5917,-5129,207,-4043,-5155,-2094,541,-1294,-1300,-590,221,-764,-307,difficult
184811,10538,8855,4132,8639,4203,4141,3255,-56834,14799,967,7104,25097,15398,7378,255,-171440,1325,-6999,1888,-6474,-1312,-2259,-2647,-182224,-5522,-5527,-1974,-710,627,2697,2510,-129884,11089,-2438,600,-6214,-1397,-2459,-1020,-114606,-10784,52340,-13474,-6847,16611,-7966,1472,3089,-5216,-3862,2574,-31571,5764,-5504,-16710,1939,-2024,-9637,4956,-5156,-2902,5157,-3530,easy
58096,14994,6911,3843,2045,1785,715,865,55695,27876,2706,4280,5431,8297,9689,3724,1636917,1247383,57704,89347,113613,173373,103653,45705,911549,766472,108255,33734,34233,38397,7121,27281,48430,47328,-3116,-2432,-1513,491,-356,-175,1581222,-725368,-863119,1219507,-480911,-719144,54998,50551,-111371,85067,-55613,-36166,108182,-79380,-35746,165076,-134976,-37906,93964,-96532,-7477,41981,-18424,-27456,difficult
125184,50580,8169,6834,5440,5514,2834,3142,-35296,-34008,-7435,-5001,-2403,354,-1227,-2198,-83559,-20559,-507,-3438,-4457,-2463,730,-2301,192859,-45030,2986,2142,1324,224,4085,-196,-73229,-42218,-7247,-6487,-4960,-4436,-2455,-2566,-48263,276418,-266088,13449,-24471,2812,6928,3493,-10233,1563,5580,-8629,-2054,5781,-6284,-2817,2687,-4660,1957,3355,-6540,-103,2105,-2370,easy
86274,23697,4428,11533,3281,4695,3479,1170,80806,6291,978,-9416,1075,4065,-105,4020,-70428,-12502,-1456,-2558,-276,-1712,-1256,-115,-73030,-10899,5767,17865,-270,-1085,608,510,258715,-4429,795,-2443,26119,850,6455,1566,-151234,-2602,331745,-18793,1603,6470,-2434,7223,-4972,6858,20423,-20308,-1351,6,26389,-5777,627,1935,-1151,1864,5847,-4135,625,1056,difficult
58727,37485,3763,6551,1829,3229,3275,1727,1683078,393823,17284,-1735,17440,3206,-1850,4906,-10338,-33543,-3469,-5338,-1510,-2628,-3114,-1626,59955,70575,-1205,2145,6557,19232,-1236,3248,-20542,-22948,-483,-4546,-329,-1819,-2248,-460,-1693416,70293,-80497,-427366,104118,-93523,-20753,2264,722,-3603,7483,-6691,-18950,8067,-6886,-5834,21860,-21051,-1264,1878,-1012,-6532,4874,-3708,easy
37870,10506,15922,12231,5580,9956,7622,4670,-13737,-2415,-6542,-3455,161,2099,270,-939,454662,62288,82173,3814,12697,17216,26315,12896,437962,12813,-7076,-9956,39,-4466,-5318,-1370,-25532,-6768,-9277,-10066,-558,-8441,-5972,-2432,468399,-16700,-463494,64703,-49475,-19581,88715,-89249,-2201,7269,-13770,-110,12536,-12658,-597,15117,-21682,-3975,26045,-31633,-654,13835,-14266,-1062,difficult
