delta_ave,theta_ave,lowalpha_ave,highalpha_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,state
1147613,117584,38899,12464,-244468,-13117,-9539,-2204,-299021,-57922,-29681,-4845,-971762,147664,-29667,-2532,difficult
852120,313753,86673,140278,-1518,-306743,-58360,-131457,-724975,-270034,-83066,-104448,-618563,-293525,-60040,-130168,easy
407321,113387,8158,14454,-271524,-97172,-139,-12374,694491,-75581,4522,-12496,-26733,-51993,19960,-8510,difficult
1491390,500248,68000,39337,1374489,78044,116421,23050,-1315289,-359690,-55344,-24232,-1438292,-481616,-53842,-36587,easy
613729,224067,33176,34229,754773,-147013,6956,-18953,1441719,-110894,-25356,-23388,-562869,-170018,-21491,-32472,difficult
1554087,296207,65888,103645,-699160,-200012,-45149,-97452,-819366,-88843,-24883,-84122,-1051427,-204622,136069,-86083,easy
310900,126731,29155,5168,62364,-15810,-15029,24136,823378,23584,-25121,18291,755547,136,28668,13023,difficult
945763,480098,62194,55087,818835,-369867,-41717,-44920,119934,-422251,-31535,-45890,-534375,-470405,-47106,-50227,easy
845576,118437,78547,27755,-196029,-21031,-33966,13318,900506,71983,-26891,-15321,-436833,85801,-582,-20579,difficult
733963,93138,12388,29584,1220117,52733,29697,-3663,-668554,-74884,-10667,-25577,1977419,190481,79200,-9239,easy
499391,52510,21506,16584,88459,-10566,24951,31041,227988,12585,14840,22623,985936,421710,109619,68337,difficult
825982,178706,21875,29402,-737047,-154612,-15448,-23019,1183112,412142,50577,88539,1513471,-98361,-9887,-9865,easy
1222918,160675,54334,29905,-246631,-124657,-49058,-24683,-1100537,-132593,-48090,-22936,-754347,-79349,-20873,-13905,difficult
692957,105794,97074,30557,1072364,-60516,-19931,-2714,-572268,-71860,-75039,-28152,-643797,-98969,-96843,-29186,easy
236328,61711,16609,6629,-81898,-48678,2026,1118,-207654,-39240,-10740,-4742,1812844,24285,24107,1811,difficult
1012655,266564,60135,53130,-528829,-135249,-39953,-13666,-933172,-239064,-45171,-44620,-956249,-227914,-53671,-27881,easy
1188215,654471,99027,61253,-65679,-464512,-77592,-43071,216186,-483675,-27899,-55312,-970351,-520016,-68060,-60136,difficult
525525,151417,16050,46921,503522,-105270,2065,-36589,1563980,-29563,53362,-26943,215277,792,-3105,-20688,easy
1079335,113279,25635,42591,-392507,-82151,-20734,-40409,-699528,12772,6481,-31887,-199868,27622,7812,-20680,difficult
860010,134282,26990,25872,180321,206157,-9898,-5515,180321,206157,-9898,-5515,-91456,-113106,-19670,-21286,easy
826695,168962,26241,64292,667016,246626,65749,52391,1015284,-45800,-4208,-57036,850512,100128,133752,45625,difficult
667669,198193,47355,60434,664368,-61369,-12011,-1472,-417101,-185584,-45874,-40222,1443770,278565,15222,761633,easy
867275,96009,43466,37549,-565838,-65456,-35116,-34219,-361789,270437,33803,3188,293202,92735,7093,41297,difficult
431074,60695,34560,14727,-292836,-15515,-21641,-2177,-324953,-29246,-26812,-6142,-25598,-15309,22596,-8310,easy
397841,46601,10515,5405,711622,-686,-5673,-4107,107923,110323,51106,29972,1698711,14457,36460,74586,difficult
694483,86330,19062,31830,38766,237680,18716,-22828,-479605,-73663,-7758,-28098,1004873,14731,10995,-21271,easy
526302,126564,30433,24470,275823,92625,-15893,-14721,-107110,297215,-9581,-14240,1303813,460631,108147,13166,difficult
679829,316648,27739,39006,-328012,-291301,-25254,-31761,15503,-267676,-14759,-16301,360850,12267,20178,95445,easy
372825,360445,67807,47877,1193784,-108506,-25578,-17950,275294,-250322,-39026,-15044,947235,-9212,41656,39596,difficult
1015342,213073,20330,25058,-498455,-179571,10799,-12111,-319202,-169266,-5273,-18536,-352873,92011,125777,-11568,easy
806795,214813,119451,62590,-484522,-178346,-110505,-45046,543448,-170378,-98141,-42352,-574751,-63852,-99773,-55081,difficult
432827,68139,16475,47493,445698,-44412,3093,-35786,-115081,-11845,8394,-34599,1498297,83411,208416,-26004,easy
279315,210686,33275,19348,323943,-111195,-27877,-10304,1653891,-72042,-21604,6572,2318255,1181987,138856,38478,difficult
400483,79185,22515,21238,-77249,-61138,-16903,-14592,-164894,156228,12304,-12615,-324828,-67483,-16229,-18758,easy
689872,153348,46144,27956,-647896,-101428,-40634,-24360,-437776,-99099,-42703,-21385,216106,243838,-28646,207,difficult
689780,476840,37551,53208,-445255,-465776,-26721,-42348,310705,-318269,21353,-40324,-360951,-334857,-8931,-37143,easy
102000,139499,35838,13090,298327,-24885,-27191,-1024,583046,-88971,-9142,5415,54097,-121392,-29802,-8596,difficult
