delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,state
346679,23132,31336,16863,12609,19259,-334415,-10232,-26048,-14637,-8279,-4571,-342057,-10454,-22833,-13116,-6672,1049,-134381,2575,-23632,-7465,-1147,4210,easy
47085,9281,8277,4037,5535,7583,102691,67463,55831,64618,-2268,14814,-35293,6876,24276,130914,5614,18543,15937,11679,52692,36037,932,2273,difficult
150691,38372,20154,7620,14789,12584,-134511,-27972,4390,153605,-9529,23326,-142681,-25890,79532,92233,1745,11767,-148773,15007,22688,180690,-8463,29036,easy
396588,34893,8139,7642,6137,3368,52672,-11055,-2969,-4311,-900,-2089,-390699,1064,23595,210206,8439,4940,-367506,-4700,66514,151362,5171,8130,difficult
219759,39922,6215,9968,7815,12457,-211071,-23441,29994,100013,6667,697,-191658,-26029,51013,78594,-251,3906,-163776,-9817,10834,166537,-2513,2584,easy
164817,13045,49967,77370,7156,7225,-77291,17015,-42942,124777,2216,26061,-124776,39744,-47058,126381,22487,-1191,-146690,1967,-36713,19380,-2747,6993,difficult
23889,19719,15250,68685,10445,14671,-19620,759,-14709,74259,68,-4907,-21460,-14358,111019,55412,3807,7096,575215,3485,30933,16565,9803,-2125,easy
214638,36526,30392,68495,17896,13010,202662,53473,34815,141309,-3430,17729,-207591,-16174,77190,77293,12673,2644,-186893,-23003,59453,173506,26379,5837,difficult
129744,54667,31905,37933,13418,17175,293763,-11335,-25373,57462,20324,-1139,-110381,-42201,50528,42857,-5422,-3551,-112683,-8898,7085,167687,-57,8937,easy
83916,20111,27885,36296,5794,7842,-71855,-15649,-10528,-27967,-2533,-4419,-75466,-15799,33199,5293,-1102,8852,-66704,19667,21294,44515,8016,8059,difficult
226742,37811,26484,45499,6949,5837,-218594,-9391,-20344,48333,858,1979,-204595,-24946,-15848,22637,1194,8724,-210090,-29285,36520,117172,581,5092,easy
13337,14919,74370,133421,12517,12776,2332,-5000,-55249,70509,-10052,-962,-8194,111,20316,-91186,9511,46,4695,12952,-28579,40165,-5021,8764,difficult
738331,178254,61474,42762,22669,20394,-715749,-151476,-47798,80889,-20671,-12584,-730603,-170934,-25637,59591,-19085,1376,-664005,-158846,80306,-1429,-16894,-5811,easy
10222,10320,48440,154563,8852,11422,2217,15465,11511,-61747,-3250,-1511,-2024,17743,24832,50717,-1569,4340,11177,8928,-35946,-16426,3219,4012,difficult
