delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,state
12708,20133,43663,45899,35693,23097,9623,7980,276336,39587,7200,3578,4835,6267,5713,1951,-261402,-3862,23729,50392,27048,18849,5489,8331,-265855,-35046,49197,34249,34668,14811,2331,3727,easy
398765,69673,6794,6292,11721,12199,14917,5613,463840,60321,19100,10494,10357,25964,29774,13223,327158,74257,-7701,-18,7886,-8481,-4316,-6180,-457309,-55554,-16912,-8387,-5159,-19050,-25398,-9041,difficult
48854,29444,4107,4583,5163,6068,4963,3313,157644,14748,9337,8915,8149,16259,12578,9924,-152536,-19,-6571,-4900,-4799,-7271,-5610,-4851,-65044,29411,-3889,-3764,-1174,-13112,-9621,-8371,easy
2546,8756,4858,7070,8209,9190,5020,3692,374372,70071,17764,12198,16825,31576,14793,11694,-372233,-66607,-12237,-11406,-11628,-24080,-11245,-9353,-371420,-56023,-13575,1150,-5604,-20693,-8301,-6652,difficult
369730,49516,10773,6279,25356,14239,9133,3106,245916,33349,5607,2999,10335,34501,16606,9821,-150721,60549,9472,5331,29617,-15227,-1926,-5051,398349,-28215,860,1228,424,-25298,-13020,-8379,easy
116561,10614,3850,5112,4281,13995,4916,3356,752925,98545,14212,5000,7349,45281,28050,14172,-741117,-96243,-12765,-3137,-5103,-39612,-25919,-12465,-531611,-79619,-7960,3360,-1034,-22960,-20350,-9168,difficult
56925,318473,192792,47734,31644,28370,28227,31484,424838,61634,8947,5627,4833,4240,4729,1896,-414104,-3597,1952,5316,695,6550,3763,4969,-321722,517275,365737,78897,52926,41710,43233,54207,easy
18822,19053,6364,9425,11716,13723,14673,11219,52433,14891,7865,6761,10083,13618,18587,10279,-43904,7925,-3022,6742,6652,2550,-479,2816,-23319,398,19,-1414,-3387,-2340,-7350,-936,difficult
10825,6211,7915,4852,10698,10320,9774,6218,20281,19045,12213,6725,7399,27759,19615,10385,-14947,-12655,-11303,-4194,-3044,-15766,-10710,-6737,-3966,-13014,2707,448,9641,-19113,-8972,-1598,easy
248899,20004,7345,22989,12193,10146,2561,4763,49795,17578,25462,23583,21603,39867,12232,8797,-47225,-14054,-23963,-17684,-17986,-34317,-9809,-7247,445432,18905,-12272,16496,-834,-25126,-9534,-821,difficult
115182,32548,5975,39701,19714,39450,15053,6827,758075,90107,38837,16541,15594,44144,14402,8046,-683884,-69180,-30143,36125,10339,-2651,-333,-375,-601903,-45939,-35581,10195,-2100,-6738,1634,-2063,easy
