delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,state
118219,38334,11651,6659,7769,5291,4130,1402,212900,93387,22795,11691,12609,10659,8698,3114,-6742,-30634,4443,3694,-377,1363,592,-333,-179719,-76329,-18039,-8150,-8069,-9032,-7091,-2650,-97581,-58197,-19835,-10641,-6073,-8434,-7206,-2153,easy
569668,330552,85073,26636,18158,11852,9110,14751,858279,240123,41768,24658,18168,16049,13325,12518,94440,164538,51499,33048,10956,-8858,-4257,-437,-221178,330581,117793,-4378,5350,10838,3336,18941,-739096,-223831,-39378,-22735,-16337,-14570,-11723,-11806,difficult
58566,100437,17744,15049,10270,7163,4694,2433,128161,56052,23799,8001,9915,8674,4185,3552,7429,179735,17959,17761,1778,1882,-315,-733,-93925,-18609,-18149,1744,6768,-103,-632,-1320,-122289,-27971,-17976,1640,-7480,-6312,2474,-1303,easy
179545,76381,16545,10494,2649,5173,5613,1561,864882,74060,29230,22627,20035,15110,5492,4780,-634088,-36603,-27524,-19006,-18944,-13022,-4550,-4536,-680757,-36418,-21138,-17233,-18287,-13275,-4813,-3682,-741166,79984,10608,-161,-14927,-3514,9727,-1439,difficult
889286,229506,22953,26973,14110,9387,6350,8903,800640,177063,73377,13965,26206,12903,10517,6685,-125015,-62925,-65488,33213,-8345,-52,-2489,8358,976700,330983,-29900,17431,-5278,1212,-1787,3209,-585748,-110730,-55883,-11621,-22666,-11709,-8225,-4914,easy
147584,21450,5841,10040,4651,4406,3494,1429,226067,12296,8596,6443,5593,6702,4505,2120,-217733,-9134,-4208,5109,-792,573,2384,489,-9945,14041,1773,10334,1846,-3604,-3059,-1213,-7772,22555,-5830,-4651,-3881,-3858,-2358,-1350,difficult
759782,168692,28854,10860,11261,5560,6549,3176,156050,18875,22341,9135,5919,4295,4580,1305,437840,47418,15019,1320,6137,2951,-427,406,1228031,335256,241,-2293,8426,1377,4948,2894,145326,66777,4278,6148,1463,-532,1387,2314,easy
107552,86981,21506,8403,5040,4568,3490,1624,252879,36233,18422,6570,8218,4675,5362,1469,-148885,110310,38385,16564,-2361,3769,1984,1461,-124834,1496,-15773,-5428,-2154,-1235,-3366,-741,-162263,40437,-13361,-5636,-5018,-2855,-4233,-256,difficult
968524,93293,35307,29404,7488,6383,5135,1846,662479,130782,28987,15587,23966,16646,13325,5471,177260,-46839,3228,-2661,-10180,-10468,-10428,-4214,-545097,-88142,-26710,-2494,-21341,-14670,-10696,-4369,1285972,22514,42443,46605,-17914,-5650,-3446,-2292,easy
319115,155729,12939,8861,27989,8778,8206,4209,93853,44962,21330,14417,6918,8094,4001,4054,-36827,-27293,-11494,-4405,3020,-5749,-2033,-1792,164166,224528,-9964,-10249,1238,4752,12880,2300,548446,135065,-3715,-2014,58955,3048,1769,-44,difficult
