delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_cc0,delta_cc1,delta_cc2,theta_cc0,theta_cc1,theta_cc2,lowalpha_cc0,lowalpha_cc1,lowalpha_cc2,highalpha_cc0,highalpha_cc1,highalpha_cc2,lowbeta_cc0,lowbeta_cc1,lowbeta_cc2,highbeta_cc0,highbeta_cc1,highbeta_cc2,lowgamma_cc0,lowgamma_cc1,lowgamma_cc2,midgamma_cc0,midgamma_cc1,midgamma_cc2,state
827718,130436,61822,33182,16539,11569,6423,5251,-692694,-75759,-50858,-23358,-12172,4148,2413,-941,-517054,-76518,-43867,-26911,-10457,-8984,-5343,-4010,-507502,-87620,-52901,-13584,-3929,3944,202,-2190,-816981,-120348,-43295,-32407,-12123,-2692,-2540,-2755,175640,9552,-309479,-759,-11102,-32728,6991,-9034,9606,-3553,13327,-18823,1715,6528,-8194,-13132,12928,-6636,-7756,5545,-2742,-3069,1820,-565,easy
973938,65728,11043,13169,13173,7167,2716,1464,-166086,-35379,22412,34792,-4129,12736,13333,5928,-936377,-50833,-1420,-10235,-7518,5055,1778,2468,-523154,1863,-4579,28596,-5728,5142,1837,2925,-691310,-55219,-9508,-10914,-7962,-888,-1706,99,-770291,413223,-168156,-15454,52696,-57082,-23832,-3159,-4929,-45027,38831,-39510,-3389,1790,-2234,-7681,87,-6030,-11555,59,-3543,-3460,457,-2826,difficult
58557,8679,5485,3518,2770,5682,4496,2636,-56681,-1929,-3687,12288,1794,813,-472,-420,-55958,2639,851,6476,19442,7727,-1172,1017,-37134,-6680,-3374,15448,2296,12223,-2543,437,-32280,-169,7750,2418,3575,1299,-1450,-1162,723,18824,4854,4568,-9319,6511,4538,-4225,11124,-5812,8972,-13030,17648,-17146,1279,6914,4496,-10924,-700,-1371,1093,1437,-580,-1599,easy
56031,21664,11366,14216,4936,18539,11975,5866,304844,232922,5550,9397,29381,7171,37432,7597,165505,-17305,-7924,-13121,-2878,-9163,-8999,-1621,204372,-10863,-9516,-11700,-3775,-15922,-11509,-4752,688,26145,11926,-8948,1916,-14155,-9724,-2353,-139339,38867,-203684,-250227,6442,37008,-13474,-1592,21442,-22518,1421,2752,-32259,-897,5691,-16334,-6759,1767,-46431,-2510,1785,-9218,-3131,2399,difficult
14185,12668,5522,6270,5844,8568,6358,3622,1380763,232518,10556,24514,21595,875,-2216,-678,7548,-6294,-349,-1174,87,3021,-867,1079,42178,20795,1425,-259,1749,2293,-650,-92,315377,22901,-2486,-859,-2595,-5953,-3380,-2734,-1373215,34630,273199,-238812,27089,2106,-10905,1774,-3911,-25688,915,-600,-21508,1662,-4344,2146,-728,-8246,1349,217,-2730,1757,-1171,-2642,easy
56737,12950,4353,8047,5239,7476,6430,4091,-46809,-3079,3178,2323,26292,11800,2304,-1505,198917,45307,3635,-6335,-1465,-5447,-4319,-2572,377778,11626,5506,-548,5531,1833,5223,4625,-28990,4639,5093,2499,-1230,12103,1324,-167,245726,178861,-406768,48386,-33681,-6987,457,1871,-413,-8658,5787,3047,-27757,6996,-6761,-17247,7280,10270,-6623,9542,-3899,-1067,7197,-4792,difficult
13122,3042,3509,8048,14198,15024,8696,3868,31144,60994,43183,-4112,-4947,-5179,-4960,3785,20997,-878,192,-3891,-10952,-9486,-7823,-1922,158403,39532,12060,32549,-6593,6457,-5160,902,2540,11564,3619,3955,-11085,-2488,-2507,4100,-10147,137406,-155863,-61872,40410,-27968,-42991,11868,-8441,221,36440,-28594,-6005,4359,-4492,-4307,15943,-8945,-2863,2663,2653,-5707,2824,3198,easy
669186,22741,21879,12186,8740,12037,17085,7067,-661959,-19001,-17588,-7780,-5132,-5205,-10371,-3744,-508511,-10465,-20029,-8049,-5985,-5064,-14757,-6026,-145945,144056,76722,1671,19686,6943,-11423,1703,-659060,-15555,-4211,2817,-5195,91,-14069,-2425,153448,362566,-513115,8536,154521,-159611,-2441,96751,-80933,-269,9720,1146,-853,25671,-24881,141,12007,-6852,-4386,3334,-2646,-2282,7729,-4128,difficult
290952,43389,14977,8374,3858,13434,7886,11155,-286121,-27429,5430,13798,5556,34252,6439,-4201,370778,200225,115,7614,16722,10604,1254,-3290,-259645,-32335,-12016,-301,10698,6188,-2595,-3774,-262783,-34389,-13243,3945,-406,-5763,-4041,-2110,656899,-630423,-3138,227654,-232560,-2054,-5315,-12131,-1227,-6184,-7915,4246,11166,-6024,-11104,-23648,-4416,-11951,-5185,-3849,-1446,911,-484,1664,easy
73604,53974,5756,4918,3929,6319,3181,1472,489960,-17437,-2622,1012,-2980,-5156,-2876,-1117,70635,-18069,8401,-2393,-747,-2374,-2398,-1178,433161,1902,1099,5429,-1621,-4431,-971,-758,107302,-39060,-473,1082,-2693,-5052,-2605,-1213,-419325,362526,-325859,-632,19971,-40962,11023,-7302,-1572,-3405,7822,-4347,2233,-874,-1072,2782,-2057,-621,478,1427,-1634,-61,420,-455,difficult
