delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,state
131283,34448,3691,8008,10294,21070,523502,76000,13569,22350,39956,25067,-510767,-69408,-11427,-16638,-24841,-2396,-166243,27165,-6188,-4021,-35017,-19037,-472410,-66894,-9689,-20932,-36199,-17799,-419457,-57071,-12209,-15777,-22593,23245,easy
562377,93086,12116,15888,11749,10225,128628,18676,13346,32580,2477,4605,1943952,294502,7420,13496,29040,12523,-43167,3203,3457,-26308,8031,7452,-108686,14352,-11938,-31499,-448,-1985,-57105,-14416,-3858,-22456,465,4490,difficult
585467,54759,16788,10489,9765,4076,475241,92292,10726,8477,11528,21174,1512968,48204,42638,20150,21693,-12287,-449643,-70986,-4867,-2382,-10280,-18785,-238717,-59931,-5068,-4692,-9526,-18271,-383704,-67419,-8456,-5029,-8941,-19048,easy
46527,38274,5694,11751,9411,13277,30827,13360,5917,6851,4039,6137,68739,98920,-2262,-1463,3189,-3484,34988,1428,-644,-1860,2087,-2515,-11982,1603,2216,145,9867,14961,-28944,-2295,-203,22778,6343,19599,difficult
549911,52738,8732,13708,11236,11800,663866,106456,41220,29908,16973,22892,-200093,-37270,-36670,-24781,-3831,-14635,-370097,-90587,-30950,-28588,-9611,-15747,708478,-32679,-30022,9981,-9687,4022,-594109,-54336,-32310,-21413,182,-18007,easy
22765,16640,4936,3860,15098,16447,153369,85711,26814,21394,25184,20621,-126377,-68548,-23549,-18353,12773,11072,-132104,-73033,-21255,-18903,-18768,-1706,-140569,-52299,-16602,-14039,-12485,-10355,-123365,-82404,-26105,-18843,-21865,-15706,difficult
286495,48518,8315,14298,10186,11706,840080,95180,14611,9992,24207,17260,-627668,31743,-6633,21953,-4489,10211,51707,-51962,-776,-4662,-16309,-12535,-808267,-75064,-9940,-2099,-18398,-13158,-830114,-91366,-7836,2030,-16890,-6735,easy
246250,19314,10998,5183,6601,14772,54524,27245,19009,8277,8431,16064,-24173,-20552,-12454,-3509,-2609,-12335,-30369,-18322,-7299,-3110,-2703,2189,861326,15879,1064,320,27,6418,-39882,-8728,-13355,-6077,-2037,-1440,difficult
25976,10242,15608,7236,10132,34694,148984,54340,13841,17982,21089,30601,-141046,-46631,-11043,-5904,965,48496,-143944,-50571,3338,-9531,-15201,-11623,-142168,-34469,24978,-10392,-9614,5749,-64875,-44722,-10206,-17157,-19980,-26251,easy
13939,12323,14612,14448,11408,6463,386325,197653,13954,19727,17384,13090,-344391,-183727,-10283,-13962,-9545,-10941,-382785,-176245,6094,5293,-6276,-5809,-380379,-191173,4198,-14158,-5464,-1999,-381989,-190175,2623,1710,-2621,-7760,difficult
