delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,state
828106,54153,56123,52174,11354,20347,8562,8978,-804480,25346,-42803,-49884,-7748,-14788,-6575,-8423,-687046,-872,-46861,-45766,-7231,-17023,-7045,-8567,661973,110300,2323,-40817,3077,-10205,315,-5635,easy
1128974,242873,50331,45091,32084,32088,17908,3603,-876698,-158997,-12605,-40403,-16960,-23876,-12462,-2459,-764254,-144799,-30784,-27411,-21390,-21617,-15222,-1966,-633150,-79920,21374,61020,73799,-17588,-8301,2519,difficult
526449,92660,17713,12591,8616,7865,3132,1619,-339023,-41445,21865,26425,-5522,-190,3131,383,-386653,-86988,-10455,-9501,-4139,-6242,-952,-1179,-69228,-35694,19574,14430,5691,733,-135,107,easy
1253461,175604,22905,35122,19008,10567,6904,5680,-1057360,-135951,-11153,-33313,-17520,-8761,-6161,-4383,-947914,43181,-4121,46613,-8713,-5969,1689,-4437,554613,436539,66000,15815,12395,7943,4771,1176,difficult
1333844,98407,56969,22225,22617,19719,12990,7913,-797598,-8468,44202,-3836,51095,188,-5829,-3209,-966292,-47647,-44908,-14874,-17370,-9975,-7246,-4797,-634246,36831,-24658,-16527,-9214,-8775,-11590,-6303,easy
734617,373117,113975,34810,23133,15313,13463,8734,-698272,-355639,-113091,-26420,13651,43573,-9974,-6171,-723464,-355674,-110191,-33411,-12754,-2565,-13098,-8135,860228,-154621,-92006,125539,5084,294364,-1509,3829,difficult
1274456,301585,88890,62846,48434,21213,24781,11383,-870596,-246281,-82532,-30346,-38174,27401,-22790,-7984,330856,-136370,-32287,19183,-14679,53979,15221,-6486,-986413,-252495,-72311,-23725,-31746,4603,-7335,-9738,easy
663644,72055,18599,10407,13864,10733,2676,4984,-341762,-46038,-14337,-2892,-11235,23578,4221,1340,100181,-48102,-9138,3008,-11458,-6756,3558,-3852,-657553,-66854,-12283,-6890,-9441,5935,6188,3766,difficult
390717,102005,21947,10513,8173,13770,6501,3151,-388630,-98720,-18458,-1664,277,-4481,700,-72,-296366,-17403,-19001,-4332,-5463,-9096,-3467,-1626,-234167,13202,-10106,-7523,-2805,-11839,-4399,-1308,easy
471704,56683,19855,11363,5608,5527,1351,2134,-437470,-46252,-17294,-7003,-4797,-810,162,-228,-432601,-43247,-14714,-4669,1907,664,3673,-206,-463774,-53592,-15571,-1741,2026,2195,2871,-153,difficult
1179014,62223,14897,8585,11423,13726,7773,6255,-1043735,-49614,-10450,-6515,-10862,-4372,-5812,-4803,-854163,-21341,1400,-1673,-6618,-1496,-2579,1651,-1072802,-46091,-11792,-6904,-10392,-10069,-6734,-3490,easy
655792,106942,17417,23296,13827,11630,5214,4564,-651257,-98749,-14076,-11223,-10069,-5637,-2945,-2947,-641943,-94224,-2710,8073,-9320,-3258,2169,-1336,-644172,-98636,-15737,-19917,-8461,1389,-2664,679,difficult
1224866,173694,68255,89099,37362,23722,10056,6422,-597200,-130784,-46762,-70942,-28472,-13324,-4997,-4966,-569073,208364,260417,-62249,-8739,-3037,23924,-819,873859,-6334,14093,-74451,51113,34698,11349,1155,easy
523046,94602,36876,16162,17236,13968,8050,4553,345314,-44522,7592,13195,-5993,-1876,-1665,-2950,272886,247380,33623,147625,57392,33911,13162,-2151,781812,-42492,-28935,2643,3987,-1691,-3684,-2534,difficult
897268,167418,26146,58891,24901,61043,23604,29864,-867119,-166328,-24243,-57791,-20163,-53024,-20187,-27368,-882831,-141124,-18124,-48624,-16527,-45604,-10910,-22585,-838156,-109232,-19319,-47652,-13945,-35930,-18324,-13238,easy
561727,80868,13492,14526,8839,5527,2568,2013,7082,-25327,397,-6655,19273,8631,2898,-844,83581,55747,2862,-7941,8038,1774,730,-524,-119283,550724,48191,9762,60256,24198,12727,404,difficult
783054,57505,34968,19849,7299,6423,5175,3206,-677296,-54363,-32884,-18202,-4577,-4258,-2240,-965,-754827,-35963,-22742,-6925,4731,-3027,3178,3110,-582835,419,35812,51773,6788,7691,8807,8300,easy
1599038,178671,72264,47491,34530,20921,18518,38070,1043041,-103742,-62129,-25033,-21957,-14925,-15943,-34076,1032751,148750,14083,38184,249,21041,-6921,-22696,-1455396,-131364,-63530,-39195,-27919,-14755,-16763,-36073,difficult
424930,521512,58910,32498,24527,18062,15944,6560,278454,-498863,-38674,-14585,-21628,-14470,-14316,-5318,-292780,-274142,36664,-18245,-9797,-4511,-12808,-4619,117300,-202629,33674,-26582,-16040,-4835,-12743,-4040,easy
305400,80683,1643,8007,5288,9081,6419,4350,-224904,-75364,115,-7075,-3031,-5967,-3273,-2504,-298289,-74118,16231,-3784,2547,8738,1171,1436,-189567,-66556,8030,725,-3677,-4383,-3736,-1722,difficult
425664,67943,18316,15641,9673,7147,1449,1630,783440,120989,-6335,31808,19285,4271,2510,-18,-33287,-18130,-16229,-10002,7103,-2716,-708,-1044,-97953,-48511,-12956,-11488,-6441,-3859,3130,875,easy
564903,102561,47473,46808,12642,37661,6134,6410,-466542,-96842,-38363,-42683,-11118,-34550,-3703,-4884,-560721,-98311,-45397,-38031,-3172,-22665,-1559,-489,-555878,-85432,-46906,-44878,-9372,-26755,252,-538,difficult
1181418,166602,87755,32512,24161,18062,19774,5765,-1082851,-141721,-77566,-10019,-11529,-10184,-17166,-4232,-505647,-105179,-78649,-11027,-12131,-11261,-16228,-2998,-285579,109259,-53036,-11431,69828,4892,13797,-16,easy
369785,24788,10873,9244,6944,13286,8442,8527,-337277,-16232,-1587,-5262,907,2859,2086,865,-309095,-13680,-9792,-7122,-6191,-6913,-6031,-6377,-96112,-6554,44840,3298,-759,-922,-2205,6732,difficult
1330922,356997,213707,272250,100861,57541,32854,19940,860983,-271641,-182629,-246575,-93453,-45573,-26459,-19080,95043,-227338,-157820,-168974,-41969,-19833,-25850,-16196,-1018288,-264960,-158581,-253678,-94478,-49693,-21706,-17582,easy
751096,59327,17992,21639,8801,24292,8574,10055,-739903,-51387,-13980,-12959,-1284,-17876,-6534,-6506,-744702,-52990,-1408,-16596,254,-15425,-1289,-5422,-747245,-53961,-16984,-15838,-1156,-17477,-3774,-6395,difficult
753796,102813,116588,29889,14239,14265,8951,8850,1171942,73982,48064,277217,13124,447438,-2795,4128,920860,155771,-87907,333832,-10912,393748,9734,8407,418616,-67695,-110782,10076,59962,15983,3571,-3427,easy
834387,63847,29288,32225,11068,11145,4235,2776,-609573,-8064,-5608,-27796,-1025,-8159,-2199,-2374,-579583,-30131,-25504,-28552,-8106,-8258,-3717,-2125,652173,81723,112171,5961,18931,18808,1590,-172,difficult
615076,219237,28786,39307,8876,14725,6481,10682,-370894,-134766,-24076,-29331,-2103,-8203,-701,1133,-609627,-204286,-16610,-31511,-2357,-9719,3897,-5740,-610917,-209327,-27980,-36414,-4976,-7375,-565,-8172,easy
341516,87824,22544,12320,5375,6627,6992,2335,-72281,170659,37812,42686,35140,6604,372,207,57453,63901,18874,119382,43534,8924,-1227,104,284516,-26867,-13670,11270,-687,-1070,-5414,-631,difficult
