delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,state
753908,102896,39466,25392,18374,27982,11105,9291,-751449,-99440,-31468,-19493,-7314,14660,17613,1314,-708002,-42961,-7233,6639,-10262,7614,18675,25551,-699000,-68428,-2046,-15257,-6675,32231,-2982,7769,easy
250083,87512,25881,44519,13705,47155,19945,31178,-169687,-42632,-4784,-21928,37851,-8704,24076,-7728,252245,12247,-14918,-24957,-4506,-35812,-10214,-20832,671077,-34346,-20801,-42104,-6988,-41316,-8017,-25393,difficult
23711,28676,13077,5993,5791,19462,17859,5426,460815,201132,40925,124242,17277,14275,36612,83056,54587,8268,-8828,3311,12823,26443,-3754,13398,6583,16081,-4861,8548,2989,6766,-1777,11870,easy
1213497,104339,23329,35689,34816,34002,16717,8101,-843761,13628,1646,-20222,-30312,-11952,-10982,441,-1072687,-39838,-11243,-19060,-1172,42300,-6581,15009,-575879,-16522,-15705,-22970,-18573,-25297,-13457,-1746,difficult
481894,92578,14971,27931,20698,22584,18209,9973,-162890,76744,-7865,-14608,1465,47304,1762,14083,-387102,37498,-11376,5898,9926,-8300,9655,1780,76920,-36515,1392,51020,33824,-5554,-5688,1029,easy
403684,295708,65556,27953,40067,47246,19837,24750,326070,-242749,-58627,-23274,-31102,-44306,-15715,-19708,161953,-242853,-21060,-18566,-30678,-27875,3599,-11674,1024606,-191545,-18536,-10637,-22235,-34684,-6535,-9433,difficult
908858,86229,31659,25099,17649,17850,7134,13542,-819414,-36416,-26258,-19141,-12268,-11949,-1920,-8533,-775241,-70475,-30280,-22662,-10515,-12849,-1908,-8796,-718618,-10047,-28829,-14324,-9429,-11281,10334,-10403,easy
65239,23467,5305,2858,9640,8969,5734,4646,-22671,-17060,-355,3466,-501,22058,32390,1196,-49034,-11220,10297,22302,-2495,23468,10874,7958,-40316,-17531,56,5079,46994,3279,9782,5800,difficult
398931,175928,15591,24473,22962,21361,9176,8438,-99606,-156433,-10301,-23090,-19976,-13811,-5278,-5021,-373028,-161896,8152,-17109,-5007,14284,15448,3156,-361710,-168778,-3512,-19618,-11307,-510,10361,-1807,easy
91103,30893,6240,3693,6742,12879,10506,6056,394984,285358,117855,117436,23668,63651,43684,20529,780847,59690,-4377,-2217,-2044,-978,-5900,-3022,1527886,105854,92408,49441,20978,3880,8054,3540,difficult
236699,118494,16819,13601,8627,29375,38514,9208,1012487,-71631,-2708,-12369,-5464,-20007,-33743,-3424,401298,-89263,-1439,106,4873,-9364,-28190,-1809,-95637,-51934,-9102,-9469,-4552,-22236,-35500,-2583,easy
370207,157101,9986,18065,9461,16883,14254,10282,-74947,237591,-8179,3320,16774,59870,4082,1305,-297240,-141766,-6916,-12889,-6376,2734,-9799,-8074,-203275,-63506,-5242,-11283,2164,-7727,-10314,-5986,difficult
103079,22931,4557,7511,8710,4902,11840,3786,1450844,169097,31362,51211,31504,40029,3057,7459,443823,22330,9223,3095,1828,15884,5427,528,-74102,7948,9955,3157,-3296,723,-6299,1102,easy
674247,38864,2644,9574,7869,29419,8646,9475,1977134,18788,72658,10597,14424,30031,7946,12498,-655882,-20396,7366,1723,2136,13631,35761,14463,-207487,5376,5838,9113,46127,11090,7911,27711,difficult
43430,32623,3164,7262,9359,19008,7674,10080,965478,-8245,12463,-6225,836,-14674,-4595,-6792,1439587,109502,114682,23844,18337,15126,12217,16,169122,-25449,-1130,-3660,-2401,-13566,-4701,-6035,easy
318629,72377,6353,8011,6799,36714,20576,17670,12082,98381,21485,16683,16308,17326,-5091,16285,233037,-446,13432,37866,35106,15005,3167,-66,508504,-14471,5279,-1815,48686,-6597,632,-4635,difficult
1357272,192118,23346,53416,20045,28715,30633,13660,-1116228,48247,-7519,-21421,-8186,37356,-12515,5711,-1299337,-170591,-18723,-49480,-14745,-19255,-28682,-9615,-1004054,17230,-19721,-25912,33439,41464,-9754,-805,easy
99529,78012,9056,17463,13434,32727,14781,11657,68256,-64980,1797,-10910,-8040,-20999,-3854,-8276,193972,29711,-2295,24964,32796,5445,7270,34250,1364022,10670,3651,23850,2735,-4592,9345,12572,difficult
1273353,238528,128617,28763,22845,41820,24465,19033,-1088693,-131522,-96976,-691,-7064,-31188,-20538,-13509,-1263505,-223863,-127726,-24879,-16822,-36240,-21565,-15812,-1265451,-225731,-114653,-18646,-4464,-29486,-8664,-12859,easy
689266,168524,43399,62016,35942,55175,42619,18666,-594924,-151097,-39248,-59316,-35146,-50397,-40913,-17814,-651897,-155200,-37631,-44033,-19122,-5941,-29365,7810,-679838,-147107,-41686,-44001,-22306,-17351,-25961,-7365,difficult
215459,45901,14989,7461,9729,19991,16959,9888,-133797,-41358,-11733,-6354,-7906,-16851,-15620,-9041,-88163,46425,-5663,6890,6526,14519,9364,6032,1748860,294064,20370,34083,21269,-2503,825,11348,easy
1218886,213363,43202,21296,16787,31368,29621,8793,-848610,-132777,-39786,29663,11927,21049,-18252,-618,-1127318,-167723,-37483,-15951,-8619,-14838,-26589,-2526,-174853,-124088,-20004,-5403,12546,32336,-581,10871,difficult
1015213,88345,50349,25310,25579,36355,51153,17670,-1011476,-80960,-48840,-15188,-22459,46660,11373,-7869,-717076,-46415,-27169,-13419,-14434,73459,-30861,-9090,-946780,-22693,-33442,7544,-2823,14992,-31488,971,easy
