delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,state
77232,44626,30566,12376,7850,7863,196421,40225,8727,9412,15207,6979,-34393,-35879,-7265,-9042,-14085,-6183,-189871,-302,5439,-4994,-1642,7107,-149709,22665,11203,-5835,-8102,-3687,-181482,-30113,4426,-7834,-13539,-6182,-40489,65632,95391,42525,585,13367,easy
535166,247592,50829,29106,18191,21173,442070,40961,43141,25078,21838,11336,285857,17724,35299,-17743,-9810,17263,1047632,403948,36068,48623,23979,41268,-372992,-2507,-1309,-16908,-7457,4974,-320419,-21585,-35679,-12108,-17257,-9001,-174597,635576,4060,18278,-7691,-5321,difficult
271114,46488,14163,7399,10109,8496,1089289,220540,25870,30134,53594,18327,-499614,-193526,-17292,-25975,-49364,-14263,-1064436,-216402,-23037,-28005,-50862,-16834,-957550,-205925,-19983,-27085,-49123,-13880,-878020,-142946,-15201,-13810,-23273,5483,-691257,-111459,16977,-18799,-44802,-9661,easy
1123800,175932,17977,49450,34784,17997,571342,119618,31141,48714,26612,13902,-28888,22620,-18541,50867,71041,-2683,1070588,360630,5533,-1247,11790,18437,-70288,-105416,-19907,-8773,-12412,-8377,144261,-35530,-22889,-38737,-16104,-10230,1646616,39268,-10018,1569,-13455,23326,difficult
429295,65868,27030,16678,12120,11418,423495,112682,14046,15315,13449,10828,290660,50142,7076,20665,166,4703,-378883,-102541,-6897,-8025,-6296,-9111,710931,-65691,146,-11461,-847,-5621,-368548,-67857,36321,-342,-3563,-511,-225160,-48124,28273,5976,3894,13491,easy
453347,169528,53212,22870,28083,18677,568734,74404,24169,27741,21760,22232,-429018,-17382,9768,379,3243,1942,-401972,103399,20114,-13011,8596,-10518,714650,-30269,-7694,-13362,-10676,-15307,-424686,151079,102798,15037,13102,-6201,-35909,268792,20231,-13400,17352,12307,difficult
498070,85372,24805,31382,15637,20437,1230761,279418,53249,63173,50602,40173,348199,-114889,-16044,22754,1265,34632,-893175,-251414,-28480,-56714,-40709,-29784,-1065782,-95204,-44464,-34893,-45239,-32124,-883046,-233283,-3004,-28349,-41997,-33589,-1169650,-275441,-50228,-61754,-48144,-37815,easy
615714,101449,15445,22303,31353,14509,761860,132516,39366,31492,21509,21413,305849,-46083,-11132,13232,40280,-5952,-691330,-97089,-30818,-17539,14567,-5234,892990,182287,-19549,5866,18434,877,-484352,-69233,-30757,-22119,-11369,-16816,-753886,-125217,-27350,-25385,-12691,-7397,difficult
456658,120465,41836,24203,25980,17678,580586,158919,30579,19166,23208,15176,-388987,-30212,-3650,2761,1102,-8740,-39812,-40666,44834,27389,13729,38838,629832,97545,55520,18737,14224,3784,-281615,-83666,-23952,-10826,-6924,-9753,-539059,-135269,-16469,-12875,-8273,-11620,easy
459462,173504,22615,23137,24325,15669,537812,134643,21062,10231,15438,14769,-459834,-120672,-18615,-7664,-13636,-14040,155125,-127423,-13466,-6793,-9248,-12188,653008,440357,29255,46093,55397,35742,-305818,-63208,-15107,26864,9941,344,-434231,65252,25698,6032,1979,-5358,difficult
