delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,state
112018,69562,6429,8180,3100,4638,358051,38607,13033,3098,1544,2078,-218259,140084,-2333,10570,4553,4584,-169097,-15062,-5328,4753,-270,511,-350742,-32156,-12151,-76,386,2586,easy
15087,21821,9404,43272,3574,11453,8072,5250,9800,30639,6111,7307,3792,-290,-8942,7064,-1543,-2249,1723,5682,2123,19069,-1598,5158,15530,44322,5631,11765,-4471,9530,difficult
10428,9728,4881,70636,8023,6797,63724,7382,4668,27736,3442,7680,-50705,1972,4921,93835,953,-3667,-53359,6701,-1178,-4804,6678,742,-55823,-1635,-3105,39668,6112,277,easy
6097,17214,10713,43672,5100,9645,98602,50076,46058,17225,5451,8299,-92151,-31770,-33825,29035,-1860,-1969,-95859,-37676,-29345,7342,-927,3830,-89506,-29139,-42866,42964,1733,2178,difficult
154182,33654,1940,2612,1889,1594,130962,57309,2758,3026,2662,1135,289734,14191,983,2295,-255,1860,-124725,-48359,-1971,-1755,-189,-33,-95349,-36798,-1465,-1782,-1874,-449,easy
3335,11086,17222,58189,3272,7525,365665,53753,10004,7869,4769,5608,-360897,-41042,-674,43394,-2063,2372,-363181,-43688,20538,71034,-2296,674,-362913,-43272,1791,36531,-133,2704,difficult
245860,28974,5106,4700,2045,2307,145706,10668,1956,2166,1591,940,436301,39289,838,1799,21,1536,-128954,6811,8749,6270,921,1755,-6886,8817,-138,-466,421,809,easy
111880,23357,3152,3625,1617,2116,737163,123390,39773,16928,4653,15046,-672098,-81625,-38511,-11041,-3572,-12581,-481463,-109245,-34663,-14753,-1366,-12924,-722289,-109229,-36689,-14116,-4171,-13284,difficult
128150,33580,6980,3277,2682,2503,180784,56769,5869,3581,2132,954,-135126,-37296,6527,-2298,-427,-347,90909,-42911,1298,-52,-410,352,-113686,10640,-4493,1437,2488,4643,easy
12813,5732,5856,22136,8769,4986,283665,52356,16046,34177,14254,14217,-269673,-44823,-13678,-28448,-7688,-10326,-281786,-48564,-1855,-12208,-473,-8126,-261096,-46485,-15038,4534,-8295,-9241,difficult
7575,15138,11872,47967,11733,10974,80616,17798,7469,30427,3360,3214,-76624,-3648,2855,17160,1138,2096,-75193,-6814,263,29810,5159,8950,-67306,2481,10092,5651,18822,12233,easy
5604,8694,17552,53305,7930,7442,114096,21209,7010,40176,6259,10186,-109349,-12873,37667,37079,-2451,-1609,-105570,-15387,-5482,-1545,3306,-4044,-110556,-9286,-560,3853,4159,-2578,difficult
8876,11362,17839,66581,6755,9268,11851,10205,14017,46068,4889,8342,4735,5510,-12576,16629,-2086,-2318,-5173,3941,35144,72880,-1175,4656,-8488,-5980,-11103,-27970,8860,441,easy
6840,8803,8242,39500,5477,12215,50659,20278,7253,19820,11245,7115,-42144,-17507,2188,-7213,-6412,3743,-44543,-8368,4767,60099,-8384,2453,-44769,-8549,-3989,6154,-2508,9105,difficult
43339,9549,2173,2131,961,3989,335576,51530,8003,9483,4430,6618,-327715,-45697,-6710,-8027,-3897,-5287,-328884,-45977,-4669,-6672,-2623,3488,-220112,-34269,-6112,-7358,-3886,-6088,easy
86082,53936,11552,13251,4885,5208,266908,54014,9839,7352,6155,6438,-103325,89603,1783,1491,-4513,1276,-262282,-51586,12455,9153,4602,-526,-176871,-38250,-9099,7054,-3899,-4440,difficult
319558,39543,9886,5728,7460,7598,540517,69867,16505,8063,12526,9973,-483132,-48194,-15111,-6259,-10988,-8201,341813,-16061,5333,5517,3573,-4476,-521559,-26716,-10080,-6262,-7784,5551,easy
18783,20807,1440,1486,2274,4807,627855,78586,8949,4408,2914,4289,-576867,-25260,-6877,-2318,-1492,-1665,-624336,-77952,-8845,-3382,-2165,-1279,-626014,-70126,-6804,-3067,1737,4498,difficult
128646,91135,19111,6371,3836,5552,539680,39243,3808,13035,9362,7418,-399097,106450,4365,-5767,-5509,-4163,-357673,14684,9099,-10685,-7948,-5037,-476332,34542,32444,-3539,-3121,3602,easy
3501,7409,3986,35563,4520,10565,946397,52636,9435,43714,17543,14338,-943250,-45313,-6783,-16439,-11928,-7293,-940283,-43405,-6039,-25736,-14170,-151,-945156,-46962,-3524,17722,-12971,-3876,difficult
81493,96958,4797,5927,3669,4447,223515,60998,7691,10789,10721,5080,-3043,214314,3748,4936,-2918,1023,-208966,-50184,-5906,-9824,-10058,-3454,-214058,-56251,-6523,-9697,-8179,532,easy
9105,6249,9888,35608,10541,9320,101603,15459,9158,15299,8379,5360,-89168,-9906,-221,17145,4904,6155,-95767,-7811,-7243,12622,-687,1995,-92559,-9913,9655,31160,2270,3730,difficult
6188,15752,10283,27921,6903,8895,36629,8925,4375,26931,1771,4995,-28351,4166,-2260,-11314,4509,594,-30955,5843,8073,-877,7189,6485,-32017,10472,11911,15161,3698,4620,easy
83396,41895,13587,29155,2772,3206,570627,40464,27850,12945,8686,9389,-462929,-15485,-14367,-666,-5422,-5442,-454317,38469,-784,59362,-5363,-5710,-544446,-18692,-27637,-10065,-6957,-7398,difficult
51917,17393,2035,2520,2712,1851,209287,82167,1127,2768,1063,2585,-153162,-76560,-893,-2524,-819,-2225,-120971,-54324,2735,1261,4062,-1049,-197976,-63438,881,519,1703,1072,easy
30320,16641,10758,105940,21603,23784,104524,34459,14284,17755,9901,9428,-87028,-11384,-2274,127598,25180,26160,-79799,-24111,-2913,99587,14066,8558,-55784,-17958,-5392,37371,-4141,8350,difficult
21071,29954,29024,44463,18213,12035,329402,21470,13083,27758,6282,14229,-325761,6184,40320,32784,23904,1040,-322241,-9296,-5368,12172,5489,-94,-276990,28565,12870,5159,6401,-7528,easy
26750,17814,15062,51192,8408,6082,54916,20822,5629,24332,5701,4083,-36065,-13027,13651,66233,-689,1611,-49099,-10812,6732,9819,7738,1359,665,14814,7917,4527,1073,3028,difficult
5231,7094,3279,26809,8587,8740,65631,8001,4564,8208,2196,1895,-64403,-4185,-2501,26016,11241,9753,-54822,-1160,2234,36136,1125,2680,-61975,2625,-3589,-6349,6806,8103,easy
6365,9203,13720,55929,8976,6485,63782,18607,7592,15219,5182,4133,-55010,18,13458,58434,9811,-110,-54621,-13604,11711,62159,3052,4568,-62621,-14625,-6786,1536,-1480,2597,difficult
103748,13565,1959,16014,3712,5862,262543,18996,9344,21606,3989,4350,-257232,-11437,-7878,-8574,906,3992,-253246,-11571,-6603,3405,-318,-650,34092,6715,-7675,-11607,-1418,1195,easy
4117,7002,16981,65045,5074,9163,239344,34680,20040,37486,24014,27824,-236950,-29319,1579,32586,-16859,-21821,-235425,-26444,-5075,36597,-20524,-17296,-233307,-27270,-5680,13495,-19436,-16865,difficult
43109,12014,7732,38392,11484,10794,14760,6960,12484,30377,7378,9537,-7530,-2646,296,33184,1896,7505,-7903,-1955,-2893,6004,-4646,-1469,100479,19763,-11660,-15142,15067,-2264,easy
649632,116690,34246,48997,19039,19312,803198,47815,25554,13545,9098,12225,1074294,256044,65198,47634,23062,33535,-790520,-24400,-20590,66173,7567,-3503,-744472,-25020,-18531,-7451,-806,-8771,difficult
8375,7057,9821,50066,7980,7524,105169,20324,6254,15495,7801,5904,-103042,-15143,-5119,58081,4979,3001,-100828,-15297,11828,35811,841,-878,-86513,-9362,3993,9821,-5282,2737,easy
7638,10647,5802,43029,4435,14305,35124,25238,6523,17402,8354,10289,-24928,-13435,1939,43719,-1845,2967,-30015,-14750,-3909,-456,-4823,-804,-27514,-15588,-192,33618,-5088,9886,difficult
12494,4255,8819,37954,5502,10582,71819,38409,6384,20719,3289,7399,-71696,-36842,6781,18033,2501,10675,-53203,-31062,-2544,8517,2759,-3659,-53076,-34557,3068,25155,1378,2534,easy
13177,7160,7971,26699,14948,9287,52849,21720,23782,28937,6169,5350,-36256,-17141,-9029,-3897,3664,4029,-33305,-17590,-20903,4799,-950,4186,-49455,-8948,-17500,-7616,23622,3596,difficult
23508,17291,9127,66745,6889,6124,50803,14963,16576,44811,21111,14360,-47779,-4217,-4518,80852,-13111,-5375,-48329,-6660,-13061,22197,-14303,-8293,14224,17862,-4768,-37246,-15252,-11041,easy
7497,7495,12004,46825,5636,7281,228746,37210,5142,11918,3849,3653,-226513,-33791,14861,47295,2142,1525,-215919,-31209,3895,16293,727,5084,-221315,-24145,1829,41133,2493,4274,difficult
4399,6642,8060,28569,4770,10192,51282,13786,7350,29721,5168,5505,-48035,-7759,-1929,19549,-1222,2188,-46941,-6176,929,-6561,3253,3981,-45674,-7497,3129,-16445,-3224,7891,easy
10879,8570,6157,63200,5591,7768,154079,27474,9922,17998,7122,3653,-144817,-18338,1335,24109,-1472,3640,-144169,-17558,-5622,102386,876,7460,-140615,-20816,-7008,9111,-3996,1244,difficult
310745,45264,7685,4830,4118,3881,480688,40234,11601,6588,7015,6326,419898,64689,-1511,-4237,-5916,-4265,-465742,-33282,-948,-3820,-2521,-1961,-463984,-16318,-9288,2783,-255,-1110,easy
10420,12532,6920,54383,8735,14990,56404,7181,1499,2137,1359,3082,-46190,4508,1738,36747,3040,18664,-49199,-1961,12172,51292,6552,7965,-42564,13507,2354,68700,12536,9094,difficult
108826,25865,3273,1695,2346,5186,265897,19614,7636,6444,2815,2406,44196,42065,-3271,-5414,-1323,-527,-251212,-13333,-5206,-5747,-274,-754,-264198,-9980,-4612,-3085,189,9621,easy
215208,24091,13083,5756,2632,12725,299195,65971,8156,3576,1975,7295,241293,-32960,-2157,7374,-140,1239,-293879,-58512,-4284,-1807,421,7828,-199374,-34168,21221,974,1689,7224,difficult
172747,26011,13685,5612,5107,5513,1144668,220206,17580,19428,15891,7887,-1121214,-202918,-7083,-9374,-6732,-756,-1136801,-216454,-10939,-18038,-13151,-2288,-657749,-163214,6336,-14036,-12470,-4079,easy
188673,26326,8299,3203,1615,3655,279842,90250,27946,6181,9489,10104,-214453,-78314,-25577,-5657,-8587,-9473,203092,-28954,-6224,899,-6816,-3226,-262146,-84505,-27140,-4176,-8218,-6649,difficult
11311,9441,16111,52554,7734,8446,45482,24987,4748,3580,3607,4896,-23340,-16998,418,46328,5346,5425,-37427,-17708,16713,43138,3416,3839,-41746,-11933,16959,57457,3620,1386,easy
